ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/06/28,128.00,226.30,128.00,204.99,0.00,0.00,,,,,,0.0000,,0,,,,,,,,715,,,,,0,,,,,,0,,,
2017/06/29,204.00,204.00,182.41,191.99,-13.00,-6.3418,,,,,,-367.0000,,0,,,,,,,,367,,,,,0,,,,,,0,,,
2017/06/30,190.00,192.99,167.00,186.00,-5.99,-3.12,,,,,,-778.0000,,0,,,,,,,,411,,,,,0,,,,,,0,,,
2017/07/03,186.00,189.99,177.00,184.99,-1.01,-0.543,,,,,,-979.0000,,0,,,,,,,,201,,,,,0,,,,,,0,,,
2017/07/04,184.99,199.99,178.01,197.88,12.89,6.9679,193.1700,,,,,-768.0000,,0,0,,,,,,,211,381,,,,0,0,,,,,0,0,,
2017/07/05,197.88,220.00,193.00,205.68,7.80,3.9418,193.3080,,,,,-217.0000,,0,0,,,,,,,551,348,,,,0,0,,,,,0,0,,
2017/07/06,208.00,216.99,198.01,206.00,0.32,0.1556,196.1100,,,,,56.0000,,0,0,,51.2314,,,,,273,329,,,,0,0,,,,,0,0,,
2017/07/07,204.00,209.99,200.01,205.00,-1.00,-0.4854,199.9100,,,,,-93.0000,,0,0,,49.7749,,,,,149,277,,,,0,0,,,,,0,0,,
2017/07/10,205.00,209.99,198.00,199.00,-6.00,-2.9268,202.7120,,,,,-327.0000,,0,0,,41.3176,,72.2279,57.4093,52.4698,234,283,57.4093,52.4698,67.2883,0,0,,,,,0,0,,
2017/07/11,200.01,203.99,185.01,190.00,-9.00,-4.5226,201.1360,197.1530,,,,-491.0000,-396.4000,0,0,0,31.6406,,43.3962,52.7383,52.5593,164,274,52.7383,52.5593,53.0963,0,0,0,,,,0,0,0,
2017/07/12,192.70,200.90,185.01,196.10,6.10,3.2105,199.2200,196.2640,,,,-394.0000,-435.8000,0,0,0,42.5788,,54.9057,53.4607,52.8598,97,183,53.4607,52.8598,54.6627,0,0,0,,,,0,0,0,
2017/07/13,198.00,204.99,192.01,200.00,3.90,1.9888,198.0200,197.0650,,,,-292.0000,-428.3000,0,0,0,48.8572,,53.4884,53.4699,53.0632,102,149,53.4699,53.0632,54.2835,0,0,0,,,,0,0,0,
2017/07/14,203.00,203.00,194.01,198.50,-1.50,-0.75,196.7200,198.3150,,,,-349.0000,-385.4000,0,0,0,46.5101,45.2635,48.7973,51.9124,52.6796,57,130,51.9124,52.6796,50.3781,0,0,0,,,,0,0,0,
2017/07/17,197.73,204.00,193.01,193.01,-5.49,-2.7657,195.5220,199.1170,,,,-427.0000,-330.2000,0,0,0,38.4066,41.6247,22.8637,42.2295,49.1962,78,99,42.2295,49.1962,28.2961,0,0,0,,,,0,0,0,
2017/07/18,193.01,199.99,188.11,189.97,-3.04,-1.575,195.5160,198.3260,,,,-534.0000,-306.8000,0,0,0,34.4216,39.6969,15.5097,33.3229,43.9051,107,88,33.3229,43.9051,12.1585,0,0,0,,,,0,0,0,
2017/07/19,196.10,197.99,186.21,192.00,2.03,1.0686,194.6960,196.9580,,,,-470.0000,-332.1000,0,0,0,39.4555,41.6650,27.9824,31.5427,39.7843,64,81,31.5427,39.7843,15.0596,0,0,0,,,,0,0,0,
2017/07/20,192.00,195.99,182.41,185.00,-7.00,-3.6458,191.6960,194.8580,,,,-582.0000,-395.9000,0,0,0,29.9441,37.1091,9.3909,24.1588,34.5758,112,83,24.1588,34.5758,3.3247,0,0,0,,,,0,0,0,
2017/07/21,182.41,189.99,176.71,182.01,-2.99,-1.6162,188.3980,192.5590,,,,-725.0000,-459.1000,0,0,0,26.6510,35.3099,18.7412,22.3529,30.5015,143,100,22.3529,30.5015,6.0557,0,0,0,,,,0,0,0,
2017/07/24,182.01,185.99,175.76,180.00,-2.01,-1.1043,185.7960,190.6590,,,,-770.0000,-503.4000,0,0,0,24.4794,34.0976,14.5056,19.7371,26.9134,45,94,19.7371,26.9134,5.3847,0,0,0,,,,0,0,0,
2017/07/25,177.00,182.99,172.91,181.00,1.00,0.5556,184.0020,189.7590,193.4560,,,-712.0000,-525.5000,0,0,0,27.9829,35.3032,25.2182,21.5642,25.1303,58,84,21.5642,25.1303,14.4319,0,0,0,,,,0,0,0,
2017/07/26,181.99,182.99,175.01,182.00,1.00,0.5525,182.0020,188.3490,192.3065,,,-639.0000,-550.0000,0,0,0,31.7806,36.5691,29.2377,24.1220,24.7942,73,86,24.1220,24.7942,22.7776,0,0,0,,,,0,0,0,
2017/07/27,180.00,182.99,175.00,176.00,-6.00,-3.2967,180.2020,185.9490,191.5070,,,-695.0000,-590.3000,0,0,0,23.0347,32.4174,9.9389,19.3943,22.9942,56,75,19.3943,22.9942,12.1944,0,0,0,,,,0,0,0,
2017/07/28,173.01,180.00,167.21,175.99,-0.01,-0.0057,178.9980,183.6980,191.0065,,,-798.0000,-635.2000,0,0,0,23.0220,32.4107,26.7846,21.8577,22.6154,103,67,21.8577,22.6154,20.3424,0,0,0,,,,0,0,0,
2017/07/31,175.41,175.99,170.01,174.99,-1.00,-0.5682,177.9960,181.8960,190.5065,,,-828.0000,-675.3000,0,0,0,21.5964,31.6971,25.2762,22.9972,22.7427,30,64,22.9972,22.7427,23.5063,0,0,0,,,,0,0,0,
