ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/03/08,72.00,80.00,72.00,77.35,0.00,0.00,,,,,,0.0000,,0,,,,,,,,76,,,,,0,,,,,,0,,,
2016/03/09,77.35,83.14,76.00,80.00,2.65,3.426,,,,,,59.0000,,0,,,,,,,,59,,,,,0,,,,,,0,,,
2016/03/10,80.00,80.00,76.71,76.91,-3.09,-3.8625,,,,,,38.0000,,0,,,,,,,,21,,,,,0,,,,,,0,,,
2016/03/11,79.99,80.01,79.50,79.50,2.59,3.3676,,,,,,63.0000,,0,,,,,,,,25,,,,,0,,,,,,0,,,
2016/03/14,80.09,83.68,79.52,83.68,4.18,5.2579,79.4880,,,,,76.0000,,0,0,,,,,,,13,38,,,,0,0,,,,,0,0,,
2016/03/15,81.50,84.20,81.00,84.20,0.52,0.6214,80.8580,,,,,81.0000,,0,0,,,,,,,5,24,,,,0,0,,,,,0,0,,
2016/03/16,82.10,84.10,80.50,81.50,-2.70,-3.2067,81.1580,,,,,70.0000,,0,0,,63.1914,,,,,11,15,,,,0,0,,,,,0,0,,
2016/03/17,82.00,82.00,76.20,76.20,-5.30,-6.5031,81.0160,,,,,50.0000,,0,0,,44.9977,,,,,20,14,,,,0,0,,,,,0,0,,
2016/03/18,76.20,76.20,76.20,76.20,0.00,0.00,80.3560,,,,,50.0000,,0,0,,44.9977,,34.4262,44.8087,48.2696,1,10,44.8087,48.2696,37.8871,0,0,,,,,0,0,,
2016/03/21,78.00,84.00,78.00,83.00,6.80,8.9239,80.2200,79.8540,,,,82.0000,56.9000,0,0,0,64.0962,,85.3659,58.3278,51.6223,32,13,58.3278,51.6223,71.7387,0,0,0,,,,0,0,0,
2016/03/22,84.99,85.00,81.51,81.51,-1.49,-1.7952,79.6820,80.2700,,,,70.0000,63.9000,0,0,0,58.7337,,60.3409,58.9988,54.0812,12,15,58.9988,54.0812,68.8342,0,0,0,,,,0,0,0,
2016/03/23,84.98,84.98,84.98,84.98,3.47,4.2571,80.3780,80.7680,,,,72.0000,65.2000,0,0,0,66.5537,,99.7727,72.5901,60.2508,2,13,72.5901,60.2508,97.2688,0,0,0,,,,0,0,0,
