ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/09/10,40.00,62.50,40.00,58.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,217,,,,,0,,,,,,0,,,
2016/09/12,56.42,59.00,54.16,55.55,-2.45,-4.2241,,,,,,-102.0000,,0,,,,,,,,102,,,,,0,,,,,,0,,,
2016/09/13,55.86,55.86,53.51,55.00,-0.55,-0.9901,,,,,,-114.0000,,0,,,,,,,,12,,,,,0,,,,,,0,,,
2016/09/14,54.97,55.00,54.01,54.34,-0.66,-1.20,,,,,,-125.0000,,0,,,,,,,,11,,,,,0,,,,,,0,,,
2016/09/19,54.33,54.33,53.09,53.51,-0.83,-1.5274,55.2800,,,,,-143.0000,,0,0,,,,,,,18,72,,,,0,0,,,,,0,0,,
2016/09/20,54.14,54.30,53.92,54.30,0.79,1.4764,54.5400,,,,,-133.0000,,0,0,,,,,,,10,30,,,,0,0,,,,,0,0,,
2016/09/21,53.92,54.00,53.92,54.00,-0.30,-0.5525,54.2300,,,,,-140.0000,,0,0,,14.1577,,,,,7,11,,,,0,0,,,,,0,0,,
2016/09/22,54.90,54.90,54.88,54.88,0.88,1.6296,54.2060,,,,,-137.0000,,0,0,,27.8180,,,,,3,9,,,,0,0,,,,,0,0,,
2016/09/23,54.87,54.87,54.87,54.87,-0.01,-0.0182,54.3120,,,,,-142.0000,,0,0,,27.7577,,66.0889,55.3630,51.7877,5,8,55.3630,51.7877,62.5136,0,0,,,,,0,0,,
2016/09/26,55.00,55.15,55.00,55.00,0.13,0.2369,54.6100,54.9450,,,,-124.0000,-116.0000,0,0,0,30.1182,,32.3181,47.6813,50.4189,18,8,47.6813,50.4189,42.2063,0,0,0,,,,0,0,0,
2016/09/29,55.00,55.00,53.50,54.89,-0.11,-0.20,54.7280,54.6340,,,,-150.0000,-131.0000,0,0,0,29.1511,,64.9819,53.4482,51.4287,26,11,53.4482,51.4287,57.4873,0,0,0,,,,0,0,0,
2016/09/30,54.80,54.80,54.50,54.50,-0.39,-0.7105,54.8280,54.5290,,,,-156.0000,-136.4000,0,0,0,25.6471,,68.4466,58.4477,53.7683,6,11,58.4477,53.7683,67.8064,0,0,0,,,,0,0,0,
2016/10/04,54.93,54.99,54.00,54.99,0.49,0.8991,54.8500,54.5280,,,,-150.0000,-140.0000,0,0,0,37.0544,30.1713,92.2330,69.7095,59.0820,6,12,69.7095,59.0820,90.9643,0,0,0,,,,0,0,0,
2016/10/05,54.80,54.80,54.00,54.01,-0.98,-1.7821,54.6780,54.4950,,,,-160.0000,-143.5000,0,0,0,27.0824,26.4462,30.9091,56.7760,58.3134,10,13,56.7760,58.3134,53.7013,0,0,0,,,,0,0,0,
2016/10/06,54.02,54.99,54.02,54.99,0.98,1.8145,54.6760,54.6430,,,,-156.0000,-144.8000,0,0,0,44.8822,35.1771,90.3030,67.9517,61.5261,4,10,67.9517,61.5261,80.8028,0,0,0,,,,0,0,0,
2016/10/07,55.00,55.86,55.00,55.86,0.87,1.5821,54.8700,54.7990,,,,-146.0000,-146.1000,0,0,0,56.2575,41.8606,100.0000,78.6345,67.2289,10,7,78.6345,67.2289,101.4455,0,0,0,,,,0,0,0,
2016/10/11,55.67,55.80,54.32,55.00,-0.86,-1.5396,54.9700,54.8990,,,,-175.0000,-149.6000,0,0,0,45.1936,37.6721,63.5593,73.6094,69.3557,29,11,73.6094,69.3557,82.1167,0,0,0,,,,0,0,0,
2016/10/12,55.00,55.00,54.50,54.50,-0.50,-0.9091,54.8720,54.8610,,,,-185.0000,-154.4000,0,0,0,39.7408,35.4240,42.3729,63.1972,67.3029,10,12,63.1972,67.3029,54.9859,0,0,0,,,,0,0,0,
2016/10/13,55.00,55.50,55.00,55.50,1.00,1.8349,55.1700,54.9240,,,,-177.0000,-157.9000,0,0,0,53.2718,42.8633,84.7458,70.3801,68.3286,8,12,70.3801,68.3286,74.4830,0,0,0,,,,0,0,0,
2016/10/14,55.20,55.20,55.20,55.20,-0.30,-0.5405,55.2120,54.9440,54.9445,,,-184.0000,-163.9000,0,0,0,49.2876,41.3059,64.5161,68.4254,68.3609,7,12,68.4254,68.3609,68.5545,0,0,0,,,,0,0,0,
2016/10/17,54.81,55.00,54.20,54.50,-0.70,-1.2681,54.9400,54.9050,54.7695,,,-196.0000,-168.5000,0,0,0,40.7533,37.8092,26.8817,54.5775,63.7664,12,13,54.5775,63.7664,36.1997,0,0,0,,,,0,0,0,
2016/10/18,54.60,54.60,54.50,54.50,0.00,0.00,54.8400,54.9050,54.7170,,,-196.0000,-172.5000,0,0,0,40.7533,37.8092,26.8817,45.3456,57.6262,2,7,45.3456,57.6262,20.7845,0,0,0,,,,0,0,0,
2016/10/19,54.50,54.50,54.50,54.50,0.00,0.00,54.8400,54.8560,54.6920,,,-196.0000,-177.1000,0,0,0,40.7533,37.8092,26.0870,38.9260,51.3928,3,6,38.9260,51.3928,13.9926,0,0,0,,,,0,0,0,
2016/10/20,54.50,54.50,54.50,54.50,0.00,0.00,54.6400,54.9050,54.7000,,,-196.0000,-180.7000,0,0,0,40.7533,37.8092,18.0723,31.9748,44.9201,1,5,31.9748,44.9201,6.0841,0,0,0,,,,0,0,0,
2016/10/21,55.00,55.18,55.00,55.18,0.68,1.2477,54.6360,54.9240,54.7835,,,-194.0000,-184.5000,0,0,0,56.0743,44.2969,61.2500,41.7332,43.8578,2,4,41.7332,43.8578,37.4840,0,0,0,,,,0,0,0,
2016/10/24,55.19,55.19,55.19,55.19,0.01,0.0181,54.7740,54.8570,54.8280,,,-193.0000,-189.2000,0,0,0,56.2738,44.3900,76.1538,53.2067,46.9741,1,1,53.2067,46.9741,65.6720,0,0,0,,0.1064,,0,0,0,
2016/10/25,54.98,54.98,54.98,54.98,-0.21,-0.3805,54.8700,54.8550,54.8770,,,-195.0000,-191.2000,0,0,0,50.4935,42.7536,60.0000,55.4712,49.8065,2,1,55.4712,49.8065,66.8006,0,0,0,,0.1079,,0,0,0,
2016/10/26,54.98,54.98,54.98,54.98,0.00,0.00,54.9660,54.9030,54.8820,,,-195.0000,-192.2000,0,0,0,50.4935,42.7536,78.0000,62.9808,54.1979,1,1,62.9808,54.1979,80.5465,0,0,0,,0.1078,,0,0,0,
2016/10/27,55.12,55.12,54.50,54.50,-0.48,-0.873,54.9660,54.8030,54.8635,,,-202.0000,-194.7000,0,0,0,37.7355,38.8570,30.3030,52.0882,53.4947,7,2,52.0882,53.4947,49.2752,0,0,0,,0.0683,,0,0,0,
2016/10/31,53.21,54.50,53.21,54.50,0.00,0.00,54.8300,54.7330,54.8385,,,-202.0000,-196.5000,0,0,0,37.7355,38.8570,65.1515,56.4426,54.4773,3,2,56.4426,54.4773,60.3733,0,0,0,,0.0365,,0,0,0,
2016/11/02,54.01,54.01,54.00,54.00,-0.50,-0.9174,54.5920,54.6830,54.7940,,,-406.0000,-217.5000,0,0,0,27.3644,34.9124,39.8990,50.9281,53.2942,204,43,50.9281,53.2942,46.1958,0,0,0,,-0.0287,,0,0,0,
2016/11/03,54.19,54.30,54.00,54.30,0.30,0.5556,54.4560,54.6630,54.7840,,,-394.0000,-237.3000,0,0,0,39.3633,38.9678,55.0505,52.3022,52.9636,12,45,52.3022,52.9636,50.9795,0,0,0,,-0.0555,,0,0,0,
2016/11/04,54.29,54.29,53.90,54.10,-0.20,-0.3683,54.2800,54.6230,54.7395,,,-418.0000,-259.5000,0,0,0,34.7685,37.2786,44.9495,49.8513,51.9262,24,50,49.8513,51.9262,45.7016,0,0,0,,-0.0919,,0,0,0,
2016/11/07,54.90,54.90,54.90,54.90,0.80,1.4787,54.3600,54.6630,54.7840,,,-416.0000,-281.5000,0,0,0,58.1929,47.2556,85.3535,61.6854,55.1792,2,49,61.6854,55.1792,74.6977,0,0,0,-0.1543,-0.0555,0.0217,0,0,0,
2016/11/09,53.82,54.99,53.82,53.82,-1.08,-1.9672,54.2240,54.5270,54.7255,,,-422.0000,-304.3000,0,0,0,36.7905,38.2864,31.9372,51.7693,54.0426,6,49,51.7693,54.0426,47.2228,0,0,0,-0.2147,-0.1125,-0.0051,0,0,0,
2016/11/10,53.82,54.50,53.82,54.00,0.18,0.3344,54.2240,54.4080,54.6325,,,-413.0000,-326.3000,0,0,0,41.1214,40.3451,41.3613,48.3000,52.1284,9,10,48.3000,52.1284,40.6431,0,0,0,-0.2182,-0.1415,-0.0324,0,0,0,
2016/11/11,53.82,54.00,53.82,54.00,0.00,0.00,54.1640,54.3100,54.5825,,,-413.0000,-348.1000,0,0,0,41.1214,40.3451,41.3613,45.9871,50.0813,6,9,45.9871,50.0813,37.7986,0,0,0,-0.2083,-0.1626,-0.0584,0,0,0,
2016/11/14,53.51,54.49,53.51,54.30,0.30,0.5556,54.2040,54.2420,54.5725,,,-403.0000,-368.9000,0,0,0,49.4362,44.0472,61.2360,51.0700,50.4109,10,6,51.0700,50.4109,52.3884,0,0,0,-0.1519,-0.1534,-0.0774,0,0,0,
