ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/09/08,60.00,68.00,60.00,66.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,103,,,,,0,,,,,,0,,,
2016/09/09,65.01,67.00,65.01,66.49,0.49,0.7424,,,,,,44.0000,,0,,,,,,,,44,,,,,0,,,,,,0,,,
2016/09/10,66.00,67.00,64.00,66.50,0.01,0.015,,,,,,66.0000,,0,,,,,,,,22,,,,,0,,,,,,0,,,
2016/09/12,66.00,66.50,66.00,66.50,0.00,0.00,,,,,,66.0000,,0,,,,,,,,12,,,,,0,,,,,,0,,,
2016/09/13,66.50,66.50,66.10,66.30,-0.20,-0.3008,66.3580,,,,,53.0000,,0,0,,,,,,,13,38,,,,0,0,,,,,0,0,,
2016/09/14,66.41,70.00,66.41,68.50,2.20,3.3183,66.8580,,,,,114.0000,,0,0,,,,,,,61,30,,,,0,0,,,,,0,0,,
2016/09/19,68.50,72.00,68.00,71.00,2.50,3.6496,67.7600,,,,,180.0000,,0,0,,96.2963,,,,,66,34,,,,0,0,,,,,0,0,,
2016/09/20,72.00,81.79,71.20,79.51,8.51,11.9859,70.3620,,,,,363.0000,,0,0,,98.7189,,,,,183,67,,,,0,0,,,,,0,0,,
2016/09/21,80.00,83.50,75.11,79.36,-0.15,-0.1887,72.9340,,,,,265.0000,,0,0,,97.3717,,82.3830,60.7943,53.5981,98,84,60.7943,53.5981,75.1868,0,0,,,,,0,0,,
2016/09/22,76.00,77.76,76.00,77.76,-1.60,-2.0161,75.2260,70.7920,,,,250.0000,140.1000,0,0,0,82.8923,,70.5641,64.0509,57.0824,15,84,64.0509,57.0824,77.9880,0,0,0,,,,0,0,0,
2016/09/23,78.00,79.26,78.00,79.00,1.24,1.5947,77.3260,72.0920,,,,282.0000,168.3000,0,0,0,84.9708,,76.9231,68.3416,60.8355,32,78,68.3416,60.8355,83.3540,0,0,0,,,,0,0,0,
2016/09/26,78.00,79.99,77.74,78.00,-1.00,-1.2658,78.7260,73.2430,,,,265.0000,190.4000,0,0,0,76.0315,,68.5714,68.4182,63.3631,17,69,68.4182,63.3631,78.5286,0,0,0,,,,0,0,0,
2016/09/29,78.00,79.00,72.20,76.00,-2.00,-2.5641,78.0240,74.1930,,,,209.0000,204.7000,0,0,0,60.7043,75.1256,56.8966,64.5777,63.7679,56,43,64.5777,63.7679,66.1972,0,0,0,,,,0,0,0,
2016/09/30,75.26,76.00,75.00,76.00,0.00,0.00,77.3520,75.1430,,,,209.0000,219.0000,0,0,0,60.7043,75.1256,56.1147,61.7567,63.0975,19,27,61.7567,63.0975,59.0750,0,0,0,,,,0,0,0,
2016/10/04,74.00,75.50,69.50,71.50,-4.50,-5.9211,76.1000,75.6630,,,,179.0000,231.6000,0,0,0,36.7204,59.1953,22.5806,48.6980,58.2977,30,30,48.6980,58.2977,29.4987,0,0,0,,,,0,0,0,
2016/10/05,70.00,70.00,69.36,70.00,-1.50,-2.0979,74.3000,75.8130,,,,170.0000,237.2000,0,0,0,31.7091,54.9576,4.5262,33.9741,50.1898,9,26,33.9741,50.1898,1.5426,0,0,0,,,,0,0,0,
2016/10/06,70.50,71.25,70.00,70.00,0.00,0.00,72.7000,75.7130,,,,170.0000,236.2000,0,0,0,31.7091,54.9576,4.5262,24.1581,41.5126,26,28,24.1581,41.5126,-10.5509,0,0,0,,,,0,0,0,
2016/10/07,69.00,70.01,69.00,70.01,0.01,0.0143,71.5020,74.7630,,,,178.0000,217.7000,0,0,0,31.7985,54.9832,9.1902,19.1688,34.0646,8,18,19.1688,34.0646,-10.6229,0,0,0,,,,0,0,0,
2016/10/11,69.79,70.00,69.79,70.00,-0.01,-0.0143,70.3020,73.8270,,,,166.0000,207.8000,0,0,0,31.7486,54.9492,9.0992,15.8123,27.9805,12,17,15.8123,27.9805,-8.5243,0,0,0,,,,0,0,0,
2016/10/12,69.50,69.50,67.79,68.00,-2.00,-2.8571,69.6020,72.8510,71.8215,,,152.0000,198.0000,0,0,0,23.0693,48.4122,1.7213,11.1153,22.3588,14,13,11.1153,22.3588,-11.3717,0,0,0,,,,0,0,0,
