ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/08/30,44.90,53.99,44.90,51.02,0.00,0.00,,,,,,0.0000,,0,,,,,,,,301,,,,,0,,,,,,0,,,
2016/08/31,50.55,51.20,49.50,50.80,-0.22,-0.4312,,,,,,-64.0000,,0,,,,,,,,64,,,,,0,,,,,,0,,,
2016/09/01,50.56,50.56,49.00,50.00,-0.80,-1.5748,,,,,,-121.0000,,0,,,,,,,,57,,,,,0,,,,,,0,,,
2016/09/02,48.46,49.61,48.46,48.99,-1.01,-2.02,,,,,,-170.0000,,0,,,,,,,,49,,,,,0,,,,,,0,,,
2016/09/05,49.49,49.49,47.50,47.50,-1.49,-3.0414,49.6620,,,,,-234.0000,,0,0,,,,,,,64,107,,,,0,0,,,,,0,0,,
2016/09/06,47.04,48.23,47.04,48.15,0.65,1.3684,49.0880,,,,,-207.0000,,0,0,,,,,,,27,52,,,,0,0,,,,,0,0,,
2016/09/07,48.00,48.15,47.75,48.00,-0.15,-0.3115,48.5280,,,,,-243.0000,,0,0,,15.0463,,,,,36,46,,,,0,0,,,,,0,0,,
2016/09/08,47.00,47.65,47.00,47.50,-0.50,-1.0417,48.0280,,,,,-259.0000,,0,0,,13.2114,,,,,16,38,,,,0,0,,,,,0,0,,
2016/09/09,47.01,47.99,47.01,47.50,0.00,0.00,47.7300,,,,,-259.0000,,0,0,,13.2114,,28.6029,42.8676,47.6225,8,30,42.8676,47.6225,33.3578,0,0,,,,,0,0,,
2016/09/10,47.99,47.99,47.50,47.50,0.00,0.00,47.7300,48.6960,,,,-259.0000,-181.6000,0,0,0,13.2114,,11.9048,32.5467,42.5972,8,19,32.5467,42.5972,12.4455,0,0,0,,,,0,0,0,
2016/09/12,48.00,48.00,47.50,47.65,0.15,0.3158,47.6300,48.3590,,,,-239.0000,-205.5000,0,0,0,18.3719,,18.2584,27.7839,37.6595,20,17,27.7839,37.6595,8.0328,0,0,0,,,,0,0,0,
2016/09/13,47.99,48.00,47.50,47.65,0.00,0.00,47.5600,48.0440,,,,-239.0000,-223.0000,0,0,0,18.3719,,24.9042,26.8240,34.0477,35,17,26.8240,34.0477,12.3767,0,0,0,,,,0,0,0,
2016/09/14,47.99,48.00,47.50,47.50,-0.15,-0.3148,47.5600,47.7940,,,,-267.0000,-237.6000,0,0,0,16.9229,15.6250,20.0803,24.5761,30.8905,28,19,24.5761,30.8905,11.9474,0,0,0,,,,0,0,0,
2016/09/19,47.10,47.69,46.61,47.50,0.00,0.00,47.5600,47.6450,,,,-267.0000,-247.3000,0,0,0,16.9229,15.6250,54.9383,34.6968,32.1593,102,38,34.6968,32.1593,39.7720,0,0,0,,,,0,0,0,
2016/09/20,47.50,48.40,47.35,48.15,0.65,1.3684,47.6900,47.7100,,,,-206.0000,-244.5000,0,0,0,44.3238,26.6996,86.0335,51.8091,38.7092,61,49,51.8091,38.7092,78.0088,0,0,0,,,,0,0,0,
2016/09/21,48.49,52.50,48.49,48.90,0.75,1.5576,47.9400,47.7850,,,,-59.0000,-229.7000,0,0,0,61.7788,37.0928,38.8795,47.4992,41.6392,147,74,47.4992,41.6392,59.2192,0,0,0,,,,0,0,0,
2016/09/22,48.51,48.51,47.01,47.99,-0.91,-1.8609,48.0080,47.7840,,,,-105.0000,-215.9000,0,0,0,42.4168,31.2314,23.4295,39.4760,40.9181,46,76,39.4760,40.9181,36.5917,0,0,0,,,,0,0,0,
2016/09/23,48.79,49.70,48.64,49.70,1.71,3.5632,48.4480,48.0040,,,,-77.0000,-197.7000,0,0,0,66.2609,48.0574,52.4618,43.8046,41.8803,28,76,43.8046,41.8803,47.6532,0,0,0,,,,0,0,0,
2016/09/26,48.51,49.24,48.50,49.00,-0.70,-1.4085,48.7480,48.1540,,,,-139.0000,-185.7000,0,0,0,55.0610,43.3236,40.5772,42.7288,42.1631,62,68,42.7288,42.1631,43.8602,0,0,0,,,,0,0,0,
2016/09/29,49.19,51.40,49.10,50.50,1.50,3.0612,49.2180,48.4540,48.5750,,,-68.0000,-166.6000,0,0,0,68.6758,53.9316,66.0441,50.5006,44.9423,71,70,50.5006,44.9423,61.6172,0,0,0,,,,0,0,0,
2016/09/30,50.11,51.20,49.80,50.18,-0.32,-0.6337,49.4740,48.7070,48.5330,,,-128.0000,-155.5000,0,0,0,63.7328,51.6804,60.6112,53.8708,47.9184,60,53,53.8708,47.9184,65.7755,0,0,0,,,,0,0,0,
2016/10/03,49.75,50.49,49.50,49.76,-0.42,-0.837,49.8280,48.9180,48.4810,,,-206.0000,-152.2000,0,0,0,57.2436,48.7659,53.4805,53.7407,49.8592,78,59,53.7407,49.8592,61.5037,0,0,0,,,,0,0,0,
2016/10/04,50.00,51.78,49.90,51.50,1.74,3.4968,50.1880,49.3180,48.5560,,,-151.0000,-140.6000,0,0,0,71.6128,59.1719,81.7851,63.0888,54.2691,55,65,63.0888,54.2691,80.7283,0,0,0,,,,0,0,0,
2016/10/05,52.00,59.39,51.50,59.30,7.80,15.1456,52.2480,50.4980,49.0715,,,270.0000,-86.9000,0,0,0,89.8900,79.5169,99.2730,75.1502,61.2294,421,137,75.1502,61.2294,102.9917,0,0,0,,,,0,0,0,
2016/10/06,58.00,61.00,57.62,60.40,1.10,1.855,54.2280,51.7230,49.7165,,,583.0000,-8.0000,0,0,0,90.8833,80.9754,95.7112,82.0039,68.1543,313,185,82.0039,68.1543,109.7031,0,0,0,,,,0,0,0,
2016/10/07,59.90,63.08,59.81,62.05,1.65,2.7318,56.6020,53.0380,50.4115,,,796.0000,77.5000,0,0,0,92.2534,82.9607,92.9355,85.6478,73.9854,213,216,85.6478,73.9854,108.9724,0,0,0,,3.8988,,0,0,0,
2016/10/11,62.45,66.71,62.45,66.50,4.45,7.1716,59.9500,54.8890,51.3365,,,1127.0000,200.7000,0,0,0,94.7882,86.9634,98.8468,90.0474,79.3394,331,266,90.0474,79.3394,111.4635,0,0,0,,4.6117,,0,0,0,
2016/10/12,67.00,78.80,65.78,75.70,9.20,13.8346,64.7900,57.4890,52.7465,,,1554.0000,363.8000,0,0,0,97.1234,91.4782,89.5623,89.8857,82.8549,427,341,89.8857,82.8549,103.9474,0,0,0,,5.8516,,0,0,0,
2016/10/13,75.70,77.26,68.41,70.20,-5.50,-7.2655,66.9700,59.6090,53.8815,,,1231.0000,500.8000,0,0,0,73.4985,74.6236,70.6485,83.4733,83.0610,323,321,83.4733,83.0610,84.2979,0,0,0,,6.3176,,0,0,0,
2016/10/14,69.73,69.92,67.10,67.60,-2.60,-3.7037,68.4100,61.3190,54.8865,,,1075.0000,615.1000,0,0,0,64.5864,68.1484,61.7747,76.2405,80.7875,156,290,76.2405,80.7875,67.1464,0,0,0,,6.4032,,0,0,0,
2016/10/17,67.99,68.49,64.50,67.50,-0.10,-0.1479,69.5000,63.0510,55.8790,,,958.0000,723.7000,0,0,0,64.2270,67.9012,60.8997,71.1269,77.5673,117,270,71.1269,77.5673,58.2460,0,0,0,,6.3894,,0,0,0,
2016/10/18,68.50,71.98,67.90,71.44,3.94,5.837,70.4880,65.2190,57.0685,,,1116.0000,855.9000,0,0,0,71.6790,72.2309,73.0403,71.7647,75.6331,158,236,71.7647,75.6331,64.0278,0,0,0,,6.6201,,0,0,0,
2016/10/19,72.00,72.21,67.14,71.02,-0.42,-0.5879,69.5520,67.1710,58.2445,,,1010.0000,972.0000,0,0,0,69.8185,71.1154,63.2672,68.9322,73.3994,106,172,68.9322,73.3994,59.9977,0,0,0,,6.6919,,0,0,0,
2016/10/20,70.80,73.50,70.80,72.49,1.47,2.0698,70.0100,68.4900,59.4940,,,1106.0000,1055.6000,0,0,0,72.7853,72.7238,66.7720,68.2121,71.6703,96,126,68.2121,71.6703,61.2957,0,0,0,1.6730,6.7891,5.9526,0,0,0,
2016/10/21,74.01,74.50,70.50,71.50,-0.99,-1.3657,70.7900,69.6000,60.6615,,,955.0000,1092.8000,0,0,0,67.4287,69.8656,55.3517,63.9253,69.0887,151,125,63.9253,69.0887,53.5986,0,0,0,1.2101,6.7089,6.1039,0,0,0,
2016/10/24,72.00,72.00,67.50,68.00,-3.50,-4.8951,70.8900,70.1950,61.6165,,,730.0000,1086.2000,0,0,0,51.3853,60.6693,24.4755,50.7754,62.9842,225,147,50.7754,62.9842,26.3577,0,0,0,0.2986,6.2905,6.1412,0,0,0,
2016/10/25,68.10,69.25,66.51,69.25,1.25,1.8382,70.4520,70.4700,62.6795,,,813.0000,1054.8000,0,0,0,55.8839,62.5879,37.2257,46.2588,57.4091,83,132,46.2588,57.4091,23.9583,0,0,0,-0.2409,5.9906,6.1111,0,0,0,
2016/10/26,68.99,71.20,66.53,70.08,0.83,1.1986,70.2640,69.9080,63.6985,,,893.0000,988.7000,0,0,0,58.9133,63.8648,55.8000,49.4392,54.7525,80,127,49.4392,54.7525,38.8127,0,0,0,-0.5718,5.7537,6.0396,0,0,0,
2016/10/27,70.70,71.12,69.50,69.80,-0.28,-0.3995,69.7260,69.8680,64.7385,,,872.0000,952.8000,0,0,0,57.3199,63.0726,53.0000,50.6261,53.3770,21,112,50.6261,53.3770,45.1244,0,0,0,-0.8952,5.4801,5.9277,0,0,0,
2016/10/28,69.36,69.55,69.16,69.55,-0.25,-0.3582,69.3360,70.0630,65.6910,,,852.0000,930.5000,0,0,0,55.7056,62.3196,38.0476,46.4333,51.0624,20,85,46.4333,51.0624,37.1750,0,0,0,-1.1909,5.1834,5.7788,0,0,0,
2016/10/31,69.01,69.50,69.00,69.00,-0.55,-0.7908,69.5360,70.2130,66.6320,,,847.0000,919.4000,0,0,0,51.8506,60.5838,31.1640,41.3435,47.8228,5,41,41.3435,47.8228,28.3849,0,0,0,-1.4894,4.8480,5.5927,0,0,0,
2016/11/01,68.80,70.42,68.80,70.40,1.40,2.029,69.7660,70.1090,67.6640,,,876.0000,895.4000,0,0,0,60.2526,63.4136,48.6859,43.7910,46.4789,29,31,43.7910,46.4789,38.4152,0,0,0,-1.5217,4.6416,5.4025,0,0,0,
2016/11/02,71.00,72.30,70.00,70.01,-0.39,-0.554,69.7520,70.0080,68.5895,,,821.0000,876.5000,0,0,0,56.9316,62.0596,43.8048,43.7956,45.5844,55,26,43.7956,45.5844,40.2178,0,0,0,-1.6104,4.3959,5.2012,0,0,0,
2016/11/03,69.61,71.19,69.01,70.00,-0.01,-0.0143,69.7920,69.7590,69.1245,,,782.0000,844.1000,0,0,0,56.8353,62.0225,60.2763,49.2892,46.8193,39,29,49.2892,46.8193,54.2288,0,0,0,-1.6778,4.1525,4.9914,0,0,0,
