ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/11/30,77.00,100.99,77.00,100.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,86,,,,,0,,,,,,0,,,
2016/12/01,98.00,99.99,90.00,90.00,-10.00,-10.00,,,,,,-53.0000,,0,,,,,,,,53,,,,,0,,,,,,0,,,
2016/12/02,93.00,93.00,93.00,93.00,3.00,3.3333,,,,,,-53.0000,,0,,,,,,,,0,,,,,0,,,,,,0,,,
2016/12/05,93.00,93.00,87.50,87.50,-5.50,-5.914,,,,,,-59.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2016/12/06,91.00,93.68,90.00,91.00,3.50,4.00,92.3000,,,,,-28.0000,,0,0,,,,,,,31,35,,,,0,0,,,,,0,0,,
2016/12/07,91.00,91.00,90.50,90.50,-0.50,-0.5495,90.4000,,,,,-32.0000,,0,0,,,,,,,4,18,,,,0,0,,,,,0,0,,
2016/12/08,91.00,91.00,89.50,89.80,-0.70,-0.7735,90.3600,,,,,-41.0000,,0,0,,28.0172,,,,,9,10,,,,0,0,,,,,0,0,,
2016/12/09,91.09,91.30,89.90,89.90,0.10,0.1114,89.7400,,,,,-23.0000,,0,0,,28.3877,,,,,18,13,,,,0,0,,,,,0,0,,
2016/12/12,90.00,90.00,89.00,89.00,-0.90,-1.0011,90.0400,,,,,-25.0000,,0,0,,26.8931,,50.0208,50.0069,50.0023,2,12,50.0069,50.0023,50.0162,0,0,,,,,0,0,,
2016/12/13,88.00,92.40,88.00,92.40,3.40,3.8202,90.3200,91.3100,,,,-19.0000,-33.3000,0,0,0,40.9797,,39.2314,46.4151,48.8066,6,7,46.4151,48.8066,41.6321,0,0,0,,,,0,0,0,
2016/12/14,92.49,92.99,90.00,90.50,-1.90,-2.0563,90.3200,90.3600,,,,-30.0000,-36.3000,0,0,0,36.2905,,48.5437,47.1246,48.2459,11,9,47.1246,48.2459,44.8820,0,0,0,,,,0,0,0,
2016/12/15,89.50,89.99,86.01,89.99,-0.51,-0.5635,90.3580,90.3590,,,,-63.0000,-37.3000,0,0,0,35.0005,,51.8905,48.7132,48.4017,33,14,48.7132,48.4017,49.3363,0,0,0,,,,0,0,0,
2016/12/16,89.99,94.94,89.50,89.50,-0.49,-0.5445,90.2780,90.0090,,,,-115.0000,-43.5000,0,0,0,33.6225,32.7869,39.0817,45.5027,47.4354,52,20,45.5027,47.4354,41.6375,0,0,0,,,,0,0,0,
2016/12/19,88.52,91.50,88.52,91.50,2.00,2.2346,90.7780,90.4090,,,,-108.0000,-48.4000,0,0,0,44.3531,37.2740,61.4782,50.8279,48.5662,7,21,50.8279,48.5662,55.3512,0,0,0,,,,0,0,0,
2016/12/21,88.51,92.50,87.00,88.99,-2.51,-2.7432,90.0960,90.2080,,,,-160.0000,-61.6000,0,0,0,35.6691,34.1525,33.3707,45.0088,47.3804,52,31,45.0088,47.3804,40.2656,0,0,0,,,,0,0,0,
2016/12/22,88.99,88.99,82.18,82.18,-6.81,-7.6525,88.4320,89.3760,,,,-192.0000,-77.6000,0,0,0,21.7832,27.3686,0.0000,30.0059,41.5889,32,35,30.0059,41.5889,6.8398,0,0,0,,,,0,0,0,
2016/12/23,85.26,85.26,84.50,84.50,2.32,2.8231,87.3340,88.8460,,,,-188.0000,-92.3000,0,0,0,32.5222,32.3618,18.1818,26.0645,36.4141,4,29,26.0645,36.4141,5.3654,0,0,0,,,,0,0,0,
2016/12/26,88.00,88.94,88.00,88.94,4.44,5.2544,87.2220,88.7500,,,,-181.0000,-108.1000,0,0,0,48.6983,40.8512,52.9781,35.0357,35.9546,7,20,35.0357,35.9546,33.1978,0,0,0,,,,0,0,0,
2016/12/27,91.00,91.00,89.00,89.30,0.36,0.4048,86.7820,88.7800,,,,-121.0000,-117.7000,0,0,0,49.8676,41.5007,55.7994,41.9569,37.9554,60,31,41.9569,37.9554,49.9600,0,0,0,,,,0,0,0,
2016/12/28,92.63,100.99,92.00,92.50,3.20,3.5834,87.4840,88.7900,90.0500,,,-20.0000,-117.8000,0,0,0,59.6723,47.1299,54.8644,46.2594,40.7234,101,40,46.2594,40.7234,57.3315,0,0,0,,,,0,0,0,
2016/12/29,92.05,95.77,90.00,94.02,1.52,1.6432,89.8520,89.1420,89.7510,,,4.0000,-114.4000,0,0,0,63.7170,49.6410,62.9452,51.8214,44.4227,24,39,51.8214,44.4227,66.6186,0,0,0,,,,0,0,0,
2016/12/30,94.10,98.89,94.10,97.00,2.98,3.1695,92.3520,89.8430,90.1010,,,13.0000,-106.8000,0,0,0,70.6439,54.2847,78.7879,60.8102,49.8852,9,40,60.8102,49.8852,82.6602,0,0,0,,,,0,0,0,
2017/01/03,97.79,99.00,94.50,95.00,-2.00,-2.0619,93.5640,90.3930,90.2010,,,-83.0000,-103.6000,0,0,0,61.2295,50.8515,68.1552,63.2585,54.3430,96,58,63.2585,54.3430,81.0897,0,0,0,,,,0,0,0,
2017/01/04,94.20,102.10,89.00,102.10,7.10,7.4737,96.1240,91.4530,90.9310,,,-31.0000,-95.9000,0,0,0,75.2694,60.5210,100.0000,75.5057,61.3972,52,56,75.5057,61.3972,103.7226,0,0,0,,,,0,0,0,
2017/01/05,102.10,102.63,96.50,98.01,-4.09,-4.0059,97.2260,92.3550,91.2815,,,-192.0000,-99.1000,0,0,0,60.1998,53.8617,74.5174,75.1763,65.9902,161,68,75.1763,65.9902,93.5483,0,0,0,,,,0,0,0,
2017/01/06,98.49,99.00,95.02,98.00,-0.01,-0.0102,98.0220,93.9370,91.6565,,,-206.0000,-100.5000,0,0,0,60.1644,53.8459,68.3527,72.9017,68.2941,14,66,72.9017,68.2941,82.1171,0,0,0,,2.8912,,0,0,0,
2017/01/09,95.02,105.00,95.02,100.99,2.99,3.051,98.8200,95.5860,92.2160,,,-136.0000,-95.3000,0,0,0,67.0954,57.8771,74.9375,73.5803,70.0562,70,78,73.5803,70.0562,80.6287,0,0,0,,3.1840,,0,0,0,
2017/01/10,101.00,101.00,96.00,96.50,-4.49,-4.446,99.1200,96.3420,92.5460,,,-255.0000,-102.7000,0,0,0,51.0802,50.6325,46.8750,64.6786,68.2636,119,83,64.6786,68.2636,57.5084,0,0,0,,3.0190,,0,0,0,
2017/01/11,98.50,101.99,98.00,98.60,2.10,2.1762,98.4200,97.2720,93.0260,,,-94.0000,-100.0000,0,0,0,56.8595,53.5961,60.0000,63.1190,66.5488,161,105,63.1190,66.5488,56.2596,0,0,0,,3.0228,,0,0,0,
2017/01/12,99.10,115.77,99.10,113.39,14.79,15.00,101.4960,99.3610,94.0755,,,115.0000,-86.5000,0,0,0,78.4130,68.2434,91.1095,72.4492,68.5156,209,114,72.4492,68.5156,80.3164,0,0,0,,4.1711,,0,0,0,
2017/01/13,113.39,132.00,113.39,127.99,14.60,12.8759,107.4940,102.7580,95.9500,,,391.0000,-47.8000,0,0,0,86.4389,76.2996,90.6744,78.5243,71.8518,276,167,78.5243,71.8518,91.8692,0,0,0,,6.1880,,0,0,0,
2017/01/16,128.42,129.00,115.34,121.00,-6.99,-5.4614,111.4960,105.1580,97.5005,,,286.0000,-20.5000,0,0,0,71.2250,67.3728,74.4186,77.1557,73.6198,105,174,77.1557,73.6198,84.2276,0,0,0,,7.1400,,0,0,0,
