ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,20.20,20.35,20.10,20.35,0.00,0.00,,,,,,0.0000,,35761,,,,,,,,61,,,,,0,,,,,,35761,,,
2012/06/29,20.50,20.50,20.00,20.30,-0.05,-0.2457,,,,,,-71.0000,,35757,,,,,,,,71,,,,,0,,,,,,35757,,,
2012/07/02,20.50,20.50,20.40,20.40,0.10,0.4926,,,,,,-39.0000,,35757,,,,,,,,32,,,,,0,,,,,,35757,,,
2012/07/03,20.45,20.70,20.10,20.35,-0.05,-0.2451,,,,,,-137.0000,,35750,,,,,,,,98,,,,,0,,,,,,35750,,,
2012/07/04,20.50,20.50,20.30,20.30,-0.05,-0.2457,20.3400,,,,,-172.0000,,35748,35755,,,,,,,35,59,,,,0,0,,,,,35748,35755,,
2012/07/05,20.50,20.50,20.15,20.35,0.05,0.2463,20.3400,,,,,-114.0000,,35746,35752,,,,,,,58,58,,,,0,0,,,,,35746,35752,,
2012/07/06,20.40,20.40,20.15,20.35,0.00,0.00,20.3500,,,,,-114.0000,,35744,35749,,50.0000,,,,,11,46,,,,0,0,,,,,35744,35749,,
2012/07/09,20.15,20.35,20.15,20.30,-0.05,-0.2457,20.3300,,,,,-131.0000,,35742,35746,,41.6667,,,,,17,43,,,,0,0,,,,,35742,35746,,
2012/07/10,20.10,20.30,20.00,20.20,-0.10,-0.4926,20.3000,,,,,-271.0000,,35730,35742,,29.7619,,28.5714,42.8571,47.6190,140,52,42.8571,47.6190,33.3333,0,0,,,,,35730,35742,,
2012/07/11,20.15,20.20,20.15,20.20,0.00,0.00,20.2800,20.3100,,,,-271.0000,-132.0000,35725,35738,35746,29.7619,,28.5714,38.0952,44.4444,42,53,38.0952,44.4444,25.3968,0,0,0,,,,35725,35738,35746,
2012/07/12,20.20,20.20,20.00,20.10,-0.10,-0.495,20.2300,20.2850,,,,-339.0000,-165.9000,35716,35732,35742,21.0864,,14.2857,30.1587,39.6825,68,55,30.1587,39.6825,11.1111,0,0,0,,,,35716,35732,35742,
