ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/03/15,32.00,45.00,32.00,45.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,90,,,,,0,,,,,,0,,,
2017/03/16,42.90,49.80,42.75,49.80,4.80,10.6667,,,,,,200.0000,,0,,,,,,,,200,,,,,0,,,,,,0,,,
2017/03/17,49.80,88.63,49.60,83.00,33.20,66.6667,,,,,,478.0000,,0,,,,,,,,278,,,,,0,,,,,,0,,,
2017/03/20,80.75,85.00,60.00,70.00,-13.00,-15.6627,,,,,,169.0000,,0,,,,,,,,309,,,,,0,,,,,,0,,,
2017/03/21,68.60,70.00,59.10,60.88,-9.12,-13.0286,61.7360,,,,,4.0000,,0,0,,,,,,,165,208,,,,0,0,,,,,0,0,,
2017/03/22,59.10,59.10,48.00,52.50,-8.38,-13.7648,63.2360,,,,,-91.0000,,0,0,,,,,,,95,209,,,,0,0,,,,,0,0,,
2017/03/23,52.50,56.00,50.50,52.49,-0.01,-0.019,63.7740,,,,,-207.0000,,0,0,,55.4664,,,,,116,192,,,,0,0,,,,,0,0,,
2017/03/24,50.50,50.50,46.50,47.88,-4.61,-8.7826,56.7500,,,,,-303.0000,,0,0,,51.3222,,,,,96,156,,,,0,0,,,,,0,0,,
2017/03/27,46.40,47.00,43.89,45.30,-2.58,-5.3885,51.8100,,,,,-354.0000,,0,0,,48.8701,,23.4858,41.1619,47.0540,51,104,41.1619,47.0540,29.3778,0,0,,,,,0,0,,
2017/03/28,45.30,49.40,45.30,48.00,2.70,5.9603,49.2340,55.4850,,,,-291.0000,-39.5000,0,0,0,51.7643,,11.4429,31.2556,41.7878,63,84,31.2556,41.7878,10.1911,0,0,0,,,,0,0,0,
2017/03/29,47.00,47.00,44.52,44.60,-3.40,-7.0833,47.6540,55.4450,,,,-357.0000,-75.2000,0,0,0,47.6854,,1.5869,21.3660,34.9806,66,78,21.3660,34.9806,-5.8630,0,0,0,,,,0,0,0,
2017/03/30,44.60,47.66,44.60,47.00,2.40,5.3812,46.5560,55.1650,,,,-331.0000,-128.3000,0,0,0,50.9587,,7.5651,16.7657,28.9090,26,60,16.7657,28.9090,-7.5208,0,0,0,,,,0,0,0,
2017/03/31,45.00,45.19,44.80,45.15,-1.85,-3.9362,46.0100,51.3800,,,,-365.0000,-212.6000,0,0,0,48.1708,50.0872,4.8257,12.7857,23.5345,34,48,12.7857,23.5345,-8.7119,0,0,0,,,,0,0,0,
2017/04/05,45.80,47.19,45.80,47.00,1.85,4.0975,46.3500,49.0800,,,,-340.0000,-263.5000,0,0,0,51.3638,51.2310,20.4471,15.3395,20.8029,25,42,15.3395,20.8029,4.4128,0,0,0,,,,0,0,0,
2017/04/06,47.90,54.73,47.50,54.73,7.73,16.4468,47.6960,48.4650,,,,-271.0000,-291.0000,0,0,0,62.8421,55.8434,89.5128,40.0639,27.2232,69,44,40.0639,27.2232,65.7454,0,0,0,,,,0,0,0,
2017/04/07,54.72,55.15,50.00,53.00,-1.73,-3.161,49.3760,48.5150,,,,-396.0000,-321.5000,0,0,0,59.0965,54.5831,80.9059,53.6779,36.0415,125,55,53.6779,36.0415,88.9508,0,0,0,,,,0,0,0,
2017/04/10,52.00,53.78,48.50,49.00,-4.00,-7.5472,49.7760,48.1660,,,,-444.0000,-345.2000,0,0,0,50.7102,51.6431,45.3819,50.9126,40.9985,48,60,50.9126,40.9985,70.7407,0,0,0,,,,0,0,0,
2017/04/11,49.50,49.50,46.68,47.00,-2.00,-4.0816,50.1460,48.0780,,,,-455.0000,-360.4000,0,0,0,46.7313,50.1691,23.3302,41.7184,41.2385,11,55,41.7184,41.2385,42.6784,0,0,0,,,,0,0,0,
2017/04/12,48.00,48.05,47.00,47.00,0.00,0.00,50.1460,48.2480,,,,-455.0000,-370.5000,0,0,0,46.7313,50.1691,23.3302,35.5890,39.3553,2,51,35.5890,39.3553,28.0564,0,0,0,,,,0,0,0,
2017/04/13,45.88,47.00,44.66,44.66,-2.34,-4.9787,48.1320,47.9140,51.6995,,,-505.0000,-391.9000,0,0,0,41.2750,48.2516,0.5687,23.9156,34.2087,50,47,23.9156,34.2087,3.3293,0,0,0,,,,0,0,0,
2017/04/14,45.67,46.50,45.67,46.50,1.84,4.12,46.8320,48.1040,51.7745,,,-498.0000,-406.0000,0,0,0,47.1028,49.8944,17.5405,21.7906,30.0694,7,23,21.7906,30.0694,5.2330,0,0,0,,,,0,0,0,
