ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/03/29,54.80,172.50,54.80,160.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,246,,,,,0,,,,,,0,,,
2017/03/30,152.00,305.00,144.00,285.00,125.00,78.125,,,,,,531.0000,,0,,,,,,,,531,,,,,0,,,,,,0,,,
2017/03/31,285.00,300.00,149.01,194.99,-90.01,-31.5825,,,,,,-192.0000,,0,,,,,,,,723,,,,,0,,,,,,0,,,
2017/04/05,194.99,195.00,140.01,145.00,-49.99,-25.6372,,,,,,-564.0000,,0,,,,,,,,372,,,,,0,,,,,,0,,,
2017/04/06,147.35,147.35,100.00,115.00,-30.00,-20.6897,179.9980,,,,,-1119.0000,,0,0,,,,,,,555,485,,,,0,0,,,,,0,0,,
2017/04/07,114.01,119.99,105.00,108.00,-7.00,-6.087,169.5980,,,,,-1275.0000,,0,0,,,,,,,156,467,,,,0,0,,,,,0,0,,
2017/04/10,110.99,110.99,100.01,105.39,-2.61,-2.4167,133.6760,,,,,-1424.0000,,0,0,,41.0361,,,,,149,391,,,,0,0,,,,,0,0,,
2017/04/11,107.36,107.49,104.60,106.39,1.00,0.9489,115.9560,,,,,-1298.0000,,0,0,,41.2675,,,,,126,271,,,,0,0,,,,,0,0,,
2017/04/12,104.00,105.00,99.01,99.01,-7.38,-6.9367,106.7580,,,,,-1407.0000,,0,0,,39.8815,,17.6699,39.2233,46.4078,109,219,39.2233,46.4078,24.8543,0,0,,,,,0,0,,
2017/04/13,99.00,101.00,99.00,100.80,1.79,1.8079,103.9180,141.9580,,,,-1274.0000,-802.2000,0,0,0,40.4635,,0.8738,26.4401,39.7519,133,134,26.4401,39.7519,-0.1834,0,0,0,,,,0,0,0,
2017/04/14,100.00,100.90,99.01,100.00,-0.80,-0.7937,102.3180,135.9580,,,,-1327.0000,-934.9000,0,0,0,40.2545,,0.4975,17.7926,32.4321,53,114,17.7926,32.4321,-11.4865,0,0,0,,,,0,0,0,
2017/04/17,100.99,100.99,99.60,100.00,0.00,0.00,101.2400,117.4580,,,,-1327.0000,-1120.7000,0,0,0,40.2545,,1.0417,12.2089,25.6911,31,90,12.2089,25.6911,-14.7553,0,0,0,,,,0,0,0,
2017/04/18,100.00,100.00,98.01,99.00,-1.00,-1.00,99.7620,107.8590,,,,-1372.0000,-1238.7000,0,0,0,39.8837,40.3658,2.0065,8.8081,20.0634,45,74,8.8081,20.0634,-13.7025,0,0,0,,,,0,0,0,
2017/04/19,98.51,99.00,94.50,96.99,-2.01,-2.0303,99.3580,103.0580,,,,-1426.0000,-1324.9000,0,0,0,39.0169,40.0881,9.7685,9.1283,16.4184,54,63,9.1283,16.4184,-5.4519,0,0,0,,,,0,0,0,
2017/04/20,96.99,96.99,93.11,93.50,-3.49,-3.5983,97.8980,100.9080,,,,-1431.0000,-1356.1000,0,0,0,37.3266,39.5725,2.1812,6.8126,13.2164,5,37,6.8126,13.2164,-5.9951,0,0,0,,,,0,0,0,
2017/04/21,92.01,94.21,89.50,91.99,-1.51,-1.615,96.2960,99.3070,,,,-1465.0000,-1375.1000,0,0,0,36.5054,39.3337,13.8410,9.1554,11.8628,34,33,9.1554,11.8628,3.7407,0,0,0,,,,0,0,0,
2017/04/24,90.49,90.49,89.51,90.30,-1.69,-1.8372,94.3560,97.7980,,,,-1496.0000,-1382.3000,0,0,0,35.4578,39.0461,5.1613,7.8240,10.5165,31,33,7.8240,10.5165,2.4391,0,0,0,,,,0,0,0,
2017/04/25,90.06,99.99,90.06,96.50,6.20,6.866,93.8560,96.8090,,,,-1357.0000,-1388.2000,0,0,0,42.6972,40.7794,60.8696,25.5059,15.5130,139,52,25.5059,15.5130,45.4917,0,0,0,,,,0,0,0,
2017/04/26,98.42,98.42,92.00,94.50,-2.00,-2.0725,93.3580,96.3580,,,,-1418.0000,-1389.3000,0,0,0,40.9205,40.3754,43.5161,31.5093,20.8451,61,54,31.5093,20.8451,52.8377,0,0,0,,,,0,0,0,
2017/04/27,93.51,103.14,93.51,100.40,5.90,6.2434,94.7380,96.3180,119.1380,,,-1370.0000,-1398.9000,0,0,0,48.5058,42.2178,79.9120,47.6435,29.7779,48,62,47.6435,29.7779,83.3748,0,0,0,,,,0,0,0,
2017/04/28,100.99,101.00,98.00,98.99,-1.41,-1.4044,96.1380,96.2170,116.0875,,,-1403.0000,-1406.5000,0,0,0,46.7833,41.8804,69.5748,54.9539,38.1699,33,62,54.9539,38.1699,88.5220,0,0,0,,,,0,0,0,
2017/05/02,95.36,98.99,95.36,96.40,-2.59,-2.6164,97.3580,95.8570,106.6575,,,-1436.0000,-1417.4000,0,0,0,43.3870,41.2203,50.5865,53.4981,43.2793,33,62,53.4981,43.2793,73.9358,0,0,0,,,,0,0,0,
2017/05/03,96.00,96.60,95.51,96.50,0.10,0.1037,97.3580,95.6070,101.7330,,,-1427.0000,-1422.9000,0,0,0,43.5767,41.2593,51.3196,52.7720,46.4435,9,36,52.7720,46.4435,65.4288,0,0,0,,,,0,0,0,
2017/05/04,100.00,100.00,95.00,95.90,-0.60,-0.6218,97.6380,95.4980,99.2780,,,-1450.0000,-1425.3000,0,0,0,42.5497,41.0809,46.9208,50.8216,47.9029,23,29,50.8216,47.9029,56.6590,0,0,0,,,,0,0,0,
2017/05/05,99.00,99.00,97.00,97.50,1.60,1.6684,97.0580,95.8980,98.4030,,,-1441.0000,-1426.3000,0,0,0,46.5786,41.8128,58.6207,53.4213,49.7424,9,21,53.4213,49.7424,60.7792,0,0,0,,,,0,0,0,
2017/05/08,96.00,96.10,95.00,96.10,-1.40,-1.4359,96.4800,96.3090,97.8080,,,-1454.0000,-1425.2000,0,0,0,43.3841,41.3228,46.1774,51.0066,50.1638,13,17,51.0066,50.1638,52.6924,0,0,0,,-13.2807,,0,0,0,
