ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/10/23,26.30,30.10,25.00,30.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,405,,,,,0,,,,,,0,,,
2017/10/24,29.70,29.90,27.00,28.10,-1.90,-6.3333,,,,,,-299.0000,,0,,,,,,,,299,,,,,0,,,,,,0,,,
2017/10/25,28.30,28.30,27.00,27.00,-1.10,-3.9146,,,,,,-355.0000,,0,,,,,,,,56,,,,,0,,,,,,0,,,
2017/10/26,27.30,27.30,25.10,25.80,-1.20,-4.4444,,,,,,-403.0000,,0,,,,,,,,48,,,,,0,,,,,,0,,,
2017/10/27,26.10,26.10,24.81,25.40,-0.40,-1.5504,27.2600,,,,,-439.0000,,0,0,,,,,,,36,168,,,,0,0,,,,,0,0,,
2017/10/30,25.40,25.50,25.27,25.27,-0.13,-0.5118,26.3140,,,,,-453.0000,,0,0,,,,,,,14,90,,,,0,0,,,,,0,0,,
2017/10/31,25.49,25.49,25.03,25.14,-0.13,-0.5144,25.7220,,,,,-492.0000,,0,0,,0.0000,,,,,39,38,,,,0,0,,,,,0,0,,
2017/11/01,25.09,25.10,23.01,23.30,-1.84,-7.319,24.9820,,,,,-581.0000,,0,0,,0.0000,,,,,89,45,,,,0,0,,,,,0,0,,
2017/11/02,23.01,23.20,20.00,21.20,-2.10,-9.0129,24.0620,,,,,-775.0000,,0,0,,0.0000,,11.8812,37.2937,45.7646,194,74,37.2937,45.7646,20.3520,0,0,,,,,0,0,,
2017/11/03,21.20,21.20,19.90,20.00,-1.20,-5.6604,22.9820,25.1210,,,,-811.0000,-460.8000,0,0,0,0.0000,,1.0000,25.1958,38.9083,36,74,25.1958,38.9083,-2.2292,0,0,0,,,,0,0,0,
2017/11/06,19.81,20.10,19.38,19.92,-0.08,-0.40,21.9120,24.1130,,,,-865.0000,-547.3000,0,0,0,0.0000,,6.0538,18.8152,32.2106,54,82,18.8152,32.2106,-7.9757,0,0,0,,,,0,0,0,
2017/11/07,20.74,22.31,20.74,21.60,1.68,8.4337,21.2040,23.4630,,,,-774.0000,-594.8000,0,0,0,25.3174,,28.0303,21.8869,28.7694,91,92,21.8869,28.7694,8.1219,0,0,0,,,,0,0,0,
2017/11/08,22.00,23.60,22.00,23.00,1.40,6.4815,21.1440,23.0630,,,,-697.0000,-629.0000,0,0,0,40.4053,23.4043,53.8690,32.5476,30.0288,77,90,32.5476,30.0288,37.5852,0,0,0,,,,0,0,0,
2017/11/09,23.50,23.50,22.49,22.60,-0.40,-1.7391,21.4240,22.7430,,,,-765.0000,-665.2000,0,0,0,37.7878,22.6531,52.6144,39.2365,33.0980,68,65,39.2365,33.0980,51.5135,0,0,0,,,,0,0,0,
2017/11/10,22.99,23.57,22.99,23.33,0.73,3.2301,22.0900,22.5360,,,,-708.0000,-692.1000,0,0,0,45.5171,27.2985,64.6481,47.7071,37.9677,57,69,47.7071,37.9677,67.1858,0,0,0,,,,0,0,0,
2017/11/13,23.05,23.05,23.05,23.05,-0.28,-1.2002,22.7160,22.3140,,,,-713.0000,-718.1000,0,0,0,43.0550,26.6293,64.1608,53.1916,43.0423,5,59,53.1916,43.0423,73.4903,0,0,0,,,,0,0,0,
2017/11/14,22.55,22.60,21.60,21.86,-1.19,-5.1627,22.7680,21.9860,,,,-748.0000,-743.7000,0,0,0,33.7457,23.9115,58.7678,55.0504,47.0450,35,48,55.0504,47.0450,71.0610,0,0,0,,,,0,0,0,
2017/11/15,22.00,22.00,20.90,21.00,-0.86,-3.9341,22.3680,21.7560,,,,-767.0000,-762.3000,0,0,0,28.4172,22.1309,38.3886,49.4964,47.8622,19,36,49.4964,47.8622,52.7650,0,0,0,,,,0,0,0,
2017/11/16,21.50,23.00,21.50,22.57,1.57,7.4762,22.3620,21.8930,,,,-720.0000,-756.8000,0,0,0,46.8148,32.1880,75.5924,58.1951,51.3065,47,32,58.1951,51.3065,71.9724,0,0,0,,,,0,0,0,
2017/11/17,22.87,23.50,22.30,23.50,0.93,4.1205,22.3960,22.2430,23.6820,,,-695.0000,-745.2000,0,0,0,55.0304,37.4117,96.5035,70.9646,57.8592,25,26,70.9646,57.8592,97.1754,0,0,0,,,,0,0,0,
2017/11/20,23.09,23.09,21.60,21.98,-1.52,-6.4681,22.1820,22.4490,23.2810,,,-734.0000,-732.1000,0,0,0,42.2348,32.8938,40.0000,60.6430,58.7871,39,33,60.6430,58.7871,64.3549,0,0,0,,,,0,0,0,
2017/11/21,21.09,21.50,21.09,21.10,-0.88,-4.0036,22.0300,22.3990,22.9310,,,-741.0000,-728.8000,0,0,0,36.3611,30.5628,7.4906,42.9256,53.4999,7,27,42.9256,53.4999,21.7768,0,0,0,,,,0,0,0,
2017/11/22,21.99,21.99,21.50,21.50,0.40,1.8957,22.1300,22.2490,22.6560,,,-738.0000,-732.9000,0,0,0,40.8482,32.9200,22.4719,36.1077,47.7025,3,24,36.1077,47.7025,12.9180,0,0,0,,,,0,0,0,
2017/11/23,21.09,21.50,21.09,21.20,-0.30,-1.3953,21.8560,22.1090,22.4260,,,-773.0000,-733.7000,0,0,0,38.4107,32.0303,11.5385,27.9179,41.1077,35,21,27.9179,41.1077,1.5385,0,0,0,,,,0,0,0,
2017/11/24,21.75,22.60,21.50,22.21,1.01,4.7642,21.5980,21.9970,22.2665,,,-760.0000,-738.9000,0,0,0,50.3742,38.1673,50.3846,35.4068,39.2074,13,19,35.4068,39.2074,27.8057,0,0,0,,,,0,0,0,
2017/11/28,22.93,22.95,22.50,22.50,0.29,1.3057,21.7020,21.9420,22.1280,,,-743.0000,-741.9000,0,0,0,53.4873,39.8680,61.5385,44.1174,40.8441,17,15,44.1174,40.8441,50.6640,0,0,0,,-0.9754,,0,0,0,
2017/11/29,23.10,23.10,23.10,23.10,0.60,2.6667,22.1020,22.0660,22.0260,,,-741.0000,-741.2000,0,0,0,59.7551,43.3827,83.4025,57.2124,46.3002,2,14,57.2124,46.3002,79.0369,0,0,0,,-0.8386,,0,0,0,
2017/12/01,23.10,23.49,23.00,23.49,0.39,1.6883,22.5000,22.3150,22.0355,,,-694.0000,-733.9000,0,0,0,63.5829,45.6358,99.5851,71.3366,54.6457,47,22,71.3366,54.6457,104.7186,0,0,0,,-0.6907,,0,0,0,
2017/12/04,23.60,24.04,23.10,23.98,0.49,2.086,23.0560,22.4560,22.1745,,,-617.0000,-723.6000,0,0,0,68.1502,48.4478,97.9661,80.2131,63.1681,77,31,80.2131,63.1681,114.3031,0,0,0,,-0.5279,,0,0,0,
2017/12/05,23.99,24.10,23.00,23.57,-0.41,-1.7098,23.3280,22.4630,22.3530,,,-677.0000,-721.8000,0,0,0,60.5280,46.2635,82.3920,80.9394,69.0919,60,40,80.9394,69.0919,104.6345,0,0,0,,-0.4270,,0,0,0,
2017/12/06,23.10,23.54,22.14,22.14,-1.43,-6.067,23.2560,22.4790,22.4640,,,-715.0000,-719.9000,0,0,0,41.2287,39.4893,34.8837,65.5875,67.9238,38,44,65.5875,67.9238,60.9150,0,0,0,,-0.4572,,0,0,0,
2017/12/07,22.05,22.30,21.14,21.50,-0.64,-2.8907,22.9360,22.5190,22.4590,,,-750.0000,-720.8000,0,0,0,35.2008,36.8545,13.6213,48.2654,61.3710,35,51,48.2654,61.3710,22.0543,0,0,0,,-0.5267,,0,0,0,
2017/12/08,22.15,22.15,21.86,21.86,0.36,1.6744,22.6100,22.5550,22.4020,,,-745.0000,-721.5000,0,0,0,41.0213,39.3382,24.3243,40.2851,54.3424,5,43,40.2851,54.3424,12.1705,0,0,0,,-0.5464,,0,0,0,
