ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/11/13,142.00,152.63,118.83,138.85,0.00,0.00,,,,,,0.0000,,0,,,,,,,,1262,,,,,0,,,,,,0,,,
2017/11/14,138.40,138.88,126.00,129.00,-9.85,-7.094,,,,,,-505.0000,,0,,,,,,,,505,,,,,0,,,,,,0,,,
2017/11/15,130.00,132.50,122.50,124.00,-5.00,-3.876,,,,,,-993.0000,,0,,,,,,,,488,,,,,0,,,,,,0,,,
2017/11/16,123.00,127.00,118.00,126.99,2.99,2.4113,,,,,,-424.0000,,0,,,,,,,,569,,,,,0,,,,,,0,,,
2017/11/17,126.99,133.99,125.00,130.00,3.01,2.3703,129.7680,,,,,45.0000,,0,0,,,,,,,469,658,,,,0,0,,,,,0,0,,
2017/11/20,130.00,135.57,129.01,134.00,4.00,3.0769,128.7980,,,,,319.0000,,0,0,,,,,,,274,461,,,,0,0,,,,,0,0,,
2017/11/21,133.00,151.99,133.00,145.00,11.00,8.209,131.9980,,,,,892.0000,,0,0,,58.5774,,,,,573,474,,,,0,0,,,,,0,0,,
2017/11/22,143.10,148.84,142.00,142.50,-2.50,-1.7241,135.6980,,,,,646.0000,,0,0,,54.0541,,,,,246,426,,,,0,0,,,,,0,0,,
2017/11/23,143.63,145.02,139.00,141.00,-1.50,-1.0526,138.5000,,,,,511.0000,,0,0,,51.2070,,66.4164,55.4721,51.8240,135,339,55.4721,51.8240,62.7683,0,0,,,,,0,0,,
2017/11/24,145.00,145.00,138.00,139.00,-2.00,-1.4184,140.3000,135.0340,,,,419.0000,91.0000,0,0,0,47.2271,,61.7829,57.5757,53.7413,92,264,57.5757,53.7413,65.2446,0,0,0,,,,0,0,0,
2017/11/27,140.00,140.83,135.00,137.00,-2.00,-1.4388,140.9000,134.8490,,,,314.0000,122.4000,0,0,0,43.1981,,55.8988,57.0167,54.8331,105,230,57.0167,54.8331,61.3840,0,0,0,,,,0,0,0,
2017/11/28,136.00,140.00,135.01,136.00,-1.00,-0.7299,139.1000,135.5490,,,,183.0000,191.2000,0,0,0,41.0947,,52.9568,55.6634,55.1099,131,141,55.6634,55.1099,56.7705,0,0,0,,,,0,0,0,
2017/11/29,136.80,140.99,135.50,138.00,2.00,1.4706,138.2000,136.9490,,,,271.0000,317.6000,0,0,0,47.2583,49.0928,48.1660,53.1643,54.4613,88,110,53.1643,54.4613,50.5701,0,0,0,,,,0,0,0,
2017/11/30,137.00,140.99,136.00,140.99,2.99,2.1667,138.1980,138.3490,,,,418.0000,401.8000,0,0,0,55.5941,52.4064,52.1323,52.8203,53.9143,147,112,52.8203,53.9143,50.6322,0,0,0,,,,0,0,0,
