ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/11/30,142.00,157.89,142.00,145.49,0.00,0.00,,,,,,0.0000,,0,,,,,,,,364,,,,,0,,,,,,0,,,
2017/12/01,140.01,141.04,133.51,141.04,-4.45,-3.0586,,,,,,-14.0000,,0,,,,,,,,14,,,,,0,,,,,,0,,,
2017/12/04,141.04,141.04,137.75,139.00,-2.04,-1.4464,,,,,,-26.0000,,0,,,,,,,,12,,,,,0,,,,,,0,,,
2017/12/05,142.09,142.10,139.00,139.00,0.00,0.00,,,,,,-26.0000,,0,,,,,,,,5,,,,,0,,,,,,0,,,
2017/12/06,143.67,149.46,138.01,145.25,6.25,4.4964,141.9560,,,,,-4.0000,,0,0,,,,,,,22,83,,,,0,0,,,,,0,0,,
2017/12/07,141.00,143.32,141.00,143.32,-1.93,-1.3287,141.5220,,,,,-6.0000,,0,0,,,,,,,2,11,,,,0,0,,,,,0,0,,
2017/12/08,145.25,145.25,145.25,145.25,1.93,1.3466,142.3640,,,,,-5.0000,,0,0,,49.2771,,,,,1,8,,,,0,0,,,,,0,0,,
2017/12/11,145.25,145.25,140.01,142.00,-3.25,-2.2375,142.9640,,,,,-15.0000,,0,0,,39.9024,,,,,10,8,,,,0,0,,,,,0,0,,
2017/12/12,145.00,145.00,140.50,141.50,-0.50,-0.3521,143.4640,,,,,-27.0000,,0,0,,38.5485,,32.7728,44.2576,48.0859,12,9,44.2576,48.0859,36.6010,0,0,,,,,0,0,,
2017/12/13,138.01,142.09,138.01,140.00,-1.50,-1.0601,142.4140,142.1850,,,,-34.0000,-15.7000,0,0,0,34.3524,,40.6897,43.0683,46.4133,7,6,43.0683,46.4133,36.3782,0,0,0,,,,0,0,0,
2017/12/14,137.01,140.00,137.01,140.00,0.00,0.00,141.7500,141.6360,,,,-34.0000,-19.1000,0,0,0,34.3524,,24.0161,36.7175,43.1814,2,6,36.7175,43.1814,23.7898,0,0,0,,,,0,0,0,
2017/12/15,137.01,142.00,137.01,142.00,2.00,1.4286,141.1000,141.7320,,,,-31.0000,-20.8000,0,0,0,45.7008,,40.0803,37.8385,41.4004,3,6,37.8385,41.4004,30.7146,0,0,0,,,,0,0,0,
2017/12/18,137.06,142.00,137.06,142.00,0.00,0.00,141.1000,142.0320,,,,-31.0000,-21.3000,0,0,0,45.7008,42.6834,40.0803,38.5858,40.4622,4,5,38.5858,40.4622,34.8329,0,0,0,,,,0,0,0,
2017/12/19,144.20,145.25,138.00,145.25,3.25,2.2887,141.8500,142.6570,,,,-18.0000,-20.5000,0,0,0,61.3394,50.1012,100.0000,59.0572,46.6605,13,5,59.0572,46.6605,83.8505,0,0,0,,,,0,0,0,
