ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/05/09,82.00,98.23,82.00,88.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,247,,,,,0,,,,,,0,,,
2018/05/10,85.50,90.00,80.01,87.00,-1.00,-1.1364,,,,,,-232.0000,,0,,,,,,,,232,,,,,0,,,,,,0,,,
2018/05/11,85.11,89.00,85.11,87.70,0.70,0.8046,,,,,,-43.0000,,0,,,,,,,,189,,,,,0,,,,,,0,,,
2018/05/14,88.00,88.99,80.01,82.00,-5.70,-6.4994,,,,,,-186.0000,,0,,,,,,,,143,,,,,0,,,,,,0,,,
2018/05/15,80.01,82.00,79.00,81.00,-1.00,-1.2195,85.1400,,,,,-236.0000,,0,0,,,,,,,50,172,,,,0,0,,,,,0,0,,
2018/05/16,81.00,81.00,77.51,78.50,-2.50,-3.0864,83.2400,,,,,-314.0000,,0,0,,,,,,,78,138,,,,0,0,,,,,0,0,,
2018/05/17,79.00,79.00,73.00,74.50,-4.00,-5.0955,80.7400,,,,,-626.0000,,0,0,,4.6980,,,,,312,154,,,,0,0,,,,,0,0,,
2018/05/18,74.50,75.00,71.00,71.50,-3.00,-4.0268,77.5000,,,,,-699.0000,,0,0,,3.7838,,,,,73,131,,,,0,0,,,,,0,0,,
2018/05/21,72.49,76.00,70.51,76.00,4.50,6.2937,76.3000,,,,,-593.0000,,0,0,,28.7430,,19.8052,39.9351,46.6450,106,123,39.9351,46.6450,26.5152,0,0,,,,,0,0,,
2018/05/22,74.75,75.24,74.00,74.50,-1.50,-1.9737,75.0000,80.0700,,,,-656.0000,-358.5000,0,0,0,26.0409,,20.4720,33.4474,42.2458,63,126,33.4474,42.2458,15.8505,0,0,0,,,,0,0,0,
2018/05/23,75.00,78.50,74.81,76.00,1.50,2.0134,74.5000,78.8700,,,,-467.0000,-405.2000,0,0,0,33.5384,,29.6917,32.1955,38.8957,189,148,32.1955,38.8957,18.7951,0,0,0,,,,0,0,0,
2018/05/24,75.29,76.30,75.00,75.80,-0.20,-0.2632,74.7600,77.7500,,,,-636.0000,-445.6000,0,0,0,33.0031,,28.6255,31.0055,36.2656,169,120,31.0055,36.2656,20.4853,0,0,0,,,,0,0,0,
2018/05/25,75.80,76.00,75.20,75.20,-0.60,-0.7916,75.5000,76.5000,,,,-704.0000,-511.7000,0,0,0,31.2098,25.5725,40.8181,34.2764,35.6026,68,119,34.2764,35.6026,31.6240,0,0,0,,,,0,0,0,
2018/05/28,75.50,76.04,75.40,75.80,0.60,0.7979,75.4600,75.8800,,,,-617.0000,-554.8000,0,0,0,35.4207,27.3866,50.4290,39.6606,36.9552,87,115,39.6606,36.9552,45.0713,0,0,0,,,,0,0,0,
2018/05/29,76.20,90.29,76.20,90.00,14.20,18.7335,78.5600,76.7800,,,,-185.0000,-549.7000,0,0,0,76.4177,55.4324,98.5339,59.2850,44.3985,432,189,59.2850,44.3985,89.0581,0,0,0,,,,0,0,0,
2018/05/30,92.00,96.50,86.70,93.00,3.00,3.3333,81.9600,78.2300,,,,514.0000,-466.9000,0,0,0,79.6869,59.0753,86.5333,68.3678,52.3882,699,291,68.3678,52.3882,100.3268,0,0,0,,,,0,0,0,
2018/05/31,95.00,100.50,92.01,100.33,7.33,7.8817,86.8660,80.8130,,,,1126.0000,-291.7000,0,0,0,85.5574,66.3967,99.4331,78.7229,61.1665,612,379,78.7229,61.1665,113.8358,0,0,0,,,,0,0,0,
2018/06/01,100.33,107.89,99.50,105.30,4.97,4.9537,92.8860,84.1930,,,,1842.0000,-37.6000,0,0,0,88.3069,70.3237,92.3576,83.2678,68.5336,716,509,83.2678,68.5336,112.7363,0,0,0,,,,0,0,0,
2018/06/04,107.00,107.00,93.00,95.00,-10.30,-9.7816,96.7260,86.0930,,,,1437.0000,165.4000,0,0,0,59.9320,55.6267,61.0339,75.8565,70.9745,405,572,75.8565,70.9745,85.6204,0,0,0,,,,0,0,0,
2018/06/05,96.79,100.49,94.03,100.00,5.00,5.2632,98.7260,88.6430,84.3565,,,1773.0000,408.3000,0,0,0,66.2494,60.0483,76.0109,75.9080,72.6190,336,553,75.9080,72.6190,82.4859,0,0,0,,,,0,0,0,
2018/06/06,100.00,102.00,96.00,97.82,-2.18,-2.18,99.6900,90.8250,84.8475,,,1617.0000,616.7000,0,0,0,61.2009,57.3311,69.1955,73.6705,72.9695,156,445,73.6705,72.9695,75.0724,0,0,0,,,,0,0,0,
2018/06/07,100.00,100.50,97.21,100.31,2.49,2.5455,99.6860,93.2760,85.5130,,,1877.0000,868.0000,0,0,0,64.8702,59.6085,76.6697,74.6702,73.5364,260,374,74.6702,73.5364,76.9379,0,0,0,,,,0,0,0,
2018/06/08,100.32,100.33,94.71,98.31,-2.00,-1.9938,98.2880,95.5870,86.0435,,,1769.0000,1115.3000,0,0,0,59.4510,56.9453,69.7696,73.0367,73.3698,108,253,73.0367,73.3698,72.3704,0,0,0,,,,0,0,0,
2018/06/11,99.00,100.33,98.30,99.80,1.49,1.5156,99.2480,97.9870,86.9335,,,1977.0000,1374.7000,0,0,0,62.2689,58.4539,61.8216,69.2983,72.0127,208,213,69.2983,72.0127,63.8697,0,0,0,,,,0,0,0,
