ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/05/09,68.88,95.33,68.88,95.33,0.00,0.00,,,,,,0.0000,,0,,,,,,,,45,,,,,0,,,,,,0,,,
2018/05/10,90.57,92.00,88.01,89.00,-6.33,-6.6401,,,,,,-38.0000,,0,,,,,,,,38,,,,,0,,,,,,0,,,
2018/05/11,89.50,89.50,86.70,87.99,-1.01,-1.1348,,,,,,-49.0000,,0,,,,,,,,11,,,,,0,,,,,,0,,,
2018/05/14,85.03,88.42,85.03,87.00,-0.99,-1.1251,,,,,,-52.0000,,0,,,,,,,,3,,,,,0,,,,,,0,,,
2018/05/15,84.40,85.00,84.40,84.40,-2.60,-2.9885,88.7440,,,,,-61.0000,,0,0,,,,,,,9,21,,,,0,0,,,,,0,0,,
2018/05/16,85.99,85.99,85.00,85.00,0.60,0.7109,86.6780,,,,,-58.0000,,0,0,,,,,,,3,12,,,,0,0,,,,,0,0,,
2018/05/18,86.37,86.37,85.79,85.79,0.79,0.9294,86.0360,,,,,-56.0000,,0,0,,11.2825,,,,,2,5,,,,0,0,,,,,0,0,,
2018/05/21,86.37,86.37,86.37,86.37,0.58,0.6761,85.7120,,,,,-55.0000,,0,0,,16.0264,,,,,1,3,,,,0,0,,,,,0,0,,
2018/05/22,83.61,83.61,83.61,83.61,-2.76,-3.1956,85.0340,,,,,-56.0000,,0,0,,12.2775,,55.6900,51.8967,50.6322,1,3,51.8967,50.6322,54.4255,0,0,,,,,0,0,,
2018/05/23,86.79,86.79,86.79,86.79,3.18,3.8034,85.5120,87.1280,,,,-53.0000,-47.8000,0,0,0,33.7153,,37.9023,47.2319,49.4988,3,2,47.2319,49.4988,42.6981,0,0,0,,,,0,0,0,
2018/05/25,91.05,91.05,91.05,91.05,4.26,4.9084,86.7220,86.7000,,,,-47.0000,-52.5000,0,0,0,52.4110,,100.0000,64.8212,54.6063,6,2,64.8212,54.6063,85.2512,0,0,0,,,,0,0,0,
2018/05/28,90.50,90.50,88.35,90.50,-0.55,-0.6041,87.6640,86.8500,,,,-66.0000,-55.3000,0,0,0,50.2166,,92.6075,74.0833,61.0986,19,6,74.0833,61.0986,100.0528,0,0,0,,,,0,0,0,
2018/05/29,90.21,90.51,90.21,90.21,-0.29,-0.3204,88.4320,87.0720,,,,-72.0000,-57.6000,0,0,0,48.9206,39.3066,88.7097,78.9588,67.0520,6,7,78.9588,67.0520,102.7723,0,0,0,,,,0,0,0,
2018/05/30,90.22,94.93,90.22,92.00,1.79,1.9843,90.1100,87.5720,,,,-62.0000,-58.6000,0,0,0,57.1178,43.8839,74.1166,77.3447,70.4829,10,8,77.3447,70.4829,91.0683,0,0,0,,,,0,0,0,
2018/05/31,89.52,89.52,89.52,89.52,-2.48,-2.6957,90.6560,88.0840,,,,-63.0000,-58.8000,0,0,0,45.0880,39.3935,52.2085,68.9660,69.9773,1,8,68.9660,69.9773,66.9434,0,0,0,,,,0,0,0,
2018/06/05,93.89,93.90,93.02,93.60,4.08,4.5576,91.1660,88.9440,,,,-50.0000,-58.0000,0,0,0,61.2146,48.7966,88.2509,75.3943,71.7829,13,9,75.3943,71.7829,82.6170,0,0,0,,,,0,0,0,
2018/06/06,94.00,94.60,93.71,93.71,0.11,0.1175,91.8080,89.7360,,,,-41.0000,-56.5000,0,0,0,61.5797,49.0292,89.2226,80.0037,74.5232,9,7,80.0037,74.5232,90.9648,0,0,0,,,,0,0,0,
2018/06/07,93.71,93.71,93.71,93.71,0.00,0.00,92.5080,90.4700,,,,-41.0000,-55.1000,0,0,0,61.5797,49.0292,85.0123,81.6732,76.9065,1,6,81.6732,76.9065,91.2066,0,0,0,,,,0,0,0,
2018/06/08,93.71,94.00,93.70,94.00,0.29,0.3095,92.9080,91.5090,,,,-34.0000,-52.9000,0,0,0,62.9051,49.7454,85.8663,83.0709,78.9613,7,6,83.0709,78.9613,91.2901,0,0,0,,,,0,0,0,
2018/06/26,92.01,92.01,92.01,92.01,-1.99,-2.117,93.4060,92.0310,89.5795,,,-35.0000,-51.1000,0,0,0,48.9885,45.0107,55.6231,73.9216,77.2814,1,6,73.9216,77.2814,67.2021,0,0,0,,,,0,0,0,
2018/07/05,91.02,91.50,91.01,91.50,-0.51,-0.5543,92.9860,92.0760,89.3880,,,-45.0000,-50.9000,0,0,0,45.8678,43.8440,36.5989,61.4807,72.0145,10,5,61.4807,72.0145,40.4131,0,0,0,,,,0,0,0,
2018/07/06,92.20,92.20,92.20,92.20,0.70,0.765,92.6840,92.2460,89.5480,,,-42.0000,-48.5000,0,0,0,51.0081,45.9421,49.5379,57.4998,67.1763,3,4,57.4998,67.1763,38.1468,0,0,0,,,,0,0,0,
2018/07/09,92.30,92.30,92.30,92.30,0.10,0.1085,92.4020,92.4550,89.7635,,,-41.0000,-45.4000,0,0,0,51.7929,46.2550,54.7244,56.5747,63.6424,1,4,56.5747,63.6424,42.4392,0,0,0,,,,0,0,0,
2018/07/10,88.11,89.50,87.00,88.20,-4.10,-4.442,91.2420,92.0750,89.8235,,,-53.0000,-44.5000,0,0,0,28.9656,36.7420,15.7895,42.9796,56.7548,12,5,42.9796,56.7548,15.4292,0,0,0,,,,0,0,0,
2018/07/18,86.01,88.00,86.01,88.00,-0.20,-0.2268,90.4400,91.9230,90.0035,,,-56.0000,-43.8000,0,0,0,28.2371,36.3442,23.1665,36.3752,49.9616,3,5,36.3752,49.9616,9.2024,0,0,0,,,,0,0,0,
2018/07/23,85.01,85.01,85.00,85.00,-3.00,-3.4091,89.1400,91.0630,90.0035,,,-62.0000,-45.0000,0,0,0,19.4375,30.8746,0.0000,24.2501,41.3911,6,5,24.2501,41.3911,-10.0318,0,0,0,,0.3861,,0,0,0,
2018/07/27,85.10,85.10,84.70,84.70,-0.30,-0.3529,87.6400,90.1620,89.9490,,,-64.0000,-47.3000,0,0,0,18.7368,30.3760,0.0000,16.1668,32.9830,2,4,16.1668,32.9830,-17.4657,0,0,0,,-0.0422,,0,0,0,
2018/08/07,85.90,85.90,85.90,85.90,1.20,1.4168,86.3600,89.3810,89.9255,,,-62.0000,-49.4000,0,0,0,30.7237,34.9601,15.7895,16.0410,27.3357,2,5,16.0410,27.3357,-6.5483,0,0,0,,-0.2816,,0,0,0,
2018/08/09,85.90,85.90,83.00,83.00,-2.90,-3.376,85.3200,88.2810,89.8950,,,-66.0000,-52.6000,0,0,0,21.5186,29.7892,0.0000,10.6940,21.7884,4,3,10.6940,21.7884,-11.4949,0,0,0,,-0.6973,,0,0,0,
2018/08/13,86.10,86.10,86.10,86.10,3.10,3.7349,84.9400,87.6900,89.8605,,,-65.0000,-55.6000,0,0,0,43.3071,40.1178,33.3333,18.2404,20.6058,1,3,18.2404,20.6058,13.5098,0,0,0,,-0.7678,,0,0,0,
2018/08/14,86.10,86.10,86.10,86.10,0.00,0.00,85.1600,87.1500,89.6130,,,-65.0000,-57.6000,0,0,0,43.3071,40.1178,33.3333,23.2714,21.4943,2,2,23.2714,21.4943,26.8256,0,0,0,,-0.8142,,0,0,0,
2018/08/27,86.10,90.50,85.00,88.35,2.25,2.6132,85.8900,86.7650,89.5055,,,-50.0000,-58.4000,0,0,0,56.0575,46.8691,71.3333,39.2920,27.4269,15,4,39.2920,27.4269,63.0224,0,0,0,,-0.6618,,0,0,0,
2018/08/28,81.26,82.10,81.26,81.50,-6.85,-7.7533,85.0100,85.6850,89.0700,,,-61.0000,-60.4000,0,0,0,30.7729,34.1005,2.5974,27.0605,27.3048,11,6,27.0605,27.3048,26.5720,0,0,0,,-1.0813,,0,0,0,
2018/08/29,85.78,85.78,85.78,85.78,4.28,5.2515,85.5660,85.4430,88.7590,,,-60.0000,-61.1000,0,0,0,48.2680,44.4212,48.9177,34.3463,29.6519,1,6,34.3463,29.6519,43.7349,0,0,0,-0.9977,-1.0563,-0.5574,0,0,0,
2018/09/04,81.51,82.00,81.51,82.00,-3.78,-4.4066,84.7460,84.8430,88.3830,,,-65.0000,-62.0000,0,0,0,38.0712,38.5972,8.0087,25.5671,28.2903,5,6,25.5671,28.2903,20.1206,0,0,0,-1.2300,-1.3261,-0.7111,0,0,0,
2018/09/07,82.00,82.00,82.00,82.00,0.00,0.00,83.9260,84.5430,87.8030,,,-65.0000,-62.3000,0,0,0,38.0712,38.5972,8.0087,19.7143,25.4316,3,7,19.7143,25.4316,8.2795,0,0,0,-1.2981,-1.5224,-0.8734,0,0,0,
2018/09/11,85.79,85.79,81.60,81.60,-0.40,-0.4878,82.5760,84.2330,87.1975,,,-67.0000,-62.6000,0,0,0,36.8838,37.9703,3.6797,14.3694,21.7442,2,4,14.3694,21.7442,-0.3803,0,0,0,-1.3078,-1.6908,-1.0369,0,0,0,
2018/09/12,81.52,82.00,81.52,82.00,0.40,0.4902,82.6760,83.8430,86.6120,,,-64.0000,-62.8000,0,0,0,39.1607,39.0503,8.0087,12.2491,18.5792,3,2,12.2491,18.5792,-0.4109,0,0,0,-1.1755,-1.7715,-1.1838,0,0,0,
2018/09/14,81.53,83.00,81.52,82.00,0.00,0.00,81.9200,83.7430,86.0120,,,-64.0000,-62.6000,0,0,0,39.1607,39.0503,8.0087,10.8356,15.9980,15,5,10.8356,15.9980,0.5109,0,0,0,-1.0093,-1.8146,-1.3100,0,0,0,
2018/09/17,79.51,79.51,79.51,79.51,-2.49,-3.0366,81.4220,83.0840,85.3870,,,-67.0000,-62.8000,0,0,0,29.5916,34.5888,0.0000,7.2238,13.0733,3,5,7.2238,13.0733,-4.4752,0,0,0,-1.1461,-2.0263,-1.4532,0,0,0,
2018/09/18,78.77,78.77,78.76,78.77,-0.74,-0.9307,80.7760,82.3510,84.7505,,,-74.0000,-63.7000,0,0,0,27.2196,33.3534,0.1422,4.8633,10.3366,7,6,4.8633,10.3366,-6.0834,0,0,0,-1.2398,-2.2281,-1.6082,0,0,0,
2018/09/19,79.09,79.09,79.08,79.08,0.31,0.3936,80.2720,81.4240,84.0945,,,-70.0000,-65.7000,0,0,0,30.0387,34.4238,4.5519,4.7595,8.4776,4,6,4.7595,8.4776,-2.6767,0,0,0,-1.1646,-2.3361,-1.7538,0,0,0,
2018/10/02,76.00,80.00,76.00,80.00,0.92,1.1634,79.8720,81.2740,83.4795,,,-69.0000,-66.5000,0,0,0,38.5197,37.6650,40.8580,16.7923,11.2491,1,6,16.7923,11.2491,27.8787,0,0,0,-0.9070,-2.3207,-1.8671,0,0,0,
2018/10/05,76.00,78.94,76.00,78.94,-1.06,-1.325,79.2600,80.5900,83.0165,,,-72.0000,-67.7000,0,0,0,32.9904,35.4619,30.0306,21.2051,14.5678,3,3,21.2051,14.5678,34.4797,0,0,0,-0.7993,-2.3667,-1.9671,0,0,0,
2018/10/08,76.50,76.50,76.50,76.50,-2.44,-3.091,78.6580,80.0400,82.4415,,,-78.0000,-69.0000,0,0,0,23.6234,30.9203,5.1073,15.8391,14.9916,6,4,15.8391,14.9916,17.5343,0,0,0,-0.9654,-2.5704,-2.0877,0,0,0,
2018/10/09,75.00,77.78,75.00,76.83,0.33,0.4314,78.2700,79.5230,82.0330,,,-60.0000,-68.5000,0,0,0,26.9878,32.2014,22.8750,18.1844,16.0559,18,6,18.1844,16.0559,22.4416,0,0,0,-0.9387,-2.6744,-2.2051,0,0,0,
2018/10/15,75.50,76.99,75.50,76.99,0.16,0.2083,77.8520,79.0620,81.6475,,,-59.0000,-67.7000,0,0,0,28.8123,32.8600,24.8750,20.4146,17.5088,1,5,20.4146,17.5088,26.2263,0,0,0,-0.8122,-2.7127,-2.3066,0,0,0,
2018/10/19,72.21,73.00,72.21,73.00,-3.99,-5.1825,76.4520,78.1620,81.0025,,,-63.0000,-67.6000,0,0,0,16.4850,25.9915,10.1412,16.9902,17.3359,4,6,16.9902,17.3359,16.2986,0,0,0,-1.1575,-3.0300,-2.4513,0,0,0,
2018/10/24,73.00,73.00,73.00,73.00,0.00,0.00,75.2640,77.2620,80.5025,,,-63.0000,-67.5000,0,0,0,16.4850,25.9915,10.1412,14.7072,16.4597,1,6,14.7072,16.4597,11.2022,0,0,0,-1.2686,-3.2441,-2.6099,0,0,0,
2018/10/30,69.34,71.00,69.33,71.00,-2.00,-2.7397,74.1640,76.4110,79.7475,,,-65.0000,-67.3000,0,0,0,12.5952,23.1100,15.6514,15.0219,15.9804,2,5,15.0219,15.9804,13.1049,0,0,0,-1.4794,-3.5345,-2.7948,0,0,0,
2018/10/31,71.20,71.20,71.20,71.20,0.20,0.2817,73.0380,75.6540,79.0025,,,-64.0000,-66.3000,0,0,0,15.0019,24.0288,17.5258,15.8565,15.9391,1,1,15.8565,15.9391,15.6913,0,0,0,-1.4574,-3.7057,-2.9770,0,0,0,
2018/11/01,71.20,72.99,70.78,72.99,1.79,2.514,72.2380,75.0450,78.2345,,,-57.0000,-65.0000,0,0,0,34.4012,31.9665,38.0853,23.2661,18.3814,7,3,23.2661,18.3814,33.0355,0,0,0,-1.0846,-3.6548,-3.1125,0,0,0,
