ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/05/28,82.00,163.00,82.00,160.60,0.00,0.00,,,,,,0.0000,,0,,,,,,,,381,,,,,0,,,,,,0,,,
2018/05/29,153.00,161.05,150.10,158.00,-2.60,-1.6189,,,,,,-260.0000,,0,,,,,,,,260,,,,,0,,,,,,0,,,
2018/05/30,158.57,158.57,138.00,147.00,-11.00,-6.962,,,,,,-385.0000,,0,,,,,,,,125,,,,,0,,,,,,0,,,
2018/05/31,147.00,148.00,138.01,143.00,-4.00,-2.7211,,,,,,-445.0000,,0,,,,,,,,60,,,,,0,,,,,,0,,,
2018/06/01,140.00,140.01,134.00,137.00,-6.00,-4.1958,149.1200,,,,,-537.0000,,0,0,,,,,,,92,183,,,,0,0,,,,,0,0,,
2018/06/04,137.00,137.00,130.00,132.00,-5.00,-3.6496,143.4000,,,,,-615.0000,,0,0,,,,,,,78,123,,,,0,0,,,,,0,0,,
2018/06/05,130.00,131.00,121.00,125.50,-6.50,-4.9242,136.9000,,,,,-737.0000,,0,0,,0.0000,,,,,122,95,,,,0,0,,,,,0,0,,
2018/06/06,124.50,141.60,124.00,139.00,13.50,10.757,135.3000,,,,,-463.0000,,0,0,,31.5789,,,,,274,125,,,,0,0,,,,,0,0,,
2018/06/07,140.49,150.00,138.70,144.00,5.00,3.5971,135.5000,,,,,-284.0000,,0,0,,40.0000,,76.5432,58.8477,52.9492,179,149,58.8477,52.9492,70.6447,0,0,,,,,0,0,,
2018/06/08,142.01,143.50,135.00,141.50,-2.50,-1.7361,136.4000,142.7600,,,,-383.0000,-410.9000,0,0,0,37.2493,,51.1860,56.2938,54.0641,99,150,56.2938,54.0641,60.7533,0,0,0,,,,0,0,0,
2018/06/11,141.50,141.50,137.00,137.00,-4.50,-3.1802,137.4000,140.4000,,,,-431.0000,-454.0000,0,0,0,32.4319,,42.5872,51.7249,53.2844,48,144,51.7249,53.2844,48.6061,0,0,0,,,,0,0,0,
2018/06/12,136.01,138.00,135.01,136.50,-0.50,-0.365,139.6000,138.2500,,,,-469.0000,-474.9000,0,0,0,31.8821,,53.4483,52.2994,52.9561,38,127,52.2994,52.9561,50.9861,0,0,0,,,,0,0,0,
2018/06/13,135.01,137.00,134.01,137.00,0.50,0.3663,139.2000,137.2500,,,,-425.0000,-478.9000,0,0,0,33.2401,30.8442,55.1724,53.2571,53.0564,44,81,53.2571,53.0564,53.6584,0,0,0,,,,0,0,0,
2018/06/14,134.00,136.00,133.00,135.00,-2.00,-1.4599,137.4000,136.4500,,,,-442.0000,-478.6000,0,0,0,30.3371,29.7891,48.2759,51.5967,52.5698,17,49,51.5967,52.5698,49.6504,0,0,0,,,,0,0,0,
2018/06/15,133.00,140.00,133.00,139.99,4.99,3.6963,137.0980,136.7490,,,,-396.0000,-464.5000,0,0,0,44.7770,35.7694,65.4828,56.2254,53.7883,46,38,56.2254,53.7883,61.0994,0,0,0,,,,0,0,0,
2018/06/19,139.00,139.00,131.00,131.00,-8.99,-6.4219,135.8980,136.6490,,,,-448.0000,-447.8000,0,0,0,30.9206,30.6401,26.9231,46.4579,51.3449,52,39,46.4579,51.3449,36.6841,0,0,0,,,,0,0,0,
2018/06/20,131.00,135.99,131.00,133.00,2.00,1.5267,135.1980,137.3990,,,,-391.0000,-413.2000,0,0,0,36.1920,32.9728,10.5263,34.4807,45.7235,57,43,34.4807,45.7235,11.9952,0,0,0,,,,0,0,0,
2018/06/21,133.00,135.00,132.00,133.00,0.00,0.00,134.3980,136.7990,,,,-391.0000,-406.0000,0,0,0,36.1920,32.9728,16.0000,28.3205,39.9225,27,39,28.3205,39.9225,5.1165,0,0,0,,,,0,0,0,
2018/06/22,132.00,132.00,130.00,130.01,-2.99,-2.2481,133.4000,135.4000,,,,-414.0000,-419.0000,0,0,0,31.0853,31.1112,0.0870,18.9093,32.9181,23,41,18.9093,32.9181,-9.1083,0,0,0,,,,0,0,0,
2018/06/25,129.50,131.50,128.01,129.00,-1.01,-0.7769,131.2020,134.1500,138.4550,,,-433.0000,-424.0000,0,0,0,29.4036,30.4771,8.2569,15.3585,27.0649,19,35,15.3585,27.0649,-8.0543,0,0,0,,,,0,0,0,
2018/06/26,128.50,128.50,124.00,126.50,-2.50,-1.938,130.3020,133.1000,136.7500,,,-486.0000,-429.5000,0,0,0,25.3328,28.8873,15.6250,15.4473,23.1924,53,35,15.4473,23.1924,-0.0428,0,0,0,,,,0,0,0,
2018/06/27,126.50,131.00,125.50,127.00,0.50,0.3953,129.1020,132.1500,135.2000,,,-466.0000,-429.2000,0,0,0,27.7340,29.6876,18.7500,16.5482,20.9777,20,28,16.5482,20.9777,7.6894,0,0,0,,,,0,0,0,
2018/06/28,126.00,127.00,124.50,124.50,-2.50,-1.9685,127.4020,130.9000,134.0750,,,-481.0000,-434.8000,0,0,0,23.2482,27.9707,3.1250,12.0738,18.0097,15,26,12.0738,18.0097,0.2020,0,0,0,,,,0,0,0,
2018/06/29,124.50,126.50,123.00,124.00,-0.50,-0.4016,126.2000,129.8000,133.1250,,,-491.0000,-439.7000,0,0,0,22.3795,27.6222,6.2500,10.1325,15.3840,10,23,10.1325,15.3840,-0.3703,0,0,0,,,,0,0,0,
2018/07/02,124.00,124.50,121.00,122.00,-2.00,-1.6129,124.8000,128.0010,132.3750,,,-500.0000,-450.1000,0,0,0,18.9759,26.1978,6.6711,8.9787,13.2489,9,21,8.9787,13.2489,0.4384,0,0,0,,,,0,0,0,
2018/07/03,121.00,122.00,120.00,120.00,-2.00,-1.6393,123.5000,126.9010,131.7750,,,-517.0000,-457.0000,0,0,0,16.0472,24.8025,0.0000,5.9858,10.8279,17,14,5.9858,10.8279,-3.6983,0,0,0,,-7.0010,,0,0,0,
2018/07/04,120.00,121.99,119.00,121.99,1.99,1.6583,122.4980,125.8000,131.5995,,,-505.0000,-468.4000,0,0,0,29.1105,28.9122,23.0000,11.6572,11.1043,12,12,11.6572,11.1043,12.7630,0,0,0,,-6.9144,,0,0,0,
2018/07/05,119.50,120.00,115.00,119.00,-2.99,-2.451,121.3980,124.4000,130.5995,,,-530.0000,-482.3000,0,0,0,22.7327,26.5351,24.2424,15.8523,12.6870,25,14,15.8523,12.6870,22.1829,0,0,0,,-7.0063,,0,0,0,
2018/07/06,115.00,119.39,113.00,114.04,-4.96,-4.1681,119.4060,122.8030,129.1015,,,-575.0000,-498.4000,0,0,0,15.8292,23.0985,5.7778,12.4941,12.6227,45,21,12.4941,12.6227,12.2370,0,0,0,,-7.3941,,0,0,0,
2018/07/09,117.00,117.00,114.00,114.00,-0.04,-0.0351,117.8060,121.3030,127.7265,,,-580.0000,-513.1000,0,0,0,15.7828,23.0722,5.5556,10.1813,11.8089,5,20,10.1813,11.8089,6.9260,0,0,0,,-7.6169,,0,0,0,
2018/07/10,116.00,117.00,114.50,114.50,0.50,0.4386,116.7060,120.1030,126.6015,,,-573.0000,-521.8000,0,0,0,19.3286,24.2479,10.7143,10.3589,11.3256,7,18,10.3589,11.3256,8.4257,0,0,0,,-7.6647,,0,0,0,
2018/07/11,116.00,117.99,113.50,114.00,-0.50,-0.4367,115.1080,118.8030,125.4765,,,-608.0000,-536.0000,0,0,0,18.3990,23.8502,7.4074,9.3751,10.6754,35,23,9.3751,10.6754,6.7745,0,0,0,,-7.6547,,0,0,0,
2018/07/12,117.99,117.99,114.00,114.45,0.45,0.3947,114.1980,117.7980,124.3490,,,-601.0000,-548.0000,0,0,0,22.4282,25.0568,12.6087,10.4530,10.6013,7,19,10.4530,10.6013,10.1564,0,0,0,,-7.5238,,0,0,0,
2018/07/13,114.00,120.42,114.00,118.01,3.56,3.1105,114.9920,117.1990,123.4995,,,-567.0000,-555.6000,0,0,0,47.1852,34.0724,55.6667,25.5242,15.5756,34,17,25.5242,15.5756,45.4214,0,0,0,0.5254,-7.0515,-7.3142,0,0,0,
2018/07/16,119.00,127.00,118.00,121.01,3.00,2.5422,116.3940,117.1000,122.5505,,,-525.0000,-558.1000,0,0,0,60.0715,40.6374,57.2143,36.0876,22.4129,42,25,36.0876,22.4129,63.4369,0,0,0,1.5239,-6.3617,-7.1237,0,0,0,
2018/07/17,120.01,121.00,117.01,117.40,-3.61,-2.9832,116.9740,116.8400,121.8705,,,-543.0000,-560.7000,0,0,0,44.4210,35.9394,31.4286,34.5346,26.4535,18,27,34.5346,26.4535,50.6968,0,0,0,1.7390,-6.0368,-6.9063,0,0,0,
2018/07/18,122.99,122.99,117.01,117.01,-0.39,-0.3322,117.5760,116.3420,121.0710,,,-547.0000,-564.9000,0,0,0,42.9697,35.4563,28.6429,32.5707,28.4925,4,21,32.5707,28.4925,40.7269,0,0,0,1.8588,-5.7446,-6.6740,0,0,0,
2018/07/19,117.01,120.00,117.01,120.00,2.99,2.5553,118.6860,116.4420,120.4210,,,-542.0000,-566.1000,0,0,0,56.1501,41.9791,48.1481,37.7632,31.5827,5,20,37.7632,31.5827,50.1240,0,0,0,2.3397,-5.2116,-6.3815,0,0,0,
2018/07/20,117.01,119.50,117.01,119.50,-0.50,-0.4167,118.9840,116.9880,119.8955,,,-545.0000,-563.1000,0,0,0,53.6614,41.2192,44.4444,39.9903,34.3852,3,14,39.9903,34.3852,51.2003,0,0,0,2.5711,-4.7746,-6.0601,0,0,0,
2018/07/23,119.50,120.00,119.00,119.00,-0.50,-0.4184,118.5820,117.4880,119.3955,,,-550.0000,-560.1000,0,0,0,50.9515,40.4209,40.7407,40.2404,36.3370,5,7,40.2404,36.3370,48.0473,0,0,0,2.6280,-4.4176,-5.7316,0,0,0,
2018/07/24,118.00,118.00,117.00,117.00,-2.00,-1.6807,118.5020,117.7380,118.9205,,,-561.0000,-558.9000,0,0,0,41.0106,37.2714,23.0769,34.5193,35.7311,11,5,34.5193,35.7311,32.0956,0,0,0,2.3751,-4.2472,-5.4347,0,0,0,
2018/07/25,118.00,118.00,116.00,118.00,1.00,0.8547,118.7000,118.1380,118.4705,,,-549.0000,-553.0000,0,0,0,47.1924,39.8287,30.7692,33.2692,34.9105,12,7,33.2692,34.9105,29.9868,0,0,0,2.3189,-3.9854,-5.1449,0,0,0,
