ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/05/29,73.68,123.00,73.68,86.47,0.00,0.00,,,,,,0.0000,,0,,,,,,,,96,,,,,0,,,,,,0,,,
2018/05/30,82.18,86.50,75.05,81.50,-4.97,-5.7477,,,,,,-88.0000,,0,,,,,,,,88,,,,,0,,,,,,0,,,
2018/05/31,83.00,83.50,81.00,82.00,0.50,0.6135,,,,,,15.0000,,0,,,,,,,,103,,,,,0,,,,,,0,,,
2018/06/01,82.50,83.90,80.50,81.60,-0.40,-0.4878,,,,,,-10.0000,,0,,,,,,,,25,,,,,0,,,,,,0,,,
2018/06/04,83.00,85.70,81.50,85.50,3.90,4.7794,83.4140,,,,,38.0000,,0,0,,,,,,,48,72,,,,0,0,,,,,0,0,,
2018/06/05,85.50,95.50,84.00,95.50,10.00,11.6959,85.2200,,,,,472.0000,,0,0,,,,,,,434,139,,,,0,0,,,,,0,0,,
2018/06/06,94.73,96.50,85.00,85.20,-10.30,-10.7853,85.9600,,,,,388.0000,,0,0,,47.8883,,,,,84,138,,,,0,0,,,,,0,0,,
2018/06/07,85.03,86.00,79.70,81.20,-4.00,-4.6948,85.8000,,,,,282.0000,,0,0,,41.2962,,,,,106,139,,,,0,0,,,,,0,0,,
2018/06/08,79.00,83.00,79.00,82.50,1.30,1.601,85.9800,,,,,328.0000,,0,0,,44.2872,,17.8832,39.2944,46.4315,46,143,39.2944,46.4315,25.0203,0,0,,,,,0,0,,
2018/06/11,81.00,82.00,80.00,81.50,-1.00,-1.2121,85.1800,84.2970,,,,294.0000,171.9000,0,0,0,42.2979,,30.0699,36.2196,43.0275,34,140,36.2196,43.0275,22.6037,0,0,0,,,,0,0,0,
2018/06/12,80.00,80.00,75.00,76.70,-4.80,-5.8896,81.4200,83.3200,,,,240.0000,195.9000,0,0,0,33.6037,,7.9070,26.7820,37.6124,54,64,26.7820,37.6124,5.1214,0,0,0,,,,0,0,0,
2018/06/13,76.60,78.00,76.00,76.00,-0.70,-0.9126,79.5800,82.7700,,,,219.0000,226.6000,0,0,0,32.4369,,4.6512,19.4051,31.5433,21,52,19.4051,31.5433,-4.8713,0,0,0,,,,0,0,0,
2018/06/14,75.50,76.20,75.00,76.00,0.00,0.00,78.5400,82.1700,,,,219.0000,247.0000,0,0,0,32.4369,37.4970,4.6512,14.4871,25.8579,14,33,14.4871,25.8579,-8.2544,0,0,0,,,,0,0,0,
2018/06/15,75.00,77.00,75.00,76.00,0.00,0.00,77.2400,81.6100,,,,219.0000,269.9000,0,0,0,32.4369,37.4970,4.6512,11.2085,20.9747,24,29,11.2085,20.9747,-8.3241,0,0,0,,,,0,0,0,
2018/06/19,75.30,77.00,75.30,77.00,1.00,1.3158,76.3400,80.7600,,,,222.0000,288.3000,0,0,0,37.7708,39.2245,9.3023,10.5731,17.5075,3,23,10.5731,17.5075,-3.2958,0,0,0,,,,0,0,0,
2018/06/20,75.40,78.00,75.40,78.00,1.00,1.2987,76.6000,79.0100,,,,230.0000,264.1000,0,0,0,43.1559,41.0032,27.2727,16.1396,17.0516,8,14,16.1396,17.0516,14.3158,0,0,0,,,,0,0,0,
2018/06/21,78.00,78.00,76.30,78.00,0.00,0.00,77.0000,78.2900,,,,230.0000,248.3000,0,0,0,43.1559,41.0032,37.5000,23.2598,19.1210,14,12,23.2598,19.1210,31.5373,0,0,0,,,,0,0,0,
2018/06/22,76.30,77.00,76.30,76.50,-1.50,-1.9231,77.1000,77.8200,,,,223.0000,242.4000,0,0,0,36.3596,38.9673,21.4286,22.6494,20.2971,7,11,22.6494,20.2971,27.3539,0,0,0,,,,0,0,0,
2018/06/25,76.00,76.00,76.00,76.00,-0.50,-0.6536,77.1000,77.1700,,,,220.0000,231.6000,0,0,0,34.2049,38.2762,20.0000,21.7662,20.7868,3,7,21.7662,20.7868,23.7251,0,0,0,,,,0,0,0,
2018/06/26,74.00,75.00,73.39,73.39,-2.61,-3.4342,76.3780,76.3590,80.3280,,,216.0000,223.8000,0,0,0,24.9451,34.7651,0.0000,14.5108,18.6948,4,7,14.5108,18.6948,6.1429,0,0,0,,,,0,0,0,
2018/06/27,73.39,75.00,73.35,75.00,1.61,2.1938,75.7780,76.1890,79.7545,,,233.0000,223.1000,0,0,0,37.4747,38.5579,35.4839,21.5018,19.6305,17,9,21.5018,19.6305,25.2445,0,0,0,,,,0,0,0,
2018/06/28,73.30,73.30,73.30,73.30,-1.70,-2.2667,74.8380,75.9190,79.3445,,,231.0000,224.3000,0,0,0,30.9318,36.1377,0.0000,14.3346,17.8652,2,6,14.3346,17.8652,7.2733,0,0,0,,,,0,0,0,
