ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/12/26,38.00,38.00,25.00,28.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,214000,,,,,0,,,,,,0,,,
2018/12/27,28.00,28.00,25.90,26.30,-1.70,-6.0714,,,,,,-72006.0000,,0,,,,,,,,72006,,,,,0,,,,,,0,,,
2018/12/28,26.40,26.50,25.00,26.50,0.20,0.7605,,,,,,-4337.0000,,0,,,,,,,,67669,,,,,0,,,,,,0,,,
2019/01/02,26.00,26.00,23.50,24.00,-2.50,-9.434,,,,,,-75465.0000,,0,,,,,,,,71128,,,,,0,,,,,,0,,,
2019/01/03,24.10,24.10,24.00,24.00,0.00,0.00,25.7600,,,,,-75465.0000,,0,0,,,,,,,23012,89563,,,,0,0,,,,,0,0,,
2019/01/04,22.90,23.90,22.60,23.90,-0.10,-0.4167,24.9400,,,,,-148465.0000,,0,0,,,,,,,73000,61363,,,,0,0,,,,,0,0,,
2019/01/07,23.99,25.00,23.40,24.70,0.80,3.3473,24.6200,,,,,-116349.0000,,0,0,,18.8679,,,,,32116,53385,,,,0,0,,,,,0,0,,
2019/01/08,24.60,25.09,24.30,24.91,0.21,0.8502,24.3020,,,,,-60349.0000,,0,0,,22.5504,,,,,56000,51051,,,,0,0,,,,,0,0,,
2019/01/09,25.19,26.10,25.19,26.00,1.09,4.3758,24.7020,,,,,-31349.0000,,0,0,,39.6203,,22.0779,40.6926,46.8975,29000,42625,40.6926,46.8975,28.2828,0,0,,,,,0,0,,
2019/01/10,26.00,26.00,25.70,25.80,-0.20,-0.7692,25.0620,25.4110,,,,-41399.0000,-62518.4000,0,0,0,37.7866,,59.2593,46.8815,46.8922,10050,40033,46.8815,46.8922,46.8601,0,0,0,,,,0,0,0,
2019/01/11,25.99,26.20,25.90,26.00,0.20,0.7752,25.4820,25.2110,,,,-12399.0000,-63758.3000,0,0,0,41.0600,,87.1795,60.3142,51.3662,29000,31233,60.3142,51.3662,78.2101,0,0,0,,,,0,0,0,
2019/01/14,26.19,26.30,25.00,25.10,-0.90,-3.4615,25.5620,25.0910,,,,-95399.0000,-66097.6000,0,0,0,31.9750,,67.5676,62.7320,55.1548,83000,41410,62.7320,55.1548,77.8863,0,0,0,,,,0,0,0,
2019/01/15,24.70,25.00,24.51,24.79,-0.31,-1.2351,25.5380,24.9200,,,,-113399.0000,-77003.8000,0,0,0,29.2958,30.4507,59.1892,61.5510,57.2869,18000,33810,61.5510,57.2869,70.0794,0,0,0,,,,0,0,0,
2019/01/16,25.50,25.50,25.10,25.10,0.31,1.2505,25.3580,25.0300,,,,-102399.0000,-79697.2000,0,0,0,35.7556,33.2022,67.5676,63.5566,59.3768,11000,30210,63.5566,59.3768,71.9161,0,0,0,,,,0,0,0,
2019/01/17,25.20,25.80,25.10,25.20,0.10,0.3984,25.2380,25.1500,,,,-68324.0000,-78983.1000,0,0,0,37.9500,34.1194,62.0690,63.0607,60.6047,34075,35015,63.0607,60.6047,67.9726,0,0,0,,,,0,0,0,
2019/01/18,25.29,26.00,25.21,25.21,0.01,0.0397,25.0800,25.2810,,,,-45324.0000,-68669.0000,0,0,0,38.2034,34.2179,45.5000,57.2071,59.4722,23000,33815,57.2071,59.4722,52.6770,0,0,0,,,,0,0,0,
2019/01/21,25.43,27.30,25.43,27.00,1.79,7.1004,25.4600,25.5110,,,,11727.0000,-55861.4000,0,0,0,67.0747,49.0876,89.2473,67.8872,62.2772,57051,28625,67.8872,62.2772,79.1072,0,0,0,,,,0,0,0,
2019/01/22,27.50,27.80,26.91,27.21,0.21,0.7778,25.9440,25.7410,,,,38947.0000,-45931.8000,0,0,0,69.1067,50.5191,82.0669,72.6137,65.7227,27220,30469,72.6137,65.7227,86.3958,0,0,0,,,,0,0,0,
2019/01/23,27.39,27.50,27.20,27.50,0.29,1.0658,26.4240,25.8910,,,,58267.0000,-36970.2000,0,0,0,71.9730,52.5298,90.8815,78.7030,70.0495,19320,32133,78.7030,70.0495,96.0100,0,0,0,,,,0,0,0,
2019/01/24,27.50,28.80,27.41,28.00,0.50,1.8182,26.9840,26.1110,25.7610,,,120259.0000,-20804.4000,0,0,0,76.4866,55.9004,81.3520,79.5860,73.2283,61992,37716,79.5860,73.2283,92.3013,0,0,0,,,,0,0,0,
2019/01/25,28.50,28.50,27.50,27.90,-0.10,-0.3571,27.5220,26.3010,25.7560,,,64259.0000,-13138.6000,0,0,0,73.6403,55.0476,79.0210,79.3976,75.2848,56000,44316,79.3976,75.2848,87.6234,0,0,0,,,,0,0,0,
2019/01/28,27.60,28.00,27.41,28.00,0.10,0.3584,27.7220,26.5910,25.8410,,,86259.0000,5027.2000,0,0,0,74.7671,55.7835,78.3784,79.0579,76.5425,22000,37306,79.0579,76.5425,84.0887,0,0,0,,,,0,0,0,
2019/01/29,28.60,29.35,28.00,28.50,0.50,1.7857,27.9800,26.9620,25.9410,,,101259.0000,26493.0000,0,0,0,79.9178,59.4080,80.0000,79.3719,77.4856,15000,34862,79.3719,77.4856,83.1445,0,0,0,,,,0,0,0,
2019/01/30,28.60,29.20,28.50,29.00,0.50,1.7544,28.2800,27.3520,26.1910,,,153259.0000,52058.8000,0,0,0,83.8690,62.7400,91.5459,83.4299,79.4671,52000,41398,83.4299,79.4671,91.3556,0,0,0,,,,0,0,0,
2019/02/11,28.80,29.10,28.70,29.09,0.09,0.3103,28.4980,27.7410,26.4455,,,230259.0000,81917.1000,0,0,0,84.5266,63.3310,93.3673,86.7424,81.8922,77000,44400,86.7424,81.8922,96.4428,0,0,0,,,,0,0,0,
2019/02/12,29.00,29.99,29.00,29.70,0.61,2.0969,28.8580,28.1900,26.7355,,,295259.0000,115975.4000,0,0,0,88.3796,67.1803,90.5844,88.0231,83.9358,65000,46200,88.0231,83.9358,96.1976,0,0,0,,1.4694,,0,0,0,
2019/02/13,29.70,30.00,29.21,29.50,-0.20,-0.6734,29.1580,28.4400,26.9755,,,202258.0000,135028.5000,0,0,0,80.4937,64.7492,82.1429,86.0630,84.6449,93001,60400,86.0630,84.6449,88.8993,0,0,0,,1.4832,,0,0,0,
2019/02/14,29.00,29.00,28.50,28.60,-0.90,-3.0508,29.1780,28.5790,27.1600,,,139258.0000,145059.6000,0,0,0,54.3205,54.9817,45.9459,72.6906,80.6601,63000,70000,72.6906,80.6601,56.7517,0,0,0,,1.4053,,0,0,0,
2019/02/15,28.50,28.50,27.50,28.00,-0.60,-2.0979,28.9780,28.6290,27.2600,,,106258.0000,149858.7000,0,0,0,43.1072,49.5460,22.7799,56.0537,72.4580,33000,66200,56.0537,72.4580,23.2452,0,0,0,,1.2804,,0,0,0,
2019/02/18,28.49,28.49,27.90,28.00,0.00,0.00,28.7600,28.6290,27.3700,,,106258.0000,148458.6000,0,0,0,43.1072,49.5460,22.7799,44.9625,63.2928,20000,54800,44.9625,63.2928,8.3018,0,0,0,,1.1679,,0,0,0,
2019/02/19,27.61,28.20,27.61,28.10,0.10,0.3571,28.4400,28.6490,27.4750,,,121658.0000,154198.5000,0,0,0,45.7927,50.5163,24.0000,37.9750,54.8535,15400,44880,37.9750,54.8535,4.2179,0,0,0,,1.0745,,0,0,0,
2019/02/20,28.20,28.20,27.60,27.60,-0.50,-1.7794,28.0600,28.6090,27.6000,,,106658.0000,156238.4000,0,0,0,35.6856,45.7201,4.0000,26.6500,45.4524,15000,29280,26.6500,45.4524,-10.9548,0,0,0,,0.9491,,0,0,0,
2019/02/21,28.25,28.25,28.00,28.10,0.50,1.8116,27.9600,28.5690,27.7655,,,116658.0000,157778.3000,0,0,0,49.1529,50.8145,24.0000,25.7667,38.8905,10000,18680,25.7667,38.8905,-0.4809,0,0,0,,0.8800,,0,0,0,
2019/02/22,28.30,28.50,28.26,28.26,0.16,0.5694,28.0120,28.4950,27.9235,,,141658.0000,156618.2000,0,0,0,52.9371,52.3748,30.4000,27.3111,35.0307,25000,17080,27.3111,35.0307,11.8720,0,0,0,-0.6847,0.8286,1.1709,0,0,0,
2019/02/25,28.50,28.60,28.40,28.40,0.14,0.4954,28.0920,28.4260,28.0835,,,162663.0000,149858.6000,0,0,0,56.3483,53.7746,36.0000,30.2074,33.4229,21005,17281,30.2074,33.4229,23.7764,0,0,0,-0.6095,0.7900,1.0947,0,0,0,
2019/02/26,28.60,28.99,28.60,28.90,0.50,1.7606,28.2520,28.3460,28.2680,,,190663.0000,139399.0000,0,0,0,66.6942,58.5242,93.3333,51.2494,39.3651,28000,19801,51.2494,39.3651,75.0180,0,0,0,-0.4865,0.7907,1.0339,0,0,0,
2019/02/27,28.81,28.90,28.81,28.81,-0.09,-0.3114,28.4940,28.2770,28.3585,,,172663.0000,136439.5000,0,0,0,63.4461,57.3668,87.9195,63.4727,47.4010,18000,20401,63.4727,47.4010,95.6163,0,0,0,-0.4143,0.7750,0.9821,0,0,0,
2019/03/04,28.80,29.00,28.80,29.00,0.19,0.6595,28.6740,28.3170,28.4480,,,209663.0000,143480.0000,0,0,0,67.4607,59.2240,100.0000,75.6485,56.8168,37000,25801,75.6485,56.8168,113.3119,0,0,0,-0.3409,0.7691,0.9395,0,0,0,
2019/03/05,29.00,29.59,28.91,29.50,0.50,1.7241,28.9220,28.4670,28.5480,,,232663.0000,156120.5000,0,0,0,75.8399,63.7566,95.4774,82.2581,65.2972,23000,25401,82.2581,65.2972,116.1799,0,0,0,-0.2304,0.7955,0.9107,0,0,0,
