ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/09/26,43.15,43.15,38.95,40.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,20,,,,,0,,,,,,0,,,
2018/09/27,40.00,40.00,40.00,40.00,-0.50,-1.2346,,,,,,-12.0000,,0,,,,,,,,12,,,,,0,,,,,,0,,,
2018/09/28,39.50,40.00,37.05,37.05,-2.95,-7.375,,,,,,-35.0000,,0,,,,,,,,23,,,,,0,,,,,,0,,,
2018/10/01,36.50,36.50,30.40,31.90,-5.15,-13.9001,,,,,,-93.0000,,0,,,,,,,,58,,,,,0,,,,,,0,,,
2018/10/02,31.00,31.68,31.00,31.00,-0.90,-2.8213,36.0900,,,,,-107.0000,,0,0,,,,,,,14,25,,,,0,0,,,,,0,0,,
2018/10/03,32.00,32.00,31.00,31.20,0.20,0.6452,34.2300,,,,,-73.0000,,0,0,,,,,,,34,28,,,,0,0,,,,,0,0,,
2018/10/04,31.07,31.07,29.70,30.01,-1.19,-3.8141,32.2320,,,,,-90.0000,,0,0,,1.8365,,,,,17,29,,,,0,0,,,,,0,0,,
2018/10/05,29.80,31.15,29.80,31.15,1.14,3.7987,31.0520,,,,,-87.0000,,0,0,,12.7916,,,,,3,25,,,,0,0,,,,,0,0,,
2018/10/09,29.80,29.80,29.80,29.80,-1.35,-4.3339,30.6320,,,,,-89.0000,,0,0,,11.0407,,0.7435,33.5812,44.5271,2,14,33.5812,44.5271,11.6894,0,0,,,,,0,0,,
2018/10/11,29.45,29.45,26.46,26.46,-3.34,-11.2081,29.7240,32.9070,,,,-114.0000,-70.0000,0,0,0,7.8504,,0.0000,22.3874,37.1472,25,16,22.3874,37.1472,-7.1320,0,0,0,,,,0,0,0,
2018/10/12,25.27,26.20,25.27,26.20,-0.26,-0.9826,28.7240,31.4770,,,,-117.0000,-81.7000,0,0,0,7.6441,,6.3136,17.0295,30.4413,3,10,17.0295,30.4413,-9.7941,0,0,0,,,,0,0,0,
2018/10/15,26.20,26.20,26.20,26.20,0.00,0.00,27.9620,30.0970,,,,-117.0000,-92.2000,0,0,0,7.6441,,8.2814,14.1135,24.9987,2,7,14.1135,24.9987,-7.6570,0,0,0,,,,0,0,0,
2018/10/16,26.10,28.10,26.10,28.10,1.90,7.2519,27.3520,29.2020,,,,-99.0000,-98.6000,0,0,0,27.6536,17.1610,42.0505,23.4258,24.4744,18,10,23.4258,24.4744,21.3287,0,0,0,,,,0,0,0,
2018/10/19,27.90,28.00,26.60,28.00,-0.10,-0.3559,26.9920,28.8120,,,,-139.0000,-103.2000,0,0,0,27.2803,17.0624,40.5646,29.1388,26.0292,40,17,29.1388,26.0292,35.3579,0,0,0,,,,0,0,0,
2018/10/22,28.30,29.78,28.30,29.50,1.50,5.3571,27.6000,28.6620,,,,-122.0000,-104.7000,0,0,0,41.4956,24.1892,71.9388,43.4054,31.8213,17,16,43.4054,31.8213,66.5738,0,0,0,,,,0,0,0,
2018/10/23,29.50,29.70,28.98,29.70,0.20,0.678,28.3000,28.5120,,,,-104.0000,-107.8000,0,0,0,43.2700,25.1251,75.3401,54.0503,39.2310,18,19,54.0503,39.2310,83.6891,0,0,0,,,,0,0,0,
2018/10/24,29.00,29.40,27.65,28.00,-1.70,-5.7239,28.6600,28.3110,,,,-148.0000,-113.6000,0,0,0,33.0469,22.5445,60.2649,56.1219,44.8613,44,27,56.1219,44.8613,78.6431,0,0,0,,,,0,0,0,
2018/10/25,26.89,27.10,26.79,27.00,-1.00,-3.5714,28.4400,27.8960,,,,-164.0000,-121.3000,0,0,0,28.3233,21.1504,38.3592,50.2010,46.6412,16,27,50.2010,46.6412,57.3206,0,0,0,,,,0,0,0,
2018/10/26,26.40,27.10,26.40,26.50,-0.50,-1.8519,28.1400,27.5660,,,,-190.0000,-131.4000,0,0,0,26.0861,20.4603,27.2727,42.5582,45.2802,26,24,42.5582,45.2802,37.1143,0,0,0,,,,0,0,0,
2018/10/29,25.75,25.90,25.18,25.60,-0.90,-3.3962,27.3600,27.4800,30.1935,,,-209.0000,-140.9000,0,0,0,22.2842,19.2284,9.1304,31.4156,40.6587,19,24,31.4156,40.6587,12.9296,0,0,0,,,,0,0,0,
2018/10/30,25.00,25.30,25.00,25.11,-0.49,-1.9141,26.4420,27.3710,29.4240,,,-220.0000,-151.2000,0,0,0,20.3468,18.5645,2.3013,21.7108,34.3427,11,23,21.7108,34.3427,-3.5529,0,0,0,,,,0,0,0,
2018/11/01,25.25,25.25,25.00,25.15,0.04,0.1593,25.8720,27.2660,28.6815,,,-195.0000,-159.0000,0,0,0,21.0194,18.8141,3.1381,15.5199,28.0685,25,19,15.5199,28.0685,-9.5772,0,0,0,,,,0,0,0,
2018/11/06,25.20,25.20,25.20,25.20,0.05,0.1988,25.5120,26.9760,28.0890,,,-192.0000,-168.3000,0,0,0,22.0074,19.1521,4.1841,11.7413,22.6261,3,16,11.7413,22.6261,-10.0282,0,0,0,,,,0,0,0,
2018/11/07,25.00,25.16,25.00,25.16,-0.04,-0.1587,25.2440,26.6920,27.7520,,,-198.0000,-174.2000,0,0,0,21.7462,19.0827,3.4043,8.9623,18.0715,6,12,8.9623,18.0715,-9.2561,0,0,0,,,,0,0,0,
2018/11/08,24.90,25.11,24.50,25.00,-0.16,-0.6359,25.1240,26.2420,27.4520,,,-213.0000,-183.3000,0,0,0,20.5744,18.7860,10.2041,9.3762,15.1731,15,12,9.3762,15.1731,-2.2175,0,0,0,,,,0,0,0,
2018/11/09,25.10,25.50,25.00,25.50,0.50,2.00,25.2020,25.8220,27.1670,,,-196.0000,-192.5000,0,0,0,33.9264,22.8744,38.4615,19.0713,16.4725,17,13,19.0713,16.4725,24.2690,0,0,0,,-2.6287,,0,0,0,
2018/11/12,26.20,27.36,26.20,27.08,1.58,6.1961,25.5880,25.7300,27.0205,,,-183.0000,-196.0000,0,0,0,59.6488,34.2794,90.2098,42.7841,25.2430,13,10,42.7841,25.2430,77.8664,0,0,0,,-2.3845,,0,0,0,
