ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/10/17,29.00,40.50,29.00,39.40,0.00,0.00,,,,,,0.0000,,0,,,,,,,,185,,,,,0,,,,,,0,,,
2018/10/18,38.70,40.10,36.30,36.60,-2.80,-7.1066,,,,,,-91.0000,,0,,,,,,,,91,,,,,0,,,,,,0,,,
2018/10/19,36.60,37.00,35.60,36.50,-0.10,-0.2732,,,,,,-143.0000,,0,,,,,,,,52,,,,,0,,,,,,0,,,
2018/10/22,36.80,36.80,35.50,36.80,0.30,0.8219,,,,,,-106.0000,,0,,,,,,,,37,,,,,0,,,,,,0,,,
2018/10/23,35.70,36.33,35.40,36.00,-0.80,-2.1739,37.0600,,,,,-195.0000,,0,0,,,,,,,89,90,,,,0,0,,,,,0,0,,
2018/10/24,35.50,36.00,35.30,35.60,-0.40,-1.1111,36.3000,,,,,-287.0000,,0,0,,,,,,,92,72,,,,0,0,,,,,0,0,,
2018/10/25,35.50,36.00,35.31,35.69,0.09,0.2528,36.1180,,,,,-239.0000,,0,0,,8.6860,,,,,48,63,,,,0,0,,,,,0,0,,
2018/10/26,35.69,35.70,31.50,33.00,-2.69,-7.5371,35.4180,,,,,-416.0000,,0,0,,5.0531,,,,,177,88,,,,0,0,,,,,0,0,,
2018/10/29,33.00,33.50,32.50,32.61,-0.39,-1.1818,34.5800,,,,,-641.0000,,0,0,,4.7104,,31.3913,43.7971,47.9324,225,126,43.7971,47.9324,35.5266,0,0,,,,,0,0,,
2018/10/30,32.50,33.00,32.50,33.00,0.39,1.196,33.9800,35.5200,,,,-612.0000,-273.0000,0,0,0,11.8827,,17.4419,35.0120,43.6256,29,114,35.0120,43.6256,17.7849,0,0,0,,,,0,0,0,
