ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/11/19,75.00,85.00,49.00,56.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,365,,,,,0,,,,,,0,,,
2018/11/20,57.50,57.50,50.00,50.40,-6.10,-10.7965,,,,,,-335.0000,,0,,,,,,,,335,,,,,0,,,,,,0,,,
2018/11/21,50.00,54.00,48.00,52.50,2.10,4.1667,,,,,,-63.0000,,0,,,,,,,,272,,,,,0,,,,,,0,,,
2018/11/22,52.51,54.50,52.00,54.00,1.50,2.8571,,,,,,138.0000,,0,,,,,,,,201,,,,,0,,,,,,0,,,
2018/11/23,54.19,54.50,53.40,54.00,0.00,0.00,53.4800,,,,,138.0000,,0,0,,,,,,,123,259,,,,0,0,,,,,0,0,,
2018/11/26,53.83,54.00,52.84,53.00,-1.00,-1.8519,52.7800,,,,,77.0000,,0,0,,,,,,,61,198,,,,0,0,,,,,0,0,,
2018/11/27,53.00,53.20,53.00,53.15,0.15,0.283,53.3300,,,,,115.0000,,0,0,,34.5622,,,,,38,139,,,,0,0,,,,,0,0,,
2018/11/28,53.00,53.35,52.90,53.30,0.15,0.2822,53.4900,,,,,186.0000,,0,0,,35.6301,,,,,71,98,,,,0,0,,,,,0,0,,
2018/11/29,53.00,53.50,53.00,53.50,0.20,0.3752,53.3900,,,,,323.0000,,0,0,,37.2681,,14.8649,38.2883,46.0961,137,86,38.2883,46.0961,22.6727,0,0,,,,,0,0,,
2018/11/30,53.10,53.60,53.05,53.45,-0.05,-0.0935,53.2800,53.3800,,,,238.0000,81.7000,0,0,0,36.9857,,57.3684,44.6483,45.6135,85,78,44.6483,45.6135,42.7180,0,0,0,,,,0,0,0,
2018/12/03,53.60,61.49,53.50,60.00,6.55,12.2544,54.6800,53.7300,,,,637.0000,145.4000,0,0,0,71.2388,,88.9548,59.4171,50.2147,399,146,59.4171,50.2147,77.8220,0,0,0,,,,0,0,0,
2018/12/04,59.50,60.00,57.81,58.70,-1.30,-2.1667,55.7900,54.5600,,,,516.0000,230.5000,0,0,0,63.0732,,70.6006,63.1450,54.5248,121,162,63.1450,54.5248,80.3853,0,0,0,,,,0,0,0,
2018/12/05,58.30,58.40,55.20,57.90,-0.80,-1.3629,56.7100,55.1000,,,,406.0000,277.4000,0,0,0,58.1510,53.5176,58.4971,61.5957,56.8818,110,170,61.5957,56.8818,71.0235,0,0,0,,,,0,0,0,
2018/12/06,57.90,58.20,56.81,57.00,-0.90,-1.5544,57.4100,55.4000,,,,316.0000,295.2000,0,0,0,52.6086,51.0013,48.0925,57.0946,56.9527,90,161,57.0946,56.9527,57.3784,0,0,0,,,,0,0,0,
2018/12/07,57.98,57.98,56.90,57.69,0.69,1.2105,58.2580,55.7690,,,,347.0000,316.1000,0,0,0,56.4291,52.8552,55.7625,56.6506,56.8520,31,150,56.6506,56.8520,56.2477,0,0,0,,,,0,0,0,
