ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/11/15,68.42,72.20,68.42,71.56,0.00,0.00,,,,,,0.0000,,0,,,,,,,,178,,,,,0,,,,,,0,,,
2018/11/16,69.60,69.89,67.81,68.41,-3.15,-4.4019,,,,,,-43.0000,,0,,,,,,,,43,,,,,0,,,,,,0,,,
2018/11/19,69.84,70.00,68.41,68.50,0.09,0.1316,,,,,,-2.0000,,0,,,,,,,,41,,,,,0,,,,,,0,,,
2018/11/20,68.68,69.50,68.01,68.96,0.46,0.6715,,,,,,76.0000,,0,,,,,,,,78,,,,,0,,,,,,0,,,
2018/11/21,68.56,73.40,68.00,73.40,4.44,6.4385,70.1660,,,,,185.0000,,0,0,,,,,,,109,89,,,,0,0,,,,,0,0,,
2018/11/22,73.79,74.50,72.00,73.30,-0.10,-0.1362,70.5140,,,,,101.0000,,0,0,,,,,,,84,71,,,,0,0,,,,,0,0,,
2018/11/23,73.00,73.00,71.02,72.00,-1.30,-1.7735,71.2320,,,,,85.0000,,0,0,,52.3061,,,,,16,65,,,,0,0,,,,,0,0,,
2018/11/26,71.52,72.49,71.41,72.49,0.49,0.6806,72.0300,,,,,101.0000,,0,0,,55.0750,,,,,16,60,,,,0,0,,,,,0,0,,
2018/11/27,71.68,76.30,71.68,76.30,3.81,5.2559,73.4980,,,,,241.0000,,0,0,,70.8602,,100.0000,66.6667,55.5556,140,73,66.6667,55.5556,88.8889,0,0,,,,,0,0,,
2018/11/28,76.31,76.34,73.01,75.20,-1.10,-1.4417,73.8580,72.0120,,,,162.0000,90.6000,0,0,0,63.1703,,86.6354,73.3229,61.4780,79,67,73.3229,61.4780,97.0127,0,0,0,,,,0,0,0,
2018/11/29,74.83,77.10,74.40,76.00,0.80,1.0638,74.3980,72.4560,,,,354.0000,126.0000,0,0,0,66.3567,,87.9121,78.1860,67.0473,192,88,78.1860,67.0473,100.4633,0,0,0,,,,0,0,0,
2018/11/30,76.28,80.90,76.00,80.79,4.79,6.3026,76.1560,73.6940,,,,426.0000,172.9000,0,0,0,79.2533,,99.1473,85.1731,73.0892,72,99,85.1731,73.0892,109.3407,0,0,0,,,,0,0,0,
2018/12/03,80.36,82.00,78.01,81.80,1.01,1.2502,78.0180,75.0240,,,,554.0000,228.5000,0,0,0,81.0877,73.7697,98.5714,89.6392,78.6059,128,122,89.6392,78.6059,111.7058,0,0,0,,,,0,0,0,
2018/12/04,81.99,81.99,79.28,80.49,-1.31,-1.6015,78.8560,76.1770,,,,463.0000,267.2000,0,0,0,71.2786,69.1799,86.2477,88.5087,81.9068,91,112,88.5087,81.9068,101.7124,0,0,0,,,,0,0,0,
2018/12/05,79.50,81.00,79.00,81.00,0.51,0.6336,80.0160,76.9370,,,,566.0000,305.3000,0,0,0,72.8149,69.9734,90.8925,89.3033,84.3723,103,117,89.3033,84.3723,99.1653,0,0,0,,,,0,0,0,
2018/12/06,80.50,80.60,79.80,80.00,-1.00,-1.2346,80.8160,77.6070,,,,519.0000,347.1000,0,0,0,64.6748,66.3212,81.1143,86.5736,85.1061,47,88,86.5736,85.1061,89.5087,0,0,0,,,,0,0,0,
2018/12/07,80.29,80.89,80.20,80.25,0.25,0.3125,80.7080,78.4320,,,,553.0000,393.9000,0,0,0,65.8211,66.7939,83.0426,85.3966,85.2029,34,80,85.3966,85.2029,85.7840,0,0,0,,,,0,0,0,
2018/12/10,80.00,80.26,79.02,80.10,-0.15,-0.1869,80.3680,79.1930,,,,507.0000,434.5000,0,0,0,64.3184,66.1859,78.8654,83.2196,84.5418,46,64,83.2196,84.5418,80.5750,0,0,0,,,,0,0,0,
