ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2018/12/10,35.78,45.49,35.78,43.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,49,,,,,0,,,,,,0,,,
2018/12/11,41.61,42.00,39.99,40.82,-2.68,-6.1609,,,,,,-16.0000,,0,,,,,,,,16,,,,,0,,,,,,0,,,
2018/12/12,38.76,39.99,38.76,39.52,-1.30,-3.1847,,,,,,-27.0000,,0,,,,,,,,11,,,,,0,,,,,,0,,,
2018/12/13,38.51,39.10,38.51,39.10,-0.42,-1.0628,,,,,,-33.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2018/12/14,40.00,43.47,39.01,43.47,4.37,11.1765,41.2820,,,,,-7.0000,,0,0,,,,,,,26,21,,,,0,0,,,,,0,0,,
2018/12/17,43.50,47.00,42.31,44.50,1.03,2.3695,41.4820,,,,,24.0000,,0,0,,,,,,,31,18,,,,0,0,,,,,0,0,,
2018/12/18,45.75,45.75,45.47,45.47,0.97,2.1798,42.4120,,,,,27.0000,,0,0,,59.1458,,,,,3,15,,,,0,0,,,,,0,0,,
2018/12/19,45.46,56.49,45.00,56.29,10.82,23.7959,45.7660,,,,,135.0000,,0,0,,81.4768,,,,,108,34,,,,0,0,,,,,0,0,,
2018/12/20,53.48,54.50,49.78,52.36,-3.93,-6.9817,48.4180,,,,,89.0000,,0,0,,65.8004,,80.0579,60.0193,53.3398,46,42,60.0193,53.3398,73.3784,0,0,,,,,0,0,,
2018/12/21,52.36,52.36,49.81,51.99,-0.37,-0.7066,50.1220,45.7020,,,,79.0000,27.1000,0,0,0,64.4005,,74.9722,65.0036,57.2277,10,39,65.0036,57.2277,80.5554,0,0,0,,,,0,0,0,
2018/12/22,49.82,51.97,49.81,51.97,-0.02,-0.0385,51.6160,46.5490,,,,76.0000,34.7000,0,0,0,64.3118,,74.8610,68.2894,60.9149,3,34,68.2894,60.9149,83.0383,0,0,0,,,,0,0,0,
2018/12/24,49.26,49.26,47.51,47.51,-4.46,-8.5819,52.0240,47.2180,,,,75.0000,43.8000,0,0,0,46.9849,,50.0556,62.2115,61.3471,1,33,62.2115,61.3471,63.9402,0,0,0,,,,0,0,0,
2018/12/25,47.50,47.50,46.08,47.10,-0.41,-0.863,50.1860,47.9760,,,,56.0000,52.1000,0,0,0,45.6288,55.8480,46.2815,56.9015,59.8652,19,15,56.9015,59.8652,50.9739,0,0,0,,,,0,0,0,
2018/12/26,46.60,47.20,46.56,46.61,-0.49,-1.0403,49.0360,48.7270,,,,37.0000,59.1000,0,0,0,43.8151,54.8946,30.3244,48.0424,55.9243,19,10,48.0424,55.9243,32.2787,0,0,0,,,,0,0,0,
2018/12/27,47.00,49.29,47.00,47.00,0.39,0.8367,48.0380,49.0800,,,,65.0000,66.3000,0,0,0,45.8701,55.5534,17.4064,37.8304,49.8930,28,14,37.8304,49.8930,13.7053,0,0,0,,,,0,0,0,
2018/12/28,45.51,46.50,45.00,45.49,-1.51,-3.2128,46.7420,49.1790,,,,45.0000,68.4000,0,0,0,39.2074,52.3255,4.2646,26.6418,42.1426,20,17,26.6418,42.1426,-4.3598,0,0,0,,,,0,0,0,
2019/01/02,43.36,43.41,42.00,42.61,-2.88,-6.3311,45.7620,48.8930,,,,24.0000,68.1000,0,0,0,29.4253,46.6818,4.8800,19.3879,34.5577,21,21,19.3879,34.5577,-10.9518,0,0,0,,,,0,0,0,
2019/01/03,42.33,42.63,41.82,42.63,0.02,0.0469,44.8680,47.5270,,,,36.0000,58.2000,0,0,0,29.5717,46.7254,7.6850,15.4869,28.2008,12,20,15.4869,28.2008,-9.9408,0,0,0,,,,0,0,0,
2019/01/04,42.62,42.62,42.33,42.33,-0.30,-0.7037,44.0120,46.5240,,,,30.0000,52.3000,0,0,0,28.5070,46.1093,5.0246,11.9995,22.8003,6,17,11.9995,22.8003,-9.6022,0,0,0,,,,0,0,0,
2019/01/07,43.26,43.40,43.00,43.00,0.67,1.5828,43.2120,45.6250,45.6635,,,35.0000,47.9000,0,0,0,34.7981,47.7864,15.7965,13.2652,19.6220,5,12,13.2652,19.6220,0.5516,0,0,0,,,,0,0,0,
2019/01/08,43.20,43.20,40.21,41.68,-1.32,-3.0698,42.4500,44.5960,45.5725,,,28.0000,43.1000,0,0,0,28.8055,44.7906,16.1894,14.2399,17.8279,7,10,14.2399,17.8279,7.0639,0,0,0,,,,0,0,0,
2019/01/09,41.80,41.80,41.50,41.50,-0.18,-0.4319,42.2280,43.9950,45.6065,,,22.0000,37.8000,0,0,0,28.0160,44.3767,14.2070,14.2290,16.6283,6,7,14.2290,16.6283,9.4303,0,0,0,,,,0,0,0,
2019/01/10,41.50,41.50,41.00,41.00,-0.50,-1.2048,41.9020,43.3850,45.6805,,,13.0000,33.5000,0,0,0,25.6707,43.1680,8.7004,12.3861,15.2142,9,6,12.3861,15.2142,6.7299,0,0,0,,,,0,0,0,
2019/01/11,40.00,41.10,40.00,40.70,-0.30,-0.7317,41.5760,42.7940,45.7605,,,2.0000,30.0000,0,0,0,24.2115,42.4119,10.7692,11.8472,14.0919,11,7,11.8472,14.0919,7.3577,0,0,0,,,,0,0,0,
2019/01/14,40.15,40.15,40.15,40.15,-0.55,-1.3514,41.0060,42.1090,45.5945,,,1.0000,23.6000,0,0,0,21.5201,40.9764,4.3988,9.3644,12.5160,1,6,9.3644,12.5160,3.0611,0,0,0,,,,0,0,0,
2019/01/15,40.13,40.13,38.30,40.13,-0.02,-0.0498,40.6960,41.5730,45.3760,,,-3.0000,18.8000,0,0,0,21.4162,40.9215,35.8824,18.2037,14.4119,4,6,18.2037,14.4119,25.7873,0,0,0,,-2.2647,,0,0,0,
2019/01/16,40.10,40.10,40.10,40.10,-0.03,-0.0748,40.4160,41.3220,45.1075,,,-7.0000,15.7000,0,0,0,21.2318,40.8319,35.2941,23.9005,17.5748,4,5,23.9005,17.5748,36.5519,0,0,0,,-2.2545,,0,0,0,
2019/01/17,40.00,40.18,39.80,40.00,-0.10,-0.2494,40.2160,41.0590,44.2930,,,-23.0000,9.8000,0,0,0,20.5246,40.5094,33.3333,27.0448,20.7315,16,7,27.0448,20.7315,39.6714,0,0,0,,-2.2288,,0,0,0,
