ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2019/05/03,52.10,52.50,50.00,51.40,0.00,0.00,,,,,,0.0000,,0,,,,,,,,9,,,,,0,,,,,,0,,,
2019/05/06,48.83,48.83,47.50,48.00,-3.40,-6.6148,,,,,,-6.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2019/05/13,46.56,46.56,46.56,46.56,-1.44,-3.00,,,,,,-7.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2019/05/15,48.99,48.99,48.99,48.99,2.43,5.2191,,,,,,-6.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2019/05/20,49.00,49.00,49.00,49.00,0.01,0.0204,48.7900,,,,,-5.0000,,0,0,,,,,,,1,3,,,,0,0,,,,,0,0,,
2019/05/21,49.00,49.00,49.00,49.00,0.00,0.00,48.3100,,,,,-5.0000,,0,0,,,,,,,6,3,,,,0,0,,,,,0,0,,
2019/05/24,49.01,49.01,49.01,49.01,0.01,0.0204,48.5120,,,,,-4.0000,,0,0,,33.6077,,,,,1,2,,,,0,0,,,,,0,0,,
2019/05/29,49.01,50.00,49.01,50.00,0.99,2.02,49.2000,,,,,5.0000,,0,0,,42.9111,,,,,9,3,,,,0,0,,,,,0,0,,
2019/05/31,51.55,52.00,51.55,52.00,2.00,4.00,49.8020,,,,,14.0000,,0,0,,57.3869,,91.5825,63.8608,54.6203,9,5,63.8608,54.6203,82.3419,0,0,,,,,0,0,,
2019/06/03,51.30,51.30,51.30,51.30,-0.70,-1.3462,50.2620,49.5260,,,,12.0000,-0.2000,0,0,0,51.8635,,87.1324,71.6180,60.2862,2,5,71.6180,60.2862,94.2816,0,0,0,,,,0,0,0,
2019/06/04,51.30,51.30,51.29,51.30,0.00,0.00,50.7220,49.5160,,,,12.0000,1.0000,0,0,0,51.8635,,87.1324,76.7895,65.7873,8,5,76.7895,65.7873,98.7938,0,0,0,,,,0,0,0,
2019/06/10,51.97,51.97,51.97,51.97,0.67,1.306,51.3140,49.9130,,,,15.0000,3.1000,0,0,0,57.5013,,99.0033,84.1941,71.9229,3,6,84.1941,71.9229,108.7365,0,0,0,,,,0,0,0,
2019/06/13,51.97,51.97,51.97,51.97,0.00,0.00,51.7080,50.4540,,,,15.0000,5.3000,0,0,0,57.5013,52.4464,99.0000,89.1294,77.6584,1,4,89.1294,77.6584,112.0714,0,0,0,,,,0,0,0,
2019/06/17,52.00,52.00,52.00,52.00,0.03,0.0577,51.7080,50.7550,,,,16.0000,7.5000,0,0,0,57.8198,52.5796,100.0000,92.7529,82.6899,1,3,92.7529,82.6899,112.8790,0,0,0,,,,0,0,0,
2019/06/24,52.00,52.00,52.00,52.00,0.00,0.00,51.8480,51.0550,,,,16.0000,9.6000,0,0,0,57.8198,52.5796,100.0000,95.1686,86.8495,1,2,95.1686,86.8495,111.8069,0,0,0,,,,0,0,0,
