ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2019/06/18,45.00,46.00,33.00,33.10,0.00,0.00,,,,,,0.0000,,0,,,,,,,,2728127,,,,,0,,,,,,0,,,
2019/06/19,34.50,36.12,32.91,34.34,1.24,3.7462,,,,,,824925.0000,,0,,,,,,,,824925,,,,,0,,,,,,0,,,
2019/06/20,34.00,34.02,33.30,33.60,-0.74,-2.1549,,,,,,419795.0000,,0,,,,,,,,405130,,,,,0,,,,,,0,,,
2019/06/21,33.49,36.11,33.49,34.70,1.10,3.2738,,,,,,726007.0000,,0,,,,,,,,306212,,,,,0,,,,,,0,,,
2019/06/24,34.65,35.31,32.31,33.30,-1.40,-4.0346,33.8080,,,,,376442.0000,,0,0,,,,,,,349565,922791,,,,0,0,,,,,0,0,,
2019/06/25,33.98,33.98,32.31,33.00,-0.30,-0.9009,33.7880,,,,,207882.0000,,0,0,,,,,,,168560,410878,,,,0,0,,,,,0,0,,
2019/06/26,32.31,33.79,32.31,32.50,-0.50,-1.5152,33.4200,,,,,123381.0000,,0,0,,44.3182,,,,,84501,262793,,,,0,0,,,,,0,0,,
2019/06/27,33.00,33.00,31.00,31.90,-0.60,-1.8462,33.0800,,,,,-430259.0000,,0,0,,39.0000,,,,,553640,292495,,,,0,0,,,,,0,0,,
2019/06/28,31.99,32.50,31.20,32.00,0.10,0.3135,32.5400,,,,,-130041.0000,,0,0,,40.4297,,6.6667,35.5556,45.1852,300218,291296,35.5556,45.1852,16.2963,0,0,,,,,0,0,,
2019/07/01,32.29,32.50,31.20,31.50,-0.50,-1.5625,32.1800,32.9940,,,,-336859.0000,178127.3000,0,0,0,35.4452,,9.7656,26.9589,39.1098,206818,262747,26.9589,39.1098,2.6572,0,0,0,,,,0,0,0,
2019/07/02,31.89,31.89,30.71,31.01,-0.49,-1.5556,31.7820,32.7850,,,,-567859.0000,121341.4000,0,0,0,30.9569,,5.5556,19.8245,32.6813,231000,275235,19.8245,32.6813,-5.8893,0,0,0,,,,0,0,0,
2019/07/03,31.01,32.30,31.01,32.00,0.99,3.1925,31.6820,32.5510,,,,-453859.0000,-6537.0000,0,0,0,47.1746,,23.8889,21.1793,28.8473,114000,281135,21.1793,28.8473,5.8432,0,0,0,,,,0,0,0,
2019/07/04,32.62,33.68,31.89,33.00,1.00,3.125,31.9020,32.4910,,,,-307459.0000,-79262.4000,0,0,0,58.8817,49.4420,49.7826,30.7137,29.4694,146400,199687,30.7137,29.4694,33.2023,0,0,0,,,,0,0,0,
2019/07/05,33.11,34.40,33.10,33.80,0.80,2.4242,32.2620,32.4010,,,,8091.0000,-151054.0000,0,0,0,66.0951,53.9294,83.7398,48.3891,35.7760,315550,202753,48.3891,35.7760,73.6153,0,0,0,,,,0,0,0,
2019/07/08,34.37,34.49,33.52,34.02,0.22,0.6509,32.7660,32.4730,,,,162541.0000,-172444.1000,0,0,0,67.9506,55.1243,87.5661,61.4481,44.3334,154450,192280,61.4481,44.3334,95.6776,0,0,0,,,,0,0,0,
2019/07/09,34.50,35.70,34.20,34.70,0.68,1.9988,33.5040,32.6430,,,,602991.0000,-132933.2000,0,0,0,73.3582,58.7333,79.9599,67.6187,52.0951,440450,234170,67.6187,52.0951,98.6658,0,0,0,,,,0,0,0,
2019/07/10,35.00,35.19,34.00,34.90,0.20,0.5764,34.0840,32.8830,,,,758091.0000,-69462.2000,0,0,0,74.8556,59.7713,83.9679,73.0685,59.0862,155100,242390,73.0685,59.0862,101.0329,0,0,0,,,,0,0,0,
2019/07/11,34.01,35.00,34.01,34.80,-0.10,-0.2865,34.4440,33.1730,,,,711091.0000,44672.8000,0,0,0,72.4136,58.9623,81.9639,76.0336,64.7354,47000,222510,76.0336,64.7354,98.6301,0,0,0,,,,0,0,0,
2019/07/12,34.40,34.99,34.31,34.49,-0.31,-0.8908,34.5820,33.4220,,,,596091.0000,117286.0000,0,0,0,64.5769,56.3816,75.7515,75.9396,68.4701,115000,182400,75.9396,68.4701,90.8785,0,0,0,,,,0,0,0,
2019/07/15,35.00,35.00,34.50,34.99,0.50,1.4497,34.7760,33.7710,33.3825,,,666091.0000,217581.0000,0,0,0,70.7117,59.5006,84.8614,78.9135,71.9512,70000,165510,78.9135,71.9512,92.8381,0,0,0,,,,0,0,0,
2019/07/16,34.80,34.80,33.71,34.60,-0.39,-1.1146,34.7560,34.1300,33.4575,,,576091.0000,331976.0000,0,0,0,60.8481,56.0879,71.1286,76.3185,73.4070,90000,95420,76.3185,73.4070,82.1416,0,0,0,,,,0,0,0,
2019/07/17,34.33,34.60,33.80,33.80,-0.80,-2.3121,34.5360,34.3100,33.4305,,,406591.0000,418021.0000,0,0,0,45.2954,49.7079,26.9231,59.8534,68.8891,169500,98300,59.8534,68.8891,41.7819,0,0,0,,,,0,0,0,
2019/07/18,33.81,34.50,33.71,34.39,0.59,1.7456,34.4540,34.4490,33.4700,,,473841.0000,496151.0000,0,0,0,55.3870,53.9246,39.9083,53.2050,63.6611,67250,102350,53.2050,63.6611,32.2928,0,0,0,,,,0,0,0,
2019/07/19,34.32,34.32,33.85,33.85,-0.54,-1.5702,34.3260,34.4540,33.4275,,,421741.0000,537516.0000,0,0,0,46.0557,49.7590,7.0352,37.8151,55.0458,52100,89770,37.8151,55.0458,3.3537,0,0,0,,,,0,0,0,
2019/07/22,34.30,34.42,33.91,34.39,0.54,1.5953,34.2060,34.4910,33.4820,,,520174.0000,573279.3000,0,0,0,55.1276,53.6638,45.9459,40.5254,50.2056,98433,95456,40.5254,50.2056,21.1648,0,0,0,,,,0,0,0,
2019/07/23,33.91,34.50,33.90,34.35,-0.04,-0.1163,34.1560,34.4560,33.5495,,,432174.0000,556197.6000,0,0,0,54.3156,53.3288,49.6124,43.5544,47.9885,88000,95056,43.5544,47.9885,34.6860,0,0,0,,0.4874,,0,0,0,
