ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2019/10/07,78.50,129.00,77.70,127.99,0.00,0.00,,,,,,0.0000,,0,,,,,,,,151660,,,,,0,,,,,,0,,,
2019/10/08,123.98,123.98,112.50,118.00,-9.99,-7.8053,,,,,,-113132.0000,,0,,,,,,,,113132,,,,,0,,,,,,0,,,
2019/10/09,117.00,147.00,116.00,145.00,27.00,22.8814,,,,,,-41536.0000,,0,,,,,,,,71596,,,,,0,,,,,,0,,,
2019/10/14,139.50,147.37,131.00,134.00,-11.00,-7.5862,,,,,,-102212.0000,,0,,,,,,,,60676,,,,,0,,,,,,0,,,
2019/10/15,131.00,135.50,122.00,126.00,-8.00,-5.9701,130.1980,,,,,-177698.0000,,0,0,,,,,,,75486,94510,,,,0,0,,,,,0,0,,
2019/10/16,127.50,128.50,121.00,123.00,-3.00,-2.381,129.2000,,,,,-216035.0000,,0,0,,,,,,,38337,71845,,,,0,0,,,,,0,0,,
2019/10/17,123.50,127.00,123.00,126.99,3.99,3.2439,130.9980,,,,,-199927.0000,,0,0,,49.2061,,,,,16108,52440,,,,0,0,,,,,0,0,,
2019/10/18,127.00,128.00,125.00,127.49,0.50,0.3937,127.4960,,,,,-197790.0000,,0,0,,49.6854,,,,,2137,38548,,,,0,0,,,,,0,0,,
2019/10/21,126.00,127.39,124.00,127.39,-0.10,-0.0784,126.1740,,,,,-217793.0000,,0,0,,49.5732,,71.3219,57.1073,52.3691,20003,30414,57.1073,52.3691,66.5837,0,0,,,,,0,0,,
2019/10/22,127.40,134.00,127.00,131.00,3.61,2.8338,127.1740,128.6860,,,,-183419.0000,-144954.2000,0,0,0,54.0694,,53.0542,55.7563,53.4982,34374,22191,55.7563,53.4982,60.2725,0,0,0,,,,0,0,0,
2019/10/23,133.99,133.99,129.00,130.00,-1.00,-0.7634,128.5740,128.8870,,,,-192436.0000,-164197.8000,0,0,0,52.5130,,44.6286,52.0471,53.0145,9017,16327,52.0471,53.0145,50.1123,0,0,0,,,,0,0,0,
2019/10/24,131.00,133.00,127.01,129.50,-0.50,-0.3846,129.0760,130.0370,,,,-214015.0000,-174286.1000,0,0,0,51.6214,,32.2336,45.4426,50.4905,21579,17422,45.4426,50.4905,35.3467,0,0,0,,,,0,0,0,
2019/10/25,127.00,127.49,126.00,127.49,-2.01,-1.5521,129.0760,128.2860,,,,-221615.0000,-192294.0000,0,0,0,47.7135,49.6464,44.7586,45.2146,48.7319,7600,18514,45.2146,48.7319,38.1800,0,0,0,,,,0,0,0,
2019/10/28,127.49,129.99,126.00,126.01,-1.48,-1.1609,128.8000,127.4870,,,,-237971.0000,-205869.9000,0,0,0,44.7221,48.5380,38.5385,42.9892,46.8176,16356,17785,42.9892,46.8176,35.3323,0,0,0,,,,0,0,0,
