ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2019/11/20,29.47,74.90,29.47,74.90,0.00,0.00,,,,,,0.0000,,0,,,,,,,,115588,,,,,0,,,,,,0,,,
2019/11/21,71.25,79.89,50.83,79.89,4.99,6.6622,,,,,,179529.0000,,0,,,,,,,,179529,,,,,0,,,,,,0,,,
2019/11/22,76.10,107.00,76.00,94.00,14.11,17.6618,,,,,,370065.0000,,0,,,,,,,,190536,,,,,0,,,,,,0,,,
2019/11/25,94.00,95.00,80.33,84.00,-10.00,-10.6383,,,,,,312418.0000,,0,,,,,,,,57647,,,,,0,,,,,,0,,,
2019/11/26,84.42,84.42,80.00,80.00,-4.00,-4.7619,82.5580,,,,,307478.0000,,0,0,,,,,,,4940,109648,,,,0,0,,,,,0,0,,
2019/11/27,80.00,80.00,78.00,80.00,0.00,0.00,83.5780,,,,,307478.0000,,0,0,,,,,,,12340,88998,,,,0,0,,,,,0,0,,
2019/11/28,76.00,79.00,76.00,78.00,-2.00,-2.50,83.2000,,,,,281084.0000,,0,0,,54.4160,,,,,26394,58371,,,,0,0,,,,,0,0,,
2019/11/29,78.00,78.00,78.00,78.00,0.00,0.00,80.0000,,,,,281084.0000,,0,0,,54.4160,,,,,6800,21624,,,,0,0,,,,,0,0,,
2019/12/02,77.50,78.00,77.50,78.00,0.00,0.00,78.8000,,,,,281084.0000,,0,0,,54.4160,,62.5951,54.1984,51.3995,4000,10894,54.1984,51.3995,59.7962,0,0,,,,,0,0,,
2019/12/03,77.43,77.50,71.50,72.20,-5.80,-7.4359,77.2400,79.8990,,,,256375.0000,257659.5000,0,0,0,42.3293,,38.0452,48.8140,50.5376,24709,14848,48.8140,50.5376,45.3667,0,0,0,,,,0,0,0,
2019/12/04,70.40,71.00,63.70,63.70,-8.50,-11.7729,73.9800,78.7790,,,,237916.0000,281451.1000,0,0,0,30.4392,,0.0000,32.5427,44.5393,18459,16072,32.5427,44.5393,8.5494,0,0,0,,,,0,0,0,
2019/12/05,63.70,65.50,62.71,63.00,-0.70,-1.0989,70.9800,77.0900,,,,223097.0000,285807.9000,0,0,0,29.6171,,0.8981,21.9945,37.0244,14819,13757,21.9945,37.0244,-8.0653,0,0,0,,,,0,0,0,
2019/12/06,63.00,63.50,62.70,62.70,-0.30,-0.4762,67.9200,73.9600,,,,218947.0000,270696.1000,0,0,0,29.2113,37.8968,0.0000,14.6630,29.5706,4150,13227,14.6630,29.5706,-15.1522,0,0,0,,,,0,0,0,
2019/12/09,62.50,63.00,61.85,61.85,-0.85,-1.3557,64.6900,71.7450,,,,215747.0000,261029.0000,0,0,0,27.9112,37.2122,0.0000,9.7753,22.9722,3200,13067,9.7753,22.9722,-16.6183,0,0,0,,,,0,0,0,
2019/12/10,63.00,78.00,63.00,75.50,13.65,22.0695,65.3500,71.2950,,,,257037.0000,255984.9000,0,0,0,61.1943,52.3067,79.5918,33.0475,26.3306,41290,16383,33.0475,26.3306,46.4813,0,0,0,,,,0,0,0,
2019/12/11,76.80,77.00,69.70,72.10,-3.40,-4.5033,67.0300,70.5050,,,,217287.0000,246965.8000,0,0,0,53.7735,49.0993,63.4675,43.1875,31.9496,39750,20641,43.1875,31.9496,65.6633,0,0,0,,,,0,0,0,
2019/12/12,74.00,74.00,63.65,66.84,-5.26,-7.2954,67.7980,69.3890,,,,205437.0000,239401.1000,0,0,0,43.8921,44.4946,30.8978,39.0909,34.3300,11850,20048,39.0909,34.3300,48.6128,0,0,0,,,,0,0,0,
2019/12/13,63.46,66.80,63.46,66.50,-0.34,-0.5087,68.5580,68.2390,,,,202822.0000,231574.9000,0,0,0,43.2753,44.2023,28.7926,35.6581,34.7727,2615,19741,35.6581,34.7727,37.4290,0,0,0,,,,0,0,0,
2019/12/16,63.00,63.99,63.00,63.50,-3.00,-4.5113,68.8880,66.7890,,,,200622.0000,223528.7000,0,0,0,37.6701,41.5733,10.2167,27.1777,32.2410,2200,19541,27.1777,32.2410,17.0509,0,0,0,,,,0,0,0,
