ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2020/01/10,40.42,92.50,40.42,55.78,0.00,0.00,,,,,,0.0000,,0,,,,,,,,393,,,,,0,,,,,,0,,,
2020/01/13,53.01,55.78,43.71,47.19,-8.59,-15.3998,,,,,,-156.0000,,0,,,,,,,,156,,,,,0,,,,,,0,,,
2020/01/14,45.65,47.99,44.81,44.81,-2.38,-5.0434,,,,,,-193.0000,,0,,,,,,,,37,,,,,0,,,,,,0,,,
2020/01/15,45.68,46.15,42.77,46.15,1.34,2.9904,,,,,,-146.0000,,0,,,,,,,,47,,,,,0,,,,,,0,,,
2020/01/16,45.42,48.00,45.42,48.00,1.85,4.0087,48.3860,,,,,-84.0000,,0,0,,,,,,,62,139,,,,0,0,,,,,0,0,,
2020/01/17,46.51,48.74,46.41,46.87,-1.13,-2.3542,46.6040,,,,,-120.0000,,0,0,,,,,,,36,67,,,,0,0,,,,,0,0,,
2020/01/20,47.80,49.99,46.91,47.51,0.64,1.3655,46.6680,,,,,-57.0000,,0,0,,24.0427,,,,,63,49,,,,0,0,,,,,0,0,,
2020/01/30,47.61,47.99,45.81,46.99,-0.52,-1.0945,47.1040,,,,,-74.0000,,0,0,,23.1364,,,,,17,45,,,,0,0,,,,,0,0,,
2020/01/31,46.99,47.00,44.67,44.67,-2.32,-4.9372,46.8080,,,,,-89.0000,,0,0,,19.2513,,8.1605,36.0535,45.3512,15,38,36.0535,45.3512,17.4582,0,0,,,,,0,0,,
2020/02/03,44.67,44.99,43.00,43.00,-1.67,-3.7385,45.8080,47.0970,,,,-121.0000,-104.0000,0,0,0,16.8126,,1.7679,24.6250,38.4424,32,32,24.6250,38.4424,-3.0100,0,0,0,,,,0,0,0,
2020/02/04,43.99,44.00,43.80,43.80,0.80,1.8605,45.1940,45.8990,,,,-111.0000,-115.1000,0,0,0,22.4591,,14.2659,21.1720,32.6856,10,27,21.1720,32.6856,-1.8554,0,0,0,,,,0,0,0,
2020/02/05,45.66,45.66,42.01,43.40,-0.40,-0.9132,44.3720,45.5200,,,,-130.0000,-112.5000,0,0,0,21.5802,,17.4185,19.9208,28.4307,19,18,19.9208,28.4307,2.9011,0,0,0,,,,0,0,0,
2020/02/06,43.00,43.00,43.00,43.00,-0.40,-0.9217,43.5740,45.3390,,,,-132.0000,-106.4000,0,0,0,20.6123,21.0073,12.4060,17.4159,24.7591,2,15,17.4159,24.7591,2.7295,0,0,0,,,,0,0,0,
