ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2020/10/15,81.50,105.00,81.50,89.30,0.00,0.00,,,,,,0.0000,,0,,,,,,,,2039,,,,,0,,,,,,0,,,
2020/10/16,87.90,92.20,85.10,89.90,0.60,0.6719,,,,,,555.0000,,0,,,,,,,,555,,,,,0,,,,,,0,,,
2020/10/19,89.90,93.30,86.40,90.80,0.90,1.0011,,,,,,1019.0000,,0,,,,,,,,464,,,,,0,,,,,,0,,,
2020/10/20,90.80,91.70,86.50,86.50,-4.30,-4.7357,,,,,,752.0000,,0,,,,,,,,267,,,,,0,,,,,,0,,,
2020/10/21,87.90,89.90,85.20,86.40,-0.10,-0.1156,88.5800,,,,,501.0000,,0,0,,,,,,,251,715,,,,0,0,,,,,0,0,,
2020/10/22,86.70,90.20,86.10,87.70,1.30,1.5046,88.2600,,,,,659.0000,,0,0,,,,,,,158,339,,,,0,0,,,,,0,0,,
2020/10/23,88.40,88.40,85.20,86.70,-1.00,-1.1403,87.6200,,,,,532.0000,,0,0,,34.1463,,,,,127,253,,,,0,0,,,,,0,0,,
2020/10/26,85.70,87.00,81.70,82.00,-4.70,-5.421,85.8600,,,,,174.0000,,0,0,,20.2312,,,,,358,232,,,,0,0,,,,,0,0,,
2020/10/27,81.70,84.30,80.10,81.00,-1.00,-1.2195,84.7600,,,,,-11.0000,,0,0,,18.3246,,3.6145,34.5382,44.8461,185,215,34.5382,44.8461,13.9224,0,0,,,,,0,0,,
2020/10/28,81.90,81.90,77.60,78.80,-2.20,-2.716,83.2400,85.9100,,,,-331.0000,385.0000,0,0,0,14.6738,,7.6433,25.5732,38.4218,320,229,25.5732,38.4218,-0.1239,0,0,0,,,,0,0,0,
2020/10/29,77.10,80.30,75.00,78.60,-0.20,-0.2538,81.4200,84.8400,,,,-549.0000,330.1000,0,0,0,14.3617,,19.6721,23.6062,33.4832,218,241,23.6062,33.4832,3.8521,0,0,0,,,,0,0,0,
2020/10/30,78.50,83.40,78.50,81.50,2.90,3.6896,80.3800,84.0000,,,,-396.0000,235.0000,0,0,0,37.4961,,38.9222,28.7115,31.8927,153,246,28.7115,31.8927,22.3492,0,0,0,,,,0,0,0,
2020/11/02,81.00,82.00,77.00,81.40,-0.10,-0.1227,80.2600,83.0600,,,,-438.0000,89.3000,0,0,0,37.0816,29.5337,42.1053,33.1761,32.3205,42,183,33.1761,32.3205,34.8873,0,0,0,,,,0,0,0,
2020/11/03,79.50,80.30,78.10,79.70,-1.70,-2.0885,80.0000,82.3800,,,,-487.0000,-34.6000,0,0,0,30.2580,26.9446,30.9211,32.4244,32.3551,49,156,32.4244,32.3551,32.5630,0,0,0,,,,0,0,0,
2020/11/04,79.50,80.20,79.00,80.00,0.30,0.3764,80.2400,81.7400,,,,-391.0000,-123.8000,0,0,0,32.8738,28.1571,37.3134,34.0541,32.9214,96,111,34.0541,32.9214,36.3194,0,0,0,,,,0,0,0,
2020/11/05,80.00,80.80,79.60,79.80,-0.20,-0.25,80.4800,80.9500,,,,-474.0000,-237.1000,0,0,0,31.9161,27.8212,40.0000,36.0361,33.9596,83,84,36.0361,33.9596,40.1889,0,0,0,,,,0,0,0,
2020/11/06,80.30,80.30,77.70,79.90,0.10,0.1253,80.1600,80.2700,,,,-423.0000,-332.6000,0,0,0,33.0857,28.2878,52.6882,41.5868,36.5020,51,64,41.5868,36.5020,51.7562,0,0,0,,,,0,0,0,
2020/11/09,79.70,80.10,77.80,79.90,0.00,0.00,79.8600,80.0600,,,,-423.0000,-392.3000,0,0,0,33.0857,28.2878,58.3333,47.1690,40.0577,99,75,47.1690,40.0577,61.3915,0,0,0,,,,0,0,0,
2020/11/10,78.80,79.60,77.10,78.70,-1.20,-1.5019,79.6600,79.8300,,,,-520.0000,-443.2000,0,0,0,25.5125,25.8974,44.0476,46.1285,42.0813,97,85,46.1285,42.0813,54.2230,0,0,0,,,,0,0,0,
2020/11/11,78.00,78.90,77.70,78.60,-0.10,-0.1271,79.3800,79.8100,82.8600,,,-577.0000,-467.8000,0,0,0,24.9415,25.6999,25.0000,39.0857,41.0827,57,77,39.0857,41.0827,35.0915,0,0,0,,,,0,0,0,
2020/11/12,78.60,83.00,78.50,82.00,3.40,4.3257,79.8200,80.1500,82.4950,,,-281.0000,-441.0000,0,0,0,60.7641,42.0781,83.3333,53.8349,45.3335,296,120,53.8349,45.3335,70.8378,0,0,0,,,,0,0,0,
2020/11/13,82.40,87.20,81.90,85.00,3.00,3.6585,80.8400,80.5000,82.2500,,,149.0000,-386.5000,0,0,0,73.9354,52.2168,78.2178,61.9625,50.8765,430,195,61.9625,50.8765,84.1346,0,0,0,,,,0,0,0,
2020/11/16,85.00,89.70,85.00,88.90,3.90,4.5882,82.6400,81.2500,82.1550,,,828.0000,-259.9000,0,0,0,82.8937,61.7195,93.6508,72.5253,58.0928,679,311,72.5253,58.0928,101.3904,0,0,0,,,,0,0,0,
2020/11/17,89.20,93.50,88.00,89.90,1.00,1.1249,84.8800,82.2700,82.3250,,,1443.0000,-66.9000,0,0,0,84.5298,63.7368,78.0488,74.3665,63.5173,615,415,74.3665,63.5173,96.0647,0,0,0,,,,0,0,0,
2020/11/18,89.90,90.30,87.70,88.00,-1.90,-2.1135,86.7600,83.0700,82.4050,,,1221.0000,94.3000,0,0,0,69.3972,57.4606,66.4634,71.7321,66.2556,222,448,71.7321,66.2556,82.6852,0,0,0,,,,0,0,0,
2020/11/19,88.90,90.20,87.90,88.60,0.60,0.6818,88.0800,83.9500,82.4500,,,1355.0000,277.2000,0,0,0,71.3414,58.8563,70.1220,71.1954,67.9022,134,416,71.1954,67.9022,77.7818,0,0,0,,1.2961,,0,0,0,
2020/11/20,87.70,88.80,85.60,87.20,-1.40,-1.5801,88.5200,84.6800,82.4750,,,1194.0000,438.9000,0,0,0,60.5675,54.3197,61.5854,67.9920,67.9321,161,362,67.9920,67.9321,68.1119,0,0,0,,1.3605,,0,0,0,
2020/11/23,86.90,88.40,84.10,84.50,-2.70,-3.0963,87.6400,85.1400,82.6000,,,1066.0000,587.8000,0,0,0,44.8814,46.7400,43.0380,59.6740,65.1794,128,252,59.6740,65.1794,48.6632,0,0,0,,1.1802,,0,0,0,
2020/11/24,85.50,85.50,83.70,84.40,-0.10,-0.1183,86.5400,85.7100,82.7700,,,849.0000,724.7000,0,0,0,44.3707,46.4780,39.3333,52.8938,61.0842,217,172,52.8938,61.0842,36.5129,0,0,0,,1.0174,,0,0,0,
2020/11/25,84.40,84.70,83.50,84.00,-0.40,-0.4739,85.7400,86.2500,83.0300,,,725.0000,854.9000,0,0,0,42.0726,45.3681,18.1034,41.2970,54.4885,124,152,41.2970,54.4885,14.9141,0,0,0,,0.8464,,0,0,0,
