ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/04,12.50,12.50,12.20,12.45,0.00,0.00,,,,,,0.0000,,104,,,,,,,,22,,,,,0,,,,,,104,,,
2012/06/05,12.50,12.50,12.45,12.50,0.05,0.4016,,,,,,20.0000,,104,,,,,,,,20,,,,,0,,,,,,104,,,
2012/06/06,12.75,12.75,12.45,12.45,-0.05,-0.40,,,,,,-3.0000,,104,,,,,,,,23,,,,,0,,,,,,104,,,
2012/06/07,12.65,12.65,12.30,12.45,0.00,0.00,,,,,,-3.0000,,111,,,,,,,,29,,,,,0,,,,,,111,,,
2012/06/08,12.10,12.40,12.10,12.40,-0.05,-0.4016,12.4500,,,,,-12.0000,,111,107,,,,,,,9,20,,,,0,0,,,,,111,107,,
2012/06/11,12.50,12.50,12.35,12.35,-0.05,-0.4032,12.4300,,,,,-15.0000,,111,108,,,,,,,3,16,,,,0,0,,,,,111,108,,
2012/06/12,12.35,12.35,12.25,12.25,-0.10,-0.8097,12.3800,,,,,-40.0000,,111,110,,16.6667,,,,,25,17,,,,0,0,,,,,111,110,,
2012/06/13,12.25,12.50,12.25,12.25,0.00,0.00,12.3400,,,,,-40.0000,,111,111,,16.6667,,,,,29,19,,,,0,0,,,,,111,111,,
2012/06/14,12.25,12.25,12.25,12.25,0.00,0.00,12.3000,,,,,-40.0000,,111,111,,16.6667,,23.0769,41.0256,47.0085,11,15,41.0256,47.0085,29.0598,0,0,,,,,111,111,,
2012/06/15,12.25,12.35,12.25,12.30,0.05,0.4082,12.2800,12.3650,,,,-15.0000,-14.8000,111,111,109,35.3002,,30.7692,37.6068,43.8746,25,18,37.6068,43.8746,25.0712,0,0,0,,,,111,111,109,
2012/06/18,12.50,12.50,12.30,12.40,0.10,0.813,12.2900,12.3600,,,,24.0000,-12.4000,111,111,110,57.8954,,46.1538,40.4558,42.7350,39,25,40.4558,42.7350,35.8974,0,0,0,,,,111,111,110,
2012/06/19,12.40,12.50,12.40,12.40,0.00,0.00,12.3200,12.3500,,,,24.0000,-12.0000,111,111,110,57.8954,,54.5455,45.1524,43.5408,11,23,45.1524,43.5408,48.3755,0,0,0,,,,111,111,110,
2012/06/20,12.55,12.55,12.50,12.50,0.10,0.8065,12.3700,12.3550,,,,26.0000,-9.1000,111,111,111,71.9844,54.5455,88.8889,59.7312,48.9376,2,17,59.7312,48.9376,81.3184,0,0,0,,,,111,111,111,
2012/06/21,12.40,12.40,12.10,12.25,-0.25,-2.00,12.3700,12.3350,,,,-41.0000,-12.9000,111,111,111,35.9230,36.4641,33.3333,50.9319,49.6024,67,28,50.9319,49.6024,53.5910,0,0,0,,,,111,111,111,
2012/06/22,12.10,12.20,11.50,12.05,-0.20,-1.6327,12.3200,12.3000,,,,-120.0000,-23.7000,111,111,111,24.2572,28.2820,52.3810,51.4149,50.2066,79,39,51.4149,50.2066,53.8317,0,0,0,,,,111,111,111,
2012/06/25,12.00,12.20,11.90,12.20,0.15,1.2448,12.2800,12.2850,,,,-92.0000,-31.4000,111,111,111,41.3878,39.4064,66.6667,56.4988,52.3040,28,37,56.4988,52.3040,64.8885,0,0,0,,,,111,111,111,
2012/06/26,12.05,12.10,12.05,12.05,-0.15,-1.2295,12.2100,12.2650,,,,-105.0000,-37.9000,111,111,111,32.5529,33.7033,52.3810,55.1262,53.2447,13,37,55.1262,53.2447,58.8892,0,0,0,,,,111,111,111,
2012/06/27,12.00,12.25,12.00,12.20,0.15,1.2448,12.1500,12.2600,,,,-82.0000,-42.1000,111,111,111,46.3069,42.7431,66.6667,58.9730,55.1542,23,42,58.9730,55.1542,66.6108,0,0,0,,,,111,111,111,
2012/06/28,12.20,12.30,12.05,12.20,0.00,0.00,12.1400,12.2550,,,,-82.0000,-46.3000,111,111,111,46.3069,42.7431,66.6667,61.5376,57.2820,93,47,61.5376,57.2820,70.0488,0,0,0,,,,111,111,111,
2012/06/29,12.20,12.30,12.10,12.20,0.00,0.00,12.1700,12.2450,12.3050,,,-82.0000,-53.0000,111,111,111,46.3069,42.7431,66.6667,63.2473,59.2704,102,51,63.2473,59.2704,71.2010,0,0,0,,,,111,111,111,
2012/07/02,12.10,12.30,12.10,12.15,-0.05,-0.4098,12.1600,12.2200,12.2900,,,-110.0000,-66.4000,111,111,111,41.4394,40.3614,61.9048,62.7998,60.4469,28,51,62.7998,60.4469,67.5056,0,0,0,,,,111,111,111,
2012/07/03,12.15,12.15,11.85,12.15,0.00,0.00,12.1800,12.1950,12.2725,,,-110.0000,-79.8000,111,111,111,41.4394,40.3614,72.2222,65.9406,62.2781,68,62,65.9406,62.2781,73.2656,0,0,0,,,,111,111,111,
2012/07/04,12.15,12.50,12.15,12.35,0.20,1.6461,12.2100,12.1800,12.2675,,,-14.0000,-83.8000,111,111,111,63.5239,52.8640,85.0000,72.2937,65.6166,96,77,72.2937,65.6166,85.6479,0,0,0,,,,111,111,111,
2012/07/05,12.50,12.50,12.30,12.40,0.05,0.4049,12.2500,12.1950,12.2650,,,2.0000,-79.5000,111,111,111,67.2313,55.4132,84.6154,76.4009,69.2114,16,62,76.4009,69.2114,90.7800,0,0,0,,,,111,111,111,
2012/07/06,12.55,12.80,12.30,12.30,-0.10,-0.8065,12.2700,12.2200,12.2600,,,-20.0000,-69.5000,111,111,111,54.0475,49.5647,47.3684,66.7234,68.3821,22,46,66.7234,68.3821,63.4061,0,0,0,,,,111,111,111,
2012/07/09,12.55,12.95,12.50,12.90,0.60,4.878,12.4200,12.2900,12.2875,,,84.0000,-51.9000,111,111,111,80.9475,70.1713,95.4545,76.3005,71.0215,104,61,76.3005,71.0215,86.8583,0,0,0,,0.0479,,111,111,111,
2012/07/10,12.90,12.90,12.65,12.65,-0.25,-1.938,12.5200,12.3500,12.3075,,,29.0000,-38.5000,111,111,111,62.6193,59.1806,72.7273,75.1094,72.3842,55,58,75.1094,72.3842,80.5599,0,0,0,,0.0671,,111,111,111,
2012/07/11,13.40,13.40,12.80,12.95,0.30,2.3715,12.6400,12.4250,12.3425,,,79.0000,-22.4000,111,111,111,71.8104,66.1261,70.9677,73.7289,72.8324,50,49,73.7289,72.8324,75.5218,0,0,0,,0.1054,,111,111,111,
