ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/02/09,28.00,28.15,27.90,28.15,0.00,0.00,,,,,,0.0000,,49,,,,,,,,25,,,,,0,,,,,,49,,,
2012/02/10,28.00,28.00,26.85,27.85,-0.30,-1.0657,,,,,,-59.0000,,48,,,,,,,,59,,,,,0,,,,,,48,,,
2012/02/13,27.25,27.65,27.25,27.60,-0.25,-0.8977,,,,,,-94.0000,,46,,,,,,,,35,,,,,0,,,,,,46,,,
2012/02/14,27.75,28.90,27.60,28.60,1.00,3.6232,,,,,,-8.0000,,42,,,,,,,,86,,,,,0,,,,,,42,,,
2012/02/15,28.20,28.45,28.10,28.30,-0.30,-1.049,28.1000,,,,,-29.0000,,41,45,,,,,,,21,45,,,,0,0,,,,,41,45,,
2012/02/16,28.60,28.95,27.90,28.30,0.00,0.00,28.1300,,,,,-29.0000,,37,43,,,,,,,28,45,,,,0,0,,,,,37,43,,
2012/02/17,28.00,28.15,27.60,28.15,-0.15,-0.53,28.1900,,,,,-49.0000,,34,40,,50.0000,,,,,20,38,,,,0,0,,,,,34,40,,
2012/02/20,28.70,28.95,28.25,28.50,0.35,1.2433,28.3700,,,,,-33.0000,,33,38,,58.6777,,,,,16,34,,,,0,0,,,,,33,38,,
2012/02/21,29.25,29.25,28.60,28.65,0.15,0.5263,28.3800,,,,,-13.0000,,31,35,,62.0637,,75.0000,58.3333,52.7778,20,21,58.3333,52.7778,69.4444,0,0,,,,,31,35,,
2012/02/22,29.00,29.15,28.60,28.90,0.25,0.8726,28.5000,28.3000,,,,16.0000,-29.8000,31,33,39,67.4055,,85.4167,67.3611,57.6389,29,22,67.3611,57.6389,86.8056,0,0,0,,,,31,33,39,
2012/02/23,28.20,28.60,28.10,28.60,-0.30,-1.0381,28.5600,28.3450,,,,6.0000,-29.2000,31,32,38,56.0421,,67.5000,67.4074,60.8951,10,19,67.4074,60.8951,80.4321,0,0,0,,,,31,32,38,
