ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,89.00,89.50,88.00,88.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,23400,,,,,0,,,,,,0,,,
2012/06/28,88.00,89.00,88.00,89.00,1.00,1.1364,,,,,,3100.0000,,0,,,,,,,,3100,,,,,0,,,,,,0,,,
2012/06/29,89.50,91.57,89.00,91.00,2.00,2.2472,,,,,,16100.0000,,0,,,,,,,,13000,,,,,0,,,,,,0,,,
2012/07/02,91.00,91.00,90.00,90.00,-1.00,-1.0989,,,,,,5100.0000,,0,,,,,,,,11000,,,,,0,,,,,,0,,,
2012/07/03,90.00,90.00,90.00,90.00,0.00,0.00,89.6000,,,,,5100.0000,,0,0,,,,,,,1000,10300,,,,0,0,,,,,0,0,,
2012/07/04,90.00,90.00,89.30,89.30,-0.70,-0.7778,89.8600,,,,,-7730.0000,,0,0,,,,,,,12830,8186,,,,0,0,,,,,0,0,,
2012/07/05,89.00,89.50,87.70,89.00,-0.30,-0.3359,89.8600,,,,,-26730.0000,,0,0,,60.0000,,,,,19000,11366,,,,0,0,,,,,0,0,,
2012/07/06,88.00,88.00,88.00,88.00,-1.00,-1.1236,89.2600,,,,,-29730.0000,,0,0,,48.3871,,,,,3000,9366,,,,0,0,,,,,0,0,,
2012/07/09,88.00,88.00,86.50,87.00,-1.00,-1.1364,88.6600,,,,,-56730.0000,,0,0,,39.2670,,9.8619,36.6206,45.5402,27000,12566,36.6206,45.5402,18.7815,0,0,,,,,0,0,,
2012/07/10,87.50,87.50,86.00,87.00,0.00,0.00,88.0600,88.8300,,,,-56730.0000,-14825.0000,0,0,0,39.2670,,17.9533,30.3982,40.4929,17000,15766,30.3982,40.4929,10.2089,0,0,0,,,,0,0,0,
2012/07/11,86.00,87.50,86.00,86.00,-1.00,-1.1494,87.4000,88.6300,,,,-69797.0000,-21804.7000,0,0,0,30.8845,,0.0000,20.2655,33.7504,13067,15813,20.2655,33.7504,-6.7044,0,0,0,,,,0,0,0,
2012/07/12,87.50,87.50,86.00,87.00,1.00,1.1628,87.0000,88.4300,,,,-64797.0000,-28594.4000,0,0,0,44.9792,,20.0000,20.1770,29.2259,5000,13013,20.1770,29.2259,2.0791,0,0,0,,,,0,0,0,
2012/07/13,87.00,87.00,87.00,87.00,0.00,0.00,86.8000,88.0300,,,,-64797.0000,-36684.1000,0,0,0,44.9792,44.4444,25.0000,21.7847,26.7455,500,12513,21.7847,26.7455,11.8629,0,0,0,,,,0,0,0,
2012/07/16,86.00,87.89,86.00,86.50,-0.50,-0.5747,86.7000,87.6800,,,,-76797.0000,-44873.8000,0,0,0,39.2205,41.9048,12.5000,18.6898,24.0603,12000,9513,18.6898,24.0603,7.9488,0,0,0,,,,0,0,0,
2012/07/17,86.00,86.50,86.00,86.50,0.00,0.00,86.6000,87.3300,,,,-76797.0000,-53063.5000,0,0,0,39.2205,41.9048,14.2857,17.2218,21.7808,25600,11233,17.2218,21.7808,8.1037,0,0,0,,,,0,0,0,
2012/07/19,86.00,86.10,85.50,86.00,-0.50,-0.578,86.6000,87.0000,,,,-109297.0000,-63220.2000,0,0,0,33.1152,39.2365,20.0000,18.1478,20.5698,32500,15120,18.1478,20.5698,13.3039,0,0,0,,,,0,0,0,
2012/07/20,87.70,87.70,86.00,86.00,0.00,0.00,86.4000,86.7000,,,,-109297.0000,-71476.9000,0,0,0,33.1152,39.2365,20.0000,18.7652,19.9683,6400,15400,18.7652,19.9683,16.3591,0,0,0,,,,0,0,0,
2012/07/23,85.50,86.00,85.50,86.00,0.00,0.00,86.2000,86.5000,,,,-109297.0000,-79433.6000,0,0,0,33.1152,39.2365,20.9205,19.4836,19.8067,15000,18300,19.4836,19.8067,18.8375,0,0,0,,,,0,0,0,
2012/07/24,86.00,86.00,85.50,86.00,0.00,0.00,86.1000,86.4000,,,,-109297.0000,-84690.3000,0,0,0,33.1152,39.2365,20.9205,19.9626,19.8587,23000,20500,19.9626,19.8587,20.1704,0,0,0,,,,0,0,0,
2012/07/25,86.50,86.50,86.00,86.50,0.50,0.5814,86.1000,86.3500,87.5900,,,-86297.0000,-87647.0000,0,0,0,49.4364,44.2630,41.8410,27.2554,22.3243,23000,19980,27.2554,22.3243,37.1177,0,0,0,,,,0,0,0,
