ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,10.50,10.90,10.50,10.85,0.00,0.00,,,,,,0.0000,,754,,,,,,,,169,,,,,0,,,,,,754,,,
2012/06/20,10.95,10.95,10.60,10.70,-0.15,-1.3825,,,,,,-103.0000,,754,,,,,,,,103,,,,,0,,,,,,754,,,
2012/06/21,10.90,10.90,10.50,10.60,-0.10,-0.9346,,,,,,-203.0000,,754,,,,,,,,100,,,,,0,,,,,,754,,,
2012/06/22,10.50,11.30,10.40,11.30,0.70,6.6038,,,,,,180.0000,,754,,,,,,,,383,,,,,0,,,,,,754,,,
2012/06/25,11.45,11.50,11.15,11.50,0.20,1.7699,10.9900,,,,,543.0000,,754,754,,,,,,,363,223,,,,0,0,,,,,754,754,,
2012/06/26,11.50,11.50,10.90,11.00,-0.50,-4.3478,11.0200,,,,,340.0000,,754,754,,,,,,,203,230,,,,0,0,,,,,754,754,,
2012/06/27,11.15,11.15,10.80,10.80,-0.20,-1.8182,11.0400,,,,,240.0000,,754,754,,48.6486,,,,,100,229,,,,0,0,,,,,754,754,,
2012/06/28,10.85,11.05,10.80,10.80,0.00,0.00,11.0800,,,,,240.0000,,754,754,,48.6486,,,,,89,227,,,,0,0,,,,,754,754,,
2012/06/29,11.00,11.00,10.80,10.80,0.00,0.00,10.9800,,,,,240.0000,,754,754,,48.6486,,36.3636,45.4545,48.4848,80,167,45.4545,48.4848,39.3939,0,0,,,,,754,754,,
2012/07/02,10.90,11.10,10.90,11.00,0.20,1.8519,10.8800,10.9350,,,,329.0000,180.6000,754,754,754,56.7316,,54.5455,48.4848,48.4848,89,112,48.4848,48.4848,48.4848,0,0,0,,,,754,754,754,
2012/07/03,11.00,11.15,10.90,11.00,0.00,0.00,10.8800,10.9500,,,,329.0000,213.5000,754,754,754,56.7316,,54.5455,50.5051,49.1582,93,90,50.5051,49.1582,53.1987,0,0,0,,,,754,754,754,
2012/07/04,11.15,11.15,11.00,11.05,0.05,0.4545,10.9300,10.9850,,,,458.0000,269.6000,754,754,754,59.0520,,59.0909,53.3670,50.5612,129,96,53.3670,50.5612,58.9787,0,0,0,,,,754,754,754,
2012/07/05,11.15,11.20,11.00,11.00,-0.05,-0.4525,10.9700,11.0250,,,,365.0000,326.4000,754,754,754,55.4816,53.4884,28.5714,45.1018,48.7414,93,96,45.1018,48.7414,37.8227,0,0,0,,,,754,754,754,
2012/07/06,11.00,11.00,10.80,10.85,-0.15,-1.3636,10.9800,10.9800,,,,302.0000,338.6000,754,754,754,45.5640,49.7053,7.1429,32.4488,43.3105,63,93,32.4488,43.3105,10.7254,0,0,0,,,,754,754,754,
2012/07/09,10.65,10.65,10.20,10.40,-0.45,-4.1475,10.8600,10.8700,,,,89.0000,293.2000,754,754,754,27.7235,40.3626,20.0000,28.2992,38.3068,213,118,28.2992,38.3068,8.2841,0,0,0,,,,754,754,754,
2012/07/10,10.30,10.35,10.15,10.30,-0.10,-0.9615,10.7200,10.8000,,,,-24.0000,256.8000,754,754,754,25.1025,38.6035,14.2857,23.6281,33.4139,113,122,23.6281,33.4139,4.0564,0,0,0,,,,754,754,754,
2012/07/11,10.30,10.55,10.30,10.50,0.20,1.9417,10.6100,10.7700,,,,55.0000,238.3000,754,754,754,38.9538,43.9346,33.3333,26.8631,31.2303,79,112,26.8631,31.2303,18.1289,0,0,0,,,,754,754,754,
2012/07/12,10.30,10.40,10.30,10.30,-0.20,-1.9048,10.4700,10.7200,,,,-15.0000,212.8000,754,754,754,31.8791,40.1330,14.2857,22.6707,28.3771,70,107,22.6707,28.3771,11.2578,0,0,0,,,,754,754,754,
2012/07/13,10.15,10.30,10.00,10.00,-0.30,-2.9126,10.3000,10.6400,,,,-136.0000,175.2000,754,754,754,24.0250,35.1554,0.0000,15.1138,23.9560,121,119,15.1138,23.9560,-2.5706,0,0,0,,,,754,754,754,
2012/07/16,10.05,10.30,10.00,10.05,0.05,0.50,10.2300,10.5450,10.7400,,,-46.0000,137.7000,754,754,754,27.5928,36.5854,4.1667,11.4647,19.7922,90,94,11.4647,19.7922,-5.1902,0,0,0,,,,754,754,754,
2012/07/17,10.05,10.15,9.90,10.10,0.05,0.4975,10.1900,10.4550,10.7025,,,102.0000,115.0000,754,754,754,31.4555,38.0752,15.3846,12.7714,17.4519,148,101,12.7714,17.4519,3.4102,0,0,0,,,,754,754,754,
2012/07/18,10.10,10.10,9.80,10.00,-0.10,-0.9901,10.0900,10.3500,10.6675,,,11.0000,70.3000,754,754,754,27.8853,36.2188,16.6667,14.0698,16.3246,91,104,14.0698,16.3246,9.5603,0,0,0,,,,754,754,754,
2012/07/19,10.05,10.10,10.00,10.00,0.00,0.00,10.0300,10.2500,10.6375,,,11.0000,34.9000,754,754,754,27.8853,36.2188,23.5294,17.2230,16.6240,99,109,17.2230,16.6240,18.4209,0,0,0,,,,754,754,754,
2012/07/20,10.00,10.15,9.95,9.97,-0.03,-0.30,10.0240,10.1620,10.5710,,,-74.0000,-2.7000,754,754,754,26.5819,35.5991,22.6667,19.0376,17.4285,85,102,19.0376,17.4285,22.2556,0,0,0,,,,754,754,754,
2012/07/23,9.94,9.94,9.75,9.93,-0.04,-0.4012,10.0000,10.1150,10.4925,,,-170.0000,-28.6000,754,754,754,24.7323,34.7346,22.5000,20.1917,18.3496,96,103,20.1917,18.3496,23.8759,0,0,0,,,,754,754,754,
2012/07/24,9.92,9.92,9.56,9.69,-0.24,-2.4169,9.9180,10.0540,10.4270,,,-252.0000,-51.4000,754,754,754,16.4774,29.9710,15.4762,18.6199,18.4397,82,90,18.6199,18.4397,18.9802,0,0,0,,-0.4403,,754,754,754,
