ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/11,14.55,14.55,14.45,14.50,0.00,0.00,,,,,,0.0000,,13,,,,,,,,27,,,,,0,,,,,,13,,,
2012/06/12,14.40,14.50,14.30,14.50,0.00,0.00,,,,,,0.0000,,13,,,,,,,,53,,,,,0,,,,,,13,,,
2012/06/13,14.50,14.55,14.50,14.50,0.00,0.00,,,,,,0.0000,,13,,,,,,,,18,,,,,0,,,,,,13,,,
2012/06/14,14.50,14.55,14.40,14.55,0.05,0.3448,,,,,,24.0000,,13,,,,,,,,24,,,,,0,,,,,,13,,,
2012/06/15,14.60,14.65,14.55,14.65,0.10,0.6873,14.5400,,,,,79.0000,,13,14,,,,,,,55,35,,,,0,0,,,,,13,14,,
2012/06/18,14.80,14.85,14.75,14.75,0.10,0.6826,14.5900,,,,,131.0000,,13,14,,,,,,,52,40,,,,0,0,,,,,13,14,,
2012/06/19,14.85,14.85,14.70,14.70,-0.05,-0.339,14.6300,,,,,105.0000,,13,14,,83.3333,,,,,26,35,,,,0,0,,,,,13,14,,
2012/06/20,14.70,14.80,14.70,14.80,0.10,0.6803,14.6900,,,,,174.0000,,13,14,,88.0952,,,,,69,45,,,,0,0,,,,,13,14,,
2012/06/21,14.80,14.90,14.75,14.90,0.10,0.6757,14.7600,,,,,210.0000,,13,14,,91.1348,,100.0000,66.6667,55.5556,36,47,66.6667,55.5556,88.8889,0,0,,,,,13,14,,
2012/06/22,14.80,14.85,14.80,14.80,-0.10,-0.6711,14.7900,14.6650,,,,194.0000,91.7000,13,14,14,69.7611,,83.3333,72.2222,61.1111,16,39,72.2222,61.1111,94.4444,0,0,0,,,,13,14,14,
2012/06/25,14.85,14.85,14.70,14.70,-0.10,-0.6757,14.7800,14.6850,,,,163.0000,108.0000,13,14,14,54.4399,,60.0000,68.1481,63.4568,31,35,68.1481,63.4568,77.5309,0,0,0,,,,13,14,14,
2012/06/26,14.70,14.80,14.65,14.80,0.10,0.6803,14.8000,14.7150,,,,191.0000,127.1000,13,14,14,63.9428,,80.0000,72.0988,66.3374,28,36,72.0988,66.3374,83.6214,0,0,0,,,,13,14,14,
2012/06/27,14.80,15.15,14.80,15.00,0.20,1.3514,14.8400,14.7650,,,,225.0000,149.6000,13,14,14,75.9712,75.0000,75.0000,73.0658,68.5802,34,29,73.0658,68.5802,82.0370,0,0,0,,,,13,14,14,
2012/06/28,15.00,15.00,14.85,15.00,0.00,0.00,14.8600,14.8100,,,,225.0000,169.7000,13,14,14,75.9712,75.0000,70.0000,72.0439,69.7348,55,32,72.0439,69.7348,76.6621,0,0,0,,,,13,14,14,
2012/06/29,14.85,15.00,14.85,15.00,0.00,0.00,14.9000,14.8450,,,,225.0000,184.3000,13,14,14,75.9712,75.0000,70.0000,71.3626,70.2774,21,33,71.3626,70.2774,73.5330,0,0,0,,,,13,14,14,
2012/07/02,15.00,15.10,14.90,15.10,0.10,0.6667,14.9800,14.8800,,,,280.0000,199.2000,13,14,14,81.3474,77.8727,90.0000,77.5751,72.7100,55,38,77.5751,72.7100,87.3053,0,0,0,,,,13,14,14,
2012/07/03,15.10,15.15,15.10,15.15,0.05,0.3311,15.0500,14.9250,,,,315.0000,220.2000,13,14,14,83.5550,79.1778,100.0000,85.0500,76.8233,35,40,85.0500,76.8233,101.5035,0,0,0,,,,13,14,14,
2012/07/04,15.05,15.25,15.05,15.25,0.10,0.6601,15.1000,14.9700,,,,401.0000,242.9000,13,14,14,87.1929,81.5518,100.0000,90.0334,81.2267,86,50,90.0334,81.2267,107.6468,0,0,0,,,,13,14,14,
2012/07/05,15.20,15.20,15.10,15.10,-0.15,-0.9836,15.1200,14.9900,,,,347.0000,256.6000,13,14,14,62.3614,68.7292,75.0000,85.0222,82.4919,54,50,85.0222,82.4919,90.0830,0,0,0,,,,13,14,14,
2012/07/06,15.05,15.15,15.00,15.10,0.00,0.00,15.1400,15.0200,14.8425,,,347.0000,271.9000,13,14,14,62.3614,68.7292,75.0000,81.6815,82.2217,34,52,81.6815,82.2217,80.6010,0,0,0,,,,13,14,14,
2012/07/09,15.10,15.10,15.10,15.10,0.00,0.00,15.1400,15.0600,14.8725,,,347.0000,290.3000,13,14,14,62.3614,68.7292,66.6667,76.6766,80.3733,13,44,76.6766,80.3733,69.2830,0,0,0,,,,13,14,14,
2012/07/10,15.00,15.00,14.90,15.00,-0.10,-0.6623,15.1100,15.0800,14.8975,,,313.0000,302.5000,13,14,14,46.9562,60.4964,37.5000,63.6177,74.7881,34,44,63.6177,74.7881,41.2768,0,0,0,,,,13,14,14,
2012/07/11,15.00,15.00,14.85,15.00,0.00,0.00,15.0600,15.0800,14.9225,,,313.0000,311.3000,13,14,14,46.9562,60.4964,37.5000,54.9118,68.1627,41,35,54.9118,68.1627,28.4100,0,0,0,,,,13,14,14,
2012/07/12,14.85,14.90,14.80,14.90,-0.10,-0.6667,15.0200,15.0700,14.9400,,,267.0000,315.5000,13,14,14,34.6355,52.9483,22.2222,44.0153,60.1135,46,33,44.0153,60.1135,11.8187,0,0,0,,,,13,14,14,
