ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,47.00,47.50,47.00,47.05,0.00,0.00,,,,,,0.0000,,78657,,,,,,,,788,,,,,110,,,,,,79419,,,
2012/06/29,47.05,50.30,47.05,50.30,3.25,6.9075,,,,,,2899.0000,,79115,,,,,,,,2899,,,,,128,,,,,,79895,,,
2012/07/02,50.60,52.30,50.50,51.70,1.40,2.7833,,,,,,6279.0000,,78760,,,,,,,,3380,,,,,143,,,,,,79250,,,
2012/07/03,51.80,51.80,50.80,51.60,-0.10,-0.1934,,,,,,4909.0000,,78619,,,,,,,,1370,,,,,136,,,,,,79102,,,
2012/07/04,52.00,52.60,51.60,51.70,0.10,0.1938,50.4700,,,,,6423.0000,,78745,78780,,,,,,,1514,1990,,,,181,141,,,,,79280,79390,,
2012/07/05,51.80,52.20,50.80,51.00,-0.70,-1.354,51.2600,,,,,5095.0000,,79205,78889,,,,,,,1328,2098,,,,182,155,,,,,79740,79454,,
2012/07/06,50.60,51.20,49.90,50.50,-0.50,-0.9804,51.3000,,,,,3617.0000,,78052,78677,,78.5124,,,,,1478,1814,,,,187,167,,,,,78591,79193,,
2012/07/09,49.55,50.80,49.55,50.40,-0.10,-0.198,51.0400,,,,,2930.0000,,77773,78479,,76.9854,,,,,687,1275,,,,202,179,,,,,78327,79009,,
2012/07/10,51.00,51.00,49.30,49.40,-1.00,-1.9841,50.6000,,,,,2094.0000,,77814,78318,,62.4179,,42.8571,47.6190,49.2063,836,1168,47.6190,49.2063,44.4444,200,191,,,,,78366,78862,,
2012/07/11,49.40,50.30,49.20,49.80,0.40,0.8097,50.2200,50.3450,,,,2722.0000,3696.8000,77837,78136,78458,65.5471,,49.5495,48.2625,48.8917,628,991,48.2625,48.8917,47.0041,201,195,168,,,,78390,78684,79037,
2012/07/12,49.40,49.80,48.65,48.65,-1.15,-2.3092,49.7500,50.5050,,,,2056.0000,3902.4000,77851,77866,78377,50.9197,,0.0000,32.1750,43.3195,666,859,32.1750,43.3195,9.8861,195,198,176,,,,78398,78415,78935,
2012/07/13,48.75,49.30,48.75,48.85,0.20,0.4111,49.4200,50.3600,,,,2543.0000,3866.8000,77853,77826,78251,53.1038,,5.0633,23.1378,36.5923,487,660,23.1378,36.5923,-3.7712,189,198,183,,,,78395,78376,78785,
2012/07/16,48.90,49.10,47.00,47.00,-1.85,-3.7871,48.7400,49.8900,,,,1313.0000,3370.2000,77811,77834,78156,35.5459,49.7674,0.0000,15.4252,29.5366,1230,769,15.4252,29.5366,-12.7976,199,198,188,,,,78363,78383,78696,
2012/07/17,45.00,46.90,45.00,46.80,-0.20,-0.4255,48.2200,49.4100,,,,67.0000,2886.0000,78244,77920,78119,34.0840,48.7775,25.0000,18.6168,25.8966,1246,851,18.6168,25.8966,4.0571,189,196,193,,,,78786,78467,78664,
2012/07/18,47.00,47.00,45.80,46.00,-0.80,-1.7094,47.4600,48.8400,,,,-1220.0000,2121.7000,78276,78008,78072,28.4646,44.8816,16.1290,17.7875,23.1936,1287,983,17.7875,23.1936,6.9754,189,193,194,,,,78818,78552,78618,
2012/07/19,46.50,47.50,46.20,46.90,0.90,1.9565,47.1100,48.4300,,,,-214.0000,1590.8000,78665,78170,78018,41.4879,49.8021,31.6667,22.4139,22.9337,1006,1051,22.4139,22.9337,21.3743,175,189,194,,,,79193,78711,78563,
2012/07/20,47.20,47.75,46.75,47.30,0.40,0.8529,46.8000,48.1100,,,,352.0000,1264.3000,78721,78344,78085,46.6663,51.8847,38.3333,27.7204,24.5293,566,1067,27.7204,24.5293,34.1026,163,184,191,,,,79149,78862,78619,
2012/07/23,46.75,47.15,46.20,46.95,-0.35,-0.74,46.7900,47.7650,,,,-305.0000,940.8000,78612,78504,78169,42.6985,49.9082,36.7925,30.7444,26.6010,657,952,30.7444,26.6010,39.0313,182,181,189,,,,79059,79002,78692,
2012/07/24,46.00,46.60,45.20,45.35,-1.60,-3.4079,46.5000,47.3600,,,,-1439.0000,587.5000,78760,78607,78263,29.1173,41.9407,7.2917,22.9268,25.3763,1134,930,22.9268,25.3763,18.0280,181,179,187,,,,79206,79086,78776,
2012/07/25,44.55,46.00,44.30,44.30,-1.05,-2.3153,46.1600,46.8100,48.5775,,,-2502.0000,65.1000,78461,78644,78326,23.2849,37.6390,0.0000,15.2846,22.0124,1063,885,15.2846,22.0124,1.8289,170,175,184,,,,78896,79101,78827,
2012/07/26,44.90,44.90,43.40,43.90,-0.40,-0.9029,45.5600,46.3350,48.4200,,,-3602.0000,-500.7000,78547,78620,78395,21.3316,36.1002,8.7719,13.1137,19.0461,1100,904,13.1137,19.0461,1.2488,174,175,182,,,,78987,79060,78886,
2012/07/27,45.00,45.05,44.20,44.45,0.55,1.2528,44.9900,45.8950,48.1275,,,-2851.0000,-1040.1000,78516,78579,78462,30.8965,39.7924,24.1379,16.7884,18.2936,751,941,16.7884,18.2936,13.7782,169,176,180,,,,78951,79021,78941,
2012/07/30,44.55,45.45,44.55,45.40,0.95,2.1372,44.6800,45.7350,47.8125,,,-2230.0000,-1394.4000,78754,78608,78556,44.8061,45.7039,45.9770,26.5180,21.0350,621,933,26.5180,21.0350,37.4838,125,165,173,,,,79146,79038,79020,
2012/07/31,45.60,45.90,45.20,45.70,0.30,0.6608,44.7500,45.6250,47.5175,,,-1526.0000,-1553.7000,78720,78600,78604,48.7178,47.4804,52.8736,35.3032,25.7911,704,847,35.3032,25.7911,54.3273,126,154,166,,,,79113,79019,79053,
2012/08/01,45.70,46.45,45.70,46.30,0.60,1.3129,45.1500,45.6550,47.2475,,,-1121.0000,-1543.8000,79103,78729,78686,56.1724,50.9797,66.6667,45.7577,32.4466,405,716,45.7577,32.4466,72.3798,124,145,160,,,,79494,79139,79120,
