ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/01/02,8.70,8.70,8.70,8.70,0.00,0.00,,,,,,0.0000,,618,,,,,,,,2,,,,,0,,,,,,618,,,
2012/01/03,8.74,8.74,8.74,8.74,0.04,0.4598,,,,,,1.0000,,618,,,,,,,,1,,,,,0,,,,,,618,,,
2012/01/04,8.53,8.70,8.52,8.70,-0.04,-0.4577,,,,,,-25.0000,,618,,,,,,,,26,,,,,0,,,,,,618,,,
2012/01/05,8.51,8.73,8.51,8.70,0.00,0.00,,,,,,-25.0000,,618,,,,,,,,14,,,,,0,,,,,,618,,,
2012/01/06,8.51,8.67,8.50,8.67,-0.03,-0.3448,8.7020,,,,,-45.0000,,618,618,,,,,,,20,12,,,,0,0,,,,,618,618,,
2012/01/09,9.03,9.03,8.48,8.64,-0.03,-0.346,8.6900,,,,,-56.0000,,618,618,,,,,,,11,14,,,,0,0,,,,,618,618,,
2012/01/10,8.50,8.63,8.44,8.63,-0.01,-0.1157,8.6680,,,,,-100.0000,,618,618,,26.6667,,,,,44,23,,,,0,0,,,,,618,618,,
2012/01/11,8.48,8.58,8.41,8.58,-0.05,-0.5794,8.6440,,,,,-127.0000,,618,618,,19.0476,,,,,27,23,,,,0,0,,,,,618,618,,
2012/01/12,8.57,8.57,8.34,8.48,-0.10,-1.1655,8.6000,,,,,-145.0000,,618,618,,11.2994,,20.2899,40.0966,46.6989,18,24,40.0966,46.6989,26.8921,0,0,,,,,618,618,,
2012/01/13,8.45,8.45,8.45,8.45,-0.03,-0.3538,8.5560,8.6290,,,,-148.0000,-67.0000,618,618,618,9.8561,,15.9420,32.0451,41.8143,3,20,32.0451,41.8143,12.5067,0,0,0,,,,618,618,618,
2012/01/16,8.40,8.40,8.40,8.40,-0.05,-0.5917,8.5080,8.5990,,,,-150.0000,-82.0000,618,618,618,7.8505,,8.6957,24.2619,35.9635,2,18,24.2619,35.9635,0.8588,0,0,0,,,,618,618,618,
2012/01/17,8.19,8.39,8.19,8.39,-0.01,-0.119,8.4600,8.5640,,,,-183.0000,-100.4000,618,618,618,7.4850,,23.8095,24.1111,32.0127,33,16,24.1111,32.0127,8.3080,0,0,0,,,,618,618,618,
2012/01/18,8.40,8.40,8.40,8.40,0.01,0.1192,8.4240,8.5340,,,,-180.0000,-115.9000,618,618,618,12.3807,12.5000,25.0000,24.4074,29.4776,3,11,24.4074,29.4776,14.2670,0,0,0,,,,618,618,618,
2012/01/30,8.40,8.50,8.40,8.42,0.02,0.2381,8.4120,8.5060,,,,-163.0000,-129.7000,618,618,618,22.2547,17.0259,27.3810,25.3986,28.1179,17,11,25.3986,28.1179,19.9599,0,0,0,,,,618,618,618,
2012/01/31,8.42,8.53,8.42,8.53,0.11,1.3064,8.4280,8.4920,,,,-152.0000,-140.4000,618,618,618,55.4153,36.6776,77.2727,42.6900,32.9753,11,13,42.6900,32.9753,62.1194,0,0,0,,,,618,618,618,
2012/02/01,8.60,9.12,8.60,9.12,0.59,6.9168,8.5720,8.5400,,,,-45.0000,-139.3000,618,618,618,88.0958,73.4589,100.0000,61.7933,42.5813,107,34,61.7933,42.5813,100.2174,0,0,0,,,,618,618,618,
2012/02/02,9.15,9.75,9.15,9.50,0.38,4.1667,8.7940,8.6270,,,,102.0000,-119.1000,618,618,618,92.4009,81.1514,83.9744,69.1870,51.4499,147,57,69.1870,51.4499,104.6613,0,0,0,,,,618,618,618,
