ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/25,12.30,12.40,12.25,12.40,0.00,0.00,,,,,,0.0000,,175,,,,,,,,6,,,,,0,,,,,,175,,,
2012/06/26,12.40,12.40,12.10,12.10,-0.30,-2.4194,,,,,,-12.0000,,175,,,,,,,,12,,,,,0,,,,,,175,,,
2012/06/27,12.30,12.30,12.30,12.30,0.20,1.6529,,,,,,-10.0000,,175,,,,,,,,2,,,,,0,,,,,,175,,,
2012/06/28,12.30,12.30,12.05,12.25,-0.05,-0.4065,,,,,,-23.0000,,175,,,,,,,,13,,,,,0,,,,,,175,,,
2012/06/29,12.05,12.25,12.05,12.25,0.00,0.00,12.2600,,,,,-23.0000,,175,175,,,,,,,18,10,,,,0,0,,,,,175,175,,
2012/07/03,12.00,12.00,12.00,12.00,-0.25,-2.0408,12.1800,,,,,-44.0000,,175,175,,,,,,,21,13,,,,0,0,,,,,175,175,,
2012/07/04,12.00,12.00,11.95,11.95,-0.05,-0.4167,12.1500,,,,,-57.0000,,175,175,,23.5294,,,,,13,13,,,,0,0,,,,,175,175,,
2012/07/05,12.00,12.10,11.85,12.10,0.15,1.2552,12.1100,,,,,-24.0000,,175,175,,36.8932,,,,,33,19,,,,0,0,,,,,175,175,,
2012/07/06,11.60,11.60,11.40,11.40,-0.70,-5.7851,11.9400,,,,,-41.0000,,175,175,,18.6457,,0.0000,33.3333,44.4444,17,20,33.3333,44.4444,11.1111,0,0,,,,,175,175,,
2012/07/09,11.25,11.25,11.00,11.00,-0.40,-3.5088,11.6900,11.9750,,,,-88.0000,-32.2000,175,175,175,13.9235,,0.0000,22.2222,37.0370,47,26,22.2222,37.0370,-7.4074,0,0,0,,,,175,175,175,
2012/07/10,11.05,11.15,10.85,11.15,0.15,1.3636,11.5200,11.8500,,,,-63.0000,-38.5000,175,175,175,22.7298,,20.6897,21.7114,31.9285,25,27,21.7114,31.9285,1.2771,0,0,0,,,,175,175,175,
2012/07/11,11.15,11.15,11.05,11.15,0.00,0.00,11.3600,11.7550,,,,-63.0000,-43.6000,175,175,175,22.7298,,20.6897,21.3708,28.4093,7,25,21.3708,28.4093,7.2939,0,0,0,,,,175,175,175,
2012/07/12,10.95,11.10,10.60,10.85,-0.30,-2.6906,11.1100,11.6100,,,,-74.0000,-50.0000,175,175,175,17.5568,19.6078,15.1515,19.2977,25.3721,11,21,19.2977,25.3721,7.1490,0,0,0,,,,175,175,175,
2012/07/13,10.80,10.80,10.80,10.80,-0.05,-0.4608,10.9900,11.4650,,,,-78.0000,-55.5000,175,175,175,16.7924,19.1972,13.3333,17.3096,22.6846,4,18,17.3096,22.6846,6.5596,0,0,0,,,,175,175,175,
2012/07/16,10.60,10.90,10.60,10.90,0.10,0.9259,10.9700,11.3300,,,,-75.0000,-60.7000,175,175,175,24.6640,22.7280,20.0000,18.2064,21.1918,3,10,18.2064,21.1918,12.2355,0,0,0,,,,175,175,175,
2012/07/17,10.65,10.85,10.65,10.85,-0.05,-0.4587,10.9100,11.2150,,,,-86.0000,-64.9000,175,175,175,23.3392,22.1989,16.6667,17.6931,20.0256,11,7,17.6931,20.0256,13.0282,0,0,0,,,,175,175,175,
2012/07/18,10.85,10.85,10.65,10.65,-0.20,-1.8433,10.8100,11.0850,,,,-95.0000,-68.7000,175,175,175,18.5553,20.1518,5.0000,13.4621,17.8378,9,7,13.4621,17.8378,4.7107,0,0,0,,,,175,175,175,
2012/07/19,10.70,10.80,10.65,10.70,0.05,0.4695,10.7800,10.9450,,,,-76.0000,-73.9000,175,175,175,23.2734,22.1107,15.3846,14.1029,16.5928,19,9,14.1029,16.5928,9.1232,0,0,0,,,,175,175,175,
2012/07/20,10.80,10.80,10.80,10.80,0.10,0.9346,10.7800,10.8850,,,,-74.0000,-77.2000,175,175,175,32.6387,26.0679,36.3636,21.5232,18.2363,2,8,21.5232,18.2363,28.0970,0,0,0,,,,175,175,175,
2012/07/23,10.60,11.00,10.60,11.00,0.20,1.8519,10.8000,10.8850,11.4300,,,-68.0000,-75.2000,175,175,175,47.9009,33.4455,72.7273,38.5912,25.0213,6,9,38.5912,25.0213,65.7311,0,0,0,,,,175,175,175,
2012/07/24,10.65,10.95,10.50,10.95,-0.05,-0.4545,10.8200,10.8650,11.3575,,,-79.0000,-76.8000,177,175,175,44.8523,32.5594,75.0000,50.7275,33.5900,11,9,50.7275,33.5900,85.0024,0,0,0,,,,177,175,175,
2012/07/25,10.95,10.95,10.95,10.95,0.00,0.00,10.8800,10.8450,11.3000,,,-79.0000,-78.4000,177,176,175,44.8523,32.5594,90.0000,63.8183,43.6661,2,8,63.8183,43.6661,104.1227,0,0,0,,,,177,176,175,
2012/07/26,10.65,10.90,10.65,10.80,-0.15,-1.3699,10.9000,10.8400,11.2250,,,-94.0000,-80.4000,179,177,176,35.1796,29.7457,60.0000,62.5455,49.9592,15,7,62.5455,49.9592,87.7181,0,0,0,,,,179,177,176,
2012/07/27,10.70,10.90,10.70,10.90,0.10,0.9259,10.9200,10.8500,11.1575,,,-86.0000,-81.2000,181,178,176,44.7172,33.9000,80.0000,68.3637,56.0941,8,8,68.3637,56.0941,92.9030,0,0,0,,,,181,178,176,
2012/07/30,10.90,11.00,10.90,11.00,0.10,0.9174,10.9200,10.8600,11.0950,,,-74.0000,-81.1000,182,179,177,53.0135,37.9055,100.0000,78.9091,63.6991,12,9,78.9091,63.6991,109.3292,0,0,0,,,,182,179,177,
2012/07/31,11.10,11.10,10.90,11.10,0.10,0.9091,10.9500,10.8850,11.0500,,,-70.0000,-79.5000,182,180,178,60.1838,41.7559,100.0000,85.9394,71.1125,4,8,85.9394,71.1125,115.5932,0,0,0,,-0.2887,,182,180,178,
2012/08/01,10.90,11.10,10.90,11.10,0.00,0.00,10.9800,10.9300,11.0075,,,-70.0000,-77.0000,182,181,179,60.1838,41.7559,100.0000,90.6263,77.6171,2,8,90.6263,77.6171,116.6446,0,0,0,,-0.2602,,182,181,179,
2012/08/03,11.10,11.20,11.10,11.20,0.10,0.9009,11.0600,10.9800,10.9625,,,-57.0000,-75.1000,182,182,179,67.3570,45.7586,100.0000,93.7509,82.9950,13,7,93.7509,82.9950,115.2625,0,0,0,,-0.2270,,182,182,179,
2012/08/06,11.00,11.00,10.65,10.95,-0.25,-2.2321,11.0700,10.9950,10.9400,,,-65.0000,-74.2000,182,182,180,43.7248,38.5359,64.2857,83.9291,83.3064,8,7,83.9291,83.3064,85.1746,0,0,0,,-0.2183,,182,182,180,
