ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,5.93,5.93,5.61,5.61,0.00,0.00,,,,,,0.0000,,573,,,,,,,,726,,,,,0,,,,,,573,,,
2012/06/29,5.66,5.72,5.51,5.55,-0.06,-1.0695,,,,,,-318.0000,,573,,,,,,,,318,,,,,0,,,,,,573,,,
2012/07/02,5.57,5.58,5.48,5.48,-0.07,-1.2613,,,,,,-487.0000,,573,,,,,,,,169,,,,,0,,,,,,573,,,
2012/07/03,5.49,5.70,5.49,5.65,0.17,3.1022,,,,,,-333.0000,,573,,,,,,,,154,,,,,0,,,,,,573,,,
2012/07/04,5.59,5.69,5.59,5.65,0.00,0.00,5.5880,,,,,-333.0000,,573,573,,,,,,,72,287,,,,0,0,,,,,573,573,,
2012/07/05,5.67,5.68,5.47,5.47,-0.18,-3.1858,5.5600,,,,,-496.0000,,573,573,,,,,,,163,175,,,,0,0,,,,,573,573,,
2012/07/06,5.43,5.52,5.39,5.47,0.00,0.00,5.5440,,,,,-496.0000,,573,573,,35.4167,,,,,183,148,,,,0,0,,,,,573,573,,
2012/07/09,5.48,5.48,5.42,5.46,-0.01,-0.1828,5.5400,,,,,-551.0000,,573,573,,34.5528,,,,,55,125,,,,0,0,,,,,573,573,,
2012/07/10,5.46,5.57,5.45,5.45,-0.01,-0.1832,5.5000,,,,,-728.0000,,573,573,,33.5703,,11.1111,37.0370,45.6790,177,130,37.0370,45.6790,19.7531,0,0,,,,,573,573,,
2012/07/11,5.45,5.55,5.45,5.50,0.05,0.9174,5.4700,5.5290,,,,-409.0000,-415.1000,573,573,573,43.2524,,33.3333,35.8025,42.3868,319,179,35.8025,42.3868,22.6337,0,0,0,,,,573,573,573,
2012/07/12,5.42,5.46,5.35,5.35,-0.15,-2.7273,5.4460,5.5030,,,,-509.0000,-466.0000,573,573,573,28.3679,,0.0000,23.8683,36.2140,100,166,23.8683,36.2140,-0.8230,0,0,0,,,,573,573,573,
2012/07/13,5.33,5.33,5.26,5.26,-0.09,-1.6822,5.4040,5.4740,,,,-596.0000,-493.8000,573,573,573,22.7348,,0.0000,15.9122,29.4467,87,147,15.9122,29.4467,-11.1568,0,0,0,,,,573,573,573,
2012/07/16,5.28,5.29,5.12,5.28,0.02,0.3802,5.3680,5.4540,,,,-516.0000,-496.7000,573,573,573,26.6204,29.6296,28.0702,19.9649,26.2861,80,152,19.9649,26.2861,7.3224,0,0,0,,,,573,573,573,
2012/07/17,5.21,5.21,5.20,5.20,-0.08,-1.5152,5.3180,5.4090,,,,-532.0000,-516.6000,573,573,573,21.4440,26.7477,14.2857,18.0718,23.5480,16,120,18.0718,23.5480,7.1194,0,0,0,,,,573,573,573,
2012/07/18,5.20,5.25,5.16,5.17,-0.03,-0.5769,5.2520,5.3610,,,,-591.0000,-542.4000,573,573,573,19.7186,25.7242,11.1111,15.7516,20.9492,59,68,15.7516,20.9492,5.3563,0,0,0,,,,573,573,573,
2012/07/19,5.15,5.20,5.13,5.19,0.02,0.3868,5.2200,5.3330,,,,-509.0000,-543.7000,573,573,573,24.5738,27.7353,15.5556,15.6862,19.1949,82,64,15.6862,19.1949,8.6690,0,0,0,,,,573,573,573,
2012/07/20,5.20,5.20,5.16,5.16,-0.03,-0.578,5.2000,5.3020,,,,-593.0000,-553.4000,573,573,573,22.1613,26.5586,8.8889,13.4205,17.2701,84,64,13.4205,17.2701,5.7212,0,0,0,,,,573,573,573,
2012/07/23,5.13,5.13,5.00,5.01,-0.15,-2.907,5.1460,5.2570,,,,-652.0000,-563.5000,573,573,573,13.9464,21.5673,1.8182,9.5530,14.6977,59,60,9.5530,14.6977,-0.7364,0,0,0,,,,573,573,573,
2012/07/24,4.80,4.98,4.80,4.82,-0.19,-3.7924,5.0700,5.1940,,,,-726.0000,-563.3000,573,573,573,8.9203,17.1211,3.0303,7.3788,12.2581,74,71,7.3788,12.2581,-2.3798,0,0,0,,,,573,573,573,
2012/07/25,4.50,4.97,4.50,4.88,0.06,1.2448,5.0120,5.1320,5.3305,,,-610.0000,-583.4000,573,573,573,19.8642,22.6168,45.7831,20.1802,14.8988,116,83,20.1802,14.8988,30.7431,0,0,0,,,,573,573,573,
2012/07/26,4.90,4.90,4.65,4.76,-0.12,-2.459,4.9260,5.0730,5.2880,,,-739.0000,-606.4000,570,573,573,15.4180,19.7583,32.9114,24.4240,18.0739,129,92,24.4240,18.0739,37.1242,0,0,0,,,,570,573,573,
2012/07/27,4.91,5.09,4.91,5.09,0.33,6.9328,4.9120,5.0560,5.2650,,,-577.0000,-604.5000,570,572,573,51.3517,41.8190,78.6667,42.5049,26.2175,162,108,42.5049,26.2175,75.0795,0,0,0,,,,570,572,573,
2012/07/30,5.18,5.18,4.91,4.91,-0.18,-3.5363,4.8920,5.0190,5.2365,,,-757.0000,-628.6000,570,571,572,40.1789,35.9395,54.6667,46.5588,32.9979,180,132,46.5588,32.9979,73.6805,0,0,0,,,,570,571,572,
2012/07/31,4.91,5.04,4.91,5.03,0.12,2.444,4.9340,5.0020,5.2055,,,-677.0000,-643.1000,570,571,572,49.0476,41.8820,75.7143,56.2773,40.7577,80,133,56.2773,40.7577,87.3164,0,0,0,,,,570,571,572,
2012/08/01,5.00,5.05,5.00,5.01,-0.02,-0.3976,4.9600,4.9860,5.1735,,,-772.0000,-661.2000,570,570,572,47.6352,41.1874,72.8571,61.8039,47.7731,95,129,61.8039,47.7731,89.8655,0,0,0,,,,570,570,572,
2012/08/03,5.20,5.33,5.00,5.02,0.01,0.1996,5.0120,4.9690,5.1510,,,-613.0000,-671.6000,570,570,571,48.5246,41.7147,62.6506,62.0861,52.5441,159,135,62.0861,52.5441,81.1702,0,0,0,,-0.2090,,570,570,571,
