ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,40.15,40.45,40.15,40.25,0.00,0.00,,,,,,0.0000,,662,,,,,,,,54,,,,,0,,,,,,662,,,
2012/06/28,40.60,40.70,40.30,40.50,0.25,0.6211,,,,,,39.0000,,671,,,,,,,,39,,,,,0,,,,,,671,,,
2012/06/29,40.70,40.95,40.50,40.80,0.30,0.7407,,,,,,124.0000,,671,,,,,,,,85,,,,,0,,,,,,671,,,
2012/07/02,41.00,41.70,41.00,41.55,0.75,1.8382,,,,,,284.0000,,671,,,,,,,,160,,,,,0,,,,,,671,,,
2012/07/03,41.70,41.75,41.50,41.65,0.10,0.2407,40.9500,,,,,426.0000,,677,671,,,,,,,142,96,,,,0,0,,,,,677,671,,
2012/07/04,42.00,42.95,41.75,42.80,1.15,2.7611,41.4600,,,,,844.0000,,677,674,,,,,,,418,168,,,,0,0,,,,,677,674,,
2012/07/05,42.80,42.90,42.30,42.30,-0.50,-1.1682,41.8200,,,,,623.0000,,688,678,,83.6066,,,,,221,205,,,,0,0,,,,,688,678,,
2012/07/06,42.30,43.30,42.30,42.75,0.45,1.0638,42.2100,,,,,1067.0000,,685,681,,86.0724,,,,,444,277,,,,0,0,,,,,685,681,,
2012/07/09,43.55,44.20,42.80,42.80,0.05,0.117,42.4600,,,,,1861.0000,,679,682,,86.3463,,65.4321,55.1440,51.7147,794,403,55.1440,51.7147,62.0027,0,0,,,,,679,682,,
2012/07/10,43.00,43.30,42.05,42.25,-0.55,-1.285,42.5800,41.7650,,,,1469.0000,673.7000,697,686,679,68.5543,,50.0000,53.4294,52.2862,392,453,53.4294,52.2862,55.7156,0,0,0,,,,697,686,679,
2012/07/11,41.70,42.50,41.70,42.40,0.15,0.355,42.5000,41.9800,,,,1590.0000,832.7000,701,691,683,70.5409,,51.3514,52.7367,52.4364,121,394,52.7367,52.4364,53.3373,0,0,0,,,,701,691,683,
2012/07/12,42.00,42.50,41.80,41.80,-0.60,-1.4151,42.4000,42.1100,,,,1410.0000,969.8000,698,693,685,54.1273,,25.0000,43.4911,49.4546,180,386,43.4911,49.4546,31.5641,0,0,0,,,,698,693,685,
2012/07/13,41.30,41.90,41.10,41.45,-0.35,-0.8373,42.1400,42.1750,,,,1294.0000,1086.8000,708,698,689,46.5460,61.5385,11.2903,32.7575,43.8889,116,320,32.7575,43.8889,10.4947,0,0,0,,,,708,698,689,
2012/07/16,42.40,42.40,41.55,41.55,0.10,0.2413,41.8900,42.1750,,,,1378.0000,1196.2000,708,703,693,48.9953,62.3288,14.5161,26.6771,38.1516,84,178,26.6771,38.1516,3.7279,0,0,0,,,,708,703,693,
2012/07/17,41.60,42.10,41.55,42.00,0.45,1.083,41.8400,42.2100,,,,1456.0000,1299.2000,709,706,696,59.1124,65.7805,29.0323,27.4621,34.5885,78,115,27.4621,34.5885,13.2094,0,0,0,,,,709,706,696,
2012/07/18,42.00,42.00,41.70,41.70,-0.30,-0.7143,41.7000,42.1000,,,,1352.0000,1350.0000,705,707,699,51.0168,61.6708,19.3548,24.7597,31.3122,104,112,24.7597,31.3122,11.6547,0,0,0,,,,705,707,699,
2012/07/19,42.10,42.20,41.80,41.80,0.10,0.2398,41.7000,42.0500,,,,1573.0000,1445.0000,723,712,702,53.5608,62.5223,22.5806,24.0333,28.8859,221,120,24.0333,28.8859,14.3282,0,0,0,,,,723,712,702,
2012/07/20,42.30,42.30,41.55,41.65,-0.15,-0.3589,41.7400,41.9400,,,,1346.0000,1472.9000,716,713,705,48.9818,60.3293,25.0000,24.3556,27.3758,227,142,24.3556,27.3758,18.3151,0,0,0,,,,716,713,705,
2012/07/23,41.65,41.95,41.40,41.40,-0.25,-0.6002,41.7100,41.8000,,,,1104.0000,1397.2000,711,714,709,41.8295,56.7126,21.4286,23.3799,26.0438,242,174,23.3799,26.0438,18.0520,0,0,0,,,,711,714,709,
2012/07/24,41.40,41.50,41.00,41.20,-0.20,-0.4831,41.5500,41.6950,41.7300,,,944.0000,1344.7000,708,714,710,36.6869,53.8929,13.3333,20.0310,24.0396,160,190,20.0310,24.0396,12.0140,0,0,0,,,,708,714,710,
2012/07/25,41.50,41.55,40.95,41.40,0.20,0.4854,41.4900,41.5950,41.7875,,,1158.0000,1301.5000,706,714,710,44.8267,56.2651,31.0345,23.6989,23.9260,214,212,23.6989,23.9260,23.2446,0,0,0,,,,706,714,710,
2012/07/26,41.90,41.90,41.25,41.25,-0.15,-0.3623,41.3800,41.5400,41.8250,,,891.0000,1249.6000,719,713,712,40.1778,53.9923,20.6897,22.6958,23.5159,267,222,22.6958,23.5159,21.0555,0,0,0,,,,719,713,712,
2012/07/27,41.90,42.15,41.65,42.15,0.90,2.1818,41.4800,41.6100,41.8925,,,1941.0000,1314.3000,751,720,717,65.7513,63.6128,88.8889,44.7602,30.5973,1050,386,44.7602,30.5973,73.0858,2,0,0,,,,753,720,717,
2012/07/30,39.15,39.35,39.00,39.35,-2.80,-6.6429,41.0700,41.3900,41.7825,,,1198.0000,1296.3000,773,732,723,25.3282,37.2071,10.6061,33.3755,31.5234,743,486,33.3755,31.5234,37.0796,0,0,0,,,,773,733,723,
2012/07/31,39.35,39.35,39.00,39.20,-0.15,-0.3812,40.6700,41.1100,41.6600,,,1043.0000,1255.0000,776,746,730,24.3653,36.3259,6.0606,24.2705,29.1058,155,485,24.2705,29.1058,14.6000,0,0,0,,,,776,746,730,
2012/08/01,39.10,39.30,39.00,39.20,0.00,0.00,40.2300,40.8600,41.4800,,,1043.0000,1224.1000,780,761,737,24.3653,36.3259,6.0606,18.2005,25.4707,195,482,18.2005,25.4707,3.6603,0,0,0,,-0.7713,,780,761,737,
2012/08/03,39.20,39.30,38.70,38.70,-0.50,-1.2755,39.7200,40.5500,41.3000,,,838.0000,1150.6000,764,770,741,20.6050,33.2060,0.0000,12.1337,21.0250,205,469,12.1337,21.0250,-5.6490,0,0,0,,-0.8730,,764,770,742,
2012/08/06,39.00,39.10,38.70,38.85,0.15,0.3876,39.0600,40.2700,41.1050,,,1023.0000,1118.3000,773,774,747,24.7839,35.0321,4.3478,9.5384,17.1961,185,296,9.5384,17.1961,-5.7771,0,0,0,,-0.9308,,773,774,747,
2012/08/07,38.80,38.80,37.90,38.20,-0.65,-1.6731,38.8300,39.9500,40.8750,,,730.0000,1080.9000,777,775,754,19.4582,31.0227,7.0588,8.7119,14.3681,293,206,8.7119,14.3681,-2.6005,0,0,0,,-1.0173,,777,775,754,
2012/08/08,38.50,38.50,38.10,38.15,-0.05,-0.1309,38.6200,39.6450,40.6700,,,560.0000,1042.5000,769,774,760,19.0798,30.7276,5.8824,7.7687,12.1683,170,209,7.7687,12.1683,-1.0304,0,0,0,,-1.0775,,769,774,760,
