ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,48.25,48.80,48.10,48.30,0.00,0.00,,,,,,0.0000,,9155,,,,,,,,232,,,,,401,,,,,,11303,,,
2012/06/29,48.40,48.70,48.15,48.55,0.25,0.5176,,,,,,309.0000,,9160,,,,,,,,309,,,,,0,,,,,,10905,,,
2012/07/02,49.40,50.50,49.00,50.00,1.45,2.9866,,,,,,1077.0000,,9171,,,,,,,,768,,,,,421,,,,,,11387,,,
2012/07/03,50.80,51.00,50.20,50.20,0.20,0.40,,,,,,2042.0000,,9177,,,,,,,,965,,,,,426,,,,,,11398,,,
2012/07/04,50.50,51.20,50.30,50.70,0.50,0.996,49.5500,,,,,2508.0000,,9177,9168,,,,,,,466,548,,,,421,335,,,,,11393,11278,,
2012/07/05,50.00,50.50,49.70,49.80,-0.90,-1.7751,49.8500,,,,,1786.0000,,9212,9180,,,,,,,722,646,,,,427,340,,,,,11434,11304,,
2012/07/06,49.10,49.50,48.70,48.75,-1.05,-2.1084,49.8900,,,,,1197.0000,,9207,9189,,55.1724,,,,,589,702,,,,414,423,,,,,11416,11406,,
2012/07/09,50.00,50.00,48.35,48.80,0.05,0.1026,49.6500,,,,,1694.0000,,9304,9216,,55.7823,,,,,497,647,,,,416,422,,,,,11360,11400,,
2012/07/10,49.50,49.50,48.00,48.05,-0.75,-1.5369,49.2200,,,,,1374.0000,,9306,9242,,44.8087,,1.5625,33.8542,44.6181,320,518,33.8542,44.6181,12.3264,390,415,,,,,11336,11388,,
2012/07/11,48.00,48.50,48.00,48.30,0.25,0.5203,48.7400,49.1450,,,,1719.0000,1370.6000,9305,9267,9218,48.8349,,9.3750,25.6944,38.3102,345,494,25.6944,38.3102,0.4630,388,408,371,,,,11225,11354,11316,
2012/07/12,48.50,48.50,47.50,47.50,-0.80,-1.6563,48.2800,49.0650,,,,1384.0000,1509.0000,9268,9278,9229,38.1486,,0.0000,17.1296,31.2500,335,417,17.1296,31.2500,-11.1111,387,400,370,,,,11187,11305,11304,
2012/07/13,48.00,48.00,46.50,46.60,-0.90,-1.8947,47.8500,48.8700,,,,1063.0000,1584.4000,9273,9292,9240,29.4490,,2.1277,12.1290,24.8763,321,363,12.1290,24.8763,-13.3657,393,396,409,,,,11172,11256,11331,
2012/07/16,47.65,47.65,46.70,46.70,0.10,0.2146,47.4300,48.5400,,,,1430.0000,1619.7000,9380,9307,9261,31.5309,38.8889,4.2553,9.5044,19.7524,367,337,9.5044,19.7524,-10.9914,406,394,408,,,,11292,11243,11322,
2012/07/17,46.40,47.60,46.40,47.60,0.90,1.9272,47.3400,48.2800,,,,1675.0000,1583.0000,9455,9337,9289,48.0781,46.2222,29.2683,16.0924,18.5324,245,322,16.0924,18.5324,11.2124,411,398,406,,,,11286,11233,11310,
2012/07/18,47.95,47.95,47.20,47.20,-0.40,-0.8403,47.1200,47.9300,,,,1564.0000,1488.6000,9477,9371,9319,42.5887,43.6808,22.2222,18.1357,18.4001,111,275,18.1357,18.4001,17.6067,406,402,405,,,,11303,11248,11301,
2012/07/19,48.25,48.50,47.60,48.05,0.85,1.8008,47.2300,47.7550,,,,1912.0000,1501.2000,9666,9451,9364,55.5348,50.0477,45.8333,27.3682,21.3895,348,278,27.3682,21.3895,39.3257,0,324,362,,,,11085,11228,11266,
