ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/04/20,11.15,11.15,11.15,11.15,0.00,0.00,,,,,,0.0000,,4420,,,,,,,,2,,,,,0,,,,,,4420,,,
2011/04/21,11.25,11.25,10.85,10.85,-0.30,-2.6906,,,,,,-34.0000,,4420,,,,,,,,34,,,,,0,,,,,,4420,,,
2011/04/22,11.10,11.10,11.10,11.10,0.25,2.3041,,,,,,-32.0000,,4420,,,,,,,,2,,,,,0,,,,,,4420,,,
2011/04/25,10.85,10.95,10.85,10.95,-0.15,-1.3514,,,,,,-37.0000,,4420,,,,,,,,5,,,,,0,,,,,,4420,,,
2011/04/26,10.45,10.90,10.45,10.90,-0.05,-0.4566,10.9900,,,,,-54.0000,,4420,4421,,,,,,,17,12,,,,0,0,,,,,4420,4421,,
2011/04/27,11.65,11.65,11.65,11.65,0.75,6.8807,11.0900,,,,,118.0000,,4420,4421,,,,,,,172,46,,,,0,0,,,,,4420,4421,,
2011/04/28,11.95,12.10,11.15,11.75,0.10,0.8584,11.2700,,,,,521.0000,,4420,4421,,68.7500,,,,,403,119,,,,0,0,,,,,4420,4421,,
2011/04/29,12.00,12.55,12.00,12.55,0.80,6.8085,11.5600,,,,,1196.0000,,4420,4421,,80.4688,,,,,675,254,,,,0,0,,,,,4420,4421,,
2011/05/03,12.90,12.95,11.70,11.70,-0.85,-6.7729,11.7100,,,,,738.0000,,4420,4421,,54.4397,,50.0000,50.0000,50.0000,458,345,50.0000,50.0000,50.0000,0,0,,,,,4420,4421,,
2011/05/04,10.95,11.40,10.90,11.05,-0.65,-5.5556,11.7400,11.3650,,,,572.0000,298.8000,4420,4421,4421,41.9791,,24.0000,41.3333,47.1111,166,374,41.3333,47.1111,29.7778,0,0,0,,,,4420,4421,4421,
2011/05/05,11.00,11.00,10.60,10.90,-0.15,-1.3575,11.5900,11.3400,,,,428.0000,341.6000,4420,4421,4421,39.4769,,18.0000,33.5556,42.5926,144,369,33.5556,42.5926,15.4815,0,0,0,,,,4420,4421,4421,
2011/05/06,10.70,10.95,10.70,10.95,0.05,0.4587,11.4300,11.3500,,,,479.0000,392.9000,4420,4421,4421,40.8863,,20.0000,29.0370,38.0741,51,298,29.0370,38.0741,10.9630,0,0,0,,,,4420,4421,4421,
2011/05/09,11.60,11.60,10.70,11.10,0.15,1.3699,11.1400,11.3500,,,,568.0000,452.9000,4420,4421,4421,45.4588,49.4118,26.0000,28.0247,34.7243,89,181,28.0247,34.7243,14.6255,0,0,0,,,,4420,4421,4421,
2011/05/10,10.80,11.05,10.80,10.80,-0.30,-2.7027,10.9600,11.3350,,,,521.0000,508.7000,4420,4421,4421,38.3411,45.8788,8.5106,21.5200,30.3229,47,99,21.5200,30.3229,3.9143,0,0,0,,,,4420,4421,4421,
2011/05/11,10.85,10.90,10.80,10.90,0.10,0.9259,10.9300,11.3350,,,,555.0000,569.6000,4420,4421,4421,41.9752,47.2503,12.7660,18.6020,26.4159,34,73,18.6020,26.4159,2.9742,0,0,0,,,,4420,4421,4421,
2011/05/12,10.85,10.90,10.80,10.80,-0.10,-0.9174,10.9100,11.2500,,,,527.0000,610.5000,4420,4421,4421,39.2026,45.9792,8.5106,15.2382,22.6900,28,49,15.2382,22.6900,0.3346,0,0,0,,,,4420,4421,4421,
2011/05/13,10.85,11.20,10.75,10.75,-0.05,-0.463,10.8700,11.1500,,,,499.0000,608.3000,4420,4421,4421,37.7081,45.3143,6.3830,12.2865,19.2222,28,45,12.2865,19.2222,-1.5849,0,0,0,,,,4420,4421,4421,
2011/05/16,10.70,10.90,10.70,10.80,0.05,0.4651,10.8100,10.9750,,,,540.0000,542.7000,4540,4445,4433,40.4330,46.1636,20.0000,14.8576,17.7673,41,35,14.8576,17.7673,9.0383,0,0,0,,,,4540,4445,4433,
2011/05/17,10.80,10.95,10.65,10.95,0.15,1.3889,10.8400,10.9000,,,,578.0000,526.7000,4540,4469,4445,48.5374,48.7677,35.0000,21.5718,19.0355,38,33,21.5718,19.0355,26.6444,0,0,0,,,,4540,4469,4445,
2011/05/18,10.70,10.95,10.65,10.65,-0.30,-2.7397,10.7900,10.8600,11.1125,,,564.0000,525.9000,4540,4493,4457,36.5897,44.1124,0.0000,14.3812,17.4840,14,29,14.3812,17.4840,8.1755,0,0,0,,,,4540,4493,4457,
2011/05/19,10.85,10.85,10.85,10.85,0.20,1.8779,10.8000,10.8550,11.0975,,,566.0000,539.7000,4540,4517,4469,47.0223,47.7405,21.0526,16.6050,17.1910,2,24,16.6050,17.1910,15.4329,0,0,0,,,,4540,4517,4469,
2011/05/20,10.50,10.80,10.50,10.65,-0.20,-1.8433,10.7800,10.8250,11.0875,,,533.0000,545.1000,4540,4541,4481,39.2693,44.5831,21.4286,18.2129,17.5316,33,25,18.2129,17.5316,19.5753,0,0,0,,,,4540,4541,4481,
2011/05/23,10.65,10.65,10.65,10.65,0.00,0.00,10.7500,10.7800,11.0650,,,533.0000,541.6000,4540,4541,4493,39.2693,44.5831,21.4286,19.2848,18.1160,2,17,19.2848,18.1160,21.6223,0,0,0,,,,4540,4541,4493,
2011/05/24,10.30,10.60,10.30,10.60,-0.05,-0.4695,10.6800,10.7600,11.0475,,,510.0000,540.5000,4540,4541,4505,37.0691,43.7228,33.3333,23.9676,20.0665,23,14,23.9676,20.0665,31.7698,0,0,0,,,,4540,4541,4505,
2011/05/25,10.50,10.90,10.25,10.90,0.30,2.8302,10.7300,10.7600,11.0475,,,525.0000,537.5000,4540,4541,4517,55.1588,50.0339,68.4211,38.7854,26.3062,15,15,38.7854,26.3062,63.7439,0,0,0,,,,4540,4541,4517,
2011/05/26,10.60,10.85,10.60,10.80,-0.10,-0.9174,10.7200,10.7600,11.0050,,,514.0000,536.2000,4540,4541,4529,49.4706,48.0735,78.5714,52.0474,34.8866,11,16,52.0474,34.8866,86.3691,0,0,0,,-0.2038,,4540,4541,4529,
