ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/12/30,20.05,20.65,20.05,20.65,0.00,0.00,,,,,,0.0000,,2947,,,,,,,,3,,,,,0,,,,,,2947,,,
2012/01/02,20.15,20.15,19.45,19.45,-1.20,-5.8111,,,,,,-4.0000,,2947,,,,,,,,4,,,,,0,,,,,,2947,,,
2012/01/03,19.50,19.50,18.85,18.90,-0.55,-2.8278,,,,,,-17.0000,,2947,,,,,,,,13,,,,,0,,,,,,2947,,,
2012/01/04,19.60,19.60,18.95,18.95,0.05,0.2646,,,,,,-14.0000,,2947,,,,,,,,3,,,,,0,,,,,,2947,,,
2012/01/05,19.70,20.15,19.10,20.10,1.15,6.0686,19.6100,,,,,4.0000,,2947,2948,,,,,,,18,8,,,,0,0,,,,,2947,2948,,
2012/01/06,20.30,20.30,20.30,20.30,0.20,0.995,19.5400,,,,,5.0000,,2947,2948,,,,,,,1,7,,,,0,0,,,,,2947,2948,,
2012/01/09,19.35,20.10,19.25,20.10,-0.20,-0.9852,19.6700,,,,,0.0000,,2947,2948,,41.7910,,,,,5,8,,,,0,0,,,,,2947,2948,,
2012/01/10,19.55,19.55,19.10,19.50,-0.60,-2.9851,19.7900,,,,,-13.0000,,2947,2948,,34.3980,,,,,13,8,,,,0,0,,,,,2947,2948,,
2012/01/11,18.80,19.90,18.80,19.15,-0.35,-1.7949,19.8300,,,,,-25.0000,,2947,2948,,30.6078,,18.9189,39.6396,46.5465,12,9,39.6396,46.5465,25.8258,0,0,,,,,2947,2948,,
2012/01/12,18.85,19.45,18.70,18.70,-0.45,-2.3499,19.5500,19.5800,,,,-29.0000,-9.3000,2947,2948,2948,26.1604,,0.0000,26.4264,39.8398,4,7,26.4264,39.8398,-0.4004,0,0,0,,,,2947,2948,2948,
2012/01/13,18.70,18.70,18.60,18.70,0.00,0.00,19.2300,19.3850,,,,-29.0000,-12.2000,2947,2948,2948,26.1604,,5.8824,19.5784,33.0860,11,9,19.5784,33.0860,-7.4368,0,0,0,,,,2947,2948,2948,
2012/01/16,17.80,17.80,17.80,17.80,-0.90,-4.8128,18.7700,19.2200,,,,-31.0000,-14.9000,2947,2948,2948,18.4427,,0.0000,13.0523,26.4081,2,8,13.0523,26.4081,-13.6594,0,0,0,,,,2947,2948,2948,
