ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/04,67.00,68.30,65.00,66.10,0.00,0.00,,,,,,0.0000,,6712,,,,,,,,124,,,,,303,,,,,,7060,,,
2012/06/05,67.10,68.00,67.10,67.60,1.50,2.2693,,,,,,29.0000,,6718,,,,,,,,29,,,,,0,,,,,,6763,,,
2012/06/06,67.80,68.80,67.80,68.50,0.90,1.3314,,,,,,45.0000,,6722,,,,,,,,16,,,,,0,,,,,,6767,,,
2012/06/07,69.00,69.70,69.00,69.20,0.70,1.0219,,,,,,100.0000,,6709,,,,,,,,55,,,,,0,,,,,,6754,,,
2012/06/08,69.10,69.10,68.20,68.90,-0.30,-0.4335,68.0600,,,,,82.0000,,6706,6714,,,,,,,18,48,,,,302,121,,,,,7053,6880,,
2012/06/11,69.70,70.00,69.30,69.30,0.40,0.5806,68.7000,,,,,99.0000,,6703,6713,,,,,,,17,27,,,,0,60,,,,,6748,6817,,
2012/06/12,67.50,69.00,67.50,68.70,-0.60,-0.8658,68.9200,,,,,77.0000,,6700,6709,,79.5455,,,,,22,25,,,,0,60,,,,,6745,6814,,
2012/06/13,68.70,69.50,68.40,68.80,0.10,0.1456,68.9800,,,,,94.0000,,6701,6705,,80.0885,,,,,17,25,,,,301,121,,,,,7042,6869,,
2012/06/14,68.80,68.80,68.40,68.50,-0.30,-0.436,68.8400,,,,,70.0000,,6702,6703,,73.1018,,70.0000,56.6667,52.2222,24,19,56.6667,52.2222,65.5556,0,121,,,,,6737,6866,,
2012/06/15,69.00,69.10,64.70,64.70,-3.80,-5.5474,68.0000,68.0300,,,,-166.0000,43.0000,6549,6672,6693,31.4280,,0.0000,37.7778,47.4074,236,63,37.7778,47.4074,18.5185,308,122,122,,,,6892,6833,6857,
2012/06/18,66.90,67.50,65.50,67.40,2.70,4.1731,67.6200,68.1600,,,,25.0000,45.5000,6554,6642,6677,53.8567,,50.9434,42.1663,45.6604,191,98,42.1663,45.6604,35.1782,304,183,122,,,,6893,6862,6840,
2012/06/19,67.40,67.40,66.40,66.60,-0.80,-1.1869,67.2000,68.0600,,,,-17.0000,40.9000,6550,6612,6660,48.2459,,35.8491,40.0606,43.7938,42,102,40.0606,43.7938,32.5941,305,244,152,,,,6890,6891,6853,
2012/06/20,67.00,68.00,66.80,67.30,0.70,1.0511,66.9000,67.9400,,,,37.0000,40.1000,6523,6576,6641,53.3490,54.6875,49.0566,43.0592,43.5489,54,109,43.0592,43.5489,42.0799,306,245,183,,,,6864,6856,6862,
2012/06/21,67.30,68.00,67.10,67.60,0.30,0.4458,66.7200,67.7800,,,,67.0000,36.8000,6521,6540,6622,55.6005,55.8172,54.7170,46.9452,44.6810,30,110,46.9452,44.6810,51.4735,0,245,183,,,,6556,6819,6842,
