ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/13,91.00,91.30,90.20,90.50,0.00,0.00,,,,,,0.0000,,3373,,,,,,,,207,,,,,1002,,,,,,4914,,,
2012/06/14,91.00,91.00,90.30,90.40,-0.10,-0.1105,,,,,,-137.0000,,3371,,,,,,,,137,,,,,1003,,,,,,4914,,,
2012/06/15,91.00,91.90,86.10,86.10,-4.30,-4.7566,,,,,,-630.0000,,3044,,,,,,,,493,,,,,1000,,,,,,4584,,,
2012/06/18,90.50,91.00,89.20,90.20,4.10,4.7619,,,,,,-400.0000,,3074,,,,,,,,230,,,,,1001,,,,,,4615,,,
2012/06/19,90.20,91.00,89.90,91.00,0.80,0.8869,89.6400,,,,,-253.0000,,3050,3183,,,,,,,147,242,,,,1003,1002,,,,,4593,4725,,
2012/06/20,91.50,92.50,91.20,92.00,1.00,1.0989,89.9400,,,,,-86.0000,,3014,3111,,,,,,,167,234,,,,1004,1003,,,,,4558,4654,,
2012/06/21,92.00,92.40,91.70,92.00,0.00,0.00,90.2600,,,,,-86.0000,,2979,3033,,57.2816,,,,,166,240,,,,0,802,,,,,3519,4375,,
2012/06/22,91.70,91.90,91.20,91.90,-0.10,-0.1087,91.4200,,,,,-159.0000,,2979,3020,,56.6219,,,,,73,156,,,,1002,802,,,,,4521,4362,,
2012/06/25,92.00,93.00,91.90,92.30,0.40,0.4353,91.8400,,,,,-31.0000,,2946,2994,,58.8941,,89.8551,63.2850,54.4283,128,136,63.2850,54.4283,80.9984,998,802,,,,,4479,4335,,
2012/06/26,92.30,92.80,91.30,92.10,-0.20,-0.2167,92.0600,90.8500,,,,-150.0000,-193.2000,2910,2966,3075,57.0995,,86.9565,71.1755,60.0107,119,130,71.1755,60.0107,93.5051,0,601,802,,,,3444,4105,4415,
2012/06/27,92.20,92.80,91.50,91.50,-0.60,-0.6515,91.9600,90.9500,,,,-230.0000,-216.2000,2895,2943,3027,51.4550,,78.2609,73.5373,64.5196,80,113,73.5373,64.5196,91.5727,999,600,801,,,,4428,4079,4366,
2012/06/28,92.00,92.50,92.00,92.10,0.60,0.6557,91.9800,91.1200,,,,-105.0000,-213.0000,2888,2924,2979,56.6030,,76.3158,74.4635,67.8342,125,105,74.4635,67.8342,87.7220,1059,812,807,,,,4479,4271,4323,
2012/06/29,92.70,92.90,91.80,92.90,0.80,0.8686,92.1800,91.8000,,,,55.0000,-144.5000,2891,2907,2963,62.8982,59.2308,96.7742,81.9004,72.5229,160,122,81.9004,72.5229,100.6553,1064,824,813,,,,4446,4256,4309,
2012/07/02,94.00,94.10,93.50,94.10,1.20,1.2917,92.5400,92.1900,,,,254.0000,-79.1000,2867,2891,2943,70.5800,62.9606,100.0000,87.9336,77.6598,199,136,87.9336,77.6598,108.4811,1066,838,820,,,,4198,4199,4267,
2012/07/03,94.50,94.80,94.20,94.50,0.40,0.4251,93.0200,92.5400,,,,499.0000,-3.9000,2850,2879,2923,72.8302,64.1532,91.6667,89.1779,81.4992,245,161,89.1779,81.4992,104.5354,0,838,720,,,,3116,4134,4119,
2012/07/04,95.00,96.20,94.80,96.10,1.60,1.6931,93.9400,92.9500,,,,885.0000,93.2000,2850,2870,2906,80.1263,68.5690,98.0000,92.1186,85.0390,386,223,92.1186,85.0390,106.2779,1111,860,730,,,,4227,4094,4086,
2012/07/05,97.00,97.00,96.20,96.60,0.50,0.5203,94.8400,93.4100,,,,1208.0000,222.6000,2848,2862,2893,81.9445,69.8358,92.9825,92.4066,87.4949,323,262,92.4066,87.4949,102.2300,1124,873,843,,,,4237,4045,4158,
2012/07/06,96.60,96.60,95.30,95.30,-1.30,-1.3458,95.3200,93.7500,,,,484.0000,286.9000,2859,2855,2881,63.7480,62.6715,70.1754,84.9962,86.6620,724,375,84.9962,86.6620,81.6646,1131,887,856,,,,4255,4007,4131,
2012/07/09,88.00,88.20,87.40,87.70,-7.60,-7.9748,94.0400,93.2900,,,,111.0000,301.1000,2858,2853,2872,24.9227,37.8849,3.1250,57.7058,77.0099,373,410,57.7058,77.0099,19.0976,1118,897,868,,,,4241,4016,4108,
2012/07/10,88.20,88.20,87.70,87.90,0.20,0.2281,92.7200,92.8700,91.8600,,,311.0000,347.2000,2844,2852,2865,26.3394,38.5822,5.2083,40.2066,64.7422,200,401,40.2066,64.7422,-8.8644,1058,1109,974,,,,4167,4226,4180,
2012/07/11,87.90,87.90,87.50,87.60,-0.30,-0.3413,91.0200,92.4800,91.7150,,,181.0000,388.3000,2838,2850,2860,25.4741,37.8862,2.0833,27.4989,52.3277,130,350,27.4989,52.3277,-22.1588,1051,1097,979,,,,4154,4211,4152,
2012/07/12,87.70,87.70,87.00,87.00,-0.60,-0.6849,89.1000,91.9700,91.5450,,,29.0000,401.7000,2811,2842,2852,23.6125,36.4515,0.0000,18.3326,40.9960,152,315,18.3326,40.9960,-26.9943,1046,1081,977,,,,4122,4188,4117,
2012/07/13,87.50,87.50,86.50,87.00,0.00,0.00,87.4400,91.3800,91.5900,,,29.0000,399.1000,2815,2834,2844,23.6125,36.4515,4.7619,13.8090,31.9337,129,196,13.8090,31.9337,-22.4403,1026,1060,974,,,,4106,4159,4083,
2012/07/16,87.40,87.40,86.10,87.10,0.10,0.1149,87.3200,90.6800,91.4350,,,123.0000,386.0000,2809,2824,2839,24.9292,36.9253,9.1743,12.2641,25.3772,94,141,12.2641,25.3772,-13.9620,1025,1042,970,,,,4099,4130,4073,
