ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,4.04,4.04,3.95,4.00,0.00,0.00,,,,,,0.0000,,220,,,,,,,,102,,,,,0,,,,,,220,,,
2012/06/20,4.00,4.02,3.98,4.00,0.00,0.00,,,,,,0.0000,,220,,,,,,,,187,,,,,0,,,,,,220,,,
2012/06/21,4.00,4.02,3.95,3.98,-0.02,-0.50,,,,,,-101.0000,,220,,,,,,,,101,,,,,0,,,,,,220,,,
2012/06/22,3.98,3.98,3.95,3.98,0.00,0.00,,,,,,-101.0000,,220,,,,,,,,72,,,,,0,,,,,,220,,,
2012/06/25,3.95,4.01,3.92,3.95,-0.03,-0.7538,3.9820,,,,,-234.0000,,220,221,,,,,,,133,119,,,,0,0,,,,,220,221,,
2012/06/26,3.95,4.00,3.92,3.95,0.00,0.00,3.9720,,,,,-234.0000,,220,221,,,,,,,102,119,,,,0,0,,,,,220,221,,
2012/06/27,4.01,4.01,3.94,3.94,-0.01,-0.2532,3.9600,,,,,-377.0000,,220,221,,0.0000,,,,,143,110,,,,0,0,,,,,220,221,,
2012/06/28,3.95,4.00,3.87,3.92,-0.02,-0.5076,3.9480,,,,,-624.0000,,220,221,,0.0000,,,,,247,139,,,,0,0,,,,,220,221,,
2012/06/29,3.92,3.95,3.88,3.92,0.00,0.00,3.9360,,,,,-624.0000,,220,221,,0.0000,,29.4118,43.1373,47.7124,69,138,43.1373,47.7124,33.9869,0,0,,,,,220,221,,
2012/07/02,4.00,4.19,4.00,4.19,0.27,6.8878,3.9840,3.9830,,,,-184.0000,-247.9000,220,221,221,84.7428,,100.0000,62.0915,52.5054,440,200,62.0915,52.5054,81.2636,0,0,0,,,,220,221,221,
2012/07/03,4.26,4.48,4.20,4.48,0.29,6.9212,4.0900,4.0310,,,,567.0000,-191.2000,220,221,221,92.7077,,100.0000,74.7277,59.9129,751,330,74.7277,59.9129,104.3573,0,0,0,,,,220,221,221,
2012/07/04,4.60,4.79,4.55,4.61,0.13,2.9018,4.2240,4.0920,,,,1989.0000,7.7000,220,221,221,94.3066,,80.4348,76.6300,65.4852,1422,585,76.6300,65.4852,98.9196,0,0,0,,,,220,221,221,
2012/07/05,4.68,4.68,4.50,4.51,-0.10,-2.1692,4.3420,4.1450,,,,1757.0000,193.5000,220,221,221,78.4328,79.3103,69.5652,74.2751,68.4152,232,582,74.2751,68.4152,85.9949,0,0,0,,,,220,221,221,
2012/07/06,4.50,4.51,4.36,4.42,-0.09,-1.9956,4.4420,4.1890,,,,1280.0000,331.6000,220,221,221,66.3680,71.2676,59.7826,69.4443,68.7582,477,664,69.4443,68.7582,70.8164,0,0,0,,,,220,221,221,
2012/07/09,4.40,4.67,4.40,4.63,0.21,4.7511,4.5300,4.2570,,,,1704.0000,525.4000,220,221,221,76.4927,77.1626,82.6087,73.8324,70.4496,424,661,73.8324,70.4496,80.5980,0,0,0,,,,220,221,221,
2012/07/10,4.78,4.95,4.70,4.71,0.08,1.7279,4.5760,4.3330,,,,2404.0000,789.2000,220,221,221,79.3364,78.9569,77.7778,75.1475,72.0156,700,651,75.1475,72.0156,81.4114,0,0,0,,,,220,221,221,
2012/07/11,4.73,4.78,4.60,4.69,-0.02,-0.4246,4.5920,4.4080,,,,2174.0000,1044.3000,220,221,221,76.5580,77.3005,75.7009,75.3320,73.1211,230,412,75.3320,73.1211,79.7539,0,0,0,,,,220,221,221,
2012/07/12,4.60,4.65,4.51,4.51,-0.18,-3.838,4.5920,4.4670,,,,2007.0000,1307.4000,220,221,221,55.5484,64.0986,53.6842,68.1161,71.4527,167,399,68.1161,71.4527,61.4428,0,0,0,,,,220,221,221,
2012/07/13,4.40,4.59,4.40,4.50,-0.01,-0.2217,4.6080,4.5250,,,,1871.0000,1556.9000,220,221,221,54.5504,63.4419,40.0000,58.7440,67.2165,136,331,58.7440,67.2165,41.7991,0,0,0,,,,220,221,221,
2012/07/16,4.40,4.47,4.40,4.44,-0.06,-1.3333,4.5700,4.5500,4.2665,,,1815.0000,1756.8000,220,221,221,48.3021,59.4551,13.5593,43.6825,59.3718,56,257,43.6825,59.3718,12.3038,0,0,0,,,,220,221,221,
2012/07/17,4.42,4.49,4.35,4.48,0.04,0.9009,4.5240,4.5500,4.2905,,,1913.0000,1891.4000,220,221,221,52.6417,61.2272,21.6667,36.3439,51.6958,98,137,36.3439,51.6958,5.6399,0,0,0,,,,220,221,221,
2012/07/18,4.43,4.61,4.39,4.40,-0.08,-1.7857,4.4660,4.5290,4.3105,,,1832.0000,1875.7000,220,221,221,43.8148,55.8969,8.3333,27.0070,43.4662,81,107,27.0070,43.4662,-5.9114,0,0,0,,,,220,221,221,
2012/07/19,4.41,4.50,4.40,4.40,0.00,0.00,4.4440,4.5180,4.3315,,,1832.0000,1883.2000,220,221,221,43.8148,55.8969,8.3333,20.7825,35.9050,130,100,20.7825,35.9050,-9.4626,0,0,0,,,,220,221,221,
2012/07/20,4.46,4.47,4.20,4.35,-0.05,-1.1364,4.4140,4.5110,4.3500,,,1603.0000,1915.5000,220,221,221,38.0696,52.4975,20.0000,20.5216,30.7772,229,118,20.5216,30.7772,0.0105,0,0,0,,,,220,221,221,
2012/07/23,4.34,4.34,4.22,4.30,-0.05,-1.1494,4.3860,4.4780,4.3675,,,1491.0000,1894.2000,220,221,221,32.8938,49.2313,17.2414,19.4282,26.9942,112,130,19.4282,26.9942,4.2962,0,0,0,,,,220,221,221,
2012/07/24,4.26,4.30,4.15,4.30,0.00,0.00,4.3500,4.4370,4.3850,,,1491.0000,1802.9000,220,221,221,32.8938,49.2313,30.0000,22.9521,25.6469,97,129,22.9521,25.6469,17.5627,0,0,0,,0.0867,,220,221,221,
2012/07/25,4.22,4.38,4.18,4.18,-0.12,-2.7907,4.3060,4.3860,4.3970,,,1351.0000,1720.6000,220,221,221,22.3789,41.8029,6.5217,17.4753,22.9230,140,141,17.4753,22.9230,6.5800,0,0,0,,0.0644,,220,221,221,
2012/07/26,4.25,4.25,4.12,4.17,-0.01,-0.2392,4.2600,4.3520,4.4095,,,1226.0000,1642.5000,220,221,221,21.6856,41.2373,10.2041,15.0516,20.2992,125,140,15.0516,20.2992,4.5564,0,0,0,,0.0455,,220,221,221,
2012/07/27,4.26,4.30,4.21,4.23,0.06,1.4388,4.2360,4.3250,4.4250,,,1364.0000,1591.8000,220,221,221,35.9669,46.0184,22.4490,17.5174,19.3719,138,122,17.5174,19.3719,13.8083,0,0,0,,0.0349,,220,221,221,
2012/07/30,4.30,4.30,4.21,4.23,0.00,0.00,4.2220,4.3040,4.4270,,,1364.0000,1546.7000,220,221,221,35.9669,46.0184,22.4490,19.1613,19.3017,93,118,19.1613,19.3017,18.8803,0,0,0,,0.0262,,220,221,221,
2012/07/31,4.23,4.30,4.20,4.30,0.07,1.6548,4.2220,4.2860,4.4180,,,1422.0000,1497.6000,220,221,221,50.9836,51.4976,47.3684,28.5636,22.3890,58,110,28.5636,22.3890,40.9129,0,0,0,,0.0247,,220,221,221,
2012/08/01,4.25,4.30,4.21,4.30,0.00,0.00,4.2460,4.2760,4.4025,,,1422.0000,1456.6000,220,221,221,50.9836,51.4976,51.4286,36.1853,26.9878,136,110,36.1853,26.9878,54.5803,0,0,0,,0.0233,,220,221,221,
2012/08/03,4.21,4.29,4.20,4.20,-0.10,-2.3256,4.2520,4.2560,4.3870,,,1340.0000,1407.4000,220,221,221,34.3919,43.9188,30.7692,34.3799,29.4518,82,101,34.3799,29.4518,44.2361,0,0,0,,0.0139,,220,221,221,
2012/08/06,4.29,4.29,4.16,4.21,0.01,0.2381,4.2480,4.2420,4.3765,,,1462.0000,1393.3000,220,221,221,36.8577,44.8049,34.6154,34.4584,31.1207,122,98,34.4584,31.1207,41.1339,0,0,0,-0.0583,0.0071,0.0363,220,221,221,
2012/08/07,4.15,4.23,4.13,4.19,-0.02,-0.4751,4.2400,4.2310,4.3545,,,1280.0000,1372.2000,220,221,221,33.8082,43.3118,26.9231,31.9466,31.3960,182,116,31.9466,31.3960,33.0479,0,0,0,-0.0578,0.0002,0.0291,220,221,221,
2012/08/08,4.20,4.25,4.14,4.18,-0.01,-0.2387,4.2160,4.2190,4.3280,,,1177.0000,1340.8000,220,221,221,32.2092,42.5385,33.3333,32.4089,31.7336,103,125,32.4089,31.7336,33.7594,0,0,0,-0.0562,-0.0060,0.0221,220,221,221,
2012/08/09,4.18,4.37,4.15,4.22,0.04,0.9569,4.2000,4.2230,4.3045,,,1373.0000,1343.0000,220,221,221,44.7516,46.6915,37.5000,34.1059,32.5244,196,137,34.1059,32.5244,37.2690,0,0,0,-0.0476,-0.0077,0.0161,220,221,221,
2012/08/10,4.22,4.40,4.22,4.40,0.18,4.2654,4.2400,4.2460,4.2990,,,2026.0000,1423.0000,220,221,221,72.3631,60.6522,100.0000,56.0706,40.3731,653,251,56.0706,40.3731,87.4656,0,0,0,-0.0170,0.0055,0.0140,220,221,221,
2012/08/13,4.49,4.60,4.40,4.40,0.00,0.00,4.2780,4.2630,4.2940,,,2026.0000,1489.2000,220,221,221,72.3631,60.6522,57.4468,56.5293,45.7585,340,294,56.5293,45.7585,78.0710,0,0,0,0.0028,0.0158,0.0143,220,221,221,
2012/08/14,4.33,4.55,4.33,4.45,0.05,1.1364,4.3300,4.2850,4.2945,,,2366.0000,1589.4000,220,221,221,76.9675,63.7873,68.0851,60.3813,50.6328,340,326,60.3813,50.6328,79.8782,0,0,0,0.0212,0.0276,0.0170,220,221,221,
2012/08/15,4.41,4.55,4.40,4.55,0.10,2.2472,4.4040,4.3100,4.2980,,,2586.0000,1705.8000,220,221,221,83.5464,69.1502,89.3617,70.0414,57.1023,220,349,70.0414,57.1023,95.9196,0,0,0,0.0441,0.0445,0.0225,220,221,221,
2012/08/16,4.45,4.59,4.45,4.59,0.04,0.8791,4.4780,4.3390,4.3075,,,3186.0000,1882.2000,220,221,221,85.5303,71.0228,97.8723,79.3184,64.5077,600,430,79.3184,64.5077,108.9398,0,0,0,0.0608,0.0605,0.0301,220,221,221,
