ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/01/03,13.95,13.95,12.85,12.85,0.00,0.00,,,,,,0.0000,,7,,,,,,,,321,,,,,0,,,,,,7,,,
2011/01/04,12.10,12.80,12.00,12.00,-0.85,-6.6148,,,,,,-302.0000,,7,,,,,,,,302,,,,,0,,,,,,7,,,
2011/01/05,12.05,12.60,12.00,12.10,0.10,0.8333,,,,,,-176.0000,,7,,,,,,,,126,,,,,0,,,,,,7,,,
2011/01/06,12.40,12.40,11.55,11.75,-0.35,-2.8926,,,,,,-262.0000,,7,,,,,,,,86,,,,,0,,,,,,7,,,
2011/01/07,11.30,11.75,11.30,11.30,-0.45,-3.8298,12.0000,,,,,-334.0000,,7,7,,,,,,,72,181,,,,0,0,,,,,7,7,,
2011/01/10,11.30,11.60,11.25,11.60,0.30,2.6549,11.7500,,,,,-285.0000,,7,7,,,,,,,49,127,,,,0,0,,,,,7,7,,
2011/01/11,11.60,11.70,11.35,11.40,-0.20,-1.7241,11.6300,,,,,-333.0000,,7,7,,17.7778,,,,,48,76,,,,0,0,,,,,7,7,,
2011/01/12,11.40,11.55,11.30,11.30,-0.10,-0.8772,11.4700,,,,,-413.0000,,5,7,,16.8776,,,,,80,67,,,,0,0,,,,,5,7,,
2011/01/13,11.75,11.75,11.30,11.30,0.00,0.00,11.3800,,,,,-413.0000,,1,5,,16.8776,,1.8519,33.9506,44.6502,73,64,33.9506,44.6502,12.5514,0,0,,,,,1,5,,
2011/01/14,11.25,11.60,11.25,11.50,0.20,1.7699,11.4200,11.7100,,,,-380.0000,-289.8000,1,4,6,27.4562,,16.1290,28.0101,39.1035,33,56,28.0101,39.1035,5.8233,0,0,0,,,,1,4,6,
