ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/20,58.50,58.50,58.10,58.20,0.00,0.00,,,,,,0.0000,,136,,,,,,,,84,,,,,0,,,,,,2489,,,
2012/06/21,58.10,58.80,58.10,58.80,0.60,1.0309,,,,,,164.0000,,136,,,,,,,,164,,,,,0,,,,,,136,,,
2012/06/22,58.50,58.80,58.20,58.80,0.00,0.00,,,,,,164.0000,,136,,,,,,,,52,,,,,0,,,,,,2696,,,
2012/06/25,58.70,58.80,58.50,58.70,-0.10,-0.1701,,,,,,119.0000,,136,,,,,,,,45,,,,,0,,,,,,2499,,,
2012/06/26,58.00,58.30,57.20,58.00,-0.70,-1.1925,58.5000,,,,,56.0000,,137,136,,,,,,,63,81,,,,0,0,,,,,2697,2104,,
2012/06/27,58.00,58.60,58.00,58.40,0.40,0.6897,58.5400,,,,,206.0000,,137,137,,,,,,,150,94,,,,0,0,,,,,2717,2149,,
2012/06/28,58.50,59.10,58.40,58.80,0.40,0.6849,58.5400,,,,,304.0000,,137,137,,63.6364,,,,,98,81,,,,0,0,,,,,2520,2626,,
2012/06/29,58.90,59.90,58.80,59.90,1.10,1.8707,58.7600,,,,,554.0000,,150,140,,77.2727,,,,,250,121,,,,0,0,,,,,2755,2638,,
2012/07/02,60.10,61.20,59.90,60.90,1.00,1.6694,59.2000,,,,,914.0000,,158,144,,83.8710,,92.5000,64.1667,54.7222,360,184,64.1667,54.7222,83.0556,0,0,,,,,3604,2859,,
2012/07/03,61.40,62.40,61.00,62.00,1.10,1.8062,60.0000,59.2500,,,,1329.0000,381.0000,168,150,143,88.3396,,92.3077,73.5470,60.9972,415,254,73.5470,60.9972,98.6467,0,0,0,,,,3676,3055,2579,
2012/07/04,62.50,63.80,62.30,63.10,1.10,1.7742,60.9400,59.7400,,,,1705.0000,551.5000,172,157,147,91.2489,,89.3939,78.8293,66.9412,376,299,78.8293,66.9412,102.6055,119,24,12,,,,3889,3289,2719,
2012/07/05,63.60,63.60,63.10,63.10,0.00,0.00,61.8000,60.1700,,,,1705.0000,705.6000,172,164,151,91.2489,,89.3939,82.3509,72.0778,110,302,82.3509,72.0778,102.8971,114,47,23,,,,3918,3569,3097,
2012/07/06,63.20,63.30,61.20,63.10,0.00,0.00,62.4400,60.6000,,,,1705.0000,859.7000,183,171,155,91.2489,87.6923,89.3939,84.6986,76.2847,197,291,84.6986,76.2847,101.5263,0,47,23,,,,3855,3788,3213,
2012/07/09,64.00,65.10,64.00,64.60,1.50,2.3772,63.1800,61.1900,,,,2215.0000,1069.3000,180,175,160,94.4890,90.1676,92.9577,87.4516,80.0070,510,321,87.4516,80.0070,102.3409,104,67,34,,,,4018,3871,3365,
2012/07/10,64.20,64.20,62.90,63.00,-1.60,-2.4768,63.3800,61.6900,,,,2000.0000,1263.7000,178,177,164,64.1072,73.0677,68.6567,81.1867,80.4002,215,281,81.1867,80.4002,82.7595,0,67,34,,,,3900,3916,3485,
2012/07/11,62.60,63.70,62.60,63.20,0.20,0.3175,63.4000,62.1700,,,,2135.0000,1456.6000,180,179,168,65.7587,73.7467,69.8413,77.4049,79.4018,135,233,77.4049,79.4018,73.4110,0,44,34,,,,3902,3919,3604,
2012/07/12,63.20,63.30,62.60,63.10,-0.10,-0.1582,63.4000,62.6000,,,,2102.0000,1636.4000,180,180,172,63.9921,72.7464,61.5385,72.1161,76.9732,33,218,72.1161,76.9732,62.4018,0,21,34,,,,3704,3876,3722,
2012/07/13,63.10,63.10,62.10,62.50,-0.60,-0.9509,63.2800,62.8600,,,,1990.0000,1780.0000,166,177,174,53.6203,66.8145,36.5854,60.2725,71.4063,112,201,60.2725,71.4063,38.0049,0,21,34,,,,3888,3883,3836,
2012/07/16,62.90,63.70,62.70,63.50,1.00,1.60,63.0600,63.1200,,,,2195.0000,1908.1000,179,177,176,64.9742,71.0993,58.9744,59.8398,67.5508,205,140,59.8398,67.5508,44.4178,0,0,34,,,,3966,3872,3872,
2012/07/17,62.70,64.30,62.70,64.10,0.60,0.9449,63.2800,63.3300,61.2900,,,2494.0000,2024.6000,168,175,176,70.2227,73.3514,74.3590,64.6795,66.5937,299,156,64.6795,66.5937,60.8511,107,21,44,,,,4142,3921,3918,
2012/07/18,64.10,64.40,63.70,64.40,0.30,0.468,63.5200,63.4600,61.6000,,,2595.0000,2113.6000,156,170,174,72.6791,74.4379,82.0513,70.4701,67.8858,101,150,70.4701,67.8858,75.6386,111,44,44,,,,4134,3967,3943,
2012/07/19,64.60,64.70,64.00,64.50,0.10,0.1553,63.8000,63.6000,61.8850,,,2730.0000,2216.1000,162,166,173,73.5518,74.8114,80.0000,73.6467,69.8061,135,170,73.6467,69.8061,81.3279,0,44,32,,,,4026,4031,3954,
2012/07/20,64.50,64.70,63.80,64.10,-0.40,-0.6202,64.1200,63.7000,62.1500,,,2620.0000,2307.6000,164,166,172,63.7737,70.3279,76.9231,74.7388,71.4504,110,170,74.7388,71.4504,81.3158,0,44,32,,,,4028,4059,3971,
2012/07/23,63.70,63.70,62.70,63.30,-0.80,-1.248,64.0800,63.5700,62.3800,,,2514.0000,2337.5000,166,163,170,48.3479,62.1954,46.1538,65.2105,69.3704,106,150,65.2105,69.3704,56.8907,118,67,34,,,,4148,4096,3984,
2012/07/24,63.30,63.30,61.80,62.50,-0.80,-1.2638,63.7600,63.5200,62.6050,,,2367.0000,2374.2000,161,162,168,37.4714,55.2284,24.1379,51.5197,63.4202,147,119,51.5197,63.4202,27.7186,131,72,47,,,,4156,4098,4010,
2012/07/25,62.50,63.40,62.50,63.40,0.90,1.44,63.5600,63.5400,62.8550,,,2562.0000,2416.9000,164,164,167,52.0376,60.6395,55.1724,52.7372,59.8592,195,138,52.7372,59.8592,38.4933,139,78,61,,1.3804,,4207,4113,4040,
2012/07/26,63.40,63.50,63.00,63.00,-0.40,-0.6309,63.2600,63.5300,63.0650,,,2482.0000,2454.9000,163,164,165,46.2869,57.2828,41.3793,48.9513,56.2232,80,127,48.9513,56.2232,34.4074,0,78,61,,1.2666,,4099,4128,4079,
2012/07/27,63.00,63.00,62.30,62.80,-0.20,-0.3175,63.0000,63.5600,63.2100,,,2256.0000,2481.5000,175,166,166,43.4086,55.6039,34.4828,44.1284,52.1916,226,150,44.1284,52.1916,28.0020,139,105,75,,1.1469,,4196,4161,4110,
2012/07/30,62.80,62.90,62.00,62.90,0.10,0.1592,62.9200,63.5000,63.3100,,,2589.0000,2520.9000,177,168,166,45.4441,56.3025,37.9310,42.0626,48.8153,333,196,42.0626,48.8153,28.5573,156,113,90,,1.0481,,4198,4171,4134,
2012/07/31,60.20,60.90,60.20,60.50,-2.40,-3.8156,62.5200,63.1400,63.2350,,,2227.0000,2494.2000,179,172,167,22.3216,39.8750,6.6667,30.2640,42.6315,362,239,30.2640,42.6315,5.5289,118,110,91,,0.7673,,4132,4167,4133,
2012/08/01,60.30,60.60,60.00,60.30,-0.20,-0.3306,61.9000,62.7300,63.0950,,,2094.0000,2444.1000,182,175,170,21.2408,38.8446,6.3830,22.3036,35.8556,133,226,22.3036,35.8556,-4.8002,0,83,80,,0.5226,,3997,4124,4119,
2012/08/03,60.00,60.20,59.20,60.00,-0.30,-0.4975,61.3000,62.2800,62.9400,,,1973.0000,2368.4000,181,179,171,19.5380,37.2688,17.7778,20.7950,30.8354,121,235,20.7950,30.8354,0.7143,0,83,80,,0.3010,,3987,4102,4115,
2012/08/06,60.10,61.40,60.10,61.00,1.00,1.6667,60.9400,61.9700,62.8350,,,2182.0000,2324.6000,183,181,173,39.0745,45.3331,41.8605,27.8168,29.8292,209,231,27.8168,29.8292,23.7921,0,55,80,,0.2037,,3989,4061,4111,
2012/08/07,60.30,60.70,58.90,60.50,-0.50,-0.8197,60.4600,61.6900,62.6300,,,1820.0000,2255.2000,179,181,175,34.1059,42.3626,34.7826,30.1388,29.9324,362,237,30.1388,29.9324,30.5515,0,24,68,-1.3232,0.0853,0.7469,3904,4002,4087,
2012/08/08,60.50,60.80,60.30,60.70,0.20,0.3306,60.5000,61.5100,62.5150,,,1984.0000,2216.9000,193,184,178,37.8964,43.9649,39.1304,33.1360,31.0003,164,197,33.1360,31.0003,37.4075,0,0,55,-1.1830,0.0075,0.5990,3918,3959,4063,
2012/08/09,60.30,63.00,60.30,62.50,1.80,2.9654,60.9400,61.4200,62.4800,,,2401.0000,2200.8000,203,188,182,61.6944,55.9793,87.8049,51.3589,37.7865,417,254,51.3589,37.7865,78.5039,138,28,55,-0.8144,0.0900,0.4972,4096,3979,4052,
2012/08/10,62.60,64.10,62.00,63.50,1.00,1.60,61.6400,61.4700,62.5000,,,2930.0000,2245.6000,200,192,185,69.4889,61.0417,88.4615,63.7265,46.4331,529,336,63.7265,46.4331,98.3131,168,61,72,-0.4220,0.2334,0.4445,4248,4031,4067,
2012/08/13,63.90,64.10,62.90,63.60,0.10,0.1575,62.1600,61.5500,62.5550,,,3162.0000,2336.2000,200,195,188,70.2161,61.5244,90.3846,72.6125,55.1596,232,340,72.6125,55.1596,107.5184,184,98,76,-0.1493,0.3511,0.4258,4389,4111,4086,
2012/08/14,63.60,64.80,63.60,64.40,0.80,1.2579,62.9400,61.7000,62.6000,,,3563.0000,2433.6000,200,199,190,75.7623,65.2789,93.2203,79.4818,63.2670,401,348,79.4818,63.2670,111.9114,134,125,74,0.1238,0.5032,0.4413,4404,4211,4106,
2012/08/15,65.00,65.80,64.20,64.20,-0.20,-0.3106,63.6400,62.0700,62.6050,,,2822.0000,2493.1000,184,198,191,71.7538,63.5867,76.8116,78.5917,68.3752,741,464,78.5917,68.3752,99.0247,154,156,78,0.2549,0.6006,0.4731,4408,4309,4134,
2012/08/16,64.20,64.70,64.00,64.10,-0.10,-0.1558,63.9600,62.4500,62.5900,,,2342.0000,2517.9000,192,195,192,69.5461,62.7001,75.3623,77.5153,71.4219,480,476,77.5153,71.4219,89.7019,164,161,94,0.3023,0.6621,0.5109,4513,4393,4186,
2012/08/17,64.70,68.50,64.60,68.40,4.30,6.7083,64.9400,63.2900,62.7850,,,4480.0000,2768.6000,173,190,191,88.2310,77.4492,98.9583,84.6630,75.8356,2138,798,84.6630,75.8356,102.3177,206,168,115,0.8557,1.0457,0.6179,4546,4452,4242,
2012/08/20,68.10,69.50,67.40,67.40,-1.00,-1.462,65.7000,63.9300,62.9500,,,3395.0000,2889.9000,124,175,185,75.3324,70.3880,77.1739,82.1666,77.9459,1085,969,82.1666,77.9459,90.6080,181,168,133,1.0188,1.2546,0.7452,4572,4489,4300,
2012/08/21,67.40,68.30,67.40,67.50,0.10,0.1484,66.3200,64.6300,63.1600,,,3791.0000,3087.0000,131,161,180,75.7577,70.6796,78.2609,80.8647,78.9189,396,968,80.8647,78.9189,84.7564,184,178,151,1.0668,1.4120,0.8786,4629,4534,4372,
2012/08/22,67.50,68.10,66.30,68.10,0.60,0.8889,67.1000,65.3700,63.4400,,,4311.0000,3319.7000,133,151,174,78.4346,72.4552,81.3333,81.0209,79.6195,520,923,81.0209,79.6195,83.8236,274,202,179,1.1015,1.5670,1.0163,4721,4596,4453,
2012/08/23,68.10,69.10,67.80,68.30,0.20,0.2937,67.9400,65.9500,63.6850,,,4828.0000,3562.4000,122,137,166,79.3469,73.0487,81.8182,81.2867,80.1752,517,931,81.2867,80.1752,83.5095,279,225,193,1.0725,1.6866,1.1503,4855,4665,4529,
2012/08/24,68.30,68.90,67.60,68.10,-0.20,-0.2928,67.8800,66.4100,63.9400,,,4511.0000,3720.5000,118,126,158,75.5137,71.3711,76.2712,79.6148,79.9884,317,567,79.6148,79.9884,78.8676,264,236,202,0.9516,1.7451,1.2693,4883,4732,4592,
2012/08/27,68.60,68.60,67.20,67.50,-0.60,-0.8811,67.9000,66.8000,64.1750,,,4261.0000,3830.4000,119,125,150,64.3264,66.3819,63.6364,74.2887,78.0885,250,400,74.2887,78.0885,66.6890,0,200,184,0.7263,1.7232,1.3601,4705,4759,4624,
2012/08/28,68.30,68.60,66.90,67.20,-0.30,-0.4444,67.8400,67.0800,64.3900,,,3538.0000,3827.9000,102,119,140,59.0753,63.9438,58.1818,68.9197,75.0323,723,465,68.9197,75.0323,56.6947,274,218,198,0.4838,1.6625,1.4205,5127,4859,4696,
2012/08/29,67.20,70.20,67.20,69.10,1.90,2.8274,68.0400,67.5700,64.8200,,,4289.0000,3974.6000,107,114,133,74.7442,71.2417,80.3571,72.7322,74.2656,751,511,72.7322,74.2656,69.6655,274,218,210,0.5231,1.7475,1.4859,5190,4952,4774,
2012/08/30,68.60,69.50,68.10,68.60,-0.50,-0.7236,68.1000,68.0200,65.2350,,,4011.0000,4141.5000,105,111,124,66.6819,67.3294,58.9744,68.1463,72.2258,278,463,68.1463,72.2258,59.9872,0,162,194,0.4294,1.7543,1.5396,4984,4978,4822,
2012/08/31,68.80,68.90,68.20,68.60,0.00,0.00,68.2000,68.0400,65.6650,,,4011.0000,4094.6000,104,108,117,66.6819,67.3294,58.9744,65.0890,69.8469,167,433,65.0890,69.8469,55.5732,0,110,173,0.3201,1.7397,1.5796,4983,4998,4865,
2012/09/03,68.60,69.90,68.60,69.00,0.40,0.5831,68.5000,68.2000,66.0650,,,4353.0000,4190.4000,104,105,115,70.3644,68.9527,69.2308,66.4696,68.7211,342,452,66.4696,68.7211,61.9665,319,173,187,0.2571,1.7403,1.6118,5282,5114,4936,
2012/09/04,68.50,68.70,68.00,68.70,-0.30,-0.4348,68.8000,68.3200,66.4750,,,4089.0000,4220.2000,122,109,114,63.9983,66.2591,54.5455,62.4949,66.6457,264,360,62.4949,66.6457,54.1932,329,184,201,0.1364,1.6970,1.6288,5405,5169,5014,
2012/09/05,68.60,68.60,67.30,68.00,-0.70,-1.0189,68.5800,68.3100,66.8400,,,3782.0000,4167.3000,139,115,115,51.0627,60.2666,33.3333,52.7743,62.0219,307,271,52.7743,62.0219,34.2792,341,198,208,-0.0654,1.5879,1.6206,5519,5235,5094,
2012/09/06,68.10,68.40,66.70,67.50,-0.50,-0.7353,68.3600,68.2300,67.0900,,,3542.0000,4038.7000,155,125,118,43.5224,56.2990,22.8571,42.8019,55.6152,240,264,42.8019,55.6152,17.1753,329,264,213,-0.2819,1.4444,1.5854,5553,5349,5164,
2012/09/07,66.30,67.30,66.30,67.20,-0.30,-0.4444,68.0800,68.1400,67.2750,,,3191.0000,3906.7000,170,139,123,39.3398,53.9732,23.0769,36.2269,49.1525,351,300,36.2269,49.1525,10.3759,341,332,221,-0.4700,1.2917,1.5266,5621,5476,5237,
2012/09/10,67.70,67.70,66.50,67.40,0.20,0.2976,67.7600,68.1300,67.4650,,,3419.0000,3822.5000,176,153,129,43.6705,55.3157,28.2051,33.5530,43.9527,228,278,33.5530,43.9527,12.7537,341,336,255,-0.5655,1.1732,1.4560,5677,5555,5335,
2012/09/11,67.90,67.90,67.00,67.40,0.00,0.00,67.5000,68.1500,67.6150,,,3419.0000,3810.6000,188,166,138,43.6705,55.3157,30.5556,32.5539,40.1531,139,253,32.5539,40.1531,17.3555,341,339,262,-0.6223,1.0670,1.3782,5689,5612,5391,
2012/09/12,67.50,68.10,67.30,67.50,0.10,0.1484,67.4000,67.9900,67.7800,63.8917,,3665.0000,3748.2000,188,176,146,46.4245,56.0780,33.3333,32.8137,37.7066,246,240,32.8137,37.7066,23.0278,337,338,268,-0.6377,0.9796,1.2985,5745,5657,5446,
2012/09/13,67.70,67.70,66.60,67.00,-0.50,-0.7407,67.3000,67.8300,67.9250,64.0383,,3449.0000,3692.0000,192,183,154,35.8951,51.3039,19.4444,28.3573,34.5902,216,236,28.3573,34.5902,15.8915,311,334,299,-0.7013,0.8601,1.2108,5764,5700,5524,
2012/09/14,67.50,68.00,67.10,68.00,1.00,1.4925,67.4600,67.7700,67.9050,64.1917,,3739.0000,3664.8000,207,191,165,58.4903,58.9321,70.8333,42.5160,37.2321,290,223,42.5160,37.2321,53.0837,305,327,329,-0.5989,0.8365,1.1359,5773,5730,5603,
2012/09/17,68.00,68.00,66.60,67.30,-0.70,-1.0294,67.4400,67.6000,67.9000,64.3333,,3516.0000,3581.1000,200,196,174,45.1287,52.6357,43.4783,42.8367,39.1003,223,222,42.8367,39.1003,50.3096,319,323,329,-0.6134,0.7525,1.0592,5780,5751,5653,
2012/09/18,66.70,67.40,66.00,66.30,-1.00,-1.4859,67.2200,67.3600,67.8400,64.4600,,3253.0000,3497.5000,179,194,180,32.4291,45.1225,12.5000,32.7245,36.9750,263,247,32.7245,36.9750,24.2234,319,318,328,-0.7373,0.5985,0.9671,5742,5761,5687,
2012/09/19,66.30,66.60,65.30,66.50,0.20,0.3017,67.0200,67.2100,67.7600,64.6017,,3507.0000,3470.0000,161,188,182,36.7040,46.7799,42.8571,36.1020,36.6840,254,249,36.1020,36.6840,34.9380,319,315,326,-0.7684,0.4869,0.8710,5724,5757,5707,
2012/09/20,66.10,66.40,65.60,66.30,-0.20,-0.3008,66.8800,67.0900,67.6600,64.7333,,3381.0000,3453.9000,151,180,182,34.1141,45.2878,35.7143,35.9728,36.4469,126,231,35.9728,36.4469,35.0245,319,316,325,-0.7890,0.3779,0.7724,5742,5753,5726,
2012/09/21,66.30,66.80,65.70,65.70,-0.60,-0.905,66.4200,66.9400,67.5400,64.8483,,3293.0000,3464.1000,154,170,180,27.2037,41.0070,14.2857,28.7438,33.8792,88,190,28.7438,33.8792,18.4728,319,319,323,-0.8512,0.2404,0.6660,5745,5747,5739,
2012/09/24,65.70,65.70,64.20,64.20,-1.50,-2.2831,65.8000,66.6200,67.3750,64.9200,,3046.0000,3426.8000,154,160,178,16.9209,32.6023,0.0000,19.1625,28.9736,247,195,19.1625,28.9736,-0.4598,319,319,321,-1.0492,0.0103,0.5349,5729,5737,5744,
2012/09/25,64.10,64.90,64.10,64.60,0.40,0.6231,65.4600,66.3400,67.2450,64.9817,,3131.0000,3398.0000,152,155,174,25.8856,36.3947,12.8205,17.0485,24.9986,85,160,17.0485,24.9986,1.1483,319,319,319,-1.0770,-0.1382,0.4002,5727,5734,5748,
2012/09/26,64.60,65.50,64.60,65.50,0.90,1.3932,65.2600,66.1400,67.0650,65.0400,,3330.0000,3364.5000,151,153,171,42.6068,44.1134,35.8974,23.3315,24.4429,199,149,23.3315,24.4429,21.1087,319,319,317,-0.9304,-0.1812,0.2840,5726,5734,5746,
2012/09/27,65.90,66.90,65.10,66.90,1.40,2.1374,65.3800,66.1300,66.9800,65.1033,,3597.0000,3379.3000,151,153,167,59.6149,53.6570,71.7949,39.4859,29.4572,267,177,39.4859,29.4572,59.5433,319,319,318,-0.6162,-0.1012,0.2069,5529,5692,5722,
2012/09/28,66.90,67.30,66.00,67.20,0.30,0.4484,65.6800,66.0500,66.9100,65.1717,,3848.0000,3390.2000,152,153,161,62.4744,55.4360,93.9394,57.6371,38.8505,251,209,57.6371,38.8505,95.2102,319,319,319,-0.3524,-0.0133,0.1629,5795,5702,5724,
2012/10/01,67.20,67.20,65.90,67.10,-0.10,-0.1488,66.2600,66.0300,66.8150,65.2383,,3610.0000,3399.6000,152,152,156,60.7537,54.6728,93.7500,69.6747,49.1253,238,208,69.6747,49.1253,110.7737,291,313,316,-0.1844,0.0476,0.1398,4883,5532,5635,
2012/10/02,67.00,67.00,65.50,65.90,-1.20,-1.7884,66.5200,65.9900,66.6750,65.2600,,3271.0000,3401.4000,152,152,154,43.5007,46.3243,56.2500,65.1998,54.4834,339,258,65.1998,54.4834,86.6326,245,299,309,-0.2251,-0.0009,0.1117,4830,5353,5544,
2012/10/03,65.80,65.80,63.70,64.70,-1.20,-1.8209,66.3600,65.8100,66.5100,65.2883,,2945.0000,3345.2000,155,153,153,32.4444,39.7094,27.7778,52.7258,53.8976,326,284,52.7258,53.8976,50.3823,249,285,302,-0.3940,-0.1346,0.0624,4762,5160,5447,
2012/10/04,64.00,65.20,63.20,65.20,0.50,0.7728,66.0200,65.7000,66.3950,65.3217,,3306.0000,3337.7000,155,154,153,40.0615,43.3841,48.7805,51.4107,53.0686,361,303,51.4107,53.0686,48.0949,249,271,295,-0.4166,-0.1979,0.0104,4842,5023,5357,
2012/10/05,65.30,65.30,64.00,64.70,-0.50,-0.7669,65.5200,65.6000,66.2700,65.3483,,3094.0000,3317.8000,176,159,156,35.2870,40.6793,36.5854,46.4689,50.8687,212,295,46.4689,50.8687,37.6693,249,257,288,-0.4729,-0.2852,-0.0487,4842,4833,5267,
2012/10/08,63.20,63.70,62.10,62.90,-1.80,-2.7821,64.6800,65.4700,66.0450,65.3550,,2835.0000,3296.7000,193,167,159,23.2940,32.6781,15.3846,36.1075,45.9483,259,299,36.1075,45.9483,16.4258,249,248,281,-0.7122,-0.4939,-0.1378,4879,4832,5182,
2012/10/09,62.20,63.20,62.10,62.50,-0.40,-0.6359,64.0000,65.2600,65.8000,65.3383,,2747.0000,3258.3000,203,177,165,21.3583,31.1908,7.6923,26.6358,39.5108,88,249,26.6358,39.5108,0.8857,249,249,274,-0.8734,-0.6837,-0.2470,4889,4844,5098,
2012/10/11,62.80,63.20,62.10,63.00,0.50,0.80,63.6600,65.0100,65.5750,65.3200,,2869.0000,3212.2000,206,187,170,30.0745,35.2117,17.3077,23.5264,34.1827,122,208,23.5264,34.1827,2.2139,249,249,267,-0.8604,-0.7847,-0.3545,4942,4880,5020,
2012/10/12,63.00,63.40,62.30,62.80,-0.20,-0.3175,63.1800,64.6000,65.3650,65.2933,,2779.0000,3130.4000,213,199,176,28.5554,34.3362,13.7255,20.2594,29.5416,90,154,20.2594,29.5416,1.6951,249,249,260,-0.8262,-0.8709,-0.4578,4949,4901,4962,
2012/10/15,63.40,63.40,62.40,62.90,0.10,0.1592,62.8200,64.1700,65.1100,65.2667,,2816.0000,3027.2000,226,209,184,30.6570,35.2149,16.3265,18.9485,26.0105,37,119,18.9485,26.0105,4.8243,249,249,253,-0.7403,-0.9205,-0.5503,4962,4925,4879,
2012/10/16,62.50,62.90,62.40,62.90,0.00,0.00,62.8200,63.7500,64.8900,65.2467,,2816.0000,2947.8000,227,216,191,30.6570,35.2149,21.6216,19.8395,23.9535,35,74,19.8395,23.9535,11.6115,249,249,249,-0.6376,-0.9488,-0.6300,4963,4942,4887,
2012/10/17,62.90,63.50,62.80,63.50,0.60,0.9539,63.0200,63.5100,64.7500,65.2500,,2895.0000,2910.2000,258,226,202,44.7096,40.8652,43.7500,27.8097,25.2389,79,72,27.8097,25.2389,32.9512,249,249,249,-0.4518,-0.9124,-0.6865,4980,4960,4902,
2012/10/18,62.80,63.50,61.80,63.00,-0.50,-0.7874,63.0200,63.3400,64.5750,65.2583,,2668.0000,2882.5000,271,239,213,37.1758,37.8631,34.2857,29.9684,26.8154,227,93,29.9684,26.8154,36.2743,249,249,249,-0.3629,-0.9133,-0.7319,4947,4961,4920,
