ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,37.60,37.85,36.70,36.75,0.00,0.00,,,,,,0.0000,,14522,,,,,,,,1613,,,,,233,,,,,,14755,,,
2012/06/29,36.80,37.50,36.75,37.15,0.40,1.0884,,,,,,1126.0000,,14544,,,,,,,,1126,,,,,227,,,,,,14771,,,
2012/07/02,37.60,38.15,37.50,37.80,0.65,1.7497,,,,,,3184.0000,,14559,,,,,,,,2058,,,,,274,,,,,,15077,,,
2012/07/03,38.20,39.40,37.90,38.75,0.95,2.5132,,,,,,7774.0000,,14567,,,,,,,,4590,,,,,592,,,,,,15403,,,
2012/07/04,36.05,36.05,36.05,36.05,-2.70,-6.9677,37.3000,,,,,6979.0000,,14567,14552,,,,,,,795,2036,,,,588,383,,,,,15399,15081,,
2012/07/05,33.55,33.55,33.55,33.55,-2.50,-6.9348,36.6600,,,,,6391.0000,,14567,14561,,,,,,,588,1831,,,,586,454,,,,,15397,15210,,
2012/07/06,31.25,32.70,31.25,31.40,-2.15,-6.4083,35.5100,,,,,-4691.0000,,14494,14551,,21.3904,,,,,11082,3822,,,,307,470,,,,,14915,15239,,
2012/07/09,30.15,30.60,29.30,29.40,-2.00,-6.3694,33.8300,,,,,-9867.0000,,14489,14537,,17.0213,,,,,5176,4446,,,,118,439,,,,,14721,15167,,
2012/07/10,29.45,30.20,29.30,29.40,0.00,0.00,31.9600,,,,,-9867.0000,,14489,14521,,17.0213,,0.9901,33.6634,44.5545,3530,4234,33.6634,44.5545,11.8812,135,348,,,,,14738,15035,,
2012/07/11,29.75,30.15,29.45,29.85,0.45,1.5306,30.7200,34.0100,,,,-7486.0000,-645.7000,14490,14506,14529,22.1718,,5.4455,24.2574,37.7888,2381,4551,24.2574,37.7888,-2.8053,122,255,319,,,,14726,14900,14991,
2012/07/12,30.00,30.00,28.00,28.20,-1.65,-5.5276,29.6500,33.1550,,,,-9946.0000,-1640.3000,14491,14491,14526,17.4155,,1.7544,16.7564,30.7780,2460,4925,16.7564,30.7780,-11.2867,104,158,306,,,,14709,14762,14986,
2012/07/13,28.20,28.20,27.05,27.10,-1.10,-3.9007,28.7900,32.1500,,,,-12553.0000,-3008.2000,14491,14490,14521,14.8645,,0.4049,11.3059,24.2873,2607,3230,11.3059,24.2873,-14.6569,92,115,293,,,,14697,14719,14979,
2012/07/16,27.30,27.70,26.30,26.30,-0.80,-2.952,28.1700,31.0000,,,,-14261.0000,-4752.7000,14491,14491,14514,13.1796,15.9609,0.0000,7.5373,18.7039,1708,2537,7.5373,18.7039,-14.7961,80,108,273,,,,14685,14712,14940,
2012/07/17,26.30,27.20,26.05,27.00,0.70,2.6616,27.6900,29.8250,,,,-12077.0000,-6737.8000,14515,14496,14509,22.4135,19.9436,12.6667,9.2471,15.5517,2184,2268,9.2471,15.5517,-3.3621,71,95,221,,,,14700,14704,14869,
2012/07/18,27.00,27.20,26.70,26.70,-0.30,-1.1111,27.0600,28.8900,,,,-13266.0000,-8762.3000,14491,14496,14501,21.2511,19.5113,9.7744,9.4229,13.5087,1189,2029,9.4229,13.5087,1.2511,0,70,162,,,,14604,14680,14790,
2012/07/19,27.20,27.55,27.00,27.00,0.30,1.1236,26.8200,28.2350,,,,-11775.0000,-10578.9000,14491,14496,14493,25.8648,21.3706,20.8791,13.2416,13.4197,1491,1835,13.2416,13.4197,12.8855,0,49,104,,,,14604,14659,14711,
2012/07/20,27.00,27.50,27.00,27.10,0.10,0.3704,26.8200,27.8050,,,,-10965.0000,-11206.3000,14491,14496,14493,27.5624,22.0256,25.3012,17.2615,14.7003,810,1476,17.2615,14.7003,22.3839,0,31,73,,,,14491,14617,14668,
2012/07/23,26.90,26.90,26.10,26.25,-0.85,-3.1365,26.8100,27.4900,,,,-11912.0000,-11410.8000,14602,14518,14504,22.3437,20.4463,4.8780,13.1337,14.1781,947,1324,13.1337,14.1781,11.0448,0,14,61,,,,14715,14623,14668,
2012/07/24,26.00,26.60,25.30,26.05,-0.20,-0.7619,26.6200,27.1550,,,,-13127.0000,-11736.8000,14607,14536,14516,21.2098,20.0767,15.9574,14.0749,14.1437,1215,1130,14.0749,14.1437,13.9374,58,12,53,,,,14779,14639,14672,
2012/07/25,25.75,26.30,25.25,25.30,-0.75,-2.8791,26.3400,26.7000,30.3550,,,-14210.0000,-12409.2000,14607,14560,14528,17.2667,18.6946,1.6949,9.9483,12.7452,1083,1109,9.9483,12.7452,4.3543,0,12,41,,,,14720,14662,14671,
2012/07/26,25.60,25.80,25.05,25.25,-0.05,-0.1976,25.9900,26.4050,29.7800,,,-15336.0000,-12948.2000,14613,14584,14540,17.0137,18.6014,7.5472,9.1479,11.5461,1126,1036,9.1479,11.5461,4.3515,54,23,36,,,,14781,14698,14678,
2012/07/27,25.65,26.20,25.60,25.85,0.60,2.3762,25.7400,26.2800,29.2150,,,-14031.0000,-13096.0000,14659,14618,14557,31.4745,23.5851,32.0000,16.7653,13.2858,1305,1135,16.7653,13.2858,23.7241,59,35,33,,,,14832,14766,14692,
2012/07/30,26.20,26.75,26.00,26.30,0.45,1.7408,25.7500,26.2800,28.6400,,,-12979.0000,-12967.8000,14663,14630,14574,40.7644,27.2304,50.0000,27.8435,18.1384,1052,1156,27.8435,18.1384,47.2538,63,48,31,,,,14840,14791,14707,
2012/07/31,26.60,26.60,26.05,26.30,0.00,0.00,25.8000,26.2100,28.0175,,,-12979.0000,-13058.0000,14634,14635,14586,40.7644,27.2304,50.0000,35.2290,23.8353,835,1080,35.2290,23.8353,58.0165,80,52,32,,,,14828,14801,14720,
2012/08/01,26.30,27.20,26.30,27.00,0.70,2.6616,26.1400,26.2400,27.5650,,,-11475.0000,-12878.9000,14624,14639,14599,54.5626,33.1353,79.5918,50.0166,32.5624,1504,1164,50.0166,32.5624,84.9251,75,67,39,,,,14813,14819,14741,
2012/08/03,26.80,27.00,26.10,26.25,-0.75,-2.7778,26.3400,26.1650,27.2000,,,-12285.0000,-12929.9000,14623,14641,14612,41.9877,30.2648,55.8140,51.9491,39.0246,810,1101,51.9491,39.0246,77.7980,72,71,47,,-2.5525,,14809,14825,14761,
2012/08/06,26.70,26.75,25.60,25.65,-0.60,-2.2857,26.3000,26.0200,26.9125,,,-13852.0000,-13218.6000,14635,14636,14627,34.3809,28.1375,27.9070,43.9350,40.6614,1567,1153,43.9350,40.6614,50.4823,84,76,55,,-2.4659,,14833,14825,14796,
2012/08/07,25.60,25.90,25.25,25.40,-0.25,-0.9747,26.1200,25.9350,26.7125,,,-15051.0000,-13532.5000,14661,14635,14633,31.5253,27.2664,16.2791,34.7164,38.6797,1199,1183,34.7164,38.6797,26.7897,82,80,64,,-2.3898,,14857,14829,14810,
