ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/06/02,2.90,3.20,2.90,3.16,0.00,0.00,,,,,,0.0000,,479,,,,,,,,28,,,,,0,,,,,,479,,,
2011/06/03,3.00,3.01,3.00,3.01,-0.15,-4.7468,,,,,,-46.0000,,479,,,,,,,,46,,,,,0,,,,,,479,,,
2011/06/07,3.01,3.10,3.01,3.10,0.09,2.99,,,,,,-33.0000,,479,,,,,,,,13,,,,,0,,,,,,479,,,
2011/06/08,3.00,3.20,3.00,3.15,0.05,1.6129,,,,,,9.0000,,479,,,,,,,,42,,,,,0,,,,,,479,,,
2011/06/09,3.00,3.01,3.00,3.01,-0.14,-4.4444,3.0860,,,,,-28.0000,,479,480,,,,,,,37,33,,,,0,0,,,,,479,480,,
2011/06/10,3.17,3.17,3.00,3.15,0.14,4.6512,3.0840,,,,,-15.0000,,479,480,,,,,,,13,30,,,,0,0,,,,,479,480,,
2011/06/13,3.00,3.00,2.93,2.93,-0.22,-6.9841,3.0680,,,,,-56.0000,,479,480,,35.4430,,,,,41,29,,,,0,0,,,,,479,480,,
2011/06/14,2.75,3.04,2.75,3.04,0.11,3.7543,3.0560,,,,,-38.0000,,479,480,,44.6855,,,,,18,30,,,,0,0,,,,,479,480,,
2011/06/15,2.88,3.00,2.88,3.00,-0.04,-1.3158,3.0260,,,,,-46.0000,,479,480,,42.0580,,55.5556,51.8519,50.6173,8,23,51.8519,50.6173,54.3210,0,0,,,,,479,480,,
2011/06/16,2.99,2.99,2.98,2.99,-0.01,-0.3333,3.0220,3.0540,,,,-89.0000,-34.2000,479,480,480,41.3289,,53.3333,52.3457,51.1934,43,24,52.3457,51.1934,54.6502,0,0,0,,,,479,480,480,
2011/06/17,3.00,3.00,2.97,2.97,-0.02,-0.6689,2.9860,3.0350,,,,-106.0000,-44.8000,479,480,480,39.6783,,48.8889,51.1934,51.1934,17,25,51.1934,51.1934,51.1934,0,0,0,,,,479,480,480,
2011/06/20,2.86,2.86,2.86,2.86,-0.11,-3.7037,2.9720,3.0200,,,,-118.0000,-52.0000,479,480,480,31.4008,,24.4444,42.2771,48.2213,12,19,42.2771,48.2213,30.3887,0,0,0,,,,479,480,480,
2011/06/21,2.66,2.93,2.66,2.93,0.07,2.4476,2.9500,3.0030,,,,-42.0000,-52.9000,479,480,480,40.8273,40.0000,52.9412,45.8318,47.4248,76,31,45.8318,47.4248,42.6458,0,0,0,,,,479,480,480,
2011/06/22,2.74,3.12,2.74,2.80,-0.13,-4.4369,2.9100,2.9680,,,,-98.0000,-63.6000,479,480,480,31.2557,35.6087,27.4510,39.7049,44.8515,56,40,39.7049,44.8515,29.4116,0,0,0,,,,479,480,480,
2011/06/23,2.89,2.97,2.70,2.97,0.17,6.0714,2.9060,2.9640,,,,-76.0000,-68.4000,479,480,480,49.7444,44.3277,67.3913,48.9337,46.2122,22,36,48.9337,46.2122,54.3766,0,0,0,,,,479,480,480,
2011/06/24,3.15,3.15,2.83,2.83,-0.14,-4.7138,2.8780,2.9320,,,,-168.0000,-83.7000,479,480,480,39.2993,39.5201,34.6939,44.1871,45.5372,92,51,44.1871,45.5372,41.4869,0,0,0,,,,479,480,480,
2011/06/27,2.67,3.02,2.67,3.02,0.19,6.7138,2.9100,2.9410,,,,-134.0000,-91.5000,479,480,480,54.7672,47.8878,73.4694,53.9478,48.3407,34,56,53.9478,48.3407,65.1621,0,0,0,,,,479,480,480,
2011/06/28,3.00,3.23,3.00,3.23,0.21,6.9536,2.9700,2.9600,,,,-52.0000,-92.9000,479,480,480,66.1931,55.3382,100.0000,69.2986,55.3267,82,57,69.2986,55.3267,97.2423,0,0,0,,,,479,480,480,
2011/06/29,3.37,3.38,3.01,3.30,0.07,2.1672,3.0700,2.9900,,,,18.0000,-86.5000,479,480,480,69.2955,57.5454,88.8889,75.8287,62.1607,70,60,75.8287,62.1607,103.1647,0,0,0,,,,479,480,480,
2011/06/30,3.37,3.37,3.30,3.36,0.06,1.8182,3.1480,3.0270,3.0405,,,112.0000,-66.4000,479,480,480,71.9437,59.4205,97.2222,82.9599,69.0937,94,74,82.9599,69.0937,110.6921,0,0,0,,,,479,480,480,
2011/07/01,3.36,3.37,3.17,3.36,0.00,0.00,3.2540,3.0660,3.0505,,,112.0000,-44.6000,479,480,480,71.9437,59.4205,97.2222,87.7140,75.3005,74,70,87.7140,75.3005,112.5410,0,0,0,,,,479,480,480,
2011/07/04,3.36,3.36,3.36,3.36,0.00,0.00,3.3220,3.1160,3.0680,,,112.0000,-21.6000,479,480,480,71.9437,59.4205,97.1831,90.8704,80.4904,18,67,90.8704,80.4904,111.6302,0,0,0,,,,479,480,480,
2011/07/05,3.13,3.14,3.13,3.14,-0.22,-6.5476,3.3040,3.1370,3.0700,,,98.0000,-7.6000,479,480,480,46.5211,49.0973,66.1972,82.6460,81.2089,14,54,82.6460,81.2089,85.5200,0,0,0,,,,479,480,480,
2011/07/06,3.00,3.19,3.00,3.19,0.05,1.5924,3.2820,3.1760,3.0720,,,129.0000,15.1000,479,480,480,51.2220,51.1994,73.2394,79.5105,80.6428,31,46,79.5105,80.6428,77.2458,0,0,0,,,,479,480,480,
2011/07/07,3.19,3.41,3.19,3.41,0.22,6.8966,3.2920,3.2200,3.0920,,,270.0000,49.7000,479,480,480,66.6844,59.2723,100.0000,86.3403,82.5420,141,55,86.3403,82.5420,93.9370,0,0,0,,,,479,480,480,
2011/07/08,3.50,3.58,3.50,3.55,0.14,4.1056,3.3300,3.2920,3.1120,,,463.0000,112.8000,479,480,480,73.1774,63.4677,94.8276,89.1694,84.7511,193,79,89.1694,84.7511,98.0060,0,0,0,,0.1729,,479,480,480,
2011/07/11,3.55,3.55,3.55,3.55,0.00,0.00,3.3680,3.3450,3.1430,,,463.0000,172.5000,479,480,480,73.1774,63.4677,94.8276,91.0555,86.8526,6,77,91.0555,86.8526,99.4613,0,0,0,,0.1832,,479,480,480,
2011/07/12,3.35,3.48,3.35,3.48,-0.07,-1.9718,3.4360,3.3700,3.1650,,,459.0000,223.6000,479,480,480,64.1725,59.8021,82.7586,88.2898,87.3317,4,75,88.2898,87.3317,90.2062,0,0,0,,0.1837,,479,480,480,
2011/07/14,3.23,3.58,3.23,3.23,-0.25,-7.1839,3.4440,3.3630,3.1765,,,446.0000,266.4000,479,480,480,42.0148,48.8171,39.6552,72.0783,82.2472,13,71,72.0783,82.2472,51.7405,0,0,0,,0.1621,,479,480,480,
2011/07/15,3.43,3.43,3.43,3.43,0.20,6.192,3.4480,3.3700,3.1985,,,447.0000,299.9000,479,480,480,56.4503,55.8886,74.1379,72.7648,79.0864,1,43,72.7648,79.0864,60.1217,0,0,0,,0.1592,,479,480,480,
2011/07/18,3.20,3.42,3.19,3.42,-0.01,-0.2915,3.4220,3.3760,3.2210,,,435.0000,332.2000,479,480,480,55.6195,55.4706,72.4138,72.6478,76.9402,12,7,72.6478,76.9402,64.0630,0,0,0,,0.1543,,479,480,480,
2011/07/19,3.20,3.28,3.20,3.28,-0.14,-4.0936,3.3680,3.3680,3.2420,,,429.0000,363.9000,479,480,480,44.5937,49.7835,48.2759,64.5238,72.8014,6,7,64.5238,72.8014,47.9687,0,0,0,,0.1376,,479,480,480,
2011/07/20,3.06,3.06,3.06,3.06,-0.22,-6.7073,3.2840,3.3600,3.2485,,,413.0000,395.4000,479,480,480,32.4597,42.3417,0.0000,43.0159,62.8729,16,9,43.0159,62.8729,3.3018,0,0,0,,0.1054,,479,480,480,
2011/07/21,3.06,3.06,2.86,3.02,-0.04,-1.3072,3.2420,3.3430,3.2595,,,395.0000,422.0000,479,480,480,30.6407,41.1225,22.2222,36.0847,53.9435,18,10,36.0847,53.9435,0.3670,0,0,0,-0.1450,0.0757,0.1482,479,480,480,
2011/07/22,3.01,3.02,3.01,3.02,0.00,0.00,3.1600,3.3040,3.2620,,,395.0000,434.5000,479,480,480,30.6407,41.1225,22.2222,31.4639,46.4503,9,12,31.4639,46.4503,1.4910,0,0,0,-0.1546,0.0516,0.1289,479,480,480,
2011/07/25,3.02,3.02,3.02,3.02,0.00,0.00,3.0800,3.2510,3.2715,,,395.0000,427.7000,479,480,480,30.6407,41.1225,22.2222,28.3833,40.4280,15,12,28.3833,40.4280,4.2940,0,0,0,-0.1548,0.0322,0.1096,479,480,480,
2011/07/26,2.82,2.99,2.82,2.83,-0.19,-6.2914,2.9900,3.1790,3.2620,,,356.0000,417.0000,479,480,480,20.9870,34.9213,1.3158,19.3608,33.4056,39,19,19.3608,33.4056,-8.7287,0,0,0,-0.1731,0.0014,0.0879,479,480,480,
2011/07/27,2.65,2.65,2.64,2.64,-0.19,-6.7138,2.9060,3.0950,3.2325,,,297.0000,400.8000,479,480,480,15.2293,29.9880,0.0000,12.9072,26.5728,59,28,12.9072,26.5728,-14.4240,0,0,0,-0.2013,-0.0379,0.0628,479,480,480,
2011/07/28,2.46,2.49,2.46,2.49,-0.15,-5.6818,2.8000,3.0210,3.1920,,,241.0000,380.3000,479,480,480,12.0876,26.7352,3.1250,9.6465,20.9307,56,35,9.6465,20.9307,-12.9220,0,0,0,-0.2287,-0.0802,0.0342,479,480,480,
2011/07/29,2.40,2.60,2.40,2.41,-0.08,-3.2129,2.6780,2.9190,3.1445,,,228.0000,358.4000,479,480,480,10.6778,25.1481,1.1364,6.8098,16.2237,13,36,6.8098,16.2237,-12.0181,0,0,0,-0.2448,-0.1188,0.0036,479,480,480,
2011/08/01,2.50,2.56,2.50,2.56,0.15,6.2241,2.5860,2.8330,3.1045,,,241.0000,339.0000,479,480,480,29.2450,33.2529,24.2424,12.6207,15.0227,13,36,12.6207,15.0227,7.8166,0,0,0,-0.2229,-0.1357,-0.0243,479,480,480,
2011/08/02,2.73,2.73,2.73,2.73,0.17,6.6406,2.5660,2.7780,3.0730,,,310.0000,327.1000,479,480,480,44.8390,41.1333,50.0000,25.0804,18.3753,69,42,25.0804,18.3753,38.4908,0,0,0,-0.1754,-0.1339,-0.0462,479,480,480,
