ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/21,17.00,17.15,16.50,16.70,0.00,0.00,,,,,,0.0000,,8497,,,,,,,,2212,,,,,0,,,,,,15174,,,
2012/06/22,16.40,17.10,16.40,17.00,0.30,1.7964,,,,,,2561.0000,,8442,,,,,,,,2561,,,,,6,,,,,,15125,,,
2012/06/25,16.10,16.60,16.05,16.25,-0.75,-4.4118,,,,,,-336.0000,,8208,,,,,,,,2897,,,,,4,,,,,,14886,,,
2012/06/26,16.10,16.40,15.85,15.95,-0.30,-1.8462,,,,,,-1970.0000,,8126,,,,,,,,1634,,,,,2,,,,,,14802,,,
2012/06/27,15.95,16.25,15.75,15.90,-0.05,-0.3135,16.3600,,,,,-3826.0000,,7484,8152,,,,,,,1856,2232,,,,0,2,,,,,14158,14829,,
2012/06/28,16.40,16.60,16.20,16.45,0.55,3.4591,16.3100,,,,,-332.0000,,7514,7955,,,,,,,3494,2488,,,,0,2,,,,,14186,14632,,
2012/06/29,16.45,16.90,16.40,16.60,0.15,0.9119,16.2300,,,,,2587.0000,,7443,7755,,47.6190,,,,,2919,2560,,,,0,1,,,,,14115,14430,,
2012/07/02,16.65,16.80,16.50,16.50,-0.10,-0.6024,16.2800,,,,,1014.0000,,7394,7592,,45.0450,,,,,1573,2295,,,,0,0,,,,,14540,14361,,
2012/07/03,16.50,17.35,16.50,17.00,0.50,3.0303,16.4900,,,,,6680.0000,,7536,7474,,58.5034,,78.1250,59.3750,53.1250,5666,3101,59.3750,53.1250,71.8750,4,1,,,,,14687,14338,,
2012/07/04,17.15,17.25,16.90,17.20,0.20,1.1765,16.7500,16.5550,,,,9536.0000,1591.4000,7448,7467,7809,62.8683,,90.6250,69.7917,58.6806,2856,3301,69.7917,58.6806,92.0139,0,1,2,,,,14595,14425,14627,
2012/07/05,17.40,17.70,17.05,17.20,0.00,0.00,16.9000,16.6050,,,,9536.0000,2545.0000,7410,7447,7701,62.8683,,74.3590,71.3141,62.8917,5956,3794,71.3141,62.8917,88.1588,5,2,2,,,,14562,14501,14566,
2012/07/06,17.20,17.25,16.80,17.00,-0.20,-1.1628,16.9800,16.6050,,,,7288.0000,3017.7000,7359,7430,7593,54.5984,,64.1026,68.9103,64.8979,2248,3659,68.9103,64.8979,76.9349,12,4,3,,,,14518,14581,14505,
2012/07/09,16.35,16.50,16.00,16.40,-0.60,-3.5294,16.9600,16.6200,,,,3605.0000,3411.8000,7062,7364,7478,37.0521,45.9459,33.3333,57.0513,62.2824,3683,4081,57.0513,62.2824,46.5891,11,6,3,,,,14220,14517,14439,
2012/07/10,16.30,16.45,15.70,15.95,-0.45,-2.7439,16.7500,16.6200,,,,533.0000,3662.1000,7054,7267,7371,28.7396,40.5640,12.5000,42.2009,55.5885,3072,3563,42.2009,55.5885,15.4255,14,8,5,,,,14215,14422,14380,
2012/07/11,15.95,16.05,15.70,15.80,-0.15,-0.9404,16.4700,16.6100,,,,-2100.0000,3834.7000,6618,7101,7284,26.3730,38.9068,5.0000,29.8006,46.9925,2633,3518,29.8006,46.9925,-4.5834,0,8,5,,,,13765,14256,14341,
2012/07/12,15.80,15.90,15.50,15.60,-0.20,-1.2658,16.1500,16.5250,,,,-3673.0000,3500.6000,6600,6939,7193,23.3027,36.7244,4.5455,21.3822,38.4558,1573,2641,21.3822,38.4558,-12.7649,10,9,6,,,,13757,14095,14298,
2012/07/13,15.60,15.75,14.60,14.60,-1.00,-6.4103,15.6700,16.3250,,,,-7131.0000,2528.8000,6556,6779,7104,13.7195,28.1207,0.0000,14.2548,30.3888,3458,2883,14.2548,30.3888,-18.0132,16,10,7,,,,13719,13936,14258,
2012/07/16,14.60,14.65,13.60,13.60,-1.00,-6.8493,15.1100,16.0350,,,,-12199.0000,1207.5000,6567,6680,7022,9.1861,22.3966,0.0000,9.5032,23.4269,5068,3160,9.5032,23.4269,-18.3442,15,11,9,,,,14479,13987,14252,
