ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,41.50,41.65,41.30,41.35,0.00,0.00,,,,,,0.0000,,5228,,,,,,,,120,,,,,0,,,,,,5737,,,
2012/06/29,41.50,41.90,41.25,41.65,0.30,0.7255,,,,,,313.0000,,5246,,,,,,,,313,,,,,0,,,,,,5755,,,
2012/07/02,42.00,42.40,41.90,42.35,0.70,1.6807,,,,,,787.0000,,5277,,,,,,,,474,,,,,0,,,,,,5785,,,
2012/07/03,42.50,42.70,42.15,42.35,0.00,0.00,,,,,,787.0000,,5291,,,,,,,,476,,,,,0,,,,,,5799,,,
2012/07/04,42.80,42.90,42.50,42.90,0.55,1.2987,42.1200,,,,,1338.0000,,5317,5272,,,,,,,551,386,,,,0,0,,,,,5825,5781,,
2012/07/05,43.00,43.10,42.55,42.65,-0.25,-0.5828,42.3800,,,,,1017.0000,,5298,5286,,,,,,,321,427,,,,5,1,,,,,5810,5795,,
2012/07/06,42.50,42.75,42.30,42.40,-0.25,-0.5862,42.5300,,,,,815.0000,,5300,5297,,75.6098,,,,,202,404,,,,13,4,,,,,5820,5808,,
2012/07/09,42.00,42.00,41.60,41.70,-0.70,-1.6509,42.4000,,,,,435.0000,,5332,5308,,53.6332,,,,,380,386,,,,4,4,,,,,5843,5820,,
2012/07/10,41.70,41.95,41.55,41.55,-0.15,-0.3597,42.2400,,,,,211.0000,,5334,5316,,49.9034,,16.2162,38.7387,46.2462,224,335,38.7387,46.2462,23.7237,6,6,,,,,5847,5830,,
2012/07/11,41.55,42.85,41.50,42.30,0.75,1.8051,42.1200,42.1200,,,,624.0000,632.7000,5288,5311,5291,64.6524,,56.7568,44.7447,45.7457,413,308,44.7447,45.7457,42.7427,1,6,3,,,,5796,5824,5802,
2012/07/12,42.25,42.60,41.65,41.80,-0.50,-1.182,41.9500,42.1650,,,,406.0000,673.3000,5277,5306,5296,52.3277,,18.7500,36.0798,42.5238,218,287,36.0798,42.5238,23.1919,0,5,3,,,,5784,5819,5807,
2012/07/13,41.80,42.15,41.65,41.75,-0.05,-0.1196,41.8200,42.1750,,,,256.0000,667.6000,5272,5301,5299,51.1575,,15.6250,29.2616,38.1030,150,277,29.2616,38.1030,11.5786,1,2,3,,,,5780,5811,5810,
2012/07/16,41.95,42.00,41.50,41.50,-0.25,-0.5988,41.7800,42.0900,,,,64.0000,595.3000,5260,5286,5297,45.1051,51.6854,0.0000,19.5077,31.9046,192,239,19.5077,31.9046,-5.2861,0,2,3,,,,5767,5795,5808,
2012/07/17,41.50,41.85,41.40,41.65,0.15,0.3614,41.8000,42.0200,,,,228.0000,539.4000,5260,5272,5294,49.4141,53.3990,14.7059,17.9071,27.2388,164,227,17.9071,27.2388,-0.7562,28,6,6,,,,5795,5785,5807,
2012/07/18,41.80,42.50,41.80,41.95,0.30,0.7203,41.7300,41.9250,,,,484.0000,454.0000,5244,5263,5287,57.4333,56.7462,37.9310,24.5817,26.3531,256,196,24.5817,26.3531,21.0391,99,26,16,,,,5850,5796,5810,
