ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/18,7.95,8.15,7.95,8.02,0.00,0.00,,,,,,0.0000,,481,,,,,,,,264,,,,,0,,,,,,483,,,
2012/06/19,7.96,8.15,7.96,8.02,0.00,0.00,,,,,,0.0000,,478,,,,,,,,305,,,,,0,,,,,,480,,,
2012/06/20,8.04,8.14,7.95,7.95,-0.07,-0.8728,,,,,,-209.0000,,491,,,,,,,,209,,,,,0,,,,,,493,,,
2012/06/21,8.00,8.10,7.95,8.00,0.05,0.6289,,,,,,137.0000,,493,,,,,,,,346,,,,,0,,,,,,495,,,
2012/06/22,8.00,8.03,7.90,7.91,-0.09,-1.125,7.9800,,,,,-33.0000,,491,488,,,,,,,170,258,,,,0,0,,,,,493,489,,
2012/06/25,7.91,7.91,7.80,7.81,-0.10,-1.2642,7.9380,,,,,-139.0000,,492,490,,,,,,,106,227,,,,0,0,,,,,494,491,,
2012/06/26,7.63,7.81,7.60,7.60,-0.21,-2.6889,7.8540,,,,,-342.0000,,466,487,,9.6154,,,,,203,206,,,,0,0,,,,,468,489,,
2012/06/27,7.60,7.85,7.50,7.50,-0.10,-1.3158,7.7640,,,,,-467.0000,,481,485,,7.8125,,,,,125,190,,,,0,0,,,,,483,487,,
2012/06/28,7.70,7.70,7.51,7.51,0.01,0.1333,7.6660,,,,,-371.0000,,477,482,,9.8411,,1.5385,33.8462,44.6154,96,140,33.8462,44.6154,12.3077,0,0,,,,,479,484,,
2012/06/29,7.65,7.74,7.50,7.64,0.13,1.731,7.6120,7.7960,,,,13.0000,-141.1000,490,482,485,32.8813,,21.5385,29.7436,39.6581,384,182,29.7436,39.6581,9.9145,0,0,0,,,,492,483,486,
2012/07/02,7.79,7.79,7.70,7.75,0.11,1.4398,7.6000,7.7690,,,,213.0000,-119.8000,506,485,487,46.7093,,39.0625,32.8499,37.3887,200,201,32.8499,37.3887,23.7723,0,0,0,,,,508,486,489,
2012/07/03,7.75,7.80,7.70,7.75,0.00,0.00,7.6300,7.7420,,,,213.0000,-98.5000,519,495,491,46.7093,,41.6667,35.7888,36.8554,108,182,35.7888,36.8554,33.6556,0,0,0,,,,521,497,493,
2012/07/04,7.75,8.03,7.75,7.96,0.21,2.7097,7.7220,7.7430,,,,572.0000,-20.4000,535,506,496,65.9784,47.2222,86.7925,52.7900,42.1670,359,229,52.7900,42.1670,74.0362,0,0,0,,,,537,508,497,
2012/07/05,7.98,8.05,7.86,7.86,-0.10,-1.2563,7.7920,7.7290,,,,437.0000,9.6000,532,517,500,54.6804,42.8899,65.4545,57.0115,47.1151,135,237,57.0115,47.1151,76.8043,0,0,0,,,,534,519,501,
2012/07/06,7.60,7.80,7.60,7.72,-0.14,-1.7812,7.8080,7.7100,,,,298.0000,42.7000,523,524,503,42.4642,37.6189,40.0000,51.3410,48.5238,139,188,51.3410,48.5238,56.9755,0,0,0,,,,525,525,504,
2012/07/09,7.72,7.72,7.58,7.65,-0.07,-0.9067,7.7880,7.6940,,,,108.0000,67.4000,512,525,505,37.4449,35.2555,27.2727,43.3183,46.7886,190,186,43.3183,46.7886,36.3776,0,0,0,,,,514,526,506,
2012/07/10,7.61,7.71,7.58,7.60,-0.05,-0.6536,7.7580,7.6940,,,,-81.0000,93.5000,494,520,508,34.0002,33.6102,18.1818,34.9394,42.8389,189,202,34.9394,42.8389,19.1406,0,0,0,,,,496,521,509,
