ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,24.70,24.70,24.25,24.25,0.00,0.00,,,,,,0.0000,,10963,,,,,,,,109,,,,,374,,,,,,13964,,,
2012/06/29,24.60,24.95,24.30,24.80,0.55,2.268,,,,,,121.0000,,10962,,,,,,,,121,,,,,0,,,,,,13588,,,
2012/07/02,25.00,25.00,24.70,24.80,0.00,0.00,,,,,,121.0000,,10937,,,,,,,,211,,,,,0,,,,,,13412,,,
2012/07/03,25.20,26.40,25.20,25.85,1.05,4.2339,,,,,,943.0000,,10657,,,,,,,,822,,,,,0,,,,,,13135,,,
2012/07/04,26.30,26.30,25.40,25.65,-0.20,-0.7737,25.0700,,,,,486.0000,,10574,10819,,,,,,,457,344,,,,0,75,,,,,13052,13431,,
2012/07/05,25.65,25.65,25.45,25.60,-0.05,-0.1949,25.3400,,,,,370.0000,,10546,10736,,,,,,,116,345,,,,0,0,,,,,13023,13242,,
2012/07/06,25.60,25.60,25.40,25.60,0.00,0.00,25.5000,,,,,370.0000,,10506,10644,,86.4865,,,,,203,361,,,,378,76,,,,,13362,13197,,
2012/07/09,25.35,25.80,25.30,25.80,0.20,0.7812,25.7000,,,,,510.0000,,10459,10549,,88.0383,,,,,140,347,,,,377,151,,,,,13289,13172,,
2012/07/10,25.80,25.80,25.30,25.40,-0.40,-1.5504,25.6100,,,,,282.0000,,10394,10496,,69.0173,,53.4884,51.1628,50.3876,228,228,51.1628,50.3876,52.7132,380,228,,,,,13202,13186,,
2012/07/11,25.10,25.40,25.05,25.30,-0.10,-0.3937,25.5400,25.3050,,,,117.0000,332.0000,10359,10453,10636,64.8161,,47.6190,49.9815,50.2522,165,170,49.9815,50.2522,49.4401,381,304,189,,,,13143,13204,13317,
2012/07/12,25.00,25.30,24.90,25.05,-0.25,-0.9881,25.4300,25.3850,,,,-70.0000,325.0000,10350,10414,10575,54.8076,,20.5882,40.1838,46.8961,187,184,40.1838,46.8961,26.7591,385,381,191,,,,13113,13222,13232,
