ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/03/26,17.50,18.20,16.70,18.10,0.00,0.00,,,,,,0.0000,,0,,,,,,,,71,,,,,0,,,,,,0,,,
2012/03/27,18.00,18.10,18.00,18.10,0.00,0.00,,,,,,0.0000,,0,,,,,,,,19,,,,,0,,,,,,0,,,
2012/03/28,18.10,18.20,17.95,18.00,-0.10,-0.5525,,,,,,-23.0000,,0,,,,,,,,23,,,,,0,,,,,,0,,,
2012/03/29,18.10,18.10,17.50,17.50,-0.50,-2.7778,,,,,,-27.0000,,0,,,,,,,,4,,,,,0,,,,,,0,,,
2012/03/30,17.50,17.90,17.50,17.90,0.40,2.2857,17.9200,,,,,-25.0000,,0,0,,,,,,,2,23,,,,0,0,,,,,0,0,,
2012/04/02,17.30,17.40,17.14,17.40,-0.50,-2.7933,17.7800,,,,,-35.0000,,0,0,,,,,,,10,11,,,,0,0,,,,,0,0,,
2012/04/03,16.63,16.70,16.63,16.70,-0.70,-4.023,17.5000,,,,,-41.0000,,0,0,,18.1818,,,,,6,9,,,,0,0,,,,,0,0,,
2012/04/05,16.00,16.10,16.00,16.00,-0.70,-4.1916,17.1000,,,,,-47.0000,,0,0,,13.1579,,,,,6,5,,,,0,0,,,,,0,0,,
2012/04/06,16.21,16.21,14.80,15.30,-0.70,-4.375,16.6600,,,,,-373.0000,,0,0,,9.8814,,14.7059,38.2353,46.0784,326,70,38.2353,46.0784,22.5490,0,0,,,,,0,0,,
2012/04/09,14.80,15.00,14.50,15.00,-0.30,-1.9608,16.0800,17.0000,,,,-764.0000,-133.5000,0,0,0,8.7596,,13.5135,29.9947,40.7172,391,147,29.9947,40.7172,8.5497,0,0,0,,,,0,0,0,
2012/04/10,14.85,14.90,14.85,14.90,-0.10,-0.6667,15.5800,16.6800,,,,-1096.0000,-243.1000,0,0,0,8.3791,,10.8108,23.6001,35.0115,332,212,23.6001,35.0115,0.7772,0,0,0,,,,0,0,0,
2012/04/11,14.80,15.26,14.70,14.70,-0.20,-1.3423,15.1800,16.3400,,,,-1492.0000,-392.3000,0,0,0,7.5881,,5.5556,17.5852,29.2027,396,290,17.5852,29.2027,-5.6498,0,0,0,,,,0,0,0,
2012/04/12,14.80,14.80,14.60,14.60,-0.10,-0.6803,14.9000,16.0000,,,,-1868.0000,-576.8000,0,0,0,7.1813,9.3023,2.9412,12.7039,23.7031,376,364,12.7039,23.7031,-9.2946,0,0,0,,,,0,0,0,
2012/04/13,14.70,15.15,14.60,14.80,0.20,1.3699,14.8000,15.7300,,,,-1520.0000,-726.1000,0,0,0,17.7620,13.6821,10.3448,11.9175,19.7746,348,368,11.9175,19.7746,-3.7966,0,0,0,,,,0,0,0,
2012/04/16,14.60,14.80,14.60,14.70,-0.10,-0.6757,14.7400,15.4100,,,,-1916.0000,-915.2000,0,0,0,16.6249,13.3310,9.0909,10.9753,16.8415,396,369,10.9753,16.8415,-0.7570,0,0,0,,,,0,0,0,
2012/04/17,14.70,14.80,14.55,14.60,-0.10,-0.6803,14.6800,15.1300,,,,-1956.0000,-1107.3000,0,0,0,15.4389,12.9679,5.8480,9.2662,14.3164,40,311,9.2662,14.3164,-0.8342,0,0,0,,,,0,0,0,
2012/04/18,15.00,15.00,14.40,14.40,-0.20,-1.3699,14.6200,14.9000,,,,-2326.0000,-1335.8000,0,0,0,13.1819,12.2406,0.0000,6.1775,11.6034,370,306,6.1775,11.6034,-4.6744,0,0,0,,,,0,0,0,
2012/04/19,14.50,14.55,14.50,14.55,0.15,1.0417,14.6100,14.7550,,,,-2323.0000,-1563.4000,0,0,0,23.2763,16.0911,17.4419,9.9323,11.0464,3,231,9.9323,11.0464,7.7041,0,0,0,,,,0,0,0,
2012/04/24,15.00,15.05,14.50,15.05,0.50,3.4364,14.6600,14.7300,,,,-1518.0000,-1677.9000,0,0,0,47.6319,27.6368,75.5814,31.8153,17.9693,805,322,31.8153,17.9693,59.5072,0,0,0,,,,0,0,0,
2012/04/25,15.00,15.47,14.70,15.20,0.15,0.9967,14.7600,14.7500,15.8750,,,454.0000,-1556.1000,0,0,0,53.0028,30.7550,74.7664,46.1323,27.3570,1972,638,46.1323,27.3570,83.6830,0,0,0,,,,0,0,0,
2012/04/26,15.68,15.68,15.10,15.30,0.10,0.6579,14.9000,14.7900,15.7350,,,867.0000,-1359.8000,0,0,0,56.5664,32.8592,70.3125,54.1924,36.3021,413,712,54.1924,36.3021,89.9729,0,0,0,,,,0,0,0,
2012/04/27,15.45,15.50,15.00,15.00,-0.30,-1.9608,15.0200,14.8200,15.5800,,,641.0000,-1146.5000,0,0,0,44.4364,29.8870,46.8750,51.7533,41.4525,226,683,51.7533,41.4525,72.3548,0,0,0,,,,0,0,0,
2012/05/03,14.80,14.90,14.80,14.80,-0.20,-1.3333,15.0700,14.8400,15.4200,,,617.0000,-898.0000,0,0,0,37.9295,28.0422,31.2500,44.9188,42.6079,24,688,44.9188,42.6079,49.5406,0,0,0,,,,0,0,0,
2012/05/04,14.90,14.90,14.80,14.80,0.00,0.00,15.0200,14.8400,15.2850,,,617.0000,-684.3000,0,0,0,37.9295,28.0422,31.2500,40.3626,41.8595,8,528,40.3626,41.8595,37.3687,0,0,0,,,,0,0,0,
2012/05/11,14.80,14.90,14.80,14.80,0.00,0.00,14.9400,14.8500,15.1300,,,617.0000,-431.0000,0,0,0,37.9295,28.0422,31.2500,37.3250,40.3480,19,138,37.3250,40.3480,31.2791,0,0,0,,,,0,0,0,
