ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,23.60,23.90,23.30,23.55,0.00,0.00,,,,,,0.0000,,22653,,,,,,,,2007,,,,,757,,,,,,23410,,,
2012/06/29,23.80,25.15,23.55,25.00,1.45,6.1571,,,,,,6257.0000,,22875,,,,,,,,6257,,,,,0,,,,,,22875,,,
2012/07/02,24.80,25.10,24.50,24.80,-0.20,-0.80,,,,,,3052.0000,,23289,,,,,,,,3205,,,,,773,,,,,,24166,,,
2012/07/03,24.60,25.00,24.55,24.60,-0.20,-0.8065,,,,,,1300.0000,,23324,,,,,,,,1752,,,,,0,,,,,,23429,,,
2012/07/04,24.60,25.05,24.60,24.90,0.30,1.2195,24.5700,,,,,3248.0000,,23551,23139,,,,,,,1948,3033,,,,0,306,,,,,23656,23507,,
2012/07/05,24.90,24.90,24.50,24.55,-0.35,-1.4056,24.7700,,,,,2150.0000,,23877,23384,,,,,,,1098,2852,,,,0,155,,,,,23981,23622,,
2012/07/06,24.55,24.60,23.45,23.80,-0.75,-3.055,24.5300,,,,,275.0000,,24346,23678,,53.8462,,,,,1875,1975,,,,0,155,,,,,24450,23937,,
2012/07/09,23.60,24.05,23.50,23.50,-0.30,-1.2605,24.2700,,,,,-1209.0000,,24493,23919,,48.4765,,,,,1484,1631,,,,818,164,,,,,25415,24186,,
2012/07/10,23.10,23.65,22.80,23.00,-0.50,-2.1277,23.9500,,,,,-3413.0000,,24537,24161,,40.4157,,8.5106,36.1702,45.3901,2204,1721,36.1702,45.3901,17.7305,773,318,,,,,25414,24584,,
2012/07/11,23.00,24.25,22.95,24.10,1.10,4.7826,23.7900,24.1800,,,,115.0000,1177.5000,24585,24368,23753,58.5928,,55.3191,42.5532,44.4444,3528,2037,42.5532,44.4444,38.7707,0,318,312,,,,24689,24790,24149,
2012/07/12,24.10,24.10,23.20,24.00,-0.10,-0.4149,23.6800,24.2250,,,,-1901.0000,987.4000,24406,24474,23929,56.7056,,52.1739,45.7601,44.8830,2016,2221,45.7601,44.8830,47.5143,0,318,236,,,,24510,24896,24259,
2012/07/13,23.90,23.90,23.10,23.10,-0.90,-3.75,23.5400,24.0350,,,,-3195.0000,42.2000,24294,24464,24071,42.0713,,13.3333,34.9512,41.5724,1294,2105,34.9512,41.5724,21.7088,0,318,236,,,,24398,24885,24411,
2012/07/16,23.10,23.30,21.50,21.50,-1.60,-6.9264,23.1400,23.7050,,,,-5822.0000,-845.2000,24066,24378,24148,27.1330,36.7742,0.0000,23.3008,35.4819,2627,2333,23.3008,35.4819,-1.0614,0,155,159,,,,24170,24636,24411,
2012/07/17,21.00,21.80,20.80,21.70,0.20,0.9302,22.8800,23.4150,,,,-3968.0000,-1372.0000,24254,24322,24241,30.8177,38.5054,21.9512,22.8509,31.2715,1854,2263,22.8509,31.2715,6.0097,723,145,231,,,,25084,24570,24577,
2012/07/18,21.75,21.90,20.95,20.95,-0.75,-3.4562,22.2500,23.0200,,,,-4907.0000,-2187.5000,24301,24265,24316,25.1049,34.6267,3.9474,16.5497,26.3643,939,1746,16.5497,26.3643,-3.0793,0,145,231,,,,24408,24514,24652,
2012/07/19,21.20,21.60,21.20,21.35,0.40,1.9093,21.7200,22.7000,,,,-3982.0000,-2800.7000,24372,24258,24366,33.0480,38.2460,15.9420,16.3472,23.0252,925,1527,16.3472,23.0252,2.9910,725,290,304,,,,25204,24653,24774,
2012/07/20,21.35,22.00,21.35,21.70,0.35,1.6393,21.4400,22.4900,,,,-2687.0000,-3096.9000,24497,24299,24381,39.7566,41.3456,26.0870,19.5938,21.8814,1295,1528,19.5938,21.8814,15.0185,0,290,304,,,,24604,24694,24790,
2012/07/23,21.10,21.45,20.85,20.90,-0.80,-3.6866,21.3200,22.2300,,,,-3457.0000,-3321.7000,24507,24387,24382,31.1857,36.7465,2.8986,14.0287,19.2638,770,1156,14.0287,19.2638,3.5584,0,290,222,,,,24614,24783,24710,
2012/07/24,20.70,21.20,20.70,21.10,0.20,0.9569,21.2000,22.0400,,,,-2580.0000,-3238.4000,24610,24458,24390,35.3659,38.6089,11.7647,13.2740,17.2672,877,961,13.2740,17.2672,5.2876,717,288,217,,,,25434,24853,24712,
2012/07/25,20.90,21.45,20.70,20.95,-0.15,-0.7109,21.2000,21.7250,22.9525,,,-3634.0000,-3613.3000,24562,24510,24387,33.5326,37.7007,7.8125,11.4535,15.3293,1054,984,11.4535,15.3293,3.7019,711,431,288,,,,25380,25047,24781,
