ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,19.85,19.90,19.60,19.60,0.00,0.00,,,,,,0.0000,,0,,,,,,,,19,,,,,0,,,,,,0,,,
2012/06/20,19.40,19.70,19.40,19.60,0.00,0.00,,,,,,0.0000,,0,,,,,,,,38,,,,,0,,,,,,0,,,
2012/06/21,19.60,19.60,19.45,19.60,0.00,0.00,,,,,,0.0000,,0,,,,,,,,24,,,,,0,,,,,,0,,,
2012/06/22,19.50,19.70,19.40,19.70,0.10,0.5102,,,,,,96.0000,,0,,,,,,,,96,,,,,0,,,,,,0,,,
2012/06/25,18.60,19.40,18.60,19.40,-0.30,-1.5228,19.5800,,,,,62.0000,,0,0,,,,,,,34,42,,,,0,0,,,,,0,0,,
2012/06/26,19.80,20.75,19.60,20.75,1.35,6.9588,19.8100,,,,,297.0000,,0,0,,,,,,,235,85,,,,0,0,,,,,0,0,,
2012/06/27,20.95,22.20,20.95,22.20,1.45,6.988,20.3300,,,,,507.0000,,0,0,,90.6250,,,,,210,119,,,,0,0,,,,,0,0,,
2012/06/28,23.70,23.70,21.70,22.20,0.00,0.00,20.8500,,,,,507.0000,,0,0,,90.6250,,,,,528,220,,,,0,0,,,,,0,0,,
2012/06/29,21.55,22.20,21.10,21.85,-0.35,-1.5766,21.2800,,,,,127.0000,,0,0,,78.2937,,63.7255,54.5752,51.5251,380,277,54.5752,51.5251,60.6754,0,0,,,,,0,0,,
2012/07/02,22.35,23.00,22.00,22.00,0.15,0.6865,21.8000,20.6900,,,,378.0000,197.4000,0,0,0,79.7134,,66.6667,58.6057,53.8853,251,320,58.6057,53.8853,68.0465,0,0,0,,,,0,0,0,
2012/07/03,22.40,22.40,21.50,21.60,-0.40,-1.8182,21.9700,20.8900,,,,296.0000,227.0000,0,0,0,65.9177,,58.8235,58.6783,55.4829,82,290,58.6783,55.4829,65.0690,0,0,0,,,,0,0,0,
2012/07/04,21.60,21.80,20.10,20.10,-1.50,-6.9444,21.5500,20.9400,,,,-67.0000,220.3000,0,0,0,37.0575,,29.4118,48.9228,53.2962,363,320,48.9228,53.2962,40.1759,0,0,0,,,,0,0,0,
2012/07/05,20.30,20.75,20.10,20.20,0.10,0.4975,21.1500,21.0000,,,,132.0000,233.5000,0,0,0,39.1875,55.2632,31.3725,43.0727,49.8884,199,255,43.0727,49.8884,29.4414,0,0,0,,,,0,0,0,
2012/07/06,20.20,20.25,19.15,19.60,-0.60,-2.9703,20.7000,20.9900,,,,35.0000,227.4000,0,0,0,31.5101,49.5708,9.8901,32.0118,43.9295,97,198,32.0118,43.9295,8.1765,0,0,0,,,,0,0,0,
2012/07/09,19.40,19.60,19.25,19.30,-0.30,-1.5306,20.1600,20.9800,,,,-18.0000,219.4000,0,0,0,28.1957,46.9339,3.2967,22.4401,36.7664,53,158,22.4401,36.7664,-6.2124,0,0,0,,,,0,0,0,
2012/07/10,19.05,19.10,18.10,18.30,-1.00,-5.1813,19.5000,20.7350,,,,-213.0000,168.4000,0,0,0,19.8458,39.3266,3.5714,16.1506,29.8945,195,181,16.1506,29.8945,-11.3372,0,0,0,,,,0,0,0,
2012/07/11,17.90,18.65,17.80,18.20,-0.10,-0.5464,19.1200,20.3350,,,,-313.0000,86.4000,0,0,0,19.1647,38.6433,7.6923,13.3311,24.3733,100,128,13.3311,24.3733,-8.7533,0,0,0,,,,0,0,0,
2012/07/12,18.05,18.20,17.95,18.00,-0.20,-1.0989,18.6800,19.9150,,,,-353.0000,0.4000,0,0,0,17.7064,37.2319,3.8462,10.1695,19.6387,40,97,10.1695,19.6387,-8.7690,0,0,0,,,,0,0,0,
2012/07/13,18.20,18.60,18.00,18.00,0.00,0.00,18.3600,19.5300,,,,-353.0000,-47.6000,0,0,0,17.7064,37.2319,4.3478,8.2289,15.8355,123,102,8.2289,15.8355,-6.9841,0,0,0,,,,0,0,0,
2012/07/16,18.60,18.60,17.10,17.85,-0.15,-0.8333,18.0700,19.1150,19.9025,,,-390.0000,-124.4000,0,0,0,16.3617,36.0565,15.9574,10.8051,14.1587,37,99,10.8051,14.1587,4.0980,0,0,0,,,,0,0,0,
2012/07/17,17.80,17.80,17.60,17.80,-0.05,-0.2801,17.9700,18.7350,19.8125,,,-433.0000,-197.3000,0,0,0,15.8794,35.6472,19.1781,13.5961,13.9711,43,68,13.5961,13.9711,12.8460,0,0,0,,,,0,0,0,
2012/07/18,18.00,18.10,17.70,17.70,-0.10,-0.5618,17.8700,18.4950,19.7175,,,-477.0000,-238.3000,0,0,0,14.8301,34.7858,19.0476,15.4133,14.4519,44,57,15.4133,14.4519,17.3361,0,0,0,,,,0,0,0,
2012/07/19,17.80,18.00,17.80,17.95,0.25,1.4124,17.8600,18.2700,19.6350,,,-440.0000,-295.5000,0,0,0,28.9206,38.8180,34.0000,21.6088,16.8375,37,56,21.6088,16.8375,31.1515,0,0,0,,,,0,0,0,
2012/07/20,17.80,18.00,17.80,17.85,-0.10,-0.5571,17.8300,18.0950,19.5425,,,-461.0000,-345.1000,0,0,0,26.7930,37.7982,37.5000,26.9059,20.1936,21,36,26.9059,20.1936,40.3304,0,0,0,,,,0,0,0,
2012/07/23,17.70,17.70,17.30,17.30,-0.55,-3.0812,17.7200,17.8950,19.4375,,,-483.0000,-391.6000,0,0,0,18.0356,32.6514,12.9032,22.2383,20.8752,22,33,22.2383,20.8752,24.9646,0,0,0,,,,0,0,0,
2012/07/24,17.10,17.15,16.30,16.60,-0.70,-4.0462,17.4800,17.7250,19.2300,,,-577.0000,-428.0000,0,0,0,12.0302,27.4599,13.0435,19.1734,20.3079,94,43,19.1734,20.3079,16.9043,0,0,0,,-1.3823,,0,0,0,
2012/07/25,16.45,16.50,16.30,16.35,-0.25,-1.506,17.2100,17.5400,18.9375,,,-603.0000,-457.0000,0,0,0,10.5279,25.8581,2.1739,13.5069,18.0409,26,40,13.5069,18.0409,4.4388,0,0,0,,-1.4122,,0,0,0,
