ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,12.10,12.15,12.00,12.00,0.00,0.00,,,,,,0.0000,,54252,,,,,,,,41,,,,,0,,,,,,54252,,,
2012/06/29,12.10,12.15,11.90,12.05,0.05,0.4167,,,,,,88.0000,,54252,,,,,,,,88,,,,,0,,,,,,54252,,,
2012/07/02,12.10,12.35,12.10,12.15,0.10,0.8299,,,,,,176.0000,,54252,,,,,,,,88,,,,,0,,,,,,54252,,,
2012/07/03,12.20,12.30,12.20,12.20,0.05,0.4115,,,,,,225.0000,,54252,,,,,,,,49,,,,,0,,,,,,54252,,,
2012/07/04,12.25,13.05,12.25,13.05,0.85,6.9672,12.2900,,,,,1105.0000,,54252,54253,,,,,,,880,229,,,,0,0,,,,,54252,54253,,
2012/07/05,13.15,13.15,12.70,12.80,-0.25,-1.9157,12.4500,,,,,637.0000,,54252,54253,,,,,,,468,314,,,,0,0,,,,,54252,54253,,
2012/07/06,12.80,12.90,12.60,12.60,-0.20,-1.5625,12.5600,,,,,457.0000,,54252,54253,,70.0000,,,,,180,333,,,,0,0,,,,,54252,54253,,
2012/07/09,12.50,12.60,12.45,12.60,0.00,0.00,12.6500,,,,,457.0000,,54252,54253,,70.0000,,,,,94,334,,,,0,0,,,,,54252,54253,,
2012/07/10,12.40,12.60,12.35,12.35,-0.25,-1.9841,12.6800,,,,,303.0000,,54252,54253,,56.4516,,36.0000,45.3333,48.4444,154,355,45.3333,48.4444,39.1111,0,0,,,,,54252,54253,,
2012/07/11,12.25,12.40,12.25,12.40,0.05,0.4049,12.5500,12.4200,,,,410.0000,385.8000,54252,54253,54253,58.3847,,40.0000,43.5556,46.8148,107,200,43.5556,46.8148,37.0370,0,0,0,,,,54252,54253,54253,
2012/07/12,12.40,12.40,12.30,12.30,-0.10,-0.8065,12.4500,12.4500,,,,338.0000,419.6000,54252,54253,54253,52.7635,,19.0476,35.3862,43.0053,72,121,35.3862,43.0053,20.1481,0,0,0,,,,54252,54253,54253,
2012/07/13,12.30,12.55,12.25,12.35,0.05,0.4065,12.4000,12.4800,,,,407.0000,451.5000,54252,54253,54253,55.3432,,15.7895,28.8540,38.2882,69,99,28.8540,38.2882,9.9856,0,0,0,,,,54252,54253,54253,
2012/07/16,12.55,12.55,12.35,12.45,0.10,0.8097,12.3700,12.5100,,,,440.0000,477.9000,54252,54253,54253,60.5181,60.9756,22.2222,26.6434,34.4066,33,87,26.6434,34.4066,11.1170,0,0,0,,,,54252,54253,54253,
2012/07/17,12.40,12.40,12.15,12.30,-0.15,-1.2048,12.3600,12.5200,,,,322.0000,487.6000,54252,54253,54253,50.0735,56.4682,15.0000,22.7623,30.5252,118,79,22.7623,30.5252,7.2365,0,0,0,,,,54252,54253,54253,
2012/07/18,12.30,12.35,12.15,12.15,-0.15,-1.2195,12.3100,12.4300,,,,240.0000,401.1000,54252,54253,54253,41.4823,52.2543,0.0000,15.1748,25.4084,82,74,15.1748,25.4084,-5.2922,0,0,0,,,,54252,54253,54253,
2012/07/19,12.15,12.35,12.15,12.25,0.10,0.823,12.3000,12.3750,,,,402.0000,377.6000,54252,54253,54253,48.5449,54.7121,22.2222,17.5240,22.7802,162,92,17.5240,22.7802,7.0114,0,0,0,,,,54252,54253,54253,
2012/07/20,12.15,12.35,12.15,12.35,0.10,0.8163,12.3000,12.3500,,,,486.0000,380.5000,54252,54253,54253,55.0543,57.1202,44.4444,26.4975,24.0193,84,95,26.4975,24.0193,31.4538,0,0,0,,,,54252,54253,54253,
2012/07/23,12.30,12.30,12.15,12.20,-0.15,-1.2146,12.2500,12.3100,,,,406.0000,375.4000,54252,54253,54253,44.8430,52.5480,12.5000,21.8316,23.2901,80,105,21.8316,23.2901,18.9147,0,0,0,,,,54252,54253,54253,
2012/07/24,12.20,12.20,11.90,11.95,-0.25,-2.0492,12.1800,12.2700,,,,143.0000,359.4000,54252,54253,54253,32.7093,45.8720,7.6923,17.1185,21.2329,263,134,17.1185,21.2329,8.8898,0,0,0,,,,54252,54253,54253,
2012/07/25,11.95,12.20,11.95,12.20,0.25,2.0921,12.1900,12.2500,12.3350,,,436.0000,362.0000,54252,54253,54253,49.2030,52.4608,46.1538,26.7970,23.0876,293,176,26.7970,23.0876,34.2157,0,0,0,,,,54252,54253,54253,
2012/07/26,11.50,11.50,11.15,11.20,-1.00,-8.1967,11.9800,12.1400,12.2950,,,226.0000,350.8000,54252,54253,54253,22.6061,34.2620,3.5714,19.0551,21.7434,210,186,19.0551,21.7434,13.6785,0,0,0,,,,54252,54253,54253,
2012/07/27,11.30,11.40,11.20,11.25,0.05,0.4464,11.7600,12.0300,12.2550,,,457.0000,355.8000,54252,54253,54253,25.0374,35.4828,8.0000,15.3701,19.6190,231,215,15.3701,19.6190,6.8723,0,0,0,,,,54252,54253,54253,
2012/07/30,11.30,11.30,11.20,11.25,0.00,0.00,11.5700,11.9100,12.2100,,,457.0000,357.5000,54252,54253,54253,25.0374,35.4828,8.3333,13.0245,17.4208,102,219,13.0245,17.4208,4.2319,0,0,0,,,,54252,54253,54253,
2012/07/31,11.25,11.40,11.25,11.25,0.00,0.00,11.4300,11.8050,12.1625,,,457.0000,371.0000,54252,54253,54253,25.0374,35.4828,8.3333,11.4608,15.4341,91,185,11.4608,15.4341,3.5140,0,0,0,,,,54252,54253,54253,
2012/08/01,11.25,11.35,11.25,11.30,0.05,0.4444,11.2500,11.7200,12.0750,,,500.0000,397.0000,54252,54253,54253,28.8972,37.0017,12.5000,11.8072,14.2252,43,135,11.8072,14.2252,6.9712,0,0,0,,,,54252,54253,54253,
2012/08/03,11.25,11.30,11.25,11.30,0.00,0.00,11.2700,11.6250,12.0000,,,500.0000,406.8000,54252,54253,54253,28.8972,37.0017,13.0435,12.2193,13.5565,24,98,12.2193,13.5565,9.5448,0,0,0,,-0.4632,,54252,54253,54253,
2012/08/06,11.40,11.40,11.25,11.30,0.00,0.00,11.2800,11.5200,11.9350,,,500.0000,408.2000,54252,54253,54253,28.8972,37.0017,14.2857,12.9081,13.3404,38,59,12.9081,13.3404,12.0435,0,0,0,,-0.4552,,54252,54253,54253,
2012/08/07,11.30,11.30,11.20,11.25,-0.05,-0.4425,11.2800,11.4250,11.8675,,,443.0000,411.9000,54252,54253,54253,26.5362,35.9043,9.5238,11.7800,12.8203,57,50,11.7800,12.8203,9.6995,0,0,0,,-0.4477,,54252,54253,54253,
2012/08/08,11.30,11.35,11.25,11.25,0.00,0.00,11.2800,11.3550,11.8125,,,443.0000,441.9000,54252,54253,54253,26.5362,35.9043,28.5714,17.3771,14.3392,75,47,17.3771,14.3392,23.4530,0,0,0,,-0.4367,,54252,54253,54253,
2012/08/09,11.35,11.50,11.30,11.50,0.25,2.2222,11.3200,11.2850,11.7675,,,500.0000,448.3000,54252,54253,54253,53.7459,45.5188,100.0000,44.9181,24.5322,57,50,44.9181,24.5322,85.6899,0,0,0,,-0.4032,,54252,54253,54253,
2012/08/10,11.50,11.50,11.40,11.40,-0.10,-0.8696,11.3400,11.3050,11.7225,,,441.0000,469.8000,54252,54253,54253,45.6331,42.7224,66.6667,52.1676,33.7440,59,57,52.1676,33.7440,89.0149,0,0,0,,-0.3803,,54252,54253,54253,
2012/08/13,11.40,11.45,11.35,11.35,-0.05,-0.4386,11.3500,11.3150,11.6725,,,381.0000,462.2000,54252,54253,54253,41.8434,41.3372,50.0000,51.4451,39.6444,60,61,51.4451,39.6444,75.0465,0,0,0,,-0.3621,,54252,54253,54253,
