ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,32.40,32.95,32.40,32.65,0.00,0.00,,,,,,0.0000,,6441,,,,,,,,212,,,,,1,,,,,,6640,,,
2012/06/29,33.70,33.70,32.65,33.50,0.85,2.6034,,,,,,368.0000,,6485,,,,,,,,368,,,,,0,,,,,,6683,,,
2012/07/02,33.60,33.90,33.45,33.90,0.40,1.194,,,,,,1028.0000,,6503,,,,,,,,660,,,,,11,,,,,,6621,,,
2012/07/03,34.00,34.00,33.75,33.80,-0.10,-0.295,,,,,,734.0000,,6478,,,,,,,,294,,,,,0,,,,,,6586,,,
2012/07/04,33.90,34.65,33.90,34.60,0.80,2.3669,33.6900,,,,,1307.0000,,6351,6452,,,,,,,573,421,,,,0,2,,,,,6459,6599,,
2012/07/05,34.70,34.75,34.20,34.20,-0.40,-1.1561,34.0000,,,,,1077.0000,,6358,6435,,,,,,,230,425,,,,0,2,,,,,6465,6563,,
2012/07/06,34.20,34.45,33.55,33.90,-0.30,-0.8772,34.0800,,,,,841.0000,,6375,6413,,71.9298,,,,,236,398,,,,0,2,,,,,6482,6523,,
2012/07/09,33.70,34.25,33.65,33.95,0.05,0.1475,34.0900,,,,,1151.0000,,6396,6392,,72.5086,,,,,310,328,,,,0,0,,,,,6503,6500,,
2012/07/10,34.15,34.15,33.00,33.40,-0.55,-1.62,34.0100,,,,,561.0000,,6397,6376,,56.9962,,42.5532,47.5177,49.1726,590,387,47.5177,49.1726,44.2080,17,3,,,,,6521,6487,,
2012/07/11,29.45,30.10,29.10,30.00,-3.40,-10.1796,33.0900,33.3900,,,,204.0000,727.1000,6392,6384,6418,22.0315,,15.9292,36.9882,45.1111,357,344,36.9882,45.1111,20.7424,11,6,4,,,,6511,6497,6548,
2012/07/12,30.00,30.20,29.60,29.90,-0.10,-0.3333,32.2300,33.1150,,,,107.0000,737.8000,6370,6386,6411,21.5646,,14.1593,29.3786,39.8669,97,318,29.3786,39.8669,8.4018,0,6,4,,,,6477,6499,6531,
2012/07/13,29.55,29.80,29.55,29.75,-0.15,-0.5017,31.4000,32.7400,,,,41.0000,705.1000,6368,6385,6399,20.7722,,11.5044,23.4205,34.3848,66,284,23.4205,34.3848,1.4920,0,6,4,,,,6475,6498,6511,
2012/07/16,30.40,30.40,29.40,29.60,-0.15,-0.5042,30.5300,32.3100,,,,-38.0000,598.5000,6370,6380,6386,19.8950,28.9655,8.8496,18.5635,29.1110,79,237,18.5635,29.1110,-2.5315,0,6,3,,,,6477,6493,6496,
2012/07/17,29.90,30.05,29.40,29.80,0.20,0.6757,29.8100,31.9100,,,,69.0000,532.0000,6369,6374,6375,24.9651,31.0408,12.3894,16.5055,24.9092,107,141,16.5055,24.9092,-0.3019,0,2,3,,,,6483,6485,6486,
2012/07/18,29.80,29.80,29.40,29.70,-0.10,-0.3356,29.7500,31.4200,,,,-33.0000,398.0000,6387,6373,6379,24.0517,30.5539,11.2150,14.7420,21.5201,102,90,14.7420,21.5201,1.1857,0,0,3,,,,6501,6483,6490,
2012/07/19,29.95,30.10,29.70,29.75,0.05,0.1684,29.7200,30.9750,,,,55.0000,295.8000,6385,6376,6381,25.6831,31.1430,12.6214,14.0351,19.0251,88,88,14.0351,19.0251,4.0551,0,0,3,,,,6499,6488,6493,
2012/07/20,30.00,30.00,29.55,29.55,-0.20,-0.6723,29.6800,30.5400,,,,-41.0000,207.6000,6363,6375,6380,23.2825,30.0313,8.9109,12.3270,16.7924,96,94,12.3270,16.7924,3.3963,0,0,3,,,,6477,6488,6493,
2012/07/23,29.55,29.55,28.95,29.20,-0.35,-1.1844,29.6000,30.0650,,,,-165.0000,76.0000,6354,6372,6376,19.4624,28.1154,17.2414,13.9651,15.8500,124,103,13.9651,15.8500,10.1955,0,0,3,,,,6468,6486,6489,
2012/07/24,28.80,29.20,28.80,29.15,-0.05,-0.1712,29.4700,29.6400,,,,-246.0000,-4.7000,6354,6369,6372,18.9299,27.8386,21.8750,16.6018,16.1006,81,98,16.6018,16.1006,17.6041,0,0,1,,,,6468,6483,6484,
2012/07/25,29.10,29.40,29.10,29.30,0.15,0.5146,29.3900,29.5700,31.4800,,,-195.0000,-44.6000,6344,6360,6367,26.1986,30.0910,31.2500,21.4845,17.8952,51,88,21.4845,17.8952,28.6631,5,1,1,,,,6464,6476,6479,
2012/07/26,29.45,29.80,29.30,29.75,0.45,1.5358,29.3900,29.5550,31.3350,,,-117.0000,-67.0000,6339,6351,6364,44.2071,36.5706,59.3750,34.1147,23.3017,78,86,34.1147,23.3017,55.7406,0,1,1,,,,6453,6467,6477,
2012/07/27,29.95,30.10,29.85,29.85,0.10,0.3361,29.4500,29.5650,31.1525,,,2.0000,-70.9000,6339,6346,6361,47.6158,37.9645,80.7692,49.6662,32.0899,119,90,49.6662,32.0899,84.8188,0,1,1,,,,6453,6462,6475,
2012/07/30,30.20,30.45,30.00,30.40,0.55,1.8425,29.6900,29.6450,30.9775,,,172.0000,-49.9000,6343,6344,6358,62.6687,45.1912,96.9697,65.4340,43.2046,170,99,65.4340,43.2046,109.8929,0,1,1,,,,6457,6460,6473,
2012/07/31,30.50,30.65,30.10,30.65,0.25,0.8224,29.9900,29.7300,30.8200,,,371.0000,-19.7000,6343,6342,6356,67.7272,48.1843,100.0000,76.9560,54.4551,199,123,76.9560,54.4551,121.9579,0,1,1,,,,6457,6457,6470,
2012/08/01,30.50,30.90,30.50,30.90,0.25,0.8157,30.3100,29.8500,30.6350,,,489.0000,32.5000,6345,6342,6351,72.2408,51.0977,100.0000,84.6373,64.5158,118,136,84.6373,64.5158,124.8804,0,0,1,,,,6459,6456,6466,
2012/08/03,30.90,30.90,30.55,30.75,-0.15,-0.4854,30.5100,29.9500,30.4625,,,406.0000,67.6000,6344,6343,6347,65.6318,49.2839,92.8571,87.3773,72.1363,83,137,87.3773,72.1363,117.8592,0,0,1,,-0.7796,,6458,6457,6462,
2012/08/06,30.95,31.35,30.75,30.90,0.15,0.4878,30.7200,30.0850,30.3125,,,493.0000,121.0000,6344,6344,6345,69.0316,51.1746,82.3529,85.7025,76.6584,87,131,85.7025,76.6584,103.7908,0,0,1,,-0.6841,,6458,6458,6460,
2012/08/07,31.10,31.10,30.50,30.70,-0.20,-0.6472,30.7800,30.2350,30.1500,,,410.0000,178.5000,6352,6346,6345,59.5985,48.5424,71.1111,80.8387,78.0518,83,114,80.8387,78.0518,86.4125,0,0,1,,-0.6174,,6466,6460,6460,
2012/08/08,30.80,31.50,30.80,31.50,0.80,2.6059,30.9500,30.4700,30.0550,,,612.0000,264.3000,6615,6400,6371,75.6017,57.9747,100.0000,87.2258,81.1098,202,114,87.2258,81.1098,99.4578,0,0,1,,-0.4943,,6729,6515,6486,
2012/08/09,31.50,32.00,31.25,32.00,0.50,1.5873,31.1700,30.7400,30.1550,,,847.0000,368.5000,6624,6456,6399,81.1898,62.6435,100.0000,91.4839,84.5678,235,138,91.4839,84.5678,105.3159,11,2,1,,-0.3523,,6760,6575,6516,
2012/08/10,31.95,32.25,31.85,32.15,0.15,0.4687,31.4500,30.9800,30.2675,,,1075.0000,487.7000,6626,6513,6428,82.6226,63.9541,95.5556,92.8411,87.3256,228,167,92.8411,87.3256,103.8721,0,2,1,,-0.2251,,6750,6633,6545,
2012/08/13,32.30,32.45,31.80,32.15,0.00,0.00,31.7000,31.2100,30.3875,,,1075.0000,595.0000,6635,6571,6457,82.6226,63.9541,87.2340,90.9721,88.5411,426,234,90.9721,88.5411,95.8341,0,2,1,,-0.1228,,6759,6693,6576,
2012/08/14,32.00,32.20,31.90,32.10,-0.05,-0.1555,31.9800,31.3800,30.5125,,,995.0000,677.3000,6641,6629,6487,79.7083,63.0762,82.0513,87.9985,88.3602,80,234,87.9985,88.3602,87.2750,12,5,2,,-0.0453,,6778,6756,6608,
