ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2013/10/09,22.00,24.21,22.00,24.10,0.00,0.00,,,,,,0.0000,,0,,,,,,,,146000,,,,,0,,,,,,0,,,
2013/10/11,23.90,24.41,22.00,22.00,-2.10,-8.7137,,,,,,-56030.0000,,0,,,,,,,,56030,,,,,0,,,,,,0,,,
2013/10/14,21.12,21.90,20.15,20.25,-1.75,-7.9545,,,,,,-82141.0000,,0,,,,,,,,26111,,,,,0,,,,,,0,,,
2013/10/15,19.76,19.76,18.15,18.65,-1.60,-7.9012,,,,,,-109176.0000,,0,,,,,,,,27035,,,,,0,,,,,,0,,,
2013/10/16,17.94,18.20,16.54,16.54,-2.11,-11.3137,20.3080,,,,,-164226.0000,,0,0,,,,,,,55050,62045,,,,0,0,,,,,0,0,,
2013/10/17,15.90,16.20,15.82,15.82,-0.72,-4.3531,18.6520,,,,,-175652.0000,,0,0,,,,,,,11426,35130,,,,0,0,,,,,0,0,,
2013/10/18,16.24,17.70,16.24,17.70,1.88,11.8837,17.7920,,,,,-97652.0000,,0,0,,18.5039,,,,,78000,39524,,,,0,0,,,,,0,0,,
2013/10/21,17.76,20.90,17.76,19.60,1.90,10.7345,17.6620,,,,,109678.0000,,0,0,,33.4405,,,,,207330,75768,,,,0,0,,,,,0,0,,
2013/10/22,20.00,20.00,18.90,18.90,-0.70,-3.5714,17.7120,,,,,33178.0000,,0,0,,30.9340,,35.8556,45.2852,48.4284,76500,85661,45.2852,48.4284,38.9988,0,0,,,,,0,0,,
2013/10/23,18.55,18.60,18.15,18.15,-0.75,-3.9683,18.0340,19.1710,,,,-20347.0000,-56236.8000,0,0,0,28.2149,,27.1246,39.2317,45.3628,53525,85356,39.2317,45.3628,26.9693,0,0,0,,,,0,0,0,
2013/10/24,18.15,18.15,17.86,18.10,-0.05,-0.2755,18.4900,18.5710,,,,-56372.0000,-61874.0000,0,0,0,28.0178,,37.5000,38.6544,43.1267,36025,90276,38.6544,43.1267,29.7099,0,0,0,,,,0,0,0,
2013/10/25,17.60,17.80,17.60,17.70,-0.40,-2.2099,18.4900,18.1410,,,,-68372.0000,-63108.2000,0,0,0,26.2576,,37.0079,38.1056,41.4530,12000,77076,38.1056,41.4530,31.4108,0,0,0,,,,0,0,0,
2013/10/28,18.10,19.78,18.00,19.65,1.95,11.0169,18.5000,18.0810,,,,288877.0000,-26006.4000,0,0,0,46.0760,36.0151,75.3937,50.5350,44.4803,357249,107059,50.5350,44.4803,62.6442,0,0,0,,,,0,0,0,
2013/10/29,20.00,20.00,18.60,19.05,-0.60,-3.0534,18.5300,18.1210,,,,31877.0000,-11901.1000,0,0,0,41.9165,34.5920,63.5827,54.8842,47.9483,257000,143159,54.8842,47.9483,68.7560,0,0,0,,,,0,0,0,
2013/10/30,19.30,19.30,17.78,17.90,-1.15,-6.0367,18.4800,18.2570,,,,-118148.0000,-7293.3000,0,0,0,34.7098,31.9520,35.6223,48.4636,48.1200,150025,162459,48.4636,48.1200,49.1506,0,0,0,,,,0,0,0,
2013/10/31,17.90,18.15,17.90,18.15,0.25,1.3966,18.4900,18.4900,,,,-92148.0000,1057.1000,0,0,0,37.5125,33.1617,16.6667,37.8646,44.7016,26000,160454,37.8646,44.7016,24.1907,0,0,0,,,,0,0,0,
2013/11/01,17.80,17.95,17.01,17.20,-0.95,-5.2342,18.3900,18.4400,,,,-140564.0000,-3234.1000,0,0,0,31.3717,30.8856,6.3545,27.3612,38.9215,48416,167738,27.3612,38.9215,4.2408,0,0,0,,,,0,0,0,
