ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/11/14,42.10,43.00,40.84,41.84,0.00,0.00,,,,,,0.0000,,0,,,,,,,,165,,,,,0,,,,,,0,,,
2014/11/17,41.00,41.83,34.71,37.30,-4.54,-10.8509,,,,,,-150.0000,,0,,,,,,,,150,,,,,0,,,,,,0,,,
2014/11/18,37.99,38.50,37.51,37.51,0.21,0.563,,,,,,-116.0000,,0,,,,,,,,34,,,,,0,,,,,,0,,,
2014/11/19,37.52,38.00,33.25,34.00,-3.51,-9.3575,,,,,,-217.0000,,0,,,,,,,,101,,,,,0,,,,,,0,,,
2014/11/20,33.81,34.72,33.25,33.60,-0.40,-1.1765,36.8500,,,,,-246.0000,,0,0,,,,,,,29,95,,,,0,0,,,,,0,0,,
2014/11/21,33.17,33.49,31.00,31.01,-2.59,-7.7083,34.6840,,,,,-370.0000,,0,0,,,,,,,124,87,,,,0,0,,,,,0,0,,
2014/11/24,31.01,32.09,29.46,31.40,0.39,1.2577,33.5040,,,,,-166.0000,,0,0,,5.1546,,,,,204,98,,,,0,0,,,,,0,0,,
2014/11/25,30.91,34.18,30.91,32.98,1.58,5.0318,32.5980,,,,,-64.0000,,0,0,,18.4397,,,,,102,112,,,,0,0,,,,,0,0,,
2014/11/26,32.61,34.21,32.61,33.50,0.52,1.5767,32.4980,,,,,-14.0000,,0,0,,22.7151,,29.8375,43.2792,47.7597,50,101,43.2792,47.7597,34.3181,0,0,,,,,0,0,,
2014/11/27,33.99,37.00,33.60,35.10,1.60,4.7761,32.7980,34.8240,,,,145.0000,-119.8000,0,0,0,35.2477,,45.5942,44.0508,46.5234,159,127,44.0508,46.5234,39.1057,0,0,0,,,,0,0,0,
2014/11/28,35.59,35.59,32.88,32.88,-2.22,-6.3248,33.1720,33.9280,,,,113.0000,-108.5000,0,0,0,27.7541,,37.8319,41.9778,45.0082,32,109,41.9778,45.0082,35.9171,0,0,0,,,,0,0,0,
2014/12/01,34.39,34.39,32.31,33.50,0.62,1.8856,33.5920,33.5480,,,,154.0000,-78.1000,0,0,0,32.5592,,47.3068,43.7542,44.5902,41,76,43.7542,44.5902,42.0821,0,0,0,,,,0,0,0,
2014/12/02,32.51,35.25,32.51,33.80,0.30,0.8955,33.7560,33.1770,,,,201.0000,-46.4000,0,0,0,35.0669,28.2468,57.5597,48.3560,45.8455,47,65,48.3560,45.8455,53.3771,0,0,0,,,,0,0,0,
2014/12/03,33.51,34.90,33.51,34.90,1.10,3.2544,34.0360,33.2670,,,,253.0000,0.6000,0,0,0,44.1966,32.6220,72.1485,56.2868,49.3259,52,66,56.2868,49.3259,70.2087,0,0,0,,,,0,0,0,
2014/12/04,34.01,34.50,33.70,34.15,-0.75,-2.149,33.8460,33.3220,,,,176.0000,42.8000,0,0,0,39.6369,31.2066,62.2016,58.2584,52.3034,77,49,58.2584,52.3034,70.1684,0,0,0,,,,0,0,0,
2014/12/05,34.49,35.63,34.35,35.22,1.07,3.1332,34.3140,33.7430,,,,231.0000,102.9000,0,0,0,48.6981,35.5580,70.7718,62.4295,55.6788,55,54,62.4295,55.6788,75.9310,0,0,0,,,,0,0,0,
2014/12/08,35.22,35.99,34.90,34.90,-0.32,-0.9086,34.5940,34.0930,,,,151.0000,134.6000,0,0,0,46.2088,34.8391,55.2239,60.0277,57.1284,80,62,60.0277,57.1284,65.8261,0,0,0,,,,0,0,0,
2014/12/09,35.38,35.38,34.80,35.00,0.10,0.2865,34.8340,34.2950,,,,184.0000,159.4000,0,0,0,47.2205,35.2851,57.3561,59.1371,57.7980,33,59,59.1371,57.7980,61.8154,0,0,0,,,,0,0,0,
2014/12/10,35.15,35.15,35.00,35.00,0.00,0.00,34.8540,34.4450,,,,184.0000,179.2000,0,0,0,47.2205,35.2851,73.0978,63.7907,59.7956,2,49,63.7907,59.7956,71.7810,0,0,0,,,,0,0,0,
2014/12/11,35.00,35.00,35.00,35.00,0.00,0.00,35.0240,34.4350,34.6295,,,184.0000,183.1000,0,0,0,47.2205,35.2851,73.0978,66.8931,62.1614,2,34,66.8931,62.1614,76.3564,0,0,0,,,,0,0,0,
2014/12/12,35.15,35.30,34.80,35.13,0.13,0.3714,35.0060,34.6600,34.2940,,,224.0000,194.2000,0,0,0,49.3601,36.0243,75.2874,69.6912,64.6713,40,31,69.6912,64.6713,79.7309,0,0,0,,,,0,0,0,
2014/12/15,35.15,35.19,34.89,35.00,-0.13,-0.3701,35.0260,34.8100,34.1790,,,194.0000,198.2000,0,0,0,47.0703,35.5810,60.0806,66.4877,65.2768,30,21,66.4877,65.2768,68.9094,0,0,0,,,,0,0,0,
2014/12/16,35.18,35.79,35.00,35.79,0.79,2.2571,35.1840,35.0090,34.0930,,,258.0000,203.9000,0,0,0,60.4498,40.4403,91.2664,74.7472,68.4336,64,27,74.7472,68.4336,87.3745,0,0,0,,,,0,0,0,
