ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2008/12/10,2.88,2.88,2.88,2.88,0.00,0.00,,,,,,0.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2008/12/12,2.85,2.85,2.85,2.85,-0.03,-1.0417,,,,,,-1.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2009/01/21,3.00,3.00,3.00,3.00,0.15,5.2632,,,,,,1.0000,,0,,,,,,,,2,,,,,0,,,,,,0,,,
2009/03/04,2.97,2.97,2.71,2.71,-0.29,-9.6667,,,,,,-5.0000,,0,,,,,,,,6,,,,,0,,,,,,0,,,
2009/03/05,2.70,2.70,2.70,2.70,-0.01,-0.369,2.8280,,,,,-7.0000,,0,0,,,,,,,2,2,,,,0,0,,,,,0,0,,
2009/03/16,2.81,2.81,2.81,2.81,0.11,4.0741,2.8140,,,,,-5.0000,,0,0,,,,,,,2,2,,,,0,0,,,,,0,0,,
2009/03/18,2.92,2.92,2.92,2.92,0.11,3.9146,2.8280,,,,,-4.0000,,0,0,,52.8571,,,,,1,2,,,,0,0,,,,,0,0,,
2009/03/19,2.78,2.78,2.78,2.78,-0.14,-4.7945,2.7840,,,,,-5.0000,,0,0,,42.6267,,,,,1,2,,,,0,0,,,,,0,0,,
2009/03/24,2.92,2.92,2.92,2.92,0.14,5.036,2.8260,,,,,-3.0000,,0,0,,53.4405,,73.3333,57.7778,52.5926,2,1,57.7778,52.5926,68.1481,0,0,,,,,0,0,,
2009/03/31,2.90,2.90,2.90,2.90,-0.02,-0.6849,2.8660,2.8470,,,,-5.0000,-3.4000,0,0,0,51.7679,,66.6667,60.7407,55.3086,2,1,60.7407,55.3086,71.6049,0,0,0,,,,0,0,0,
2009/04/01,3.02,3.02,3.02,3.02,0.12,4.1379,2.9080,2.8610,,,,-3.0000,-3.7000,0,0,0,60.6383,,100.0000,73.8272,61.4815,2,1,73.8272,61.4815,98.5185,0,0,0,,,,0,0,0,
2009/04/02,3.15,3.15,3.15,3.15,0.13,4.3046,2.9540,2.8910,,,,-2.0000,-3.8000,0,0,0,68.2333,,100.0000,82.5514,68.5048,1,1,82.5514,68.5048,110.6447,0,0,0,,,,0,0,0,
2009/04/09,3.15,3.15,3.15,3.15,0.00,0.00,3.0280,2.9060,,,,-2.0000,-4.1000,0,0,0,68.2333,60.8000,100.0000,88.3676,75.1257,1,1,88.3676,75.1257,114.8514,0,0,0,,,,0,0,0,
2009/04/13,3.15,3.20,3.13,3.20,0.05,1.5873,3.0840,2.9550,,,,4.0000,-3.2000,0,0,0,71.3004,62.4390,100.0000,92.2451,80.8322,6,2,92.2451,80.8322,115.0709,0,0,0,,,,0,0,0,
2009/04/15,3.17,3.17,3.17,3.17,-0.03,-0.9375,3.1380,3.0020,,,,3.0000,-2.2000,0,0,0,66.6661,60.7757,92.8571,92.4491,84.7045,1,2,92.4491,84.7045,107.9383,0,0,0,,,,0,0,0,
2009/04/16,3.33,3.33,3.31,3.31,0.14,4.4164,3.1960,3.0520,,,,7.0000,-1.0000,0,0,0,75.5613,65.4599,96.3636,93.7539,87.7210,4,2,93.7539,87.7210,105.8199,0,0,0,,,,0,0,0,
2009/04/17,3.33,3.42,3.31,3.40,0.09,2.719,3.2460,3.1000,,,,13.0000,0.7000,0,0,0,79.7334,68.1291,96.1538,94.5539,89.9986,6,3,94.5539,89.9986,103.6645,0,0,0,,,,0,0,0,
2009/04/23,3.42,3.73,3.42,3.73,0.33,9.7059,3.3620,3.1950,,,,21.0000,3.3000,0,0,0,88.4266,75.6545,100.0000,96.3693,92.1222,8,5,96.3693,92.1222,104.8635,0,0,0,,,,0,0,0,
2009/04/24,3.75,3.75,3.70,3.70,-0.03,-0.8043,3.4620,3.2730,,,,17.0000,5.3000,0,0,0,84.4738,73.9234,93.1507,95.2964,93.1803,4,4,95.2964,93.1803,99.5287,0,0,0,,,,0,0,0,
2009/04/27,3.61,3.61,3.61,3.61,-0.09,-2.4324,3.5500,3.3440,3.0955,,,15.0000,7.3000,0,0,0,72.7640,68.7734,77.4194,89.3374,91.8993,2,4,89.3374,91.8993,84.2136,0,0,0,,,,0,0,0,
2009/04/29,3.44,3.44,3.44,3.44,-0.17,-4.7091,3.5760,3.3860,3.1235,,,13.0000,8.9000,0,0,0,55.3673,60.1399,50.0000,76.2249,86.6745,2,4,76.2249,86.6745,55.3258,0,0,0,,,,0,0,0,
2009/04/30,3.47,3.47,3.47,3.47,0.03,0.8721,3.5900,3.4180,3.1545,,,15.0000,10.6000,0,0,0,57.5181,61.0805,54.8387,69.0962,80.8151,2,3,69.0962,80.8151,45.6584,0,0,0,,,,0,0,0,
2009/05/06,3.57,3.57,3.57,3.57,0.10,2.8818,3.5580,3.4600,3.1830,,,17.0000,12.5000,0,0,0,64.3835,64.1561,68.9655,69.0526,76.8943,2,2,69.0526,76.8943,53.3694,0,0,0,,,,0,0,0,
2009/05/08,3.55,3.67,3.55,3.67,0.10,2.8011,3.5520,3.5070,3.2310,,,27.0000,14.8000,0,0,0,70.1687,67.0010,81.8182,73.3078,75.6988,10,3,73.3078,75.6988,68.5259,0,0,0,,,,0,0,0,
2009/05/11,3.46,3.71,3.46,3.68,0.01,0.2725,3.5660,3.5580,3.2800,,,36.0000,18.1000,0,0,0,70.7390,67.2843,84.0909,76.9022,76.0999,9,5,76.9022,76.0999,78.5067,0,0,0,,,,0,0,0,
2009/06/18,3.55,3.55,3.50,3.50,-0.18,-4.8913,3.5780,3.5770,3.3145,,,32.0000,20.6000,0,0,0,50.0642,57.5789,24.2424,59.3489,70.5162,4,5,59.3489,70.5162,37.0143,0,0,0,,0.2815,,0,0,0,
2009/06/26,3.45,3.45,3.45,3.45,-0.05,-1.4286,3.5740,3.5820,3.3410,,,30.0000,22.3000,0,0,0,45.6197,55.1675,3.2258,40.6412,60.5579,2,5,40.6412,60.5579,0.8078,0,0,0,,0.2583,,0,0,0,
2009/06/30,3.33,3.33,3.33,3.33,-0.12,-3.4783,3.5260,3.5420,3.3685,,,29.0000,23.1000,0,0,0,36.3310,49.7161,0.0000,27.0941,49.4033,1,5,27.0941,49.4033,-17.5242,0,0,0,,0.2276,,0,0,0,
2009/07/07,3.20,3.20,3.20,3.20,-0.13,-3.9039,3.4320,3.4920,3.3825,,,28.0000,24.2000,0,0,0,28.7270,44.5174,0.0000,18.0628,38.9565,1,3,18.0628,38.9565,-23.7246,0,0,0,,0.1906,,0,0,0,
2009/07/09,3.40,3.40,3.40,3.40,0.20,6.25,3.3760,3.4710,3.4075,,,29.0000,25.6000,0,0,0,48.5911,52.8008,39.2157,25.1137,34.3422,1,1,25.1137,34.3422,6.6568,0,0,0,,0.1754,,0,0,0,
2009/07/13,3.23,3.23,3.23,3.23,-0.17,-5.00,3.3220,3.4500,3.4180,,,27.0000,27.0000,0,0,0,37.8353,46.3800,5.8824,18.7033,29.1292,2,1,18.7033,29.1292,-2.1487,0,0,0,,0.1479,,0,0,0,
2009/07/15,3.23,3.23,3.23,3.23,0.00,0.00,3.2780,3.4260,3.4220,,,27.0000,28.2000,0,0,0,37.8353,46.3800,5.8824,14.4296,24.2294,1,1,14.4296,24.2294,-5.1698,0,0,0,,0.1247,,0,0,0,
2009/07/20,3.23,3.23,3.23,3.23,0.00,0.00,3.2580,3.3920,3.4260,,,27.0000,29.2000,0,0,0,37.8353,46.3800,5.8824,11.5805,20.0131,2,1,11.5805,20.0131,-5.2846,0,0,0,,0.1051,,0,0,0,
2009/07/21,3.36,3.36,3.36,3.36,0.13,4.0248,3.2900,3.3610,3.4340,,,28.0000,29.3000,0,0,0,51.9035,52.1561,45.7143,22.9585,20.9949,1,1,22.9585,20.9949,26.8856,0,0,0,-0.1600,0.0989,0.1789,0,0,0,
2009/07/23,3.40,3.52,3.36,3.52,0.16,4.7619,3.3140,3.3450,3.4515,,,31.0000,28.8000,0,0,0,63.9520,58.2017,100.0000,48.6390,30.2096,3,1,48.6390,30.2096,85.4978,0,0,0,-0.1171,0.1057,0.1643,0,0,0,
2009/07/28,3.56,3.68,3.52,3.65,0.13,3.6932,3.3980,3.3600,3.4685,,,37.0000,29.3000,0,0,0,71.0281,62.4116,93.7500,63.6760,41.3650,6,2,63.6760,41.3650,108.2978,0,0,0,-0.0705,0.1202,0.1554,0,0,0,
2009/07/30,3.50,3.50,3.50,3.50,-0.15,-4.1096,3.4520,3.3650,3.4735,,,35.0000,29.8000,0,0,0,55.8486,55.3893,62.5000,63.2840,48.6714,2,2,63.2840,48.6714,92.5092,0,0,0,-0.0596,0.1182,0.1480,0,0,0,
2009/08/11,3.36,3.36,3.36,3.36,-0.14,-4.00,3.4780,3.3680,3.4550,,,33.0000,30.2000,0,0,0,45.0625,49.6961,28.8889,51.8190,49.7206,2,2,51.8190,49.7206,56.0157,0,0,0,-0.0702,0.1041,0.1392,0,0,0,
2009/08/14,3.38,3.38,3.38,3.38,0.02,0.5952,3.4820,3.3860,3.4390,,,35.0000,30.9000,0,0,0,46.8231,50.4892,33.3333,45.6571,48.3661,2,3,45.6571,48.3661,40.2391,0,0,0,-0.0731,0.0935,0.1301,0,0,0,
2009/08/20,3.34,3.34,3.21,3.21,-0.17,-5.0296,3.4200,3.3670,3.4190,,,31.0000,31.1000,0,0,0,35.2881,44.0494,0.0000,30.4381,42.3901,4,3,30.4381,42.3901,6.5340,0,0,0,-0.0952,0.0705,0.1182,0,0,0,
2009/08/21,3.14,3.14,3.14,3.14,-0.07,-2.1807,3.3180,3.3580,3.4040,,,29.0000,31.3000,0,0,0,31.4588,41.6624,0.0000,20.2920,35.0241,2,2,20.2920,35.0241,-9.1720,0,0,0,-0.1152,0.0462,0.1038,0,0,0,
2009/08/24,3.27,3.27,3.27,3.27,0.13,4.1401,3.2720,3.3620,3.3940,,,31.0000,31.7000,0,0,0,44.8067,47.4335,24.0741,21.5527,30.5336,2,2,21.5527,30.5336,3.5909,0,0,0,-0.1069,0.0369,0.0904,0,0,0,
2009/08/25,3.42,3.42,3.42,3.42,0.15,4.5872,3.2840,3.3810,3.3865,,,32.0000,32.2000,0,0,0,56.5285,53.2543,51.8519,31.6524,30.9065,1,2,31.6524,30.9065,33.1442,0,0,0,-0.0787,0.0412,0.0806,0,0,0,
