ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/03/28,54.20,60.00,54.00,55.50,0.00,0.00,,,,,,0.0000,,0,,,,,,,,586942,,,,,0,,,,,,0,,,
2014/03/31,55.01,55.99,54.38,54.60,-0.90,-1.6216,,,,,,-126067.0000,,0,,,,,,,,126067,,,,,0,,,,,,0,,,
2014/04/01,54.66,56.48,54.50,56.00,1.40,2.5641,,,,,,61152.0000,,0,,,,,,,,187219,,,,,0,,,,,,0,,,
2014/04/02,55.80,63.20,55.45,59.95,3.95,7.0536,,,,,,564379.0000,,0,,,,,,,,503227,,,,,0,,,,,,0,,,
2014/04/03,59.80,60.20,58.30,58.50,-1.45,-2.4187,56.9100,,,,,242559.0000,,0,0,,,,,,,321820,345055,,,,0,0,,,,,0,0,,
2014/04/07,59.00,59.44,58.00,58.40,-0.10,-0.1709,57.4900,,,,,165559.0000,,0,0,,,,,,,77000,243066,,,,0,0,,,,,0,0,,
2014/04/08,59.00,60.00,58.50,59.62,1.22,2.089,58.4940,,,,,527360.0000,,0,0,,72.8381,,,,,361801,290213,,,,0,0,,,,,0,0,,
2014/04/09,59.90,60.00,59.00,59.36,-0.26,-0.4361,59.1660,,,,,272631.0000,,0,0,,70.4029,,,,,254729,303715,,,,0,0,,,,,0,0,,
2014/04/10,59.40,59.69,58.90,59.20,-0.16,-0.2695,59.0160,,,,,159629.0000,,0,0,,68.7066,,56.5217,52.1739,50.7246,113002,225670,52.1739,50.7246,55.0725,0,0,,,,,0,0,,
2014/04/11,59.20,59.20,58.34,58.60,-0.60,-1.0135,59.0360,57.9730,,,,-39471.0000,182773.1000,0,0,0,61.9858,,47.8458,50.7312,50.7268,199100,201126,50.7312,50.7268,50.7400,0,0,0,,,,0,0,0,
2014/04/14,58.50,61.50,58.50,59.82,1.22,2.0819,59.3200,58.4050,,,,358316.0000,218604.7000,0,0,0,69.3107,,61.1494,54.2039,51.8859,397787,265283,54.2039,51.8859,58.8401,0,0,0,,,,0,0,0,
2014/04/15,59.82,60.19,59.17,59.62,-0.20,-0.3343,59.3200,58.9070,,,,160804.0000,247291.8000,0,0,0,66.7793,,53.8065,54.0714,52.6144,197512,232426,54.0714,52.6144,56.9856,0,0,0,,,,0,0,0,
