ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/24,45.35,46.30,45.35,45.45,0.00,0.00,,,,,,0.0000,,45850,,,,,,,,68,,,,,0,,,,,,46170,,,
2012/05/25,45.95,45.95,45.05,45.50,0.05,0.11,,,,,,32.0000,,45853,,,,,,,,32,,,,,0,,,,,,46173,,,
2012/05/28,45.70,47.00,45.20,47.00,1.50,3.2967,,,,,,179.0000,,45855,,,,,,,,147,,,,,0,,,,,,46175,,,
2012/05/29,46.90,47.50,46.55,47.30,0.30,0.6383,,,,,,385.0000,,45757,,,,,,,,206,,,,,0,,,,,,46077,,,
2012/05/30,47.20,47.35,46.60,46.70,-0.60,-1.2685,46.3900,,,,,269.0000,,45653,45794,,,,,,,116,113,,,,0,0,,,,,45973,46114,,
2012/05/31,46.55,48.40,46.55,47.00,0.30,0.6424,46.7000,,,,,472.0000,,45634,45750,,,,,,,203,140,,,,0,0,,,,,45954,46070,,
2012/06/01,46.80,47.45,45.80,46.95,-0.05,-0.1064,46.9900,,,,,371.0000,,45631,45706,,76.7857,,,,,101,154,,,,0,0,,,,,45951,46026,,
2012/06/04,45.85,46.25,43.70,44.70,-2.25,-4.7923,46.5300,,,,,216.0000,,45635,45662,,39.0909,,,,,155,156,,,,0,0,,,,,45955,45982,,
2012/06/05,45.25,45.90,43.75,45.00,0.30,0.6711,46.0700,,,,,287.0000,,45639,45638,,43.5266,,27.6596,42.5532,47.5177,71,129,42.5532,47.5177,32.6241,0,0,,,,,45959,45958,,
2012/06/06,45.00,45.30,44.10,45.15,0.15,0.3333,45.7600,46.0750,,,,355.0000,256.6000,45645,45637,45715,45.8909,,30.8511,38.6525,44.5626,68,119,38.6525,44.5626,26.8322,0,0,0,,,,45965,45957,46035,
2012/06/07,45.30,45.90,44.80,45.00,-0.15,-0.3322,45.3600,46.0300,,,,329.0000,289.5000,45648,45640,45695,43.6957,,27.6596,34.9882,41.3712,26,84,34.9882,41.3712,22.2222,0,0,0,,,,45968,45960,46015,
2012/06/08,46.00,46.00,44.30,44.70,-0.30,-0.6667,44.9100,45.9500,,,,299.0000,316.2000,45653,45644,45675,39.1958,,21.2766,30.4177,37.7200,30,70,30.4177,37.7200,15.8130,0,0,0,,,,45973,45964,45995,
2012/06/11,44.70,45.00,44.10,44.70,0.00,0.00,44.9100,45.7200,,,,299.0000,328.2000,45658,45649,45655,39.1958,43.6975,21.2766,27.3706,34.2702,64,51,27.3706,34.2702,13.5715,0,0,0,,,,45978,45969,45975,
2012/06/12,44.00,44.70,41.90,44.00,-0.70,-1.566,44.7100,45.3900,,,,148.0000,304.5000,45688,45658,45648,29.1197,38.7271,32.3077,29.0163,32.5189,151,67,29.0163,32.5189,22.0111,0,0,0,,,,46008,45978,45968,
2012/06/13,43.25,44.60,43.25,44.25,0.25,0.5682,44.5300,45.1450,,,,282.0000,305.8000,45589,45647,45642,36.1538,41.3273,42.3423,33.4583,32.8320,134,81,33.4583,32.8320,34.7109,0,0,0,,,,45909,45967,45962,
2012/06/14,43.60,44.35,43.50,43.50,-0.75,-1.6949,44.2300,44.7950,,,,231.0000,281.7000,45590,45636,45638,26.6373,36.2877,36.7816,34.5661,33.4101,51,86,34.5661,33.4101,36.8781,0,0,0,,,,45910,45956,45958,
2012/06/15,43.90,44.20,43.70,43.90,0.40,0.9195,44.0700,44.4900,,,,249.0000,269.5000,45592,45623,45634,37.2144,40.5085,48.7805,39.3042,35.3748,18,83,39.3042,35.3748,47.1631,0,0,0,,,,45912,45943,45954,
