ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/02/21,29.20,29.20,28.70,28.80,0.00,0.00,,,,,,0.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2012/02/23,29.00,29.20,29.00,29.00,0.20,0.6944,,,,,,10.0000,,0,,,,,,,,10,,,,,0,,,,,,0,,,
2012/02/24,29.08,29.15,29.00,29.08,0.08,0.2759,,,,,,30.0000,,0,,,,,,,,20,,,,,0,,,,,,0,,,
2012/02/29,29.30,29.30,29.30,29.30,0.22,0.7565,,,,,,38.0000,,0,,,,,,,,8,,,,,0,,,,,,0,,,
2012/03/01,29.50,29.50,29.30,29.30,0.00,0.00,29.0960,,,,,38.0000,,0,0,,,,,,,13,12,,,,0,0,,,,,0,0,,
2012/03/02,29.30,29.41,29.30,29.30,0.00,0.00,29.1960,,,,,38.0000,,0,0,,,,,,,16,13,,,,0,0,,,,,0,0,,
2012/03/03,30.00,30.00,29.30,29.50,0.20,0.6826,29.2960,,,,,57.0000,,0,0,,100.0000,,,,,19,15,,,,0,0,,,,,0,0,,
2012/03/05,30.10,30.10,29.00,29.00,-0.50,-1.6949,29.2800,,,,,51.0000,,0,0,,53.8462,,,,,6,12,,,,0,0,,,,,0,0,,
2012/03/06,30.10,30.10,29.00,29.00,0.00,0.00,29.2200,,,,,51.0000,,0,0,,53.8462,,21.4286,40.4762,46.8254,7,12,40.4762,46.8254,27.7778,0,0,,,,,0,0,,
2012/03/07,29.20,29.20,29.00,29.00,0.00,0.00,29.1600,29.1280,,,,51.0000,36.4000,0,0,0,53.8462,,0.0000,26.9841,40.2116,4,10,26.9841,40.2116,0.5291,0,0,0,,,,0,0,0,
2012/03/09,29.70,29.70,29.10,29.20,0.20,0.6897,29.1400,29.1680,,,,65.0000,42.9000,0,0,0,65.0089,,18.1818,24.0500,34.8244,14,10,24.0500,34.8244,2.5012,0,0,0,,,,0,0,0,
2012/03/12,29.00,29.10,29.00,29.00,-0.20,-0.6849,29.0400,29.1680,,,,52.0000,47.1000,0,0,0,50.3855,,0.0000,16.0333,28.5607,13,8,16.0333,28.5607,-9.0214,0,0,0,,,,0,0,0,
2012/03/14,29.20,30.52,29.20,30.00,1.00,3.4483,29.2400,29.2600,,,,81.0000,52.2000,0,0,0,78.8844,73.0769,65.7895,32.6187,29.9134,29,13,32.6187,29.9134,38.0294,0,0,0,,,,0,0,0,
2012/03/15,30.00,30.20,30.00,30.20,0.20,0.6667,29.4800,29.3500,,,,116.0000,60.0000,0,0,0,81.4427,75.1613,78.9474,48.0616,35.9628,35,19,48.0616,35.9628,72.2592,0,0,0,,,,0,0,0,
2012/03/16,30.52,31.00,30.00,30.00,-0.20,-0.6623,29.6800,29.4200,,,,108.0000,67.0000,0,0,0,71.1050,69.3077,50.0000,48.7077,40.2111,8,19,48.7077,40.2111,65.7010,0,0,0,,,,0,0,0,
