ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,205.00,205.00,200.00,200.50,0.00,0.00,,,,,,0.0000,,25951,,,,,,,,152,,,,,408,,,,,,29161,,,
2012/06/29,203.00,203.00,200.00,202.00,1.50,0.7481,,,,,,101.0000,,25959,,,,,,,,101,,,,,406,,,,,,29167,,,
2012/07/02,203.00,204.00,200.00,202.50,0.50,0.2475,,,,,,260.0000,,25956,,,,,,,,159,,,,,410,,,,,,28840,,,
2012/07/03,203.00,205.00,203.00,203.50,1.00,0.4938,,,,,,356.0000,,25963,,,,,,,,96,,,,,408,,,,,,28846,,,
2012/07/04,203.50,206.00,202.50,205.50,2.00,0.9828,202.8000,,,,,503.0000,,25963,25959,,,,,,,147,131,,,,410,409,,,,,28848,28973,,
2012/07/05,205.50,205.50,200.00,200.00,-5.50,-2.6764,202.7000,,,,,192.0000,,25980,25965,,,,,,,311,162,,,,404,408,,,,,28818,28905,,
2012/07/06,200.00,202.50,200.00,201.00,1.00,0.50,202.5000,,,,,324.0000,,25977,25968,,52.1739,,,,,132,169,,,,387,404,,,,,28750,28821,,
2012/07/09,202.00,204.00,201.00,203.00,2.00,0.995,202.6000,,,,,468.0000,,25973,25972,,60.4317,,,,,144,166,,,,387,400,,,,,28699,28793,,
2012/07/10,203.50,203.50,198.00,199.50,-3.50,-1.7241,201.8000,,,,,320.0000,,25987,25976,,44.3506,,18.7500,39.5833,46.5278,148,176,39.5833,46.5278,25.6944,375,393,,,,,28671,28758,,
2012/07/11,199.50,201.50,199.50,201.50,2.00,1.0025,201.0000,201.9000,,,,432.0000,295.6000,25975,25979,25969,52.9380,,43.7500,40.9722,44.6759,112,169,40.9722,44.6759,33.5648,373,386,397,,,,28624,28713,28843,
2012/07/12,200.50,202.00,198.00,200.00,-1.50,-0.7444,201.0000,201.8500,,,,330.0000,328.6000,25974,25978,25971,46.4825,,25.0000,35.6481,41.6667,102,127,35.6481,41.6667,23.6111,370,379,394,,,,28580,28666,28785,
2012/07/13,200.50,201.00,196.00,199.50,-0.50,-0.25,200.7000,201.6000,,,,77.0000,326.2000,25909,25964,25966,44.3206,,35.0000,35.4321,39.5885,253,151,35.4321,39.5885,27.1193,378,377,391,,,,28463,28608,28715,
2012/07/16,199.50,200.50,195.00,196.00,-3.50,-1.7544,199.3000,200.9500,,,,-128.0000,287.4000,25853,25940,25956,31.8697,40.8163,9.0909,26.6517,35.2762,205,164,26.6517,35.2762,9.4027,370,374,387,,,,28347,28538,28665,
2012/07/17,195.50,195.50,188.00,191.50,-4.50,-2.2959,197.7000,199.7500,,,,-495.0000,202.3000,25785,25900,25938,22.2331,34.0031,20.0000,24.4345,31.6623,367,207,24.4345,31.6623,9.9788,357,370,382,,,,28155,28435,28596,
2012/07/18,190.50,192.50,190.00,191.00,-0.50,-0.2611,195.6000,198.3000,,,,-656.0000,86.4000,25745,25854,25916,21.3715,33.3287,18.7500,22.5396,28.6214,161,217,22.5396,28.6214,10.3761,353,366,376,,,,28067,28323,28518,
2012/07/19,193.50,203.00,191.50,199.00,8.00,4.1885,195.4000,198.2000,,,,-317.0000,35.5000,25748,25808,25893,54.9169,50.4729,68.7500,37.9431,31.7286,339,265,37.9431,31.7286,50.3720,363,365,372,,,,28254,28258,28462,
2012/07/20,201.00,202.00,198.50,198.50,-0.50,-0.2513,195.2000,197.9500,,,,-420.0000,-38.9000,25738,25774,25869,53.2142,49.6033,67.7419,47.8760,37.1111,103,235,47.8760,37.1111,69.4059,356,360,369,,,,28237,28213,28411,
2012/07/23,196.50,201.50,195.50,200.00,1.50,0.7557,196.0000,197.6500,,,,-290.0000,-114.7000,25727,25749,25844,57.9120,52.2935,80.0000,58.5840,44.2687,130,220,58.5840,44.2687,87.2146,344,355,365,,,,28289,28201,28370,
2012/07/24,200.00,202.00,198.00,200.00,0.00,0.00,197.7000,197.7000,,,,-290.0000,-175.7000,25729,25738,25819,57.9120,52.2935,80.0000,65.7227,51.4201,135,173,65.7227,51.4201,94.3279,343,352,361,,,,28351,28240,28338,
2012/07/25,200.50,203.00,199.00,203.00,3.00,1.50,200.1000,197.8500,199.8750,,,-104.0000,-229.3000,25839,25757,25805,67.3530,57.6715,100.0000,77.1485,59.9962,186,178,77.1485,59.9962,111.4530,342,350,358,,,,28460,28319,28321,
2012/07/26,203.00,203.50,201.50,201.50,-1.50,-0.7389,200.6000,198.0000,199.9250,,,-176.0000,-279.9000,25855,25778,25793,59.3633,54.3307,87.0968,80.4646,66.8190,72,125,80.4646,66.8190,107.7557,335,345,355,,,,28469,28362,28310,
2012/07/27,204.00,204.00,202.50,203.00,1.50,0.7444,201.5000,198.3500,199.9750,,,-63.0000,-293.9000,25889,25808,25791,64.4271,57.0452,93.7500,84.8930,72.8437,113,127,84.8930,72.8437,108.9918,337,341,351,,,,28505,28416,28314,
2012/07/30,204.50,206.00,202.50,202.50,-0.50,-0.2463,202.0000,199.0000,199.9750,,,-173.0000,-298.4000,25919,25847,25798,61.3682,55.8383,78.1250,82.6370,76.1081,110,123,82.6370,76.1081,95.6948,324,337,346,,,,28522,28462,28332,
2012/07/31,203.50,207.00,202.50,207.00,4.50,2.2222,203.4000,200.5500,200.1500,,,21.0000,-246.8000,26028,25906,25822,74.4627,63.4338,100.0000,88.4247,80.2136,194,135,88.4247,80.2136,104.8468,324,333,343,,,,28648,28522,28381,
2012/08/01,207.50,213.00,206.50,206.50,-0.50,-0.2415,204.1000,202.1000,200.2000,,,-340.0000,-215.2000,26083,25955,25856,71.2429,62.1384,62.8571,79.9022,80.1098,361,170,79.9022,80.1098,79.4869,320,329,339,,,,28699,28569,28444,
